iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 15, 2018"
Total Net Assets,"45,698,664,979.10"
Shares Outstanding,"525,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"FFBC","FIRST FINANCIAL BANCORP","Equity","0.36","31.10","5,364,667.00","166,841,143.70","166,841,143.70","Financials","2352806","US3202091092","NASDAQ"
"MMSI","MERIT MEDICAL SYSTEMS INC","Equity","0.36","56.60","2,942,885.00","166,567,291.00","166,567,291.00","Health Care","2580555","US5898891040","NASDAQ"
"KS","KAPSTONE PAPER AND PACKAGING CORP","Equity","0.36","34.23","4,827,624.00","165,249,569.52","165,249,569.52","Materials","B0L2NP0","US48562P1030","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.36","76.90","2,138,780.00","164,472,182.00","164,472,182.00","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"SHOO","STEVEN MADDEN LTD","Equity","0.36","56.65","2,883,379.00","163,343,420.35","163,343,420.35","Consumer Discretionary","2553911","US5562691080","NASDAQ"
"SSD","SIMPSON MANUFACTURING INC","Equity","0.36","72.13","2,257,960.00","162,866,654.80","162,866,654.80","Industrials","2809250","US8290731053","New York Stock Exchange Inc."
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Equity","0.35","76.35","2,117,429.00","161,665,704.15","161,665,704.15","Industrials","2086309","US03820C1053","New York Stock Exchange Inc."
"VG","VONAGE HOLDINGS CORP","Equity","0.35","14.12","11,369,227.00","160,533,485.24","160,533,485.24","Telecommunications","B15JLG1","US92886T2015","New York Stock Exchange Inc."
"MYGN","MYRIAD GENETICS INC","Equity","0.35","41.79","3,828,253.00","159,982,692.87","159,982,692.87","Health Care","2614153","US62855J1043","NASDAQ"
"FCN","FTI CONSULTING INC","Equity","0.35","76.51","2,064,236.00","157,934,696.36","157,934,696.36","Industrials","2351449","US3029411093","New York Stock Exchange Inc."
"FUL","HB FULLER","Equity","0.34","56.03","2,774,397.00","155,449,463.91","155,449,463.91","Materials","2354664","US3596941068","New York Stock Exchange Inc."
"RH","RH","Equity","0.34","148.65","1,045,601.00","155,428,588.65","155,428,588.65","Consumer Discretionary","BYXR425","US74967X1037","New York Stock Exchange Inc."
"CCMP","CABOT MICROELECTRONICS CORP","Equity","0.34","109.99","1,408,460.00","154,916,515.40","154,916,515.40","Information Technology","2572381","US12709P1030","NASDAQ"
"SJI","S JERSEY INDS INC","Equity","0.34","32.96","4,692,346.00","154,659,724.16","154,659,724.16","Utilities","2825933","US8385181081","New York Stock Exchange Inc."
"UNF","UNIFIRST CORP","Equity","0.34","182.25","844,308.00","153,875,133.00","153,875,133.00","Industrials","2466428","US9047081040","New York Stock Exchange Inc."
"VAC","MARRIOTT VACATIONS WORLDWIDE CORP","Equity","0.33","117.28","1,297,680.00","152,191,910.40","152,191,910.40","Consumer Discretionary","B45K9N8","US57164Y1073","New York Stock Exchange Inc."
"QLYS","QUALYS INC","Equity","0.33","84.50","1,795,245.00","151,698,202.50","151,698,202.50","Information Technology","B7XJTN8","US74758T3032","NASDAQ"
"LHCG","LHC GROUP INC","Equity","0.33","94.42","1,593,465.00","150,454,965.30","150,454,965.30","Health Care","B06DT50","US50187A1079","NASDAQ"
"FMBI","FIRST MIDWEST BANCORP INC","Equity","0.33","26.60","5,644,392.00","150,140,827.20","150,140,827.20","Financials","2341439","US3208671046","NASDAQ"
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","0.33","36.18","4,144,092.00","149,933,248.56","149,933,248.56","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"AMN","AMN HEALTHCARE INC","Equity","0.32","56.35","2,610,589.00","147,106,690.15","147,106,690.15","Health Care","2813552","US0017441017","New York Stock Exchange Inc."
"STRA","STRATEGIC EDUCATION INC","Equity","0.32","127.96","1,143,896.00","146,372,932.16","146,372,932.16","Consumer Discretionary","BGGJFV8","US86272C1036","NASDAQ"
"BLD","TOPBUILD CORP","Equity","0.31","73.28","1,955,880.00","143,326,886.40","143,326,886.40","Consumer Discretionary","BZ0P3W2","US89055F1030","New York Stock Exchange Inc."
"ONB","OLD NATIONAL BANCORP","Equity","0.31","19.35","7,353,722.00","142,294,520.70","142,294,520.70","Financials","2658441","US6800331075","NASDAQ"
"PSB","PS BUSINESS PARKS REIT INC","Equity","0.31","129.56","1,095,426.00","141,923,392.56","141,923,392.56","Real Estate","2707956","US69360J1079","New York Stock Exchange Inc."
"EXPO","EXPONENT INC","Equity","0.31","50.35","2,818,222.00","141,897,477.70","141,897,477.70","Industrials","2330318","US30214U1025","NASDAQ"
"MDCO","MEDICINES","Equity","0.31","39.78","3,540,164.00","140,827,723.92","140,827,723.92","Health Care","2616773","US5846881051","NASDAQ"
"HMSY","HMS HOLDINGS CORP","Equity","0.31","30.78","4,564,630.00","140,499,311.40","140,499,311.40","Health Care","2418043","US40425J1016","NASDAQ"
"EE","EL PASO ELECTRIC","Equity","0.30","62.60","2,200,773.00","137,768,389.80","137,768,389.80","Utilities","2851808","US2836778546","New York Stock Exchange Inc."
"IIVI","II VI INC","Equity","0.30","45.25","3,019,731.00","136,642,827.75","136,642,827.75","Information Technology","2452698","US9021041085","NASDAQ"
"GWB","GREAT WESTERN BANCORP INC","Equity","0.30","42.23","3,232,229.00","136,497,030.67","136,497,030.67","Financials","BRHZ1X6","US3914161043","New York Stock Exchange Inc."
"MOGA","MOOG INC CLASS A","Equity","0.30","76.42","1,781,085.00","136,110,515.70","136,110,515.70","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"CVBF","CVB FINANCIAL CORP","Equity","0.30","24.15","5,634,216.00","136,066,316.40","136,066,316.40","Financials","2160645","US1266001056","NASDAQ"
"IRBT","IROBOT CORP","Equity","0.30","89.28","1,520,157.00","135,719,616.96","135,719,616.96","Consumer Discretionary","B0J2NS5","US4627261005","NASDAQ"
"OMCL","OMNICELL INC","Equity","0.30","63.75","2,125,572.00","135,505,215.00","135,505,215.00","Health Care","2789523","US68213N1090","NASDAQ"
"LCII","LCI INDUSTRIES","Equity","0.29","97.65","1,381,543.00","134,907,673.95","134,907,673.95","Consumer Discretionary","BYQ44Y5","US50189K1034","New York Stock Exchange Inc."
"INDB","INDEPENDENT BANK CORP","Equity","0.29","88.45","1,502,286.00","132,877,196.70","132,877,196.70","Financials","2447821","US4538361084","NASDAQ"
"SFLY","SHUTTERFLY INC","Equity","0.29","72.99","1,810,120.00","132,120,658.80","132,120,658.80","Consumer Discretionary","B188HK1","US82568P3047","NASDAQ"
"FOXF","FOX FACTORY HOLDING CORP","Equity","0.29","64.50","2,043,426.00","131,800,977.00","131,800,977.00","Consumer Discretionary","BCRY5K3","US35138V1026","NASDAQ"
"MRCY","MERCURY SYSTEMS INC","Equity","0.29","49.43","2,640,046.00","130,497,473.78","130,497,473.78","Industrials","2144047","US5893781089","NASDAQ"
