iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 30, 2018"
Total Net Assets,"47,817,511,896.23"
Shares Outstanding,"532,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LGND","LIGAND PHARMACEUTICALS INC","Equity","0.64","257.62","1,177,859.00","303,440,035.58","303,440,035.58","Health Care","2501578","US53220K5048","NASDAQ"
"TREX","TREX INC","Equity","0.58","84.84","3,247,190.00","275,491,599.60","275,491,599.60","Industrials","2483074","US89531P1057","New York Stock Exchange Inc."
"HQY","HEALTHEQUITY INC","Equity","0.56","92.55","2,893,993.00","267,839,052.15","267,839,052.15","Health Care","BP8XZL1","US42226A1079","NASDAQ"
"CACI","CACI INTERNATIONAL INC CLASS A","Equity","0.56","194.50","1,364,778.00","265,449,321.00","265,449,321.00","Information Technology","2159267","US1271903049","New York Stock Exchange Inc."
"NEOG","NEOGEN CORP","Equity","0.54","90.81","2,852,146.00","259,003,378.26","259,003,378.26","Health Care","2630085","US6404911066","NASDAQ"
"ASGN","ASGN INC","Equity","0.53","92.26","2,717,954.00","250,758,436.04","250,758,436.04","Industrials","BFY8W20","US00191U1025","New York Stock Exchange Inc."
"INGN","INOGEN INC","Equity","0.52","261.61","957,185.00","250,409,167.85","250,409,167.85","Health Care","BJSVLL5","US45780L1044","NASDAQ"
"NSP","INSPERITY INC","Equity","0.51","118.70","2,065,761.00","245,205,830.70","245,205,830.70","Industrials","2007281","US45778Q1076","New York Stock Exchange Inc."
"NGVT","INGEVITY CORP","Equity","0.49","99.89","2,327,503.00","232,494,274.67","232,494,274.67","Materials","BD4LHG4","US45688C1071","New York Stock Exchange Inc."
"FFIN","FIRST FINANCIAL BANKSHARES INC","Equity","0.47","59.90","3,730,709.00","223,469,469.10","223,469,469.10","Financials","2266026","US32020R1095","NASDAQ"
"GDOT","GREEN DOT CORP CLASS A","Equity","0.46","85.19","2,585,491.00","220,257,978.29","220,257,978.29","Financials","B3WNNP3","US39304D1028","New York Stock Exchange Inc."
"STMP","STAMPS.COM INC","Equity","0.45","245.40","865,917.00","212,496,031.80","212,496,031.80","Information Technology","B013D75","US8528572006","NASDAQ"
"TTEK","TETRA TECH INC","Equity","0.44","68.95","3,065,228.00","211,347,470.60","211,347,470.60","Industrials","2883890","US88162G1031","NASDAQ"
"AAXN","AXON ENTERPRISE INC","Equity","0.44","66.46","3,168,988.00","210,610,942.48","210,610,942.48","Industrials","BDT5S35","US05464C1018","NASDAQ"
"KFY","KORN FERRY INTERNATIONAL","Equity","0.44","66.93","3,126,197.00","209,236,365.21","209,236,365.21","Industrials","2386849","US5006432000","New York Stock Exchange Inc."
"PRLB","PROTO LABS INC","Equity","0.44","150.85","1,380,675.00","208,274,823.75","208,274,823.75","Industrials","B6T6J81","US7437131094","New York Stock Exchange Inc."
"SMTC","SEMTECH CORP","Equity","0.43","56.85","3,650,846.00","207,550,595.10","207,550,595.10","Information Technology","2795542","US8168501018","NASDAQ"
"SR","SPIRE INC","Equity","0.43","74.45","2,785,684.00","207,394,173.80","207,394,173.80","Utilities","BYXJQG9","US84857L1017","New York Stock Exchange Inc."
"JBT","JOHN BEAN TECHNOLOGIES CORP","Equity","0.43","117.45","1,754,910.00","206,114,179.50","206,114,179.50","Industrials","B3BRJZ8","US4778391049","New York Stock Exchange Inc."
"SIGI","SELECTIVE INSURANCE GROUP INC","Equity","0.43","63.60","3,239,959.00","206,061,392.40","206,061,392.40","Financials","2766173","US8163001071","NASDAQ"
"FCFS","FIRSTCASH INC","Equity","0.42","80.75","2,512,319.00","202,869,759.25","202,869,759.25","Financials","BZCG9B4","US33767D1054","New York Stock Exchange Inc."
"WWW","WOLVERINE WORLD WIDE INC","Equity","0.42","38.36","5,245,313.00","201,210,206.68","201,210,206.68","Consumer Discretionary","2977500","US9780971035","New York Stock Exchange Inc."
"GBCI","GLACIER BANCORP INC","Equity","0.41","45.17","4,380,301.00","197,858,196.17","197,858,196.17","Financials","2370585","US37637Q1058","NASDAQ"
"AMED","AMEDISYS INC","Equity","0.41","122.50","1,593,591.00","195,214,897.50","195,214,897.50","Health Care","2024332","US0234361089","NASDAQ"
"BCPC","BALCHEM CORP","Equity","0.41","109.37","1,773,778.00","193,998,099.86","193,998,099.86","Materials","2072074","US0576652004","NASDAQ"
"PDCE","PDC ENERGY INC","Equity","0.40","52.85","3,649,791.00","192,891,454.35","192,891,454.35","Energy","B89M5F2","US69327R1014","NASDAQ"
"MYGN","MYRIAD GENETICS INC","Equity","0.40","49.55","3,865,279.00","191,524,574.45","191,524,574.45","Health Care","2614153","US62855J1043","NASDAQ"
"ENDP","ENDO INTERNATIONAL PLC","Equity","0.39","16.84","11,106,929.00","187,040,684.36","187,040,684.36","Health Care","BJ3V905","IE00BJ3V9050","NASDAQ"
"SKYW","SKYWEST INC","Equity","0.39","64.45","2,882,271.00","185,762,365.95","185,762,365.95","Industrials","2814210","US8308791024","NASDAQ"
"EGP","EASTGROUP PROPERTIES REIT INC","Equity","0.39","96.91","1,916,378.00","185,716,191.98","185,716,191.98","Real Estate","2455761","US2772761019","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.39","51.26","3,612,780.00","185,191,102.80","185,191,102.80","Utilities","2942605","US05379B1070","New York Stock Exchange Inc."
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.39","37.01","4,988,164.00","184,611,949.64","184,611,949.64","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"CBU","COMMUNITY BANK SYSTEM INC","Equity","0.39","65.39","2,817,578.00","184,241,425.42","184,241,425.42","Financials","2222062","US2036071064","New York Stock Exchange Inc."
"B","BARNES GROUP INC","Equity","0.38","68.14","2,678,907.00","182,540,722.98","182,540,722.98","Industrials","2080732","US0678061096","New York Stock Exchange Inc."
"DAR","DARLING INGREDIENTS INC","Equity","0.38","19.94","9,115,276.00","181,758,603.44","181,758,603.44","Consumer Staples","2250289","US2372661015","New York Stock Exchange Inc."
"IRBT","IROBOT CORP","Equity","0.37","116.31","1,534,845.00","178,517,821.95","178,517,821.95","Consumer Discretionary","B0J2NS5","US4627261005","NASDAQ"
"HI","HILLENBRAND INC","Equity","0.37","50.95","3,451,057.00","175,831,354.15","175,831,354.15","Industrials","B2QGDP1","US4315711089","New York Stock Exchange Inc."
"SSD","SIMPSON MANUFACTURING INC","Equity","0.37","76.94","2,279,788.00","175,406,888.72","175,406,888.72","Industrials","2809250","US8290731053","New York Stock Exchange Inc."
"MMSI","MERIT MEDICAL SYSTEMS INC","Equity","0.37","58.65","2,971,343.00","174,269,266.95","174,269,266.95","Health Care","2580555","US5898891040","NASDAQ"
"COLB","COLUMBIA BANKING SYSTEM INC","Equity","0.36","41.83","4,057,049.00","169,706,359.67","169,706,359.67","Financials","2176608","US1972361026","NASDAQ"
"FFBC","FIRST FINANCIAL BANCORP","Equity","0.35","31.15","5,416,585.00","168,726,622.75","168,726,622.75","Financials","2352806","US3202091092","NASDAQ"
"KS","KAPSTONE PAPER AND PACKAGING CORP","Equity","0.35","34.47","4,874,340.00","168,018,499.80","168,018,499.80","Materials","B0L2NP0","US48562P1030","New York Stock Exchange Inc."
"SHOO","STEVEN MADDEN LTD","Equity","0.35","57.55","2,911,327.00","167,546,868.85","167,546,868.85","Consumer Discretionary","2553911","US5562691080","NASDAQ"
"RH","RH","Equity","0.35","157.02","1,055,699.00","165,765,856.98","165,765,856.98","Consumer Discretionary","BYXR425","US74967X1037","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.35","76.46","2,159,486.00","165,114,299.56","165,114,299.56","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Equity","0.34","76.85","2,137,931.00","164,299,997.35","164,299,997.35","Industrials","2086309","US03820C1053","New York Stock Exchange Inc."
"QLYS","QUALYS INC","Equity","0.34","89.05","1,812,585.00","161,410,694.25","161,410,694.25","Information Technology","B7XJTN8","US74758T3032","NASDAQ"
"FUL","HB FULLER","Equity","0.33","56.99","2,801,223.00","159,641,698.77","159,641,698.77","Materials","2354664","US3596941068","New York Stock Exchange Inc."
"CCMP","CABOT MICROELECTRONICS CORP","Equity","0.33","112.10","1,422,128.00","159,420,548.80","159,420,548.80","Information Technology","2572381","US12709P1030","NASDAQ"
"VAC","MARRIOTT VACATIONS WORLDWIDE CORP","Equity","0.33","121.61","1,310,226.00","159,336,583.86","159,336,583.86","Consumer Discretionary","B45K9N8","US57164Y1073","New York Stock Exchange Inc."
"VG","VONAGE HOLDINGS CORP","Equity","0.33","13.96","11,369,227.00","158,714,408.92","158,714,408.92","Telecommunications","B15JLG1","US92886T2015","New York Stock Exchange Inc."
"FCN","FTI CONSULTING INC","Equity","0.33","75.96","2,084,228.00","158,317,958.88","158,317,958.88","Industrials","2351449","US3029411093","New York Stock Exchange Inc."
"STRA","STRATEGIC EDUCATION INC","Equity","0.33","137.04","1,155,014.00","158,283,118.56","158,283,118.56","Consumer Discretionary","BGGJFV8","US86272C1036","NASDAQ"
"LHCG","LHC GROUP INC","Equity","0.33","98.00","1,608,867.00","157,668,966.00","157,668,966.00","Health Care","B06DT50","US50187A1079","NASDAQ"
"SJI","S JERSEY INDS INC","Equity","0.33","33.13","4,737,838.00","156,964,572.94","156,964,572.94","Utilities","2825933","US8385181081","New York Stock Exchange Inc."
"UNF","UNIFIRST CORP","Equity","0.33","183.95","852,468.00","156,811,488.60","156,811,488.60","Industrials","2466428","US9047081040","New York Stock Exchange Inc."
"IIVI","II VI INC","Equity","0.32","50.45","3,049,005.00","153,822,302.25","153,822,302.25","Information Technology","2452698","US9021041085","NASDAQ"
"FMBI","FIRST MIDWEST BANCORP INC","Equity","0.32","26.92","5,699,064.00","153,418,802.88","153,418,802.88","Financials","2341439","US3208671046","NASDAQ"
"AMN","AMN HEALTHCARE INC","Equity","0.32","58.00","2,635,885.00","152,881,330.00","152,881,330.00","Health Care","2813552","US0017441017","New York Stock Exchange Inc."
"BRKS","BROOKS AUTOMATION INC","Equity","0.32","39.01","3,896,300.00","151,994,663.00","151,994,663.00","Information Technology","2145460","US1143401024","NASDAQ"
"ONB","OLD NATIONAL BANCORP","Equity","0.31","19.97","7,424,918.00","148,275,612.46","148,275,612.46","Financials","2658441","US6800331075","NASDAQ"
"HMSY","HMS HOLDINGS CORP","Equity","0.31","32.09","4,608,796.00","147,896,263.64","147,896,263.64","Health Care","2418043","US40425J1016","NASDAQ"
"EXPO","EXPONENT INC","Equity","0.31","51.70","2,845,558.00","147,115,348.60","147,115,348.60","Industrials","2330318","US30214U1025","NASDAQ"
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","0.31","35.15","4,184,178.00","147,073,856.70","147,073,856.70","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"OMCL","OMNICELL INC","Equity","0.31","68.00","2,146,176.00","145,939,968.00","145,939,968.00","Health Care","2789523","US68213N1090","NASDAQ"
"MDCO","MEDICINES","Equity","0.30","40.26","3,574,436.00","143,906,793.36","143,906,793.36","Health Care","2616773","US5846881051","NASDAQ"
"MRCY","MERCURY SYSTEMS INC","Equity","0.30","53.87","2,665,648.00","143,598,457.76","143,598,457.76","Industrials","2144047","US5893781089","NASDAQ"
