"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","892.01K","2.10B","310.62M","","0.52"
"AAON","AAON","190.57K","2.12B","426.50M","51.17","0.91"
"AAR","AIR","208.75K","1.62B","2.19B","27.47","1.24"
"Abercrombie&Fitch","ANF","2.44M","1.84B","3.56B","43.92","0.53"
"ABM Industries","ABM","791.08K","2.01B","5.99B","30.44","0.77"
"Acadia","AKR","550.96K","2.30B","376.95M","47.2","0.38"
"Aceto","ACET","467.77K","101.91M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.39B","588.93M","","1.46"
"Actuant","ATU","485.48K","1.79B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","811.57M","560.49M","","0.53"
"Advanced Energy","AEIS","457.14K","2.32B","747.43M","10.72","1.03"
"AdvanSix","ASIX","179.84K","1.03B","1.50B","13.23",""
"Aegion","AEGN","146.81K","805.19M","1.34B","","1.72"
"Aerojet Rocketdyne","AJRD","690.75K","2.76B","1.97B","36.87","1.09"
"AeroVironment","AVAV","360.74K","2.05B","271.06M","79.09","1.18"
"Agilysys","AGYS","43.36K","387.70M","127.50M","","0.31"
"Agree","ADC","159.48K","1.76B","132.20M","29.66","0.31"
"AK Steel","AKS","12.66M","1.39B","6.40B","","2.85"
"Alamo","ALG","65.84K","1.17B","978.93M","18.34","0.97"
"Albany","AIN","125.91K","2.53B","935.08M","37.42","1.73"
"Allegiant","ALGT","157.19K","2.21B","1.59B","16.07","0.15"
"Allete","ALE","213.87K","3.87B","1.40B","27.15","0.17"
"AMAG","AMAG","1.23M","856.65M","604.69M","","0.48"
"Amedisys","AMED","336.51K","3.97B","1.60B","45.66","0.97"
"American Assets","AAT","220.08K","1.84B","329.84M","99.05","0.34"
"American Axle&Manufacturing","AXL","1.88M","2.08B","7.22B","5.12","1.44"
"American Equity Inv. Life","AEL","530.01K","3.37B","2.97B","9.3","2.52"
