"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","910.18K","2.10B","310.62M","","0.52"
"AAON","AAON","190.57K","2.12B","426.50M","51.11","0.91"
"AAR","AIR","209.15K","1.62B","2.19B","27.35","1.24"
"Abercrombie&Fitch","ANF","2.42M","1.84B","3.56B","43.52","0.53"
"ABM Industries","ABM","805.59K","2.01B","5.99B","30.08","0.77"
"Acadia","AKR","558.18K","2.30B","376.95M","46.59","0.37"
"Aceto","ACET","467.77K","101.91M","737.10M","","1.65"
"Acorda","ACOR","712.87K","1.39B","588.93M","","1.47"
"Actuant","ATU","487.35K","1.79B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","811.57M","560.49M","","0.53"
"Advanced Energy","AEIS","457.14K","2.32B","747.43M","10.66","1.03"
"AdvanSix","ASIX","181.60K","1.03B","1.50B","13.29",""
"Aegion","AEGN","146.81K","805.19M","1.34B","","1.72"
"Aerojet Rocketdyne","AJRD","690.77K","2.76B","1.97B","36.78","1.09"
"AeroVironment","AVAV","360.74K","2.05B","271.06M","79.12","1.18"
"Agilysys","AGYS","43.36K","387.70M","127.50M","","0.31"
"Agree","ADC","162.37K","1.76B","132.20M","29.33","0.3"
"AK Steel","AKS","12.65M","1.39B","6.40B","","2.85"
"Alamo","ALG","66.01K","1.17B","978.93M","18.41","0.97"
"Albany","AIN","125.94K","2.53B","935.08M","37.81","1.73"
"Allegiant","ALGT","157.19K","2.21B","1.59B","16.05","0.15"
"Allete","ALE","212.99K","3.87B","1.40B","27.37","0.17"
"AMAG","AMAG","1.23M","856.65M","604.69M","","0.48"
"Amedisys","AMED","336.51K","3.97B","1.60B","46.37","0.98"
"American Assets","AAT","221.02K","1.84B","329.84M","97.87","0.34"
"American Axle&Manufacturing","AXL","1.89M","2.08B","7.22B","5.19","1.45"
"American Equity Inv. Life","AEL","545.27K","3.37B","2.97B","9.33","2.52"
"American Public Education","APEI","109.20K","586.33M","299.13M","29.3","0.59"
"American States Water","AWR","177.66K","2.20B","430.23M","36.47","0.09"
"American Vanguard","AVD","76.25K","639.85M","417.62M","32.46","1.03"
"American Woodmark","AMWD","135.47K","1.57B","1.25B","24.15","1.86"
"Ameris","ABCB","225.93K","2.37B","227.23M","24.05","1.08"
"AMERISAFE","AMSF","89.24K","1.23B","377.29M","19.45","0.74"
"AMN Healthcare Services","AMN","382.36K","2.75B","2.08B","21.33","0.3"
"Amneal Pharma A","AMRX","1.21M","6.87B","803.09M","","1.39"
"Amphastar P","AMPH","207.93K","834.00M","247.75M","","1.37"
"AngioDynamics","ANGO","229.74K","821.81M","344.29M","93.23","0.94"
"ANI Pharma","ANIP","142.67K","677.79M","189.20M","49.59","2.74"
"Anika","ANIK","86.25K","609.01M","108.38M","39.42","2.05"
"Anixter","AXE","186.21K","2.43B","8.13B","17.78","2.18"
"Apogee","APOG","310.40K","1.41B","1.39B","19.11","1.48"
"Applied Industrial Technologies","AIT","182.22K","2.98B","3.07B","22.26","0.88"
"ArcBest Corp","ARCB","308.58K","1.23B","2.95B","36.22","2.08"
"Archrock","AROC","1.26M","1.66B","845.70M","","2.88"
"Asbury Automotive","ABG","206.11K","1.54B","6.61B","9.56","1.46"
"ASGN","ASGN","276.94K","4.82B","2.91B","36.45","1.93"
"Assertio Therapeutics","ASRT","1.20M","468.50M","381.49M","","1.3"
"Astec","ASTE","180.90K","1.13B","1.16B","","1.02"
"Atlas Air","AAWW","268.12K","1.59B","2.42B","37.76","1.18"
"ATN Int","ATNI","95.43K","1.18B","452.09M","124.65","0.63"
"Avista","AVA","462.80K","3.39B","1.42B","27.62","0.17"
"Axon Enterprise","AAXN","894.95K","3.89B","385.36M","131.83","1.09"
"AZZ","AZZ","190.86K","1.41B","861.47M","55.07","1.43"
"B&G Foods","BGS","843.91K","2.06B","1.70B","35.49","0.49"
"Badger Meter","BMI","114.08K","1.60B","415.35M","53.73","0.69"
"Balchem","BCPC","114.47K","3.42B","635.08M","48.27","0.83"
"Banc of California","BANC","432.24K","1.00B","220.54M","38.49","0.77"
"Banner","BANR","195.21K","2.11B","259.82M","18.42","0.92"
"Barnes","B","212.22K","3.50B","1.47B","22.84","1.34"
"Barnes & Noble Education Inc","BNED","397.48K","237.87M","2.19B","",""
"Barnes&Noble","BKS","984.67K","400.37M","3.66B","","1.66"
"Bel Fuse B","BELFB","28.05K","322.73M","505.29M","38.85","1.13"
"Belmond","BEL","580.66K","1.98B","561.60M","","1.52"
"Benchmark Electronics","BHE","354.51K","1.21B","2.55B","19.29","0.25"
"Big 5","BGFV","1.28M","122.16M","987.49M","","-0.93"
"Biglari","BH","8.01K","600.96M","636.40M","","0.43"
"BioTelemetry","BEAT","469.88K","1.96B","368.62M","378.09","1.43"
"BJs Restaurants","BJRI","383.40K","1.52B","1.07B","37.75","0.7"
"Black Box","BBOX","216.31K","18.59M","773.79M","","0.87"
"Blackbaud","BLKB","284.75K","4.94B","830.34M","101.67","0.62"
"Blucora","BCOR","405.89K","1.72B","551.84M","34.82","-0.16"
"BofI Holding","BOFI","743.92K","2.35B","304.28M","14.82","0.23"
"Boise Cascad Llc","BCC","384.05K","1.76B","4.91B","14.61","1.93"
"Boston Private","BPFH","411.48K","1.22B","211.75M","37.55","0.9"
"Bottomline","EPAY","314.41K","2.64B","394.10M","1159.7","0.96"
"Boyd Gaming","BYD","1.05M","4.05B","2.40B","33.22","1.62"
"Brady","BRC","221.98K","2.02B","1.17B","20.18","1.09"
"Briggs&Stratton","BGG","314.08K","878.91M","1.85B","","0.68"
"Brinks","BCO","451.74K","3.97B","3.48B","","1.74"
"Bristow","BRS","699.15K","398.07M","1.46B","","2.96"
"Brookline Bancorp","BRKL","341.71K","1.45B","161.41M","20","0.76"
"Brooks Automation","BRKS","939.25K","2.14B","801.95M","17.43","0.9"
"Buckle","BKE","446.79K","1.27B","906.03M","12.97","0.62"
"Cabot","CCMP","180.11K","2.95B","570.18M","31.35","1.35"
