"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"Calavo Growers","CVGW","207.84K","1.79B","1.09B","43.69","0.48"
"Caleres","CAL","407.62K","1.64B","2.79B","18.5","0.81"
"California Water Service","CWT","208.99K","1.99B","678.60M","11.89","0.53"
"Callaway Golf","ELY","1.11M","2.17B","1.23B","19.11","1"
"Cambrex","CBM","389.80K","2.13B","588.05M","17.29","2.39"
"Cantel Medical","CMD","328.61K","3.98B","848.57M","48.42","1.07"
"Capstead Mortgage","CMO","654.00K","779.80M","257.12M","15.16","0.16"
"Carbo Ceramics","CRR","409.45K","226.08M","217.87M","","1.53"
"Cardtronics","CATM","820.11K","1.72B","1.44B","","1.12"
"Career","CECO","259.30K","1.16B","578.21M","30.29","2.63"
"Caretrust Inc","CTRE","736.99K","1.49B","146.62M","33.97","0.93"
"Carrizo Oil&Gas","CRZO","3.29M","2.17B","917.30M","75.14","2.28"
"Cato","CATO","364.88K","599.62M","1.09B","25.97","0.65"
"Cavco","CVCO","49.62K","2.18B","910.82M","34.29","1.45"
"Cedar Realty","CDR","419.95K","421.40M","152.46M","","0.79"
"Celadon","CGIP","391.97K","98.20M","","41.17","1.77"
"Central Garden&Pet","CENT","118.17K","1.94B","2.20B","20.46","-0.13"
"Central Garden&Pet A","CENTA","209.85K","1.94B","2.20B","20.46","-0.13"
"Century Aluminum","CENX","2.42M","1.08B","2.51B","15.62","0.74"
"CEVA","CEVA","190.44K","644.42M","80.70M","145.36","1.08"
"Chart Industries","GTLS","285.83K","2.41B","1.15B","102.95","1.08"
"Chemed","CHE","211.62K","5.15B","1.73B","29.46","1.16"
"Chemours Co","CC","1.53M","7.73B","6.71B","7.83",""
"Chesapeake Lodging","CHSP","277.72K","1.98B","599.25M","26.93","0.94"
"Chuy's Holdings","CHUY","161.57K","463.50M","388.40M","27.39","-0.24"
"Cincinnati Bell","CBB","618.76K","652.04M","1.31B","","1.16"
"CIRCOR","CIR","281.02K","892.45M","942.22M","","2.01"
"City Holding","CHCO","58.42K","1.28B","106.92M","18.59","0.61"
"Clearwater Paper","CLW","189.83K","483.13M","1.73B","25.47","1.11"
"Cloud Peak Energy","CLD","576.89K","188.69M","884.78M","","2"
"CMTSU Liquidation","CBRI","1.10M","195.95K","","","0.62"
"Cogent","CCOI","308.17K","2.46B","506.21M","108.28","0.59"
"Coherent","COHR","576.42K","4.37B","1.93B","22.01","0.98"
"Cohu","COHU","249.42K","746.21M","372.71M","16.06","0.98"
"Columbia Banking","COLB","276.51K","3.17B","286.52M","19.32","1.08"
"Comfort Systems","FIX","258.93K","2.13B","1.94B","30.74","1.33"
"Community Bank System","CBU","201.20K","3.40B","293.45M","22.37","1.04"
"Community Health Systems","CYH","2.54M","403.40M","13.98B","","1.63"
"Computer Programs&Systems","CPSI","76.13K","384.55M","283.96M","","-0.09"
"Comtech","CMTL","190.04K","840.24M","550.91M","28.85","1.49"
"CONMED","CNMD","178.50K","2.19B","827.56M","53.5","0.52"
"Consolidated Communications","CNSL","1.09M","860.73M","1.43B","","0.72"
"Contango Oil&Gas","MCF","73.85K","148.42M","77.74M","","1.62"
"Cooper Stnd","CPS","140.02K","2.53B","3.70B","14.06","0.74"
"Core-Mark","CORE","337.48K","1.60B","16.42B","81.55","0.72"
"CoreSite","COR","319.53K","5.60B","515.09M","55.88","0.3"
"Corindus Vascular Robotics","CR3","1.29K","158.36M","8.73M","81.08","1.03"
"CorVel","CRVL","35.96K","1.11B","571.13M","32.08","0.66"
"CPB","CPF","120.52K","860.64M","115.30M","17.16","1.03"
"Cray","CRAY","352.17K","877.78M","446.13M","","1.56"
"Crocs","CROX","1.21M","1.38B","1.05B","164.01","0.45"
"Cross Country","CCRN","228.36K","357.50M","863.02M","7.87","0.84"
"CryoLife","CRY","144.01K","1.20B","227.28M","","0.63"
"CSG Systems","CSGS","183.17K","1.26B","819.12M","20.14","0.88"
"CTS Corp","CTS","148.99K","1.17B","448.70M","35.64","1.25"
"Cubic","CUB","152.25K","2.00B","1.36B","","1.02"
"Customers Bancorp","CUBI","208.80K","806.95M","241.64M","12.11","0.7"
"CVB Financial","CVBF","386.16K","2.74B","170.13M","20.95","1.37"
"Daktronics","DAKT","227.72K","353.81M","592.00M","63.06","1.11"
"Darling Ingredients","DAR","856.89K","3.33B","3.61B","23.78","1.4"
"Dave & Buster’s Entertainment","PLAY","1.42M","2.18B","1.17B","20.51","0.41"
"DHI Group","DHX","526.73K","107.45M","188.02M","6.11","1.04"
"Diamondrock Hospitality","DRH","2.15M","2.47B","850.01M","32.3","1.45"
"Digi","DGII","104.22K","354.16M","207.81M","47.78","1.39"
"Dime Community","DCOM","183.88K","702.37M","114.51M","11.85","0.5"
"DineEquity","DIN","336.41K","1.41B","666.08M","","0.04"
"Diodes","DIOD","317.37K","1.89B","1.13B","25.84","0.94"
"Diplomat Pharmacy","DPLO","1.15M","1.45B","5.04B","","1.13"
"Donnelley Financial Solutions","DFIN","297.79K","662.32M","993.20M","31",""
"Dorman","DORM","258.60K","2.65B","917.75M","22.43","1.02"
"DSP Group","DSPG","57.83K","283.85M","124.28M","","0.84"
"DXP Enterprises","DXPE","86.62K","819.28M","1.11B","36.47","2.59"
"Eagle Pharm","EGRX","255.51K","1.21B","215.73M","38.47","1.37"
"EastGroup Properties","EGP","194.66K","3.47B","287.20M","41.49","0.81"
"Ebix","EBIX","180.10K","2.44B","430.34M","23.86","1.26"
"Echo Global","ECHO","416.03K","953.51M","2.27B","48.44","1.6"
"eHealth","EHTH","170.08K","577.38M","141.19M","","1.33"
"El Paso Electric","EE","264.64K","2.59B","906.13M","6.53","0.34"
"El Pollo Loco Holdings Inc","LOCO","437.42K","480.68M","413.75M","241.98","0.38"
"Electro Scientific","ESIO","1.31M","786.54M","405.82M","5.8","1.03"
"Electronics for Imaging","EFII","542.66K","1.50B","1.02B","263.89","1.08"
"Emergent Biosolutions","EBS","298.85K","3.01B","681.25M","14","1.23"
"Employers","EIG","116.28K","1.43B","804.00M","11.4","1.05"
"Enanta","ENTA","217.99K","1.79B","215.35M","22.13","0.92"
"Encore Capital","ECPG","232.43K","1.24B","1.30B","11.79","1.55"
"Encore Wire","WIRE","70.70K","1.08B","1.22B","18.39","1.85"
"Engility","EGL","125.21K","1.30B","1.92B","45.54","1.89"
"Enova International Inc","ENVA","361.08K","1.23B","969.18M","29.77","2.58"
"Enpro Industries","NPO","163.62K","1.60B","1.47B","3.18","1.09"
"ePlus","PLUS","96.51K","1.37B","1.40B","25.25","1.14"
"Era Group Inc","ERA","48.88K","258.74M","233.96M","","0.94"
"ESCO Technologies","ESE","86.09K","1.81B","747.50M","30.62","0.98"
"Essendant Inc","ESND","402.41K","579.60M","5.00B","","1.33"
"Ethan Allen Interiors","ETH","215.37K","622.11M","766.78M","18.62","0.88"
"Evercore","EVR","482.31K","5.25B","1.88B","14.67","1.71"
"EW Scripps A","SSP","458.46K","1.21B","959.59M","","2.1"
"ExlServices","EXLS","135.26K","2.09B","807.30M","27.12","1.27"
"Exponent","EXPO","89.53K","2.70B","367.92M","42.61","0.6"
"Express","EXPR","1.85M","790.70M","2.15B","39.23","0.83"
"Exterran Corp","EXTN","130.40K","1.01B","1.36B","7017.16",""
"EZCORP","EZPW","653.57K","615.45M","789.25M","11.92","1.44"
"Fabrinet","FN","368.51K","1.73B","1.40B","20.47","0.57"
"FARO","FARO","97.02K","1.15B","387.74M","","1.58"
"Federal Signal","FSS","250.51K","1.58B","1.04B","26.12","1.33"
"Fidelity","LION","93.74K","656.14M","160.41M","17.89","0.93"
"Fiesta","FRGI","257.10K","801.62M","667.21M","215.34","0.58"
"First Bancorp","FBP","1.70M","1.93B","348.30M","26.03","1.85"
"First Commonwealth Financial","FCF","433.91K","1.73B","188.29M","1104.42","1"
"First Financial Bancorp","FFBC","348.78K","3.14B","282.93M","20.89","1.02"
"First Financial Bankshares","FFIN","239.49K","4.11B","191.07M","31.28","1.15"
"First Midwest","FMBI","612.36K","2.84B","353.60M","21.75","1.15"
"First NBC Bank","FNBCQ","165.09K","754.04K","","","-1.39"
"FirstCash","FCFS","272.87K","3.61B","1.79B","27.29","0.51"
"Five Below","FIVE","1.01M","6.23B","1.34B","54.75","0.47"
"Flotek","FTK","772.34K","120.75M","271.58M","","1.46"
"Forestar","FOR","56.21K","1.07B","110.18M","","1.79"
"Forrester","FORR","49.01K","882.01M","344.85M","65.04","0.46"
"Forward Air","FWRD","239.25K","1.89B","1.22B","23.94","1.43"
"Four Corners Property Trust Inc","FCPT","422.76K","1.81B","136.82M","20.41",""
"Fox Factory","FOXF","214.54K","2.44B","535.10M","36.77","0.72"
"Francescass","FRAN","1.27M","257.88M","464.40M","24.98","0.13"
"Franklin Electric","FELE","128.12K","2.33B","1.24B","25.19","1.59"
"Franklin Street Properties","FSP","101.89K","929.69M","269.04M","","0.73"
"Freds","FRED","984.34K","64.83M","3.24B","","1.25"
"FTD Companies Inc","FTD","327.56K","106.17M","1.06B","","0.15"
"FutureFuel","FF","66.17K","644.77M","296.96M","10.71","1.72"
"G-III Apparel","GIII","568.12K","2.26B","2.89B","25.34","0.18"
"Gannett","GCI","1.09M","1.21B","3.05B","17.76",""
"Genesco","GCO","295.43K","920.08M","2.91B","","0.99"
"Gentherm","THRM","216.00K","1.80B","1.02B","34.85","1.61"
"Geo","GEO","730.69K","3.07B","2.28B","19.76","1.23"
"Geospace","GEOS","64.55K","188.32M","78.84M","","1.28"
"Getty","GTY","115.36K","1.18B","129.82M","25.05","0.45"
"Gibraltar Industries","ROCK","284.79K","1.47B","1.01B","20.32","1.81"
"Glacier","GBCI","338.70K","3.83B","278.71M","23.77","1.4"
"Glatfelter","GLT","254.36K","729.36M","1.64B","39.44","1.14"
"Government Propertiesome","GOV","941.46K","1.69B","394.15M","58.91","1.14"
"Great Western Bancorp Inc","GWB","226.43K","2.61B","279.33M","15.58","1.52"
"Green Dot","GDOT","335.91K","4.47B","987.95M","38.99","0.73"
"Green Plains Energy","GPRE","700.45K","751.95M","3.85B","463.22","1.05"
"Greenbrier","GBX","477.96K","1.90B","2.44B","15.56","1.78"
"Greenhill&Co","GHL","397.27K","671.32M","291.02M","527.15","1.16"
"Griffon","GFF","266.28K","846.17M","1.52B","","1.32"
"Group 1 Automotive","GPI","255.66K","1.59B","16.93B","10.68","1.91"
"Guess?","GES","911.92K","1.89B","2.43B","48.89","0.13"
"Gulf Island Fabrication","GIFI","58.52K","144.41M","198.46M","","1.05"
"H B Fuller","FUL","342.24K","2.95B","2.74B","41.12","1.48"
"Haemonetics","HAE","775.57K","5.42B","922.32M","112.15","0.96"
"Hanmi","HAFC","177.70K","850.22M","124.41M","14.18","0.76"
"Harmonic","HLIT","565.77K","455.97M","382.27M","","0.68"
"Harsco","HSC","435.01K","2.15B","1.68B","25.89","2.77"
"Haverty Furniture","HVT","92.33K","467.58M","820.96M","18.2","0.78"
"Hawaiian","HA","1.08M","2.22B","2.79B","8.71","1.3"
"Hawkins","HWKN","31.46K","449.92M","520.23M","","0.73"
"Haynes","HAYN","103.71K","487.48M","413.78M","","1.47"
"HCI Group Inc","HCI","52.78K","380.76M","226.47M","","1.64"
"Healthcare Services","HCSG","931.78K","3.08B","2.00B","41.99","0.82"
"Healthequity Inc","HQY","603.30K","5.42B","244.01M","97.09","1.38"
"HealthStream","HSTM","130.05K","992.96M","238.18M","72.63","0.64"
"Heartland Express","HTLD","511.23K","1.67B","660.33M","37.39","0.61"
"Heidrick&Struggles","HSII","115.15K","824.70M","691.12M","61.38","1.7"
"Helix","HLX","1.45M","1.34B","695.41M","84.17","2.63"
"HFF","HF","274.54K","1.80B","618.66M","13.44","1.11"
"Hibbett Sports","HIBB","772.59K","523.85M","967.24M","15.55","0.74"
"HighPoint","HPR","1.73M","1.06B","342.44M","","3.39"
"Hillenbrand","HI","229.56K","3.28B","1.74B","28.98","1.3"
"HMS Holdings","HMSY","566.30K","2.64B","562.38M","134.67","1.04"
"Home BancShares","HOMB","1.05M","4.23B","381.01M","18.4","1.17"
"Hope Bancorp","HOPE","505.88K","2.31B","345.44M","12.91","1.32"
"Horace Mann Educators","HMN","103.81K","1.91B","1.19B","24.35","0.76"
"Hornbeck","HOS","228.97K","155.64M","209.93M","","1.41"
"Hub Group","HUBG","292.71K","1.79B","4.49B","22.09","1.46"
"Iconix Brand","ICON","2.44M","29.57M","204.22M","","0.98"
"ICU Medical","ICUI","94.54K","6.19B","1.45B","73.03","0.33"
"II-VI","IIVI","858.10K","2.93B","1.16B","38.74","0.12"
"ILG","ILG","1.39M","4.42B","1.83B","20.57","1.47"
"Independent Bank","INDB","72.74K","2.49B","194.67M","23.42","0.94"
"Ingevity","NGVT","233.55K","4.20B","1.04B","33.27",""
"Innophoss","IPHS","143.20K","856.50M","789.10M","25.02","0.72"
"Innospec","IOSP","106.86K","1.89B","1.41B","18.27","1.01"
"Inogen Inc","INGN","142.22K","4.99B","309.11M","132.5","1.1"
"Insight Enterprises","NSIT","203.16K","1.94B","7.14B","14.75","1.21"
"Insperity","NSP","294.58K","4.81B","3.56B","42.86","0.79"
"Installed Building","IBP","183.58K","1.52B","1.23B","36.58","0.81"
"Integer Hld","ITGR","221.60K","2.36B","1.45B","","0.78"
"Integra","IART","503.33K","5.02B","1.37B","41.83","0.59"
"Inter Parfums","IPAR","116.24K","2.05B","640.20M","41.99","1.45"
"Interactive Brokers","IBKR","931.76K","25.08B","2.25B","15","0.97"
"Interface, Inc.","TILE","423.73K","1.40B","1.05B","18.89","1.14"
"INTL FCStone","INTL","123.69K","1.04B","33.93B","29.26","1.79"
"Intrepid Potash","IPI","894.51K","437.90M","169.57M","","1.17"
"Invacare","IVC","343.59K","528.45M","984.47M","","2.41"
"Investment Tech","ITG","168.23K","722.79M","501.24M","","1.67"
"Iridium","IRDM","701.85K","2.31B","486.10M","140.5","1.81"
"iRobot","IRBT","1.16M","2.79B","975.69M","43.88","1.34"
"Itron","ITRI","290.22K","2.53B","2.23B","","0.89"
"J & J Snack Foods","JJSF","76.23K","2.72B","1.15B","34.89","0.56"
"John Bean Tech","JBT","224.34K","3.57B","1.81B","37.18","1.2"
"Kaiser","KALU","121.47K","1.81B","1.49B","20.82","0.71"
"Kaman","KAMN","183.08K","1.87B","1.85B","27.28","0.73"
"KapStone Paper&Packaging","KS","552.19K","3.36B","3.44B","21.73","3.31"
"Kelly Services A","KELYA","162.08K","979.54M","5.51B","14.5","0.89"
"Kirklands","KIRK","152.09K","180.07M","643.72M","33.18","1.3"
"Kite","KRG","600.00K","1.46B","357.56M","","0.55"
"Knight Transportation","KNX","3.31M","5.97B","4.48B","23.37","1.63"
"Kopin","KOPN","586.86K","167.81M","29.13M","389.95","0.9"
"Koppers","KOP","120.42K","725.32M","1.59B","17.44","0.85"
"Korn/Ferry","KFY","469.54K","3.79B","1.82B","25.84","1.22"
"Kraton","KRA","161.02K","1.48B","2.02B","","1.29"
"Kulicke&Soffa","KLIC","607.87K","1.74B","920.18M","9.93","1.19"
"La-Z-Boy","LZB","461.60K","1.56B","1.58B","19.3","1.01"
"Lannett Com","LCI","1.13M","216.68M","652.78M","3.22","2.38"
"LCI Industries","LCII","210.54K","2.38B","2.44B","18.11","1.07"
"Legacy Texas Financial Grp","LTXB","221.91K","2.22B","223.41M","19.69","1.38"
"Lendingtree","TREE","239.97K","2.99B","697.57M","36.43","2.06"
"Lexington","LXP","996.23K","2.21B","407.99M","162.38","0.85"
"LGI Homes","LGIH","426.07K","1.33B","1.47B","9.92",""
"LHC Group","LHCG","282.80K","3.07B","1.36B","58.45","0.47"
"Ligand","LGND","287.87K","5.15B","230.04M","51.11","0.96"
"Lindsay","LNN","82.89K","1.00B","556.38M","40.28","0.33"
"Liquidity Services","LQDT","159.17K","229.68M","233.18M","","0.72"
"Lithia Motors","LAD","316.63K","2.15B","11.14B","7.68","1.6"
"Littelfuse","LFUS","168.50K","5.58B","1.50B","33.07","0.92"
"LivePerson","LPSN","415.81K","1.54B","233.78M","","1.04"
"LogMeIn","LOGM","596.84K","4.14B","1.13B","83.98","1.09"
"Lsb Industries","LXU","155.11K","206.30M","384.96M","","4.65"
"LSC Communications","LKSD","364.68K","400.45M","3.81B","",""
"LTC Properties","LTC","205.19K","1.82B","166.26M","13.97","0.08"
"Lumber Liquidators","LL","1.11M","497.16M","1.06B","","1.42"
"Lumentum Holdings Inc","LITE","2.37M","3.89B","1.25B","12.34",""
"Luminex","LMNX","269.76K","1.22B","314.58M","23.76","0.3"
"Lydall","LDL","83.94K","806.42M","736.14M","15.93","1.5"
"M/I Homes","MHO","213.61K","761.70M","2.09B","9.07","1.1"
"Magellan Health","MGLN","154.24K","1.85B","6.73B","18.24","0.38"
"Maiden Holdings","MHLD","648.91K","328.42M","2.86B","","1.27"
"ManTech","MANT","203.54K","2.54B","1.85B","34.97","0.82"
"Marcus","MCS","88.73K","1.09B","673.48M","21.18","0.54"
"MarineMax","HZO","294.66K","562.65M","1.12B","15.19","1.22"
"Marriot Vacations Worldwide","VAC","324.05K","3.36B","2.13B","26.56","1.41"
"Marten Transport","MRTN","296.41K","1.25B","737.43M","30.81","1.36"
"Masimo","MASI","547.74K","6.01B","843.44M","31.27","0.98"
"Materion","MTRN","90.93K","1.27B","1.22B","31.71","0.97"
"Matrix","MTRX","209.34K","568.64M","1.09B","181.8","0.96"
"Matson","MATX","208.33K","1.60B","2.13B","16.97","1.32"
"Matthews","MATW","171.55K","1.69B","1.59B","24.67","1.07"
"MDC","MDC","440.10K","1.87B","2.73B","9.58","1.41"
"Medidata","MDSO","547.34K","4.80B","586.41M","89.95","1.41"
"MEDIFAST","MED","212.17K","2.56B","371.13M","66.16","0.21"
"Mercury","MRCY","375.81K","2.45B","493.19M","60.3","0.47"
"Meridian","VIVO","311.16K","655.01M","210.17M","29.6","0.81"
"Merit","MMSI","302.17K","3.17B","798.08M","139.12","1.32"
"Meritage","MTH","372.81K","1.80B","3.39B","9.29","1.07"
"Methode Electronics","MEI","238.40K","1.52B","908.30M","13.67","1.02"
"MicroStrategy","MSTR","89.70K","1.62B","506.93M","38.43","0.64"
"MiMedx","MDXG","3.35M","431.93M","160.98M","13.79","1.52"
"MKS Instruments","MKSI","538.23K","4.97B","2.13B","12.66","0.88"
"Mobile Mini","MINI","211.22K","1.97B","565.99M","33.39","1.86"
"Momenta","MNTA","902.34K","2.18B","106.58M","","1.8"
"Monarch","MCRI","74.78K","843.62M","235.27M","28.55","1.04"
"Monotype","TYPE","284.48K","928.39M","242.90M","","1.04"
"Monro Muffler Brake","MNRO","301.77K","2.34B","1.15B","33.01","0.84"
"Moog","MOGa","105.88K","2.87B","2.66B","24.82","1.69"
"Motorcar Parts","MPAA","192.06K","497.49M","425.57M","57.86","1.76"
"Movado","MOV","194.32K","811.98M","595.83M","28.22","-0.08"
"MTS Systems","MTSC","74.21K","941.22M","781.64M","32.98","0.94"
"Mueller Industries","MLI","208.41K","1.93B","2.38B","19.43","1.48"
"Multi-Color","LABL","121.35K","1.29B","1.51B","28.05","0.72"
"Myers Industries","MYE","169.68K","779.77M","577.31M","34.06","1.6"
"MYR Group","MYRG","97.20K","574.99M","1.43B","24.53","0.53"
"Nanometrics","NANO","200.84K","1.03B","305.78M","19.8","1.77"
"National Presto Industries","NPK","53.37K","972.45M","342.27M","21.09","0.29"
"Natus","BABY","536.66K","1.20B","513.34M","","0.61"
"Nautilus","NLS","230.47K","447.67M","406.21M","22.17","1.12"
"Navigant","NCI","356.99K","1.08B","966.88M","37.9","0.87"
"NBT Bancorp","NBTB","134.19K","1.79B","230.97M","18.29","0.86"
"Neenah Paper","NP","62.71K","1.52B","1.03B","36","1.06"
"Nektar","NKTR","2.57M","10.69B","1.37B","12.89","2.19"
"Neogen","NEOG","174.21K","4.48B","402.26M","66.99","1.32"
"NETGEAR","NTGR","573.88K","2.23B","1.46B","60.16","2.04"
"Newpark Resources","NR","606.54K","950.85M","869.60M","39.27","1.51"
"NIC","EGOV","895.55K","1.15B","347.22M","19.87","0.69"
"Northern Oil&Gas","NOG","157.68K","921.90M","212.06M","","1.95"
"Northfield Bancorp","NFBK","106.51K","822.57M","75.46M","20.46","0.4"
"Northwest Bancshares","NWBI","549.16K","1.91B","228.31M","20.27","0.67"
"Northwest Natural Gas","NWN","120.16K","1.85B","717.89M","","0.27"
"NutriSystem","NTRI","830.24K","1.19B","691.63M","22.82","1.34"
"OFG Bancorp","OFG","338.70K","734.52M","208.39M","17.47","1.85"
"Old National Bancorp","ONB","756.01K","3.09B","393.13M","26.32","0.84"
"Ollies Bargain Outlet Holdings Inc","OLLI","535.95K","4.88B","1.13B","36.94",""
"Olympic Steel","ZEUS","136.53K","239.32M","1.47B","6.81","1.73"
"Omnicell","OMCL","289.31K","2.60B","756.01M","103.2","0.96"
"Onespan","OSPN","194.71K","726.07M","200.62M","123.96","1.4"
"Opus Bank","OPB","204.42K","1.05B","150.73M","","0.9"
"Orion Group","ORN","228.84K","255.98M","598.98M","53.13","1.17"
"Oritani","ORIT","201.86K","769.17M","78.84M","14.02","0.37"
"OSI Systems","OSIS","407.02K","1.42B","1.05B","62.56","0.89"
"Oxford Industries","OXM","163.66K","1.61B","1.09B","28.08","0.21"
"Papa John's","PZZA","1.10M","1.36B","1.73B","20.61","0.41"
"Park Electrochemical","PKE","135.66K","436.47M","114.88M","111.12","0.89"
"Patrick","PATK","248.98K","1.56B","2.04B","15.09","0.82"
"PDC Energy","PDCE","898.19K","3.48B","845.89M","","0.68"
"Pennsylvania RE","PEI","992.47K","763.00M","367.23M","","1.11"
