"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","998.66K","2.10B","310.62M","","0.5"
"AAON","AAON","190.57K","2.23B","426.50M","54","0.91"
"AAR","AIR","208.37K","1.60B","2.19B","27.04","1.26"
"Abercrombie&Fitch","ANF","2.41M","1.92B","3.56B","45.36","0.5"
"ABM Industries","ABM","819.94K","2.17B","5.99B","32.38","0.79"
"Acadia","AKR","558.03K","2.33B","376.95M","47","0.37"
"Aceto","ACET","467.77K","101.91M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.37B","588.93M","","1.43"
"Actuant","ATU","498.43K","1.79B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","806.79M","560.49M","","0.52"
"Advanced Energy","AEIS","457.14K","2.29B","747.43M","10.51","1.05"
"AdvanSix","ASIX","181.06K","1.01B","1.50B","12.95",""
"Aegion","AEGN","146.81K","824.26M","1.34B","","1.74"
"Aerojet Rocketdyne","AJRD","691.49K","2.77B","1.97B","37.01","1.08"
"AeroVironment","AVAV","360.74K","2.06B","271.06M","78.95","1.15"
"Agilysys","AGYS","43.36K","376.17M","127.50M","","0.31"
"Agree","ADC","165.45K","1.75B","132.20M","29.15","0.29"
"AK Steel","AKS","12.69M","1.41B","6.40B","","2.89"
"Alamo","ALG","66.50K","1.17B","978.93M","18.25","0.96"
"Albany","AIN","123.09K","2.52B","935.08M","37.54","1.69"
"Allegiant","ALGT","157.19K","2.21B","1.59B","15.72","0.12"
"Allete","ALE","209.80K","4.03B","1.40B","28","0.18"
"AMAG","AMAG","1.23M","853.20M","604.69M","","0.45"
"Amedisys","AMED","336.51K","3.82B","1.60B","45.29","0.9"
"American Assets","AAT","222.54K","1.87B","329.84M","98.93","0.34"
"American Axle&Manufacturing","AXL","1.90M","2.01B","7.22B","4.95","1.42"
"American Equity Inv. Life","AEL","576.11K","3.39B","2.97B","9.33","2.53"
"American Public Education","APEI","109.20K","587.15M","299.13M","28.93","0.65"
"American States Water","AWR","182.09K","2.25B","430.23M","37","0.1"
"American Vanguard","AVD","75.24K","600.43M","417.62M","31","1.04"
"American Woodmark","AMWD","135.47K","1.52B","1.25B","22.87","1.85"
"Ameris","ABCB","225.93K","2.38B","227.23M","24.02","1.08"
"AMERISAFE","AMSF","89.24K","1.22B","377.29M","19.21","0.75"
"AMN Healthcare Services","AMN","392.44K","2.77B","2.08B","21.4","0.32"
"Amneal Pharma A","AMRX","1.23M","3.02B","803.09M","","1.35"
"Amphastar P","AMPH","207.93K","842.79M","247.75M","","1.38"
"AngioDynamics","ANGO","229.74K","827.35M","344.29M","94.82","0.93"
"ANI Pharma","ANIP","142.67K","670.81M","189.20M","49.62","2.82"
"Anika","ANIK","86.25K","601.14M","108.38M","39.46","2.05"
"Anixter","AXE","189.19K","2.45B","8.13B","17.78","2.2"
"Apogee","APOG","310.40K","1.43B","1.39B","19.29","1.5"
"Applied Industrial Technologies","AIT","184.88K","3.03B","3.07B","22.57","0.88"
"ArcBest Corp","ARCB","308.58K","1.23B","2.95B","35.84","2.09"
"Archrock","AROC","1.29M","1.62B","845.70M","","2.92"
"Asbury Automotive","ABG","208.87K","1.58B","6.61B","9.73","1.45"
"ASGN","ASGN","283.68K","4.78B","2.91B","35.99","1.95"
"Assertio Therapeutics","ASRT","1.20M","472.34M","381.49M","","1.36"
"Astec","ASTE","180.90K","1.12B","1.16B","","1.03"
"Atlas Air","AAWW","268.12K","1.59B","2.42B","36.88","1.2"
"ATN Int","ATNI","95.43K","1.21B","452.09M","126.48","0.6"
"Avista","AVA","473.27K","3.37B","1.42B","27.55","0.17"
"Axon Enterprise","AAXN","894.95K","3.72B","385.36M","127.26","1.11"
"AZZ","AZZ","192.87K","1.42B","861.47M","55.07","1.44"
"B&G Foods","BGS","866.88K","2.11B","1.70B","35.72","0.49"
"Badger Meter","BMI","115.92K","1.60B","415.35M","54.07","0.68"
"Balchem","BCPC","114.47K","3.36B","635.08M","47.39","0.83"
"Banc of California","BANC","437.83K","1.00B","220.54M","38.59","0.78"
"Banner","BANR","195.21K","2.17B","259.82M","18.86","0.92"
"Barnes","B","217.88K","3.54B","1.47B","22.83","1.35"
"Barnes & Noble Education Inc","BNED","371.95K","297.92M","2.19B","",""
"Barnes&Noble","BKS","973.77K","433.12M","3.66B","","1.71"
"Bel Fuse B","BELFB","28.05K","310.93M","505.29M","37.42","1.09"
"Belmond","BEL","568.16K","1.95B","561.60M","","1.41"
"Benchmark Electronics","BHE","353.76K","1.23B","2.55B","19.47","0.23"
"Big 5","BGFV","1.28M","127.52M","987.49M","","-0.91"
"Biglari","BH","8.13K","610.78M","636.40M","","0.42"
"BioTelemetry","BEAT","469.88K","1.87B","368.62M","372.4","1.41"
"BJs Restaurants","BJRI","383.40K","1.40B","1.07B","36.07","0.66"
"Black Box","BBOX","216.31K","23.46M","774.63M","","0.92"
"Blackbaud","BLKB","284.75K","4.78B","830.34M","98.28","0.62"
"Blucora","BCOR","405.89K","1.69B","551.84M","34.53","-0.16"
"BofI Holding","BOFI","743.92K","2.42B","304.28M","15.59","0.25"
"Boise Cascad Llc","BCC","388.44K","1.81B","4.91B","14.77","1.94"
"Boston Private","BPFH","411.48K","1.20B","211.75M","36.96","0.91"
"Bottomline","EPAY","314.41K","2.57B","394.10M","1130.63","0.91"
"Boyd Gaming","BYD","1.03M","4.10B","2.40B","34.01","1.65"
"Brady","BRC","233.14K","2.02B","1.17B","20.41","1.09"
"Briggs&Stratton","BGG","314.22K","909.20M","1.85B","","0.65"
"Brinks","BCO","467.26K","4.02B","3.48B","","1.77"
"Bristow","BRS","797.47K","386.27M","1.46B","","3.03"
"Brookline Bancorp","BRKL","341.71K","1.46B","161.41M","20.22","0.77"
"Brooks Automation","BRKS","939.25K","2.07B","801.95M","17.03","0.91"
"Buckle","BKE","435.13K","1.32B","906.03M","14.17","0.61"
"Cabot","CCMP","180.11K","2.81B","570.18M","30.16","1.37"
"CACI","CACI","137.03K","4.78B","4.47B","25.5","1.5"
"Cal-Maine","CALM","341.98K","2.43B","1.50B","29.15","0.46"
"CalAmp","CAMP","382.70K","827.35M","372.72M","19.6","1.86"
