"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.02M","2.02B","296.50M","","0.51"
"A Schulman","SHLM","398.75K","1.27B","2.69B","63.2","1.33"
"AAON","AAON","190.57K","1.92B","418.24M","44.16","0.78"
"AAR","AIR","222.70K","1.63B","2.19B","27.15","1.2"
"ABAXIS","ABAX","214.97K","1.90B","244.70M","62.62","1.45"
"Abercrombie&Fitch","ANF","2.71M","1.82B","3.56B","41.98","0.77"
"ABM Industries","ABM","879.87K","1.97B","5.99B","29.39","0.79"
"Acadia","AKR","641.14K","2.19B","434.88M","40.57","0.43"
"Aceto","ACET","467.77K","100.98M","737.10M","","1.64"
"Acorda","ACOR","712.87K","1.37B","575.07M","","1.55"
"Actuant","ATU","537.96K","1.71B","1.16B","","1.42"
"ADTRAN","ADTN","614.96K","788.19M","560.49M","","0.57"
"Advanced Energy","AEIS","457.14K","2.38B","717.27M","10.81","1.18"
"AdvanSix","ASIX","197.37K","1.22B","1.46B","15.71",""
"Aegion","AEGN","146.81K","833.00M","1.36B","","1.76"
"Aerojet Rocketdyne","AJRD","637.91K","2.30B","1.96B","35.16","1.11"
"AeroVironment","AVAV","360.74K","1.79B","271.06M","69.43","1.16"
"Agilysys","AGYS","43.36K","387.62M","127.36M","","0.33"
"Agree","ADC","194.75K","1.69B","124.57M","25.75","0.38"
"AK Steel","AKS","12.56M","1.52B","6.21B","","2.86"
"Alamo","ALG","68.82K","1.06B","935.09M","18.77","0.85"
"Albany","AIN","95.58K","2.06B","894.42M","52.87","1.67"
"Allegiant","ALGT","157.19K","2.32B","1.93B","17.14","0.23"
"Allete","ALE","238.60K","4.02B","1.41B","25.73","0.29"
"AMAG","AMAG","1.23M","760.34M","616.83M","","0.37"
"Amedisys","AMED","336.51K","3.25B","1.56B","51.82","0.61"
"American Assets","AAT","265.33K","1.80B","321.93M","83.42","0.4"
"American Axle&Manufacturing","AXL","1.98M","1.84B","7.07B","5.62","1.36"
"American Equity Inv. Life","AEL","668.51K","3.17B","3.10B","10.72","2.39"
"American Public Education","APEI","109.20K","725.66M","298.53M","41.94","0.66"
"American States Water","AWR","216.05K","2.23B","535.33M","33.1","0.27"
"American Vanguard","AVD","87.72K","705.99M","388.48M","35.5","1.01"
"American Woodmark","AMWD","135.47K","1.54B","1.25B","23.22","1.84"
"Ameris","ABCB","225.93K","2.32B","209.09M","21.11","1.12"
"AMERISAFE","AMSF","89.24K","1.18B","371.83M","19.44","0.8"
"AMN Healthcare Services","AMN","497.65K","2.94B","2.02B","23.36","0.42"
"Amneal Pharma A","AMRX","1.39M","5.55B","775.79M","","1.26"
"Amphastar P","AMPH","207.93K","775.66M","241.90M","","1.35"
"AngioDynamics","ANGO","229.74K","793.14M","344.29M","67.86","1"
"ANI Pharma","ANIP","142.67K","832.42M","186.69M","61.18","2.82"
"Anika","ANIK","86.25K","503.10M","111.29M","30.07","1.76"
"Anixter","AXE","213.87K","2.21B","8.00B","17.43","2.13"
"Apogee","APOG","310.40K","1.39B","1.39B","18.66","1.41"
"Applied Industrial Technologies","AIT","210.49K","2.92B","2.86B","19.92","0.94"
"ArcBest Corp","ARCB","308.58K","1.20B","3.53B","24.8","1.92"
"Archrock","AROC","2.36M","1.67B","816.81M","","2.92"
"Asbury Automotive","ABG","192.12K","1.43B","6.51B","9.47","1.4"
"ASGN","ASGN","273.22K","4.42B","2.68B","33.63","1.87"
"Astec","ASTE","180.90K","1.42B","1.19B","34.02","1.14"
"Atlas Air","AAWW","268.12K","1.77B","2.27B","17.55","1.18"
"ATN Int","ATNI","95.43K","881.84M","585.66M","108.26","0.52"
"Avista","AVA","479.62K","3.31B","1.42B","27.75","0.25"
"Axon Enterprise","AAXN","894.95K","4.26B","365.77M","184.92","0.89"
"AZZ","AZZ","210.29K","1.42B","861.47M","56.39","1.4"
"B&G Foods","BGS","1.11M","2.04B","1.68B","28.01","0.48"
"Badger Meter","BMI","128.64K","1.48B","415.35M","51.52","0.7"
"Balchem","BCPC","114.47K","3.23B","618.47M","47.38","0.84"
"Banc of California","BANC","528.70K","973.95M","210.15M","35.53","0.83"
"Banner","BANR","195.21K","2.01B","259.53M","18.84","0.95"
"Barnes","B","247.99K","3.25B","1.46B","21.49","1.31"
"Barnes & Noble Education Inc","BNED","346.98K","259.45M","2.20B","",""
"Barnes&Noble","BKS","855.71K","400.37M","3.66B","","1.83"
"Bel Fuse B","BELFB","28.05K","268.62M","496.20M","63.85","0.89"
"Belmond","BEL","459.13K","1.38B","555.84M","","1.33"
"Benchmark Electronics","BHE","326.31K","1.40B","2.51B","20.1","0.32"
"Big 5","BGFV","1.28M","146.70M","991.21M","","-0.69"
"Biglari","BH","14.66K","599.01M","636.40M","","0.31"
"BioTelemetry","BEAT","469.88K","1.65B","325.39M","","1.26"
"BJs Restaurants","BJRI","383.40K","1.34B","1.05B","40.4","0.75"
"Black Box","BBOX","216.31K","25.28M","774.63M","","0.97"
"Blackbaud","BLKB","284.75K","5.65B","808.86M","107.38","0.69"
"Blucora","BCOR","405.89K","1.79B","533.15M","95.12","-0.1"
"BofI Holding","BOFI","743.92K","2.58B","293.28M","17.44","0.14"
"Boise Cascad Llc","BCC","374.71K","1.79B","4.64B","16.93","2.01"
"Boston Private","BPFH","411.48K","1.27B","211.75M","36.48","0.98"
"Bottomline","EPAY","314.41K","2.27B","381.13M","","0.94"
"Boyd Gaming","BYD","1.16M","4.29B","2.38B","38.79","1.71"
"Brady","BRC","210.40K","1.95B","1.17B","19.3","1.06"
"Briggs&Stratton","BGG","296.07K","718.48M","1.85B","16.32","0.63"
"Brinks","BCO","495.22K","4.09B","3.44B","42.86","1.78"
"Bristow","BRS","706.93K","509.66M","1.44B","","3.02"
"Brookline Bancorp","BRKL","341.71K","1.49B","151.97M","22.25","0.86"
"Brooks Automation","BRKS","939.25K","2.29B","760.19M","19.32","1.04"
"Buckle","BKE","409.27K","1.21B","906.03M","12.65","0.65"
"Cabot","CCMP","180.11K","3.03B","547.70M","37.59","1.37"
"CACI","CACI","135.42K","4.41B","4.44B","23.15","1.46"
"Cal-Maine","CALM","341.98K","2.22B","1.33B","","0.55"
"CalAmp","CAMP","382.70K","819.23M","372.72M","19.41","1.77"
"Calavo Growers","CVGW","207.84K","1.65B","1.09B","39.26","0.56"
"Caleres","CAL","456.11K","1.57B","2.79B","17.25","0.86"
"California Water Service","CWT","265.79K","1.98B","677.10M","11.38","0.6"
"Callaway Golf","ELY","932.94K","1.79B","1.14B","21.8","1"
"Cambrex","CBM","367.83K","1.84B","570.55M","17.58","2.34"
"Cantel Medical","CMD","311.17K","3.91B","848.57M","47.94","1.1"
"Capella","CPLA","71.26K","1.22B","440.59M","44.64","0.19"
"Capstead Mortgage","CMO","581.60K","798.73M","247.95M","14.28","0.17"
"Carbo Ceramics","CRR","495.07K","256.86M","203.45M","","1.55"
"Cardtronics","CATM","820.11K","1.23B","1.49B","","0.88"
"Career","CECO","259.30K","1.31B","582.39M","38.46","2.78"
"Caretrust Inc","CTRE","736.99K","1.32B","140.48M","42.92","0.92"
"Carrizo Oil&Gas","CRZO","3.29M","2.37B","819.81M","34.67","2.17"
"Cato","CATO","328.28K","642.81M","1.09B","28.31","0.76"
"Cavco","CVCO","49.62K","2.03B","871.24M","35.77","1.47"
"Cedar Realty","CDR","473.37K","448.42M","146.81M","","0.89"
"Celadon","CGIP","391.97K","101.31M","","41.87","1.88"
"Central Garden&Pet","CENT","118.17K","2.17B","2.12B","24.84","0.05"
"Central Garden&Pet A","CENTA","209.85K","2.17B","2.12B","24.84","0.05"
"Century Aluminum","CENX","2.42M","1.15B","2.80B","19.26","0.84"
"CEVA","CEVA","190.44K","731.07M","83.78M","68.96","1.1"
"Chart Industries","GTLS","285.83K","2.41B","1.06B","102.67","1.01"
"Chemed","CHE","216.15K","5.23B","1.70B","52.85","1.19"
"Chemours Co","CC","1.45M","8.13B","6.48B","9.24",""
"Chesapeake Lodging","CHSP","339.78K","1.98B","598.43M","28.39","0.96"
"Chuy's Holdings","CHUY","161.57K","571.09M","376.53M","36.15","-0.2"
"Cincinnati Bell","CBB","563.05K","679.04M","1.31B","","1.26"
"CIRCOR","CIR","260.35K","800.79M","792.08M","","1.81"
"City Holding","CHCO","58.42K","1.20B","104.75M","17.77","0.65"
"Clearwater Paper","CLW","197.15K","390.95M","1.73B","17.95","1.06"
"Cloud Peak Energy","CLD","577.29K","249.29M","908.28M","42.07","2.06"
"CMTSU Liquidation","CBRI","1.10M","261.27K","","","0.61"
"Cogent","CCOI","308.17K","2.44B","496.69M","119.28","0.52"
"Coherent","COHR","576.42K","4.26B","1.91B","20.93","0.99"
"Cohu","COHU","249.42K","755.67M","366.76M","16.18","1.12"
"Columbia Banking","COLB","276.51K","3.07B","274.70M","19.89","1.13"
"Comfort Systems","FIX","168.05K","1.80B","1.87B","33.27","1.24"
"Community Bank System","CBU","225.26K","3.16B","289.42M","26.02","1.01"
"Community Health Systems","CYH","2.48M","322.14M","14.56B","","1.59"
"Computer Programs&Systems","CPSI","76.13K","478.22M","283.73M","","-0.02"
"Comtech","CMTL","190.04K","805.25M","550.91M","27.34","1.55"
"CONMED","CNMD","178.50K","2.07B","811.89M","53.63","0.55"
"Consolidated Communications","CNSL","1.09M","878.90M","1.25B","","0.72"
"Contango Oil&Gas","MCF","73.85K","162.96M","79.57M","","1.66"
"Cooper Stnd","CPS","126.92K","2.46B","3.68B","13.58","0.69"
"Core-Mark","CORE","337.48K","1.12B","15.99B","72.9","0.64"
"CoreSite","COR","285.23K","5.47B","496.53M","57.78","0.41"
"Corindus Vascular Robotics","CR3","1.06K","162.67M","9.25M","81.08","1.03"
"CorVel","CRVL","35.96K","1.05B","558.34M","32.76","0.65"
"CPB","CPF","144.73K","859.00M","113.04M","17.76","1.1"
"Cray","CRAY","352.17K","1.08B","413.07M","","1.51"
"Crocs","CROX","1.21M","1.23B","1.31B","","0.43"
"Cross Country","CCRN","228.36K","435.34M","867.76M","8.69","0.86"
"CryoLife","CRY","139.70K","1.09B","206.60M","","0.75"
"CSG Systems","CSGS","183.17K","1.38B","798.80M","23.65","0.89"
"CTS Corp","CTS","146.69K","1.24B","436.37M","34.99","1.28"
"Cubic","CUB","193.88K","1.88B","1.43B","","0.99"
"Customers Bancorp","CUBI","172.37K","908.09M","235.23M","12.65","0.78"
"CVB Financial","CVBF","386.16K","2.51B","171.52M","","1.34"
"Daktronics","DAKT","227.72K","377.67M","610.54M","39.93","1.1"
"Darling Ingredients","DAR","929.82K","3.26B","3.66B","18.13","1.36"
"Dave & Buster’s Entertainment","PLAY","1.42M","1.95B","1.17B","18.16","0.39"
"Depomed","DEPO","1.20M","519.51M","418.68M","","1.19"
"DHI Group","DHX","839.10K","113.75M","198.83M","5.82","1.06"
"Diamondrock Hospitality","DRH","2.21M","2.46B","855.33M","29.69","1.43"
"Digi","DGII","104.22K","371.97M","190.83M","60.15","1.42"
"Dime Community","DCOM","183.88K","751.42M","126.57M","12.86","0.64"
"DineEquity","DIN","375.96K","1.26B","792.98M","","0.08"
"Diodes","DIOD","317.37K","1.88B","1.09B","31.07","1.01"
"Diplomat Pharmacy","DPLO","921.47K","1.85B","4.75B","521.73","1.22"
"Donnelley Financial Solutions","DFIN","294.74K","693.26M","992.80M","30.66",""
"Dorman","DORM","258.60K","2.49B","908.86M","21.9","0.91"
"DSP Group","DSPG","57.83K","294.79M","124.93M","","0.98"
"DXP Enterprises","DXPE","86.62K","739.25M","1.05B","46.1","2.53"
"Eagle Pharm","EGRX","255.51K","1.24B","206.54M","37.42","1.42"
"EastGroup Properties","EGP","233.37K","3.35B","280.20M","32.13","0.86"
"Ebix","EBIX","180.10K","2.60B","393.10M","27.17","1.31"
"Echo Global","ECHO","416.03K","868.14M","2.10B","78","1.51"
"eHealth","EHTH","170.08K","462.29M","136.49M","","1.36"
"El Paso Electric","EE","278.20K","2.50B","921.17M","6.28","0.41"
"El Pollo Loco Holdings Inc","LOCO","437.42K","461.70M","407.69M","98.11","0.38"
"Electro Scientific","ESIO","1.31M","614.90M","367.88M","5.52","0.98"
"Electronics for Imaging","EFII","542.66K","1.56B","1.00B","333.46","1.08"
"Emergent Biosolutions","EBS","314.88K","2.72B","561.82M","40.95","1.2"
"Employers","EIG","113.68K","1.37B","791.00M","12.68","0.97"
"Enanta","ENTA","217.99K","2.37B","165.60M","44.82","1.05"
"Encore Capital","ECPG","232.43K","951.17M","1.24B","11.48","1.41"
"Encore Wire","WIRE","70.70K","1.02B","1.18B","19.82","1.88"
"Engility","EGL","122.23K","1.30B","1.92B","53.51","1.81"
"Enova International Inc","ENVA","429.15K","1.30B","905.78M","36.88","2.72"
"Enpro Industries","NPO","173.79K","1.54B","1.38B","3.11","1.04"
"ePlus","PLUS","96.51K","1.39B","1.41B","26.51","1.3"
"Era Group Inc","ERA","53.35K","288.46M","234.11M","","0.88"
"ESCO Technologies","ESE","85.11K","1.58B","726.47M","30.55","1.03"
"Essendant Inc","ESND","402.41K","543.00M","5.01B","","1.22"
"Ethan Allen Interiors","ETH","220.52K","670.24M","756.13M","19.76","1.02"
"Evercore","EVR","478.31K","5.25B","1.80B","17.38","1.71"
"EW Scripps A","SSP","458.46K","1.05B","1.12B","","2.1"
"ExlServices","EXLS","135.26K","2.15B","786.25M","25.76","1.29"
"Exponent","EXPO","89.53K","2.62B","360.14M","39.69","0.6"
"Express","EXPR","2.03M","753.44M","2.15B","36.69","0.86"
"Exterran Corp","EXTN","142.99K","985.01M","1.63B","191.45",""
"EZCORP","EZPW","653.57K","664.47M","772.94M","15.18","1.49"
"Fabrinet","FN","376.93K","1.48B","1.40B","17.15","0.61"
"FARO","FARO","97.02K","982.04M","372.18M","","1.45"
"Federal Signal","FSS","244.48K","1.46B","970.40M","31.67","1.12"
"Fidelity","LION","93.74K","701.07M","160.41M","18.4","1"
"Fiesta","FRGI","257.10K","832.56M","663.00M","","0.56"
"Financial Engines","FNGN","478.07K","2.86B","494.24M","48.66","1.46"
"First Bancorp","FBP","1.80M","1.70B","334.98M","24.39","1.91"
"First Commonwealth Financial","FCF","511.07K","1.62B","180.64M","","0.98"
"First Financial Bancorp","FFBC","348.78K","3.13B","214.21M","20.5","1.07"
"First Financial Bankshares","FFIN","239.49K","3.63B","179.26M","29.19","1.15"
"First Midwest","FMBI","612.36K","2.71B","335.02M","19.83","1.13"
"First NBC Bank","FNBCQ","165.09K","875.01K","","","-1.13"
"FirstCash","FCFS","342.26K","4.22B","1.78B","35.15","0.55"
"Five Below","FIVE","1.01M","6.00B","1.34B","49.76","0.53"
"Flotek","FTK","1.18M","172.29M","297.67M","","1.41"
"Forestar","FOR","74.94K","945.72M","114.63M","","1.77"
"Forrester","FORR","49.01K","778.71M","338.23M","65.11","0.45"
"Forward Air","FWRD","239.25K","1.75B","1.40B","24.12","1.35"
"Four Corners Property Trust Inc","FCPT","350.16K","1.54B","168.01M","21.13",""
"Fox Factory","FOXF","214.54K","1.95B","499.09M","31.25","0.7"
"Francescass","FRAN","1.27M","282.40M","464.40M","26.59","0.12"
"Franklin Electric","FELE","128.12K","2.16B","1.20B","23.43","1.54"
"Franklin Street Properties","FSP","101.89K","924.33M","270.72M","","0.76"
"Freds","FRED","984.34K","83.09M","3.24B","","1.32"
"FTD Companies Inc","FTD","327.56K","125.47M","1.09B","","0.16"
"FutureFuel","FF","67.75K","594.45M","276.67M","9.74","1.64"
"G-III Apparel","GIII","568.12K","2.33B","2.89B","26","0.3"
"Gannett","GCI","1.20M","1.14B","3.10B","22.18",""
"Genesco","GCO","272.02K","825.48M","2.91B","","1.04"
"Gentherm","THRM","216.00K","1.49B","998.31M","34.8","1.66"
"Geo","GEO","789.10K","3.22B","2.28B","21.25","1.31"
"Geospace","GEOS","64.55K","192.26M","71.77M","","1.28"
"Getty","GTY","125.54K","1.14B","152.27M","23.72","0.54"
"Gibraltar Industries","ROCK","284.79K","1.27B","995.65M","23.13","1.85"
"Glacier","GBCI","338.70K","3.41B","253.77M","22.98","1.38"
"Glatfelter","GLT","181.17K","889.70M","1.62B","38.7","1.22"
"Government Propertiesome","GOV","941.46K","1.58B","355.96M","103.16","1.18"
"Great Western Bancorp Inc","GWB","228.56K","2.43B","267.59M","15.76","1.53"
"Green Dot","GDOT","375.87K","4.23B","952.15M","40.35","0.75"
"Green Plains Energy","GPRE","700.45K","670.41M","3.75B","","1.03"
"Greenbrier","GBX","493.96K","1.80B","2.44B","15.18","1.76"
"Greenhill&Co","GHL","502.17K","743.29M","269.79M","","1.15"
"Griffon","GFF","240.94K","855.46M","1.48B","439.43","1.37"
"Group 1 Automotive","GPI","237.05K","1.42B","19.17B","10.14","1.76"
"Guess?","GES","1.12M","1.90B","2.43B","47.99","0.2"
"Gulf Island Fabrication","GIFI","58.52K","140.65M","190.32M","","1.07"
"H B Fuller","FUL","371.56K","2.86B","2.74B","39.42","1.5"
"Haemonetics","HAE","748.44K","5.16B","903.92M","71.46","0.98"
"Hanmi","HAFC","177.70K","893.66M","124.60M","15","0.83"
"Harmonic","HLIT","565.77K","372.82M","365.42M","","0.68"
"Harsco","HSC","498.92K","1.90B","1.64B","29.13","2.71"
"Haverty Furniture","HVT","102.01K","445.96M","819.03M","16.94","0.84"
"Hawaiian","HA","1.08M","1.92B","2.75B","7.91","1.33"
"Hawkins","HWKN","31.46K","393.44M","504.16M","","0.73"
"Haynes","HAYN","103.71K","482.15M","398.65M","","1.45"
"HCI Group Inc","HCI","64.58K","395.22M","303.30M","","1.64"
