"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Black Box","BBOX","12.18%","-24.24%","-25.53%","-50.70%","-78.40%","-90.66%"
"Blackbaud","BLKB","0.97%","2.05%","5.00%","22.79%","29.50%","89.98%"
"Blucora","BCOR","0.13%","-0.78%","-3.41%","73.08%","85.23%","139.81%"
"BofI Holding","BOFI","0.39%","-2.75%","-5.44%","37.19%","66.34%","40.00%"
"Boise Cascad Llc","BCC","-2.27%","-0.44%","-0.66%","13.16%","55.96%","26.93%"
"Boston Private","BPFH","1.25%","-0.31%","-4.71%","4.85%","6.23%","23.76%"
"Bottomline","EPAY","0.34%","2.61%","11.99%","60.81%","95.68%","98.33%"
"Boyd Gaming","BYD","-1.12%","-0.73%","2.79%","8.16%","45.92%","125.65%"
"Brady","BRC","-0.27%","-6.23%","-8.55%","-2.64%","8.21%","52.48%"
"Briggs&Stratton","BGG","1.37%","-2.74%","-5.44%","-30.15%","-26.63%","-5.04%"
"Brinks","BCO","-2.24%","-1.82%","0.12%","2.73%","13.16%","177.36%"
"Bristow","BRS","-0.07%","0.99%","4.15%","6.24%","82.99%","-71.27%"
"Brookline Bancorp","BRKL","0.82%","1.09%","-3.39%","18.15%","25.76%","59.09%"
"Brooks Automation","BRKS","1.05%","0.80%","-6.45%","37.36%","26.88%","192.50%"
"Buckle","BKE","2.12%","2.99%","-12.68%","1.47%","42.60%","-45.13%"
"Cabot","CCMP","1.70%","3.54%","6.47%","25.60%","48.29%","169.16%"
"CACI","CACI","-0.36%","-0.50%","8.72%","34.72%","38.81%","116.02%"
"Cal-Maine","CALM","-1.53%","-2.38%","-12.16%","1.57%","25.07%","-16.54%"
"CalAmp","CAMP","-1.44%","-3.32%","2.24%","8.77%","21.53%","23.73%"
"Calavo Growers","CVGW","-1.31%","-0.79%","0.00%","11.97%","29.63%","74.32%"
"Caleres","CAL","4.07%","8.82%","2.40%","6.84%","33.27%","8.30%"
"California Water Service","CWT","0.00%","-0.12%","1.75%","-10.25%","4.90%","72.24%"
"Callaway Golf","ELY","0.27%","1.29%","-9.12%","35.18%","47.69%","118.95%"
"Cambrex","CBM","0.71%","1.99%","21.44%","17.40%","-4.25%","15.42%"
"Cantel Medical","CMD","-0.95%","-0.08%","-6.08%","-7.76%","23.30%","73.44%"
"Capella","CPLA","0.58%","-0.43%","3.63%","34.75%","18.46%","91.13%"
"Capstead Mortgage","CMO","0.94%","-1.04%","-7.35%","-0.92%","-15.73%","-25.80%"
"Carbo Ceramics","CRR","-1.04%","-4.04%","13.08%","-6.58%","31.72%","-72.63%"
"Cardtronics","CATM","-2.94%","2.57%","6.95%","46.33%","-15.23%","-22.90%"
"Career","CECO","1.96%","3.37%","12.90%","55.05%","100.75%","449.27%"
"Caretrust Inc","CTRE","0.06%","-1.40%","0.30%","0.72%","-7.76%","23.48%"
"Carrizo Oil&Gas","CRZO","1.80%","0.10%","-1.71%","35.43%","81.83%","-23.76%"
"Cato","CATO","3.30%","16.39%","-0.40%","57.47%","47.12%","-35.75%"
"Cavco","CVCO","-0.14%","0.99%","5.23%","43.64%","68.88%","196.22%"
"Cedar Realty","CDR","-0.21%","-0.83%","3.69%","-21.38%","-6.27%","-30.22%"
"Celadon","CGIP","0.00%","-0.00%","28.27%","-43.28%","-9.25%","-83.16%"
"Central Garden&Pet","CENT","-0.37%","-0.44%","2.02%","11.66%","31.02%","335.91%"
"Central Garden&Pet A","CENTA","-0.47%","-0.76%","1.54%","6.95%","26.74%","272.39%"
"Century Aluminum","CENX","0.88%","2.26%","-6.35%","-24.13%","-18.76%","62.66%"
"CEVA","CEVA","0.62%","1.57%","2.38%","-30.01%","-31.42%","80.85%"
"Chart Industries","GTLS","1.37%","4.37%","7.46%","45.11%","91.77%","112.77%"
"Chemed","CHE","0.60%","0.43%","2.03%","34.93%","61.26%","143.11%"
"Chemours Co","CC","3.55%","2.30%","-2.82%","-8.53%","2.19%","266.61%"
"Chesapeake Lodging","CHSP","0.66%","-1.11%","-0.43%","18.57%","29.62%","-0.22%"
"Chuy's Holdings","CHUY","3.77%","3.77%","6.45%","17.65%","35.52%","23.41%"
"Cincinnati Bell","CBB","-1.04%","-10.38%","-2.40%","-31.65%","-21.49%","-26.55%"
"CIRCOR","CIR","1.03%","4.51%","-3.76%","-17.56%","-31.20%","-19.29%"
"City Holding","CHCO","0.59%","0.99%","-1.88%","13.96%","16.93%","50.53%"
"Clearwater Paper","CLW","0.42%","0.85%","-1.46%","-47.80%","-52.07%","-58.05%"
"Cloud Peak Energy","CLD","7.40%","1.83%","-8.24%","-24.94%","-8.24%","-2.05%"
"CMTSU Liquidation","CBRI","-30.00%","33.33%","-20.00%","-73.33%","-91.84%","-99.88%"
"Cogent","CCOI","-3.13%","-2.14%","-4.80%","16.11%","21.06%","60.81%"
"Coherent","COHR","4.23%","3.88%","9.81%","-39.03%","-36.43%","179.49%"
"Cohu","COHU","1.59%","3.81%","5.27%","19.18%","33.61%","112.17%"
"Columbia Banking","COLB","1.34%","1.58%","-4.51%","-4.03%","6.11%","28.79%"
"Comfort Systems","FIX","0.53%","0.42%","0.53%","9.51%","30.07%","102.29%"
"Community Bank System","CBU","1.24%","1.79%","0.44%","15.55%","13.80%","56.69%"
"Community Health Systems","CYH","0.36%","-5.48%","-40.52%","-35.21%","-70.19%","-95.43%"
"Computer Programs&Systems","CPSI","-0.45%","-2.33%","-0.30%","11.65%","7.19%","-40.61%"
"Comtech","CMTL","0.58%","-0.49%","7.39%","55.61%","83.67%","16.44%"
"CONMED","CNMD","-0.54%","-0.96%","-2.86%","44.36%","45.79%","22.25%"
"Consolidated Communications","CNSL","-1.76%","-5.61%","-5.83%","0.74%","-32.93%","-40.10%"
"Contango Oil&Gas","MCF","7.83%","3.52%","12.91%","37.37%","4.35%","-34.45%"
"Cooper Stnd","CPS","2.05%","3.14%","-2.03%","12.38%","28.96%","121.01%"
"Core-Mark","CORE","1.35%","2.44%","6.87%","-24.16%","-35.31%","-61.92%"
"CoreSite","COR","-0.68%","-1.04%","2.41%","-1.24%","7.73%","132.71%"
"Corindus Vascular Robotics","CR3","0.47%","-6.19%","34.18%","3.29%","-40.41%","-74.15%"
"CorVel","CRVL","0.00%","-0.45%","1.83%","4.91%","15.15%","74.86%"
"CPB","CPF","0.35%","-0.31%","-2.38%","-2.55%","-6.53%","23.86%"
"Cray","CRAY","0.20%","-3.62%","-3.80%","4.55%","33.86%","-3.62%"
"Crocs","CROX","2.02%","4.74%","-7.48%","39.95%","127.38%","23.10%"
"Cross Country","CCRN","-0.59%","-0.67%","-5.80%","-7.05%","-4.43%","-7.27%"
"CryoLife","CRY","0.17%","-1.18%","2.80%","53.52%","51.55%","153.89%"
"CSG Systems","CSGS","-0.07%","-2.15%","-4.65%","-6.46%","-0.82%","30.46%"
"CTS Corp","CTS","-0.67%","-1.60%","3.65%","43.30%","63.64%","94.11%"
"Cubic","CUB","0.22%","-1.00%","2.14%","17.30%","44.82%","51.38%"
"Customers Bancorp","CUBI","1.25%","1.14%","-7.65%","12.39%","4.62%","0.65%"
"CVB Financial","CVBF","1.21%","0.36%","-5.85%","-4.41%","2.93%","24.56%"
"Daktronics","DAKT","1.18%","0.35%","0.00%","-6.46%","-13.12%","-21.72%"
"Darling Ingredients","DAR","-1.00%","-1.50%","-0.85%","8.88%","17.64%","45.68%"
"Dave & Buster’s Entertainment","PLAY","1.70%","0.16%","-5.94%","-11.04%","-27.43%","24.47%"
"Depomed","DEPO","-0.61%","-0.48%","11.70%","1.99%","-22.77%","-74.92%"
"DHI Group","DHX","0.00%","-0.00%","-20.37%","13.16%","-17.31%","-76.06%"
"Diamondrock Hospitality","DRH","-0.25%","-0.57%","-1.14%","7.88%","5.09%","-11.55%"
"Digi","DGII","0.74%","-0.36%","-1.80%","42.93%","35.82%","37.32%"
"Dime Community","DCOM","0.00%","-0.50%","-2.21%","-5.01%","-3.40%","14.76%"
"DineEquity","DIN","-0.26%","-3.51%","-7.80%","38.71%","60.88%","-29.60%"
"Diodes","DIOD","2.50%","5.97%","1.34%","31.78%","40.76%","72.35%"
"Diplomat Pharmacy","DPLO","1.08%","0.15%","-5.18%","30.39%","68.19%","-46.10%"
"Donnelley Financial Solutions","DFIN","2.12%","6.58%","14.41%","3.90%","-13.46%","-"
