"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Korn/Ferry","KFY","0.49%","3.67%","1.48%","59.26%","88.29%","90.02%"
"Kraton","KRA","1.57%","3.87%","1.53%","1.99%","40.05%","115.96%"
"Kulicke&Soffa","KLIC","0.78%","2.17%","19.86%","16.31%","25.65%","163.59%"
"La-Z-Boy","LZB","1.14%","3.85%","-2.36%","-0.64%","-4.76%","18.77%"
"Lannett Com","LCI","-3.42%","-10.88%","-12.71%","-45.26%","-41.61%","-78.51%"
"LCI Industries","LCII","1.99%","4.35%","0.88%","-25.23%","-5.49%","66.87%"
"Legacy Texas Financial Grp","LTXB","7.43%","6.91%","-0.87%","-0.69%","8.46%","42.63%"
"Lendingtree","TREE","4.37%","1.20%","-6.38%","-26.73%","37.89%","199.53%"
"Lexington","LXP","-1.27%","-3.50%","-3.06%","-11.40%","-16.26%","-1.27%"
"LGI Homes","LGIH","0.69%","4.76%","6.91%","-18.73%","44.09%","224.02%"
"LHC Group","LHCG","-0.16%","-1.51%","-0.66%","40.72%","36.05%","111.72%"
"Ligand","LGND","2.25%","2.72%","13.85%","65.58%","87.86%","114.77%"
"Lindsay","LNN","1.14%","-1.25%","-5.13%","6.27%","-1.07%","11.29%"
"Liquidity Services","LQDT","2.22%","-0.72%","1.47%","42.27%","6.98%","-27.37%"
"Lithia Motors","LAD","-1.15%","0.45%","-8.40%","-15.56%","-4.19%","-18.18%"
"Littelfuse","LFUS","-0.08%","1.16%","-2.29%","16.04%","24.49%","148.76%"
"LivePerson","LPSN","1.34%","5.08%","-3.81%","97.83%","96.97%","130.03%"
"LogMeIn","LOGM","-0.05%","-1.57%","-2.75%","-4.24%","-2.49%","66.62%"
"Lsb Industries","LXU","-0.28%","3.96%","31.84%","-19.18%","-36.10%","-81.34%"
"LSC Communications","LKSD","2.52%","-3.27%","-8.49%","-6.14%","-33.05%","-"
"LTC Properties","LTC","-0.58%","-2.88%","-2.90%","-5.46%","-19.40%","-5.53%"
"Lumber Liquidators","LL","0.12%","-0.16%","-3.45%","-18.00%","3.66%","33.99%"
"Lumentum Holdings Inc","LITE","0.00%","1.45%","4.96%","21.27%","-1.90%","-"
"Luminex","LMNX","-0.68%","5.50%","8.23%","69.54%","59.89%","95.89%"
"Lydall","LDL","1.35%","0.11%","8.01%","-11.03%","-10.68%","54.04%"
"M/I Homes","MHO","-1.00%","-0.11%","0.14%","-19.68%","1.51%","13.42%"
"Magellan Health","MGLN","0.47%","-3.64%","-4.27%","-1.24%","19.11%","39.81%"
"Maiden Holdings","MHLD","1.94%","2.60%","-7.06%","19.70%","-27.85%","-51.50%"
"ManTech","MANT","-0.08%","0.15%","10.05%","19.74%","50.33%","99.93%"
"Marcus","MCS","0.00%","0.30%","-0.90%","20.84%","14.96%","65.91%"
"MarineMax","HZO","1.44%","4.46%","-5.59%","11.64%","41.61%","-2.90%"
"Marriot Vacations Worldwide","VAC","0.51%","1.56%","-0.53%","-11.49%","3.61%","31.35%"
"Marten Transport","MRTN","5.87%","3.30%","-2.29%","15.52%","44.75%","101.46%"
"Masimo","MASI","0.06%","1.28%","-0.10%","19.21%","3.93%","161.35%"
"Materion","MTRN","1.35%","1.62%","2.08%","16.26%","49.08%","67.81%"
"Matrix","MTRX","-3.03%","-4.95%","3.23%","7.87%","100.00%","-1.18%"
"Matson","MATX","0.96%","-1.68%","-4.77%","23.83%","24.03%","-11.77%"
"Matthews","MATW","0.17%","-1.90%","-0.50%","12.59%","-9.37%","10.17%"
"MDC","MDC","-0.77%","1.41%","5.07%","1.35%","-2.09%","13.89%"
"Medidata","MDSO","-1.57%","0.63%","1.24%","35.66%","13.45%","43.57%"
"MEDIFAST","MED","-0.90%","0.01%","-5.53%","138.89%","298.69%","446.79%"
"Mercury","MRCY","1.53%","2.56%","12.01%","-18.81%","-5.38%","187.91%"
"Meridian","VIVO","-1.27%","-1.58%","-7.14%","11.43%","0.65%","-19.96%"
"Merit","MMSI","-1.41%","0.36%","10.05%","29.28%","41.75%","154.91%"
"Meritage","MTH","-1.49%","0.00%","4.05%","-9.67%","11.18%","-1.03%"
"Methode Electronics","MEI","-0.51%","-2.13%","-13.59%","-2.49%","-5.90%","49.81%"
"MicroStrategy","MSTR","0.70%","-0.35%","0.61%","3.45%","-28.25%","-26.18%"
"MiMedx","MDXG","2.40%","1.79%","-39.65%","-72.96%","-77.25%","-73.67%"
"MKS Instruments","MKSI","1.88%","4.95%","-1.39%","8.78%","27.94%","190.07%"
"Mobile Mini","MINI","0.42%","-1.35%","0.53%","37.97%","57.36%","16.55%"
"Momenta","MNTA","2.62%","11.57%","31.84%","110.75%","70.43%","27.05%"
"Monarch","MCRI","1.29%","3.32%","1.97%","8.46%","60.64%","142.81%"
"Monotype","TYPE","-0.49%","-3.34%","-7.53%","-15.98%","8.00%","-15.70%"
"Monro Muffler Brake","MNRO","-0.44%","9.44%","9.44%","18.09%","49.11%","6.75%"
"Moog","MOGa","0.10%","0.91%","-0.39%","-9.22%","6.71%","12.97%"
"Motorcar Parts","MPAA","3.42%","3.63%","2.85%","-17.69%","-26.93%","-29.24%"
"Movado","MOV","0.00%","4.25%","0.10%","52.33%","96.99%","85.23%"
"MTS Systems","MTSC","1.22%","-0.28%","-1.64%","0.47%","0.94%","-16.77%"
"Mueller Industries","MLI","0.41%","-0.71%","-4.57%","-16.96%","-3.92%","-14.45%"
"Multi-Color","LABL","-0.53%","-1.51%","-6.65%","-12.83%","-17.72%","4.03%"
"Myers Industries","MYE","0.28%","-2.42%","-9.25%","-6.92%","-1.36%","4.61%"
"MYR Group","MYRG","-1.49%","-1.95%","3.94%","5.71%","19.60%","21.06%"
"Nanometrics","NANO","1.85%","1.90%","-3.23%","52.45%","36.85%","142.59%"
"National Presto Industries","NPK","0.00%","-0.79%","-7.69%","20.66%","7.10%","50.85%"
"Natus","BABY","0.94%","-3.46%","-11.83%","-16.10%","-18.03%","-24.61%"
"Nautilus","NLS","-0.69%","2.49%","-11.66%","7.87%","-21.95%","-35.66%"
"Navigant","NCI","1.18%","-4.56%","-12.25%","9.99%","5.59%","43.58%"
"NBT Bancorp","NBTB","1.16%","1.24%","-1.60%","6.85%","7.08%","47.05%"
"Neenah Paper","NP","0.29%","0.00%","2.11%","-4.03%","7.54%","45.44%"
"Nektar","NKTR","-0.99%","0.44%","-17.69%","-19.83%","115.97%","284.58%"
"Neogen","NEOG","-2.51%","-2.07%","-2.07%","32.81%","61.68%","69.05%"
"NETGEAR","NTGR","0.26%","1.63%","15.87%","32.34%","76.70%","165.36%"
"Newpark Resources","NR","-1.03%","-7.69%","-7.25%","11.63%","24.68%","31.87%"
"NIC","EGOV","0.63%","-3.02%","-3.02%","-3.31%","-11.08%","-7.55%"
"Northern Oil&Gas","NOG","5.56%","-0.00%","24.36%","66.83%","197.39%","-35.47%"
"Northfield Bancorp","NFBK","0.30%","-0.76%","-0.76%","-1.11%","-1.00%","8.06%"
"Northwest Bancshares","NWBI","0.11%","-0.73%","-1.78%","5.56%","14.75%","37.43%"
"Northwest Natural Gas","NWN","-0.16%","-2.16%","2.01%","6.20%","2.18%","45.67%"
"NutriSystem","NTRI","-0.64%","0.78%","0.52%","-26.05%","-32.99%","48.99%"
"OFG Bancorp","OFG","1.68%","4.12%","4.84%","61.17%","53.81%","59.64%"
"Old National Bancorp","ONB","1.06%","1.60%","-0.26%","8.88%","13.43%","29.87%"
"Ollies Bargain Outlet Holdings Inc","OLLI","0.27%","0.27%","0.40%","40.19%","71.22%","269.55%"
"Olympic Steel","ZEUS","1.25%","2.67%","0.04%","5.72%","25.25%","66.45%"
"Omnicell","OMCL","-0.37%","0.93%","2.26%","11.86%","25.72%","36.24%"
"Onespan","OSPN","-0.25%","-3.60%","-3.37%","44.60%","42.05%","-23.98%"
"Opus Bank","OPB","1.03%","0.34%","-0.84%","8.06%","25.53%","-22.37%"
"Orion Group","ORN","2.56%","8.10%","12.18%","17.62%","24.63%","25.31%"
"Oritani","ORIT","0.00%","0.00%","-4.41%","-0.91%","-4.41%","5.45%"
"OSI Systems","OSIS","0.38%","1.87%","-1.72%","21.93%","-0.52%","9.77%"
"Oxford Industries","OXM","1.06%","6.70%","8.99%","21.31%","44.71%","8.42%"
"Papa John's","PZZA","4.00%","-0.13%","-2.31%","-4.47%","-29.90%","-29.66%"
"Park Electrochemical","PKE","-1.01%","0.26%","14.79%","19.29%","28.23%","30.51%"
"Patrick","PATK","0.00%","3.48%","-0.25%","-12.31%","25.57%","55.99%"
"PDC Energy","PDCE","2.14%","-2.93%","0.93%","18.34%","34.16%","37.36%"
"Pennsylvania RE","PEI","-1.76%","-4.15%","-7.57%","-10.60%","-12.51%","-53.11%"
"Perficient","PRFT","-0.11%","0.97%","-1.06%","42.42%","46.18%","67.24%"
"Perry Ellis","PERY","0.07%","-0.84%","3.70%","12.98%","41.03%","19.82%"
"PetMed Express","PETS","1.37%","7.66%","-10.50%","-10.44%","4.51%","146.37%"
"PGT Innovations","PGTI","-0.46%","2.14%","-1.83%","27.60%","64.12%","48.69%"
"Phibro","PAHC","-0.42%","-0.42%","-0.31%","43.13%","27.02%","25.82%"
"Pinnacle","PNFP","2.99%","1.31%","-5.98%","-6.41%","-5.12%","12.65%"
"Pioneer Energy Services","PES","0.96%","-6.25%","9.37%","72.13%","110.00%","28.99%"
"Piper Jaffray","PJC","1.79%","0.98%","-5.35%","-10.84%","18.67%","84.68%"
"Plexus","PLXS","-2.01%","-2.04%","-1.38%","0.26%","10.83%","54.83%"
"Powell Industries","POWL","0.11%","-1.42%","0.57%","23.21%","5.78%","7.49%"
"Power Integrations","POWI","1.17%","1.17%","-2.26%","5.91%","-5.23%","98.78%"
"PRA Group Inc","PRAA","0.95%","0.12%","1.79%","28.16%","6.91%","-32.28%"
"ProAssurance","PRA","2.27%","2.54%","3.65%","-32.98%","-36.80%","-18.20%"
"Progress","PRGS","0.70%","1.24%","2.95%","-5.78%","25.15%","35.19%"
"Proto Labs","PRLB","1.42%","0.84%","-0.64%","28.50%","87.46%","92.20%"
"Provident","PFS","-0.11%","-0.47%","-4.83%","1.63%","6.82%","42.02%"
"PS Business Parks","PSB","-0.25%","-1.98%","1.24%","2.09%","-1.14%","69.34%"
"Quaker Chemical","KWR","0.31%","-0.42%","-1.07%","5.72%","6.66%","94.78%"
"Quality Systems","QSII","-1.21%","-2.06%","-2.59%","43.81%","14.21%","16.88%"
"Qualys","QLYS","1.32%","1.64%","0.05%","61.67%","123.66%","161.23%"
"Quanex Building Products","NX","2.24%","4.29%","-3.44%","-22.01%","-13.92%","-14.76%"
"QuinStreet","QNST","0.07%","-3.62%","6.81%","68.38%","267.45%","119.10%"
"Quorum Health","QHC","-1.64%","-8.71%","-18.80%","-32.85%","5.81%","-"
"Rambus","RMBS","0.62%","1.17%","-3.57%","-8.86%","2.21%","-0.15%"
"Raven","RAVN","1.17%","-1.64%","-0.51%","13.68%","12.37%","98.53%"
"Rayonier Advanced Materials","RYAM","1.54%","4.10%","12.04%","-9.44%","24.55%","42.46%"
"Re Max Holding","RMAX","0.27%","-1.96%","-0.45%","13.71%","-5.73%","40.72%"
"Red Robin Gourmet Burgers","RRGB","2.60%","0.20%","-6.01%","-12.59%","-23.57%","-45.34%"
"Regis","RGS","-0.23%","0.80%","-2.49%","14.78%","71.33%","15.91%"
"Rent-A-Center","RCII","-0.47%","-0.61%","-0.54%","32.43%","16.85%","-48.51%"
"Repligen","RGEN","-0.10%","-0.17%","4.22%","32.08%","13.64%","19.53%"
"Resources Connection","RECN","0.29%","-0.87%","-3.38%","11.00%","17.06%","14.03%"
"Retail Opportunity","ROIC","-0.63%","-1.46%","-0.53%","-5.31%","-6.81%","12.78%"
"REX American Resources","REX","0.47%","-1.17%","-7.82%","-11.52%","-23.85%","15.57%"
"RLI","RLI","0.76%","1.58%","1.24%","14.26%","21.85%","35.72%"
"Roadrunner","RRTS","1.14%","-1.85%","23.72%","-65.50%","-62.11%","-89.57%"
"Rogers","ROG","0.79%","1.26%","-1.55%","-26.45%","0.69%","119.08%"
"RR Donnelley & Sons","RRD","1.64%","-0.00%","-22.25%","-39.89%","-56.12%","-80.39%"
"Rudolph","RTEC","0.49%","2.35%","-5.13%","27.62%","20.32%","159.57%"
"Ruth's Hospitality","RUTH","0.51%","2.98%","3.53%","35.57%","39.10%","82.64%"
"S&T Bancorp","STBA","0.43%","-0.29%","-2.85%","10.50%","17.59%","40.90%"
"Sabra","SBRA","-1.13%","-3.40%","1.62%","16.73%","-5.48%","-19.66%"
"Safety Insurance","SAFT","0.68%","1.95%","0.11%","10.32%","25.82%","51.18%"
"Saia","SAIA","2.75%","1.62%","-5.02%","10.88%","51.89%","99.11%"
"Sanderson Farms","SAFM","-1.42%","-7.84%","-7.94%","-29.32%","-16.69%","45.51%"
"Sanmina","SANM","1.95%","2.45%","3.98%","-5.00%","-24.73%","64.74%"
"Saul Centers","BFS","-0.23%","-3.71%","0.56%","-15.01%","-12.69%","0.83%"
"ScanSource","SCSC","0.12%","0.12%","-1.91%","14.66%","-1.32%","8.14%"
"Scholastic","SCHL","0.75%","-0.17%","2.38%","16.93%","6.62%","5.42%"
"Schweitzer-Mauduit","SWM","-0.79%","-1.96%","-1.70%","-5.40%","11.25%","9.21%"
"Scientific Games","SGMS","-0.69%","-1.08%","-7.61%","-1.85%","87.52%","219.68%"
"SEACOR","CKH","0.63%","1.77%","-5.47%","16.64%","49.79%","-17.00%"
"Select Medical","SEM","-0.78%","0.26%","-0.78%","7.65%","15.15%","21.33%"
"Selective","SIGI","-0.09%","0.70%","-0.17%","-1.36%","13.09%","90.90%"
"Semtech","SMTC","0.20%","1.60%","1.30%","48.39%","27.83%","179.15%"
"Seneca Foods A","SENEA","-1.63%","-4.23%","-1.45%","-11.71%","-4.40%","-7.78%"
"ServisFirst Bancshares","SFBS","0.77%","1.47%","-2.51%","4.75%","18.22%","120.88%"
"Shoe Carnival","SCVL","4.92%","5.40%","1.71%","29.23%","83.40%","20.79%"
"Shutterstock","SSTK","-0.91%","-1.99%","1.48%","16.69%","14.30%","-1.57%"
"Simmons First National","SFNC","1.16%","1.33%","-3.63%","7.01%","14.85%","-36.01%"
"Simpson Manufacturing","SSD","0.13%","-1.88%","-3.33%","9.72%","43.55%","77.94%"
"SkyWest","SKYW","2.20%","3.62%","-3.13%","4.99%","46.13%","278.48%"
"Sleep Number","SL2","1.53%","1.93%","-1.78%","-16.51%","-8.50%","-8.66%"
"Sonic","SONC","-0.44%","3.34%","2.75%","31.77%","46.78%","25.21%"
"Sonic Automotive","SAH","-4.17%","-2.01%","-15.73%","5.96%","-0.51%","-19.18%"
"South Jersey Industries","SJI","-0.80%","-1.99%","2.05%","7.01%","-2.02%","33.25%"
"Southside","SBSI","0.91%","1.27%","-1.47%","1.84%","-2.03%","28.13%"
"SpartanNash Co","SPTN","-3.17%","-2.05%","-0.16%","-4.99%","-6.18%","-20.90%"
"Spectrum","SPPI","1.39%","5.35%","18.08%","26.81%","198.88%","224.29%"
"Spire","SR","-0.63%","-1.99%","1.86%","-5.19%","-0.28%","32.39%"
"Spok Holdings","SPOK","-1.33%","-4.19%","-1.33%","-5.11%","-15.63%","-7.19%"
"SPS Commerce","SPSC","-1.87%","-2.46%","-3.04%","55.75%","26.37%","0.80%"
"SPX Corp","SPXC","-0.41%","1.08%","1.11%","16.37%","26.01%","115.52%"
"SPX FLOW Inc","FLOW","1.62%","1.55%","-3.37%","-7.87%","17.05%","-"
"Stage Stores","SSI","0.00%","3.46%","-3.24%","42.26%","25.13%","-86.61%"
"Stampscom","STMP","0.25%","-0.29%","-1.75%","46.49%","84.40%","260.66%"
"Standard Motor Products","SMP","1.14%","0.99%","-4.33%","7.13%","-8.61%","39.53%"
"Standex","SXI","0.90%","-0.83%","-2.45%","-0.49%","7.31%","29.06%"
"Stein Mart","SMRT","14.73%","22.38%","-10.14%","121.55%","103.97%","-74.65%"
"Stepan","SCL","0.84%","1.16%","5.03%","2.81%","-9.12%","48.78%"
"Sterling Bancorp","STL","0.65%","-0.00%","-5.31%","-5.69%","1.98%","57.18%"
"Steven Madden","SHOO","2.97%","6.12%","2.68%","18.84%","38.23%","30.90%"
"Stewart Info Services","STC","2.75%","2.94%","4.38%","5.91%","7.67%","11.72%"
"Strayer","STRA","0.68%","-0.40%","3.23%","33.20%","26.63%","161.72%"
"Sturm Ruger&Company","RGR","0.71%","0.80%","-6.21%","1.34%","-3.99%","-3.87%"
"Summit Hotel Properties","INN","0.43%","-1.96%","-3.24%","-7.94%","-21.59%","-1.82%"
"SunCoke Energy","SXC","2.36%","2.29%","-1.61%","11.93%","25.77%","17.72%"
"Super Micro Computer","SMCI","1.04%","1.04%","-4.16%","15.62%","-10.70%","-3.16%"
"Superior Industries","SUP","0.56%","0.85%","-10.55%","19.87%","-12.96%","1.95%"
"Supernus","SUPN","2.15%","1.96%","-5.77%","37.26%","29.31%","180.08%"
"Supervalu","SVU","-3.63%","1.56%","5.19%","-0.46%","-9.13%","-60.52%"
"SurModics","SRDX","0.25%","0.00%","7.24%","111.61%","113.90%","145.65%"
"Sykes","SYKE","0.20%","-1.38%","0.71%","-4.77%","-12.61%","21.35%"
"Synchronoss Tech","SNCR","-1.40%","-1.91%","-17.42%","-36.91%","-65.57%","-87.94%"
"Synergy Resources","SRCI","1.23%","-4.22%","-0.47%","25.09%","46.97%","8.43%"
"Tailored Brands","TLRD","2.58%","-1.44%","-15.77%","3.76%","90.98%","-63.36%"
"Take-Two","TTWO","0.10%","0.45%","7.46%","15.51%","62.51%","304.50%"
"Team","TISI","3.84%","3.84%","0.23%","45.30%","-11.81%","-50.98%"
"Tennant","TNC","-1.15%","-1.84%","-1.34%","6.33%","3.55%","19.82%"
"Tetra Tech","TTEK","0.34%","-0.83%","1.80%","23.57%","26.46%","135.64%"
"Tetra Technologies","TTI","-0.65%","-4.59%","2.24%","7.03%","46.47%","-18.54%"
"Texas Capital","TCBI","1.96%","2.13%","-0.79%","5.40%","14.97%","59.00%"
"The Andersons","ANDE","-1.28%","-2.12%","-1.42%","11.24%","-0.00%","-5.33%"
"The Childrens Place","PLCE","3.51%","8.36%","-7.30%","-14.79%","21.36%","94.86%"
"The Ensign","ENSG","0.26%","0.45%","-4.43%","70.90%","68.32%","46.32%"
"The Medicines","MDCO","-1.54%","-2.74%","6.20%","45.43%","1.74%","17.91%"
"The Navigators","NAVG","0.96%","0.87%","-1.45%","18.99%","3.67%","46.23%"
"The Providence Service","PRSC","-0.92%","-4.60%","-9.16%","21.20%","44.82%","57.96%"
"Tidewater","TDW","0.06%","3.43%","8.41%","28.40%","8.40%","-94.78%"
"Tile Shop","TTS","2.47%","-0.60%","2.47%","-13.54%","-41.34%","-43.15%"
"Timkensteel Corp","TMST","2.04%","1.93%","-1.15%","18.37%","11.40%","-17.79%"
"Titan","TWI","1.46%","-1.04%","-11.08%","-19.02%","-15.00%","11.55%"
"Tivity Health","TVTY","-0.72%","-5.08%","-1.98%","-5.34%","-14.25%","177.69%"
"TiVo","TIVO","0.00%","-3.41%","-12.37%","-18.27%","-35.11%","-6.11%"
"Tompkins","TMP","0.01%","-0.19%","-1.44%","7.35%","9.92%","57.89%"
"Topbuild Corp","BLD","-0.46%","3.26%","-1.84%","8.21%","55.05%","160.69%"
"Tredegar","TG","2.08%","1.03%","2.08%","27.60%","54.09%","11.57%"
"Trex","TREX","-0.45%","4.01%","3.24%","25.77%","89.31%","46.01%"
"TrueBlue","TBI","-0.36%","1.67%","-2.14%","-0.18%","1.48%","-8.19%"
"TrustCo Bank NY","TRST","0.56%","0.56%","-2.70%","-2.17%","16.13%","27.84%"
"TTEC","TTEC","-1.74%","-4.52%","-9.26%","-16.02%","-18.94%","25.05%"
"TTM","TTMI","-1.58%","-0.99%","-6.71%","15.25%","-5.40%","93.78%"
"Tuesday Morning","TUES","0.00%","-1.07%","-2.81%","0.73%","45.79%","-73.54%"
"U S Concrete","USCR","0.68%","1.37%","-15.67%","-38.25%","-33.91%","16.17%"
"UMB Financial","UMBF","1.13%","0.37%","-1.36%","7.94%","5.02%","35.91%"
"Unifi","UFI","0.19%","-0.97%","-3.49%","-12.04%","3.78%","-2.62%"
"Unifirst","UNF","0.05%","-2.11%","1.78%","12.58%","33.47%","62.05%"
"Unit","UNT","-0.38%","-0.56%","8.36%","20.14%","38.59%","18.26%"
"United Bankshares","UBSI","0.42%","-2.48%","-7.08%","2.01%","-5.34%","-17.02%"
"United Community Banks","UCBI","1.62%","0.20%","-8.00%","9.06%","7.50%","41.76%"
"United Fire","UFCS","0.64%","2.24%","3.90%","24.37%","27.51%","60.19%"
"United Insurances","UIHC","0.25%","1.60%","-0.25%","17.74%","26.70%","23.09%"
"Universal","UVV","-0.77%","-5.77%","-2.42%","22.95%","-0.84%","14.13%"
"Universal Electronics","UEIC","2.96%","2.21%","16.42%","-26.46%","-47.98%","-30.43%"
"Universal Forest","UFPI","-0.39%","2.05%","0.97%","2.07%","33.10%","-37.07%"
"Universal Health RI","UHT","-0.27%","-4.00%","-4.33%","-15.31%","-23.43%","28.19%"
"Universal Insurance","UVE","0.27%","3.05%","5.99%","35.83%","56.09%","42.72%"
"Urstadt Biddle Properties","UBA","-0.72%","-2.04%","-1.78%","1.43%","7.14%","12.33%"
"US Ecology","ECOL","-1.00%","-2.93%","4.28%","26.67%","23.05%","43.33%"
"US Physicalrapy","USPH","0.39%","3.45%","1.29%","41.20%","64.70%","91.56%"
"US Silica","SLCA","-0.61%","0.50%","-7.08%","-19.84%","-17.69%","18.05%"
"Veeco","VECO","3.19%","2.54%","2.54%","8.75%","-50.99%","-39.96%"
"Vera Bradley","VRA","1.10%","3.53%","-6.19%","13.22%","43.05%","23.79%"
"Veritiv Cor","VRTV","0.25%","0.25%","0.88%","38.75%","-3.84%","7.13%"
"Viad","VVI","0.18%","-0.61%","-1.14%","2.17%","14.69%","112.70%"
"Viavi Solutions","VIAV","-0.76%","-1.61%","2.87%","18.99%","-3.26%","66.67%"
"Vicor","VICR","0.29%","4.37%","8.44%","145.93%","160.91%","352.07%"
"Virtus","VRTS","0.89%","-1.71%","-2.99%","12.73%","12.39%","4.72%"
"Virtusa","VRTU","-0.55%","-0.66%","8.32%","22.57%","63.43%","4.10%"
"Vitamin Shoppe","VSI","0.72%","-1.42%","-7.95%","57.95%","-39.04%","-81.04%"
"Wabash National","WNC","4.43%","4.15%","-1.30%","-8.71%","-13.23%","65.77%"
"WageWorks","WAGE","-0.38%","-2.07%","-0.29%","-16.21%","-20.69%","21.46%"
"Walker&Dunlop","WD","1.43%","2.23%","-2.49%","22.67%","16.24%","110.59%"
"Watts Water Technologies","WTS","1.10%","1.16%","2.66%","9.35%","27.87%","65.21%"
"WD-40","WDFC","-0.79%","-2.81%","6.81%","33.56%","45.79%","74.36%"
"Westamerica Bancorporation","WABC","0.70%","-0.17%","-2.98%","-1.14%","7.82%","14.27%"
"Winnebago Industries","WGO","1.07%","2.05%","-8.63%","-23.83%","20.48%","91.63%"
"Wintrust","WTFC","2.78%","3.78%","-3.12%","10.28%","17.08%","64.30%"
"Wolverine","WWW","0.91%","6.33%","-2.92%","11.64%","28.67%","26.21%"
"World Acceptance","WRLD","2.05%","2.87%","-6.10%","44.20%","54.60%","100.55%"
"WWE","WWE","-0.01%","8.02%","18.94%","163.31%","278.21%","376.73%"
"XO","XOXO","-1.08%","-2.92%","0.21%","83.75%","88.55%","116.19%"
"Xperi","XPER","0.31%","-5.49%","-9.17%","-32.99%","-46.92%","-53.49%"
"Zumiez","ZUMZ","2.15%","0.47%","-18.98%","2.55%","66.15%","-18.79%"
