"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","22.50","22.60","22.15","+0.10","+0.45%","511.81K","15:59:59"
"AAON","AAON","40.85","41.30","40.45","+0.20","+0.49%","92.80K","15:59:59"
"AAR","AIR","46.60","46.88","46.39","-0.23","-0.49%","175.06K","15:59:59"
"Abercrombie&Fitch","ANF","27.22","27.32","25.99","-0.15","-0.55%","3.56M","15:59:59"
"ABM Industries","ABM","31.58","31.65","30.99","+0.57","+1.84%","372.44K","15:59:59"
"Acadia","AKR","28.43","28.60","28.39","-0.12","-0.42%","706.77K","15:59:59"
"Aceto","ACET","3.46","3.63","3.33","+0.09","+2.67%","342.01K","15:59:59"
"Acorda","ACOR","28.60","29.35","28.45","-0.30","-1.04%","292.75K","15:59:59"
"Actuant","ATU","29.25","29.38","29.10","0.00","0.00%","370.11K","15:59:59"
"ADTRAN","ADTN","17.00","17.10","16.90","+0.05","+0.29%","122.50K","15:59:59"
"Advanced Energy","AEIS","58.98","59.78","58.85","-0.68","-1.14%","418.96K","15:59:59"
"AdvanSix","ASIX","33.74","34.10","33.55","-0.21","-0.62%","120.76K","15:59:59"
"Aegion","AEGN","24.96","25.07","24.64","+0.21","+0.85%","55.89K","15:59:59"
"Aerojet Rocketdyne","AJRD","35.92","36.93","35.71","-0.67","-1.83%","517.41K","15:59:59"
"AeroVironment","AVAV","86.21","87.06","85.30","+0.51","+0.60%","290.34K","15:59:59"
"Agilysys","AGYS","16.14","16.53","16.10","-0.13","-0.80%","43.56K","15:59:59"
"Agree","ADC","57.22","57.35","56.83","+0.01","+0.02%","141.76K","15:59:59"
"AK Steel","AKS","4.490","4.520","4.350","+0.020","+0.45%","7.60M","15:59:59"
"Alamo","ALG","97.55","99.67","97.49","-1.57","-1.58%","74.88K","15:59:59"
"Albany","AIN","77.40","78.00","76.90","-0.40","-0.51%","192.22K","15:59:59"
"Allegiant","ALGT","134.85","136.95","134.10","-1.80","-1.32%","254.75K","15:59:59"
"Allete","ALE","75.54","75.63","74.60","+0.75","+1.00%","452.01K","15:59:59"
"AMAG","AMAG","24.55","24.85","24.10","-0.10","-0.41%","364.95K","15:59:59"
"Amedisys","AMED","122.98","123.83","121.89","+0.13","+0.11%","324.68K","15:59:59"
"American Assets","AAT","39.30","39.51","39.23","-0.16","-0.41%","135.73K","15:59:59"
"American Axle&Manufacturing","AXL","18.40","18.47","17.85","+0.05","+0.27%","1.03M","15:59:59"
"American Equity Inv. Life","AEL","37.11","37.33","36.43","-0.16","-0.43%","309.42K","15:59:59"
"American Public Education","APEI","35.20","36.05","35.10","-0.75","-2.09%","69.15K","15:59:59"
"American States Water","AWR","59.87","59.92","59.41","+0.55","+0.93%","131.82K","15:59:59"
"American Vanguard","AVD","21.75","21.95","21.29","+0.35","+1.64%","131.27K","15:59:59"
"American Woodmark","AMWD","89.00","89.65","85.75","+3.05","+3.55%","337.88K","15:59:59"
"Ameris","ABCB","49.50","49.95","49.25","-0.15","-0.30%","175.57K","15:59:59"
"AMERISAFE","AMSF","63.35","63.68","62.70","+0.45","+0.72%","53.92K","15:59:59"
"AMN Healthcare Services","AMN","59.05","59.15","58.20","+0.50","+0.85%","232.83K","15:59:59"
"Amneal Pharma A","AMRX","22.70","23.20","22.59","-0.36","-1.56%","500.95K","15:59:59"
"Amphastar P","AMPH","18.27","18.31","18.09","+0.18","+0.99%","72.05K","15:59:59"
"AngioDynamics","ANGO","22.44","22.50","22.21","+0.17","+0.76%","61.30K","15:59:59"
"ANI Pharma","ANIP","57.76","57.78","56.77","+0.54","+0.94%","44.22K","15:59:59"
"Anika","ANIK","41.39","41.78","41.00","-0.07","-0.17%","58.49K","15:59:59"
"Anixter","AXE","71.90","72.30","71.30","-0.20","-0.28%","98.51K","15:59:59"
"Apogee","APOG","49.72","49.94","49.25","+0.19","+0.38%","127.87K","15:59:59"
"Applied Industrial Technologies","AIT","77.40","77.60","76.40","+0.45","+0.58%","69.12K","15:59:59"
"ArcBest Corp","ARCB","48.45","48.55","47.15","+0.80","+1.68%","137.57K","15:59:59"
"Archrock","AROC","12.70","12.85","12.53","-0.05","-0.39%","479.81K","15:59:59"
"Asbury Automotive","ABG","76.05","76.30","74.85","+0.05","+0.07%","102.11K","15:59:59"
"ASGN","ASGN","91.80","92.42","91.19","+0.12","+0.13%","251.97K","15:59:59"
"Assertio Therapeutics","ASRT","6.52","6.58","5.96","-0.81","-11.00%","3.91M","15:59:59"
"Astec","ASTE","48.93","49.22","48.72","-0.15","-0.31%","46.62K","15:59:59"
"Atlas Air","AAWW","62.10","62.45","61.95","+0.05","+0.08%","261.66K","15:59:59"
"ATN Int","ATNI","73.74","74.18","73.18","+0.28","+0.38%","25.04K","15:59:59"
"Avista","AVA","51.70","51.72","51.40","+0.29","+0.56%","342.64K","15:59:59"
"Axon Enterprise","AAXN","67.08","67.60","66.66","-0.22","-0.33%","374.32K","15:59:59"
"AZZ","AZZ","54.25","54.70","53.80","+0.05","+0.09%","114.66K","15:59:59"
"B&G Foods","BGS","31.35","31.50","30.55","+0.75","+2.45%","463.23K","15:59:59"
"Badger Meter","BMI","54.15","55.35","53.65","-1.00","-1.81%","117.73K","15:59:59"
"Balchem","BCPC","106.02","106.30","104.21","+1.08","+1.03%","77.99K","15:59:59"
"Banc of California","BANC","20.00","20.09","19.73","+0.10","+0.50%","162.27K","15:59:59"
"Banner","BANR","64.59","64.80","63.96","+0.04","+0.06%","179.22K","15:59:59"
"Barnes","B","68.23","68.47","67.51","+0.17","+0.25%","119.89K","15:59:59"
"Barnes & Noble Education Inc","BNED","5.91","6.01","5.40","+0.54","+10.06%","742.24K","15:59:59"
"Barnes&Noble","BKS","5.35","5.40","5.10","+0.05","+0.94%","854.76K","15:59:59"
"Bel Fuse B","BELFB","27.45","27.80","27.20","-0.55","-1.96%","12.20K","15:59:59"
"Belmond","BEL","16.50","16.65","16.45","0.00","0.00%","559.22K","15:59:59"
"Benchmark Electronics","BHE","26.10","26.53","26.05","-0.20","-0.76%","350.52K","15:59:59"
"Big 5","BGFV","5.75","5.85","5.65","+0.05","+0.88%","416.22K","15:59:59"
"Biglari","BH","195.44","198.20","194.15","-2.59","-1.31%","2.42K","15:59:59"
"BioTelemetry","BEAT","59.150","59.600","58.950","-0.150","-0.25%","286.53K","15:59:59"
"BJs Restaurants","BJRI","73.15","74.18","72.65","+0.40","+0.55%","361.01K","15:59:59"
"Black Box","BBOX","1.21","1.26","1.18","-0.02","-1.63%","465.06K","15:59:59"
"Blackbaud","BLKB","104.91","105.10","102.85","+1.99","+1.93%","198.78K","15:59:59"
"Blucora","BCOR","35.950","36.050","35.700","0.000","0.00%","129.46K","15:59:59"
"BofI Holding","BOFI","36.28","37.43","36.05","-1.19","-3.18%","768.92K","15:59:59"
"Boise Cascad Llc","BCC","44.80","45.20","43.95","+0.40","+0.90%","248.84K","15:59:59"
"Boston Private","BPFH","14.30","14.40","14.10","+0.05","+0.35%","404.29K","15:59:59"
"Bottomline","EPAY","64.76","65.90","64.72","-0.26","-0.40%","334.74K","15:59:59"
"Boyd Gaming","BYD","36.40","36.85","36.11","+0.16","+0.44%","844.71K","15:59:59"
"Brady","BRC","39.50","40.20","39.05","+0.55","+1.41%","135.92K","15:59:59"
