"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.03M","2.10B","310.62M","","0.48"
"A Schulman","SHLM","398.75K","1.29B","2.69B","64.16","1.36"
"AAON","AAON","190.57K","2.15B","426.50M","51.86","0.89"
"AAR","AIR","219.64K","1.55B","2.19B","26.24","1.27"
"Abercrombie&Fitch","ANF","2.44M","1.87B","3.56B","44.34","0.47"
"ABM Industries","ABM","813.75K","2.09B","5.99B","31.27","0.78"
"Acadia","AKR","551.38K","2.30B","376.95M","46.74","0.36"
"Aceto","ACET","467.77K","100.37M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.34B","588.93M","","1.41"
"Actuant","ATU","504.58K","1.78B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","780.54M","560.49M","","0.51"
"Advanced Energy","AEIS","457.14K","2.25B","747.43M","10.34","1.07"
"AdvanSix","ASIX","181.44K","980.30M","1.50B","12.6",""
"Aegion","AEGN","146.81K","793.56M","1.34B","","1.73"
"Aerojet Rocketdyne","AJRD","695.38K","2.71B","1.97B","36.12","1.07"
"AeroVironment","AVAV","360.74K","2.02B","271.06M","77.95","1.13"
"Agilysys","AGYS","43.36K","375.70M","127.50M","","0.32"
"Agree","ADC","171.31K","1.73B","132.20M","28.97","0.29"
"AK Steel","AKS","12.76M","1.38B","6.40B","","2.9"
"Alamo","ALG","67.00K","1.15B","978.93M","18.11","0.96"
"Albany","AIN","119.30K","2.48B","935.08M","36.99","1.67"
"Allegiant","ALGT","157.19K","2.19B","1.59B","15.79","0.11"
"Allete","ALE","209.20K","4.06B","1.40B","28.67","0.19"
"AMAG","AMAG","1.23M","832.52M","604.69M","","0.44"
"Amedisys","AMED","336.51K","3.80B","1.60B","44.34","0.86"
"American Assets","AAT","223.48K","1.86B","329.84M","98.9","0.34"
"American Axle&Manufacturing","AXL","1.86M","1.94B","7.22B","4.84","1.41"
"American Equity Inv. Life","AEL","633.11K","3.37B","2.97B","9.32","2.53"
"American Public Education","APEI","109.20K","574.84M","299.13M","28.72","0.68"
"American States Water","AWR","182.54K","2.22B","430.23M","36.8","0.1"
"American Vanguard","AVD","75.60K","589.81M","417.62M","29.92","1.05"
"American Woodmark","AMWD","135.47K","1.46B","1.25B","22.46","1.86"
"Ameris","ABCB","225.93K","2.36B","227.23M","23.88","1.07"
"AMERISAFE","AMSF","89.24K","1.23B","377.29M","19.54","0.75"
"AMN Healthcare Services","AMN","401.98K","2.72B","2.08B","21.07","0.33"
"Amneal Pharma A","AMRX","1.23M","6.46B","803.09M","","1.31"
"Amphastar P","AMPH","207.93K","830.66M","247.75M","","1.38"
"AngioDynamics","ANGO","229.74K","802.63M","344.29M","91.05","0.93"
"ANI Pharma","ANIP","142.67K","667.26M","189.20M","48.82","2.85"
"Anika","ANIK","86.25K","614.12M","108.38M","39.75","2.05"
"Anixter","AXE","187.47K","2.41B","8.13B","17.6","2.2"
"Apogee","APOG","310.40K","1.40B","1.39B","19.08","1.51"
"Applied Industrial Technologies","AIT","187.88K","2.96B","3.07B","21.34","0.88"
"ArcBest Corp","ARCB","308.58K","1.18B","2.95B","34.63","2.09"
"Archrock","AROC","1.32M","1.55B","845.70M","","2.93"
"Asbury Automotive","ABG","209.35K","1.52B","6.61B","9.45","1.44"
"ASGN","ASGN","283.04K","4.76B","2.91B","36.01","1.95"
"Assertio Therapeutics","ASRT","1.20M","478.73M","381.49M","","1.39"
"Astec","ASTE","180.90K","1.08B","1.16B","","1.04"
"Atlas Air","AAWW","268.12K","1.54B","2.42B","36.54","1.22"
