"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.05M","2.05B","310.62M","","0.48"
"A Schulman","SHLM","398.75K","1.29B","2.69B","64.53","1.36"
"AAON","AAON","190.57K","2.04B","426.50M","50.04","0.89"
"AAR","AIR","219.85K","1.60B","2.19B","27.14","1.27"
"Abercrombie&Fitch","ANF","2.49M","1.81B","3.56B","46.95","0.47"
"ABM Industries","ABM","823.76K","2.02B","5.99B","30.62","0.78"
"Acadia","AKR","565.93K","2.17B","376.95M","44.85","0.36"
"Aceto","ACET","467.77K","97.91M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.32B","588.93M","","1.41"
"Actuant","ATU","508.41K","1.72B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","771.42M","560.49M","","0.51"
"Advanced Energy","AEIS","457.14K","2.33B","747.43M","10.78","1.06"
"AdvanSix","ASIX","182.60K","1.03B","1.50B","13.33",""
"Aegion","AEGN","146.81K","789.04M","1.34B","","1.73"
"Aerojet Rocketdyne","AJRD","707.09K","2.77B","1.97B","37.57","1.07"
"AeroVironment","AVAV","360.74K","1.93B","271.06M","76.1","1.13"
"Agilysys","AGYS","43.36K","372.64M","127.50M","","0.32"
"Agree","ADC","176.41K","1.66B","132.20M","28.22","0.29"
"AK Steel","AKS","12.98M","1.34B","6.40B","","2.9"
"Alamo","ALG","65.83K","1.12B","978.93M","18.01","0.96"
"Albany","AIN","114.55K","2.43B","935.08M","36.84","1.67"
"Allegiant","ALGT","157.19K","2.14B","1.59B","15.69","0.11"
"Allete","ALE","222.03K","3.98B","1.40B","28.32","0.19"
"AMAG","AMAG","1.23M","873.89M","604.69M","","0.43"
"Amedisys","AMED","336.51K","3.63B","1.60B","43.39","0.86"
"American Assets","AAT","233.17K","1.81B","329.84M","96.92","0.34"
"American Axle&Manufacturing","AXL","1.85M","1.81B","7.07B","4.64","1.41"
"American Equity Inv. Life","AEL","638.10K","3.24B","2.97B","9.08","2.53"
"American Public Education","APEI","109.20K","559.21M","299.13M","28.68","0.69"
"American States Water","AWR","185.57K","2.18B","430.23M","36.32","0.1"
"American Vanguard","AVD","76.18K","630.06M","417.62M","30.46","1.05"
"American Woodmark","AMWD","135.47K","1.43B","1.25B","22.48","1.86"
"Ameris","ABCB","225.93K","2.18B","227.23M","23.71","1.07"
"AMERISAFE","AMSF","89.24K","1.22B","377.29M","19.42","0.75"
"AMN Healthcare Services","AMN","421.25K","2.63B","2.02B","20.89","0.33"
"Amneal Pharma A","AMRX","1.21M","6.43B","775.79M","","1.31"
"Amphastar P","AMPH","207.93K","821.81M","247.75M","","1.38"
"AngioDynamics","ANGO","229.74K","787.51M","344.29M","89.75","0.93"
"ANI Pharma","ANIP","142.67K","675.16M","189.20M","49.46","2.85"
"Anika","ANIK","86.25K","605.07M","108.38M","40.13","2.05"
"Anixter","AXE","189.47K","2.34B","8.13B","17.59","2.2"
"Apogee","APOG","310.40K","1.39B","1.39B","19.14","1.51"
"Applied Industrial Technologies","AIT","187.66K","2.85B","2.86B","21.48","0.88"
"ArcBest Corp","ARCB","308.58K","1.18B","2.95B","34.93","2.09"
"Archrock","AROC","1.36M","1.65B","845.70M","","2.93"
"Asbury Automotive","ABG","216.96K","1.52B","6.61B","9.48","1.44"
"ASGN","ASGN","283.56K","4.68B","2.91B","35.73","1.95"
"Astec","ASTE","180.90K","1.06B","1.16B","","1.04"
"Atlas Air","AAWW","268.12K","1.54B","2.42B","36.33","1.22"
"ATN Int","ATNI","95.43K","1.15B","452.09M","123.91","0.57"
"Avista","AVA","499.19K","3.33B","1.42B","27.33","0.17"
"Axon Enterprise","AAXN","894.95K","3.55B","385.36M","123.23","1.12"
