"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","22.35","22.60","22.04","+0.35","+1.59%","360.45K","16:00:01"
"A Schulman","SHLM","43.85","43.90","43.60","+0.15","+0.34%","108.15K","16:00:02"
"AAON","AAON","39.75","39.95","39.15","+0.75","+1.92%","67.03K","16:00:02"
"AAR","AIR","46.26","46.62","45.99","+0.30","+0.65%","147.66K","16:00:00"
"Abercrombie&Fitch","ANF","29.28","29.41","26.95","+2.56","+9.58%","4.24M","16:00:00"
"ABM Industries","ABM","31.18","31.40","30.71","+0.43","+1.40%","493.64K","16:00:00"
"Acadia","AKR","27.14","27.17","26.66","+0.52","+1.95%","260.94K","16:00:00"
"Aceto","ACET","3.22","3.28","3.18","+0.04","+1.26%","163.12K","16:00:02"
"Acorda","ACOR","28.45","29.10","27.95","+0.70","+2.52%","339.84K","16:00:01"
"Actuant","ATU","28.70","28.85","28.30","+0.50","+1.77%","189.58K","16:00:00"
"ADTRAN","ADTN","16.20","16.23","16.00","+0.10","+0.62%","151.06K","16:00:02"
"Advanced Energy","AEIS","60.04","60.70","59.86","+0.47","+0.79%","416.99K","16:00:02"
"AdvanSix","ASIX","34.20","34.34","33.79","+0.29","+0.86%","140.44K","16:00:00"
"Aegion","AEGN","24.89","24.91","24.50","+0.47","+1.92%","95.02K","16:00:01"
"Aerojet Rocketdyne","AJRD","37.29","37.67","36.84","+0.61","+1.66%","929.15K","16:00:00"
"AeroVironment","AVAV","82.47","82.86","80.85","+1.91","+2.37%","209.59K","16:00:01"
"Agilysys","AGYS","15.95","16.08","15.75","+0.11","+0.69%","86.50K","16:00:02"
"Agree","ADC","54.42","54.58","53.65","+0.80","+1.49%","93.76K","16:00:00"
"AK Steel","AKS","4.175","4.320","4.170","-0.085","-2.00%","14.57M","16:00:00"
"Alamo","ALG","97.39","102.29","95.01","+1.70","+1.78%","149.82K","16:00:00"
"Albany","AIN","76.60","76.75","75.70","+1.15","+1.52%","195.89K","16:00:00"
"Allegiant","ALGT","134.80","136.10","131.70","+2.55","+1.93%","147.71K","16:00:02"
"Allete","ALE","77.99","78.53","77.16","+0.98","+1.27%","187.14K","16:00:00"
"AMAG","AMAG","24.90","25.83","24.70","-0.45","-1.78%","354.98K","16:00:01"
"Amedisys","AMED","116.73","117.30","114.28","+2.83","+2.48%","320.57K","16:00:01"
"American Assets","AAT","38.61","38.75","38.36","+0.30","+0.78%","96.06K","16:00:00"
"American Axle&Manufacturing","AXL","16.62","16.75","16.27","+0.39","+2.37%","1.38M","16:00:00"
"American Equity Inv. Life","AEL","36.38","36.56","36.02","+0.44","+1.22%","151.22K","16:00:00"
"American Public Education","APEI","34.95","35.00","33.85","+0.85","+2.49%","173.09K","16:00:01"
"American States Water","AWR","59.64","59.66","59.24","+0.57","+0.97%","110.96K","16:00:00"
"American Vanguard","AVD","19.75","19.85","19.55","+0.25","+1.28%","37.28K","16:00:00"
"American Woodmark","AMWD","83.40","84.10","81.25","+1.80","+2.21%","172.55K","16:00:02"
"Ameris","ABCB","49.25","49.45","48.55","+0.70","+1.44%","170.17K","16:00:02"
"AMERISAFE","AMSF","63.50","64.23","62.25","+0.40","+0.63%","60.76K","16:00:01"
"AMN Healthcare Services","AMN","56.75","57.10","55.75","+1.40","+2.53%","201.42K","16:00:00"
"Amneal Pharma A","AMRX","22.14","22.28","21.31","+0.71","+3.31%","1.93M","16:00:00"
"Amphastar P","AMPH","17.68","17.92","17.52","+0.05","+0.28%","104.05K","16:00:01"
"AngioDynamics","ANGO","21.45","21.53","21.26","+0.10","+0.47%","141.47K","16:00:01"
"ANI Pharma","ANIP","57.15","57.82","56.80","-0.08","-0.14%","61.43K","16:00:01"
"Anika","ANIK","42.51","42.68","41.49","+1.02","+2.46%","83.14K","16:00:01"
"Anixter","AXE","71.90","72.47","70.00","+2.00","+2.86%","143.33K","16:00:00"
"Apogee","APOG","49.76","49.89","49.19","+0.58","+1.18%","122.82K","16:00:01"
"Applied Industrial Technologies","AIT","76.85","76.90","74.00","+3.40","+4.63%","382.11K","16:00:00"
"ArcBest Corp","ARCB","46.30","46.90","46.00","+0.40","+0.87%","188.62K","16:00:01"
"Archrock","AROC","12.57","12.95","12.50","-0.17","-1.37%","627.20K","16:00:00"
"Asbury Automotive","ABG","74.95","75.85","74.65","+0.40","+0.54%","209.18K","16:00:00"
"ASGN","ASGN","90.17","90.48","89.19","+0.80","+0.90%","132.89K","16:00:00"
"Astec","ASTE","46.27","46.62","46.07","+0.19","+0.41%","153.85K","16:00:01"
"Atlas Air","AAWW","59.90","60.90","59.70","-0.30","-0.50%","134.17K","16:00:01"
"ATN Int","ATNI","73.23","73.43","71.62","+1.22","+1.69%","73.84K","16:00:01"
"Avista","AVA","51.03","51.20","50.88","+0.35","+0.69%","653.37K","16:00:00"
"Axon Enterprise","AAXN","62.31","62.59","60.83","+1.33","+2.18%","492.62K","16:00:02"
"AZZ","AZZ","54.05","54.55","53.50","+0.50","+0.93%","65.50K","16:00:00"
"B&G Foods","BGS","31.00","31.45","30.80","+0.05","+0.16%","374.75K","16:00:00"
"Badger Meter","BMI","52.55","52.95","52.38","-0.10","-0.19%","121.26K","16:00:00"
"Balchem","BCPC","100.15","100.57","99.39","+0.80","+0.81%","90.53K","16:00:01"
"Banc of California","BANC","20.00","20.03","19.75","+0.30","+1.52%","199.13K","16:00:00"
"Banner","BANR","66.14","66.20","64.63","+1.52","+2.35%","119.76K","16:00:01"
"Barnes","B","65.97","66.63","65.57","+0.04","+0.06%","114.28K","16:00:00"
"Barnes & Noble Education Inc","BNED","6.27","6.35","6.18","+0.11","+1.79%","103.06K","16:00:00"
"Barnes&Noble","BKS","6.28","6.30","6.15","+0.12","+2.03%","705.56K","16:00:00"
"Bel Fuse B","BELFB","25.60","25.75","24.55","+1.05","+4.28%","9.96K","16:00:02"
"Belmond","BEL","15.90","16.00","15.65","+0.20","+1.27%","943.43K","16:00:00"
"Benchmark Electronics","BHE","25.62","25.75","25.45","+0.17","+0.69%","301.09K","16:00:00"
"Big 5","BGFV","5.95","6.03","5.95","0.00","0.00%","157.76K","16:00:02"
"Biglari","BH","199.90","200.62","188.60","+6.57","+3.40%","7.33K","16:00:00"
"BioTelemetry","BEAT","54.900","55.350","54.849","-0.300","-0.54%","326.75K","16:00:01"
"BJs Restaurants","BJRI","64.10","64.65","63.00","+1.05","+1.67%","214.57K","16:00:02"
"Black Box","BBOX","1.68","1.72","1.47","+0.17","+11.26%","612.75K","16:00:01"
"Blackbaud","BLKB","98.20","98.51","96.04","+1.72","+1.78%","247.33K","16:00:01"
"Blucora","BCOR","34.600","34.950","34.500","-0.100","-0.29%","236.27K","16:00:01"
"BofI Holding","BOFI","38.11","38.16","36.95","+1.24","+3.36%","401.58K","16:00:01"
"Boise Cascad Llc","BCC","44.30","44.95","43.70","+0.95","+2.19%","350.61K","16:00:00"
"Boston Private","BPFH","14.00","14.13","13.85","+0.15","+1.08%","523.95K","16:00:01"
"Bottomline","EPAY","59.56","59.61","57.60","+0.73","+1.24%","409.61K","16:00:02"
"Boyd Gaming","BYD","35.36","35.46","34.70","+0.96","+2.79%","856.98K","16:00:00"
"Brady","BRC","37.45","37.90","37.35","+0.05","+0.13%","183.81K","16:00:00"
"Briggs&Stratton","BGG","18.55","18.55","17.39","+1.35","+7.85%","825.07K","16:00:00"
"Brinks","BCO","78.35","79.20","78.15","+0.55","+0.71%","245.59K","16:00:00"
"Bristow","BRS","10.94","11.65","10.49","-0.39","-3.40%","593.91K","16:00:00"
"Brookline Bancorp","BRKL","18.00","18.20","17.75","+0.30","+1.69%","457.10K","16:00:01"
"Brooks Automation","BRKS","29.55","29.92","29.33","-0.11","-0.37%","428.45K","16:00:02"
"Buckle","BKE","27.95","28.05","26.60","+1.60","+6.07%","362.38K","16:00:00"
"Cabot","CCMP","121.41","122.27","121.07","+0.32","+0.26%","51.35K","16:00:02"
"CACI","CACI","181.20","183.85","180.20","+1.10","+0.61%","250.92K","16:00:00"
"Cal-Maine","CALM","49.67","49.95","48.35","+1.57","+3.27%","401.51K","16:00:01"
"CalAmp","CAMP","23.59","23.65","23.07","+0.31","+1.33%","183.21K","16:00:02"
"Calavo Growers","CVGW","101.90","102.25","97.98","+3.65","+3.71%","258.93K","16:00:01"
"Caleres","CAL","37.07","37.09","35.26","+1.78","+5.04%","391.22K","16:00:00"
"California Water Service","CWT","40.65","40.70","40.08","+0.60","+1.50%","104.79K","16:00:00"
"Callaway Golf","ELY","22.61","22.76","22.25","+0.29","+1.32%","789.22K","16:00:00"
"Cambrex","CBM","60.70","61.05","60.15","+0.35","+0.58%","213.02K","16:00:00"
"Cantel Medical","CMD","95.45","96.97","95.28","-0.69","-0.72%","123.27K","16:00:00"
"Capstead Mortgage","CMO","8.39","8.40","8.31","+0.06","+0.72%","1.31M","16:00:00"
"Carbo Ceramics","CRR","8.54","8.58","8.36","+0.12","+1.43%","190.01K","16:00:00"
"Cardtronics","CATM","31.84","31.86","30.19","+1.67","+5.54%","413.88K","16:00:00"
"Career","CECO","16.71","16.88","16.62","-0.02","-0.12%","242.35K","16:00:02"
"Caretrust Inc","CTRE","17.86","18.01","17.49","+0.36","+2.06%","774.66K","16:00:01"
"Carrizo Oil&Gas","CRZO","24.32","24.44","23.79","+0.64","+2.70%","1.86M","16:00:02"
"Cato","CATO","24.82","25.06","24.31","+0.45","+1.85%","335.66K","16:00:00"
"Cavco","CVCO","226.60","232.85","224.50","+2.45","+1.09%","36.31K","16:00:02"
"Cedar Realty","CDR","4.47","4.50","4.43","+0.04","+0.90%","261.28K","16:00:00"
"Celadon","CGIP","3.33","3.50","3.08","+0.25","+8.12%","146.35K","15:46:00"
"Central Garden&Pet","CENT","39.20","40.51","39.16","-1.24","-3.07%","355.95K","16:00:02"
"Central Garden&Pet A","CENTA","36.27","37.05","36.25","-0.62","-1.68%","385.30K","16:00:02"
"Century Aluminum","CENX","12.46","12.62","12.07","+0.40","+3.32%","2.05M","16:00:01"
"CEVA","CEVA","29.60","30.05","29.20","+0.30","+1.02%","126.19K","16:00:02"
"Chart Industries","GTLS","77.64","78.25","77.09","+0.78","+1.01%","140.84K","16:00:02"
"Chemed","CHE","317.35","317.61","315.73","+1.98","+0.63%","84.42K","16:00:00"
"Chemours Co","CC","44.335","45.140","44.280","+0.065","+0.15%","887.18K","16:00:00"
"Chesapeake Lodging","CHSP","31.76","31.78","31.17","+0.64","+2.06%","118.03K","16:00:00"
"Chuy's Holdings","CHUY","27.200","27.750","26.900","-0.100","-0.37%","200.78K","16:00:01"
"Cincinnati Bell","CBB","12.600","12.650","11.850","+0.550","+4.56%","286.84K","16:00:00"
"CIRCOR","CIR","44.50","44.86","43.62","+0.68","+1.55%","78.27K","16:00:00"
"City Holding","CHCO","81.49","81.76","80.30","+1.18","+1.47%","49.83K","16:00:02"
"Clearwater Paper","CLW","25.40","25.95","25.35","+0.30","+1.20%","93.09K","16:00:00"
"Cloud Peak Energy","CLD","2.355","2.520","2.342","-0.145","-5.80%","616.92K","16:00:00"
"CMTSU Liquidation","CBRI","0.002","0.002","0.002","-0.000","-0.92%","18.13K","15:48:00"
"Cogent","CCOI","52.25","52.60","51.20","+1.20","+2.35%","152.72K","16:00:01"
"Coherent","COHR","181.77","184.62","179.07","+2.46","+1.37%","422.23K","16:00:02"
"Cohu","COHU","27.47","27.82","26.99","+0.59","+2.19%","329.43K","16:00:01"
"Columbia Banking","COLB","42.63","42.96","41.90","+0.78","+1.86%","194.93K","16:00:02"
"Comfort Systems","FIX","55.80","56.05","54.95","+0.95","+1.73%","146.85K","16:00:00"
"Community Bank System","CBU","64.90","65.03","63.94","+1.40","+2.20%","121.45K","16:00:00"
"Community Health Systems","CYH","3.23","3.24","3.04","+0.08","+2.54%","1.69M","16:00:00"
"Computer Programs&Systems","CPSI","27.65","27.80","26.40","+1.30","+4.93%","213.20K","16:00:02"
"Comtech","CMTL","34.75","34.81","34.13","+0.12","+0.35%","46.01K","16:00:01"
"CONMED","CNMD","77.88","78.09","76.66","+1.06","+1.38%","121.66K","16:00:01"
"Consolidated Communications","CNSL","11.54","11.74","11.46","+0.13","+1.14%","441.97K","16:00:02"
"Contango Oil&Gas","MCF","4.79","4.87","4.47","+0.35","+7.88%","19.74K","13/08"
"Cooper Stnd","CPS","137.00","137.78","134.37","+2.13","+1.58%","96.02K","16:00:00"
"Core-Mark","CORE","33.14","33.22","31.51","+1.48","+4.67%","608.56K","16:00:02"
"CoreSite","COR","112.95","113.96","112.91","-0.13","-0.12%","125.18K","16:00:00"
"Corindus Vascular Robotics","CR3","0.817","0.817","0.817","+0.025","+3.16%","0","02:16:00"
"CorVel","CRVL","58.05","59.64","57.25","+0.95","+1.66%","30.64K","16:00:01"
"CPB","CPF","28.42","28.46","27.89","+0.63","+2.27%","93.50K","16:00:00"
"Cray","CRAY","21.25","21.50","21.20","+0.05","+0.24%","198.40K","16:00:02"
"Crocs","CROX","18.64","18.70","18.01","+0.70","+3.90%","964.90K","16:00:02"
"Cross Country","CCRN","9.51","9.56","9.21","+0.30","+3.26%","216.86K","16:00:02"
"CryoLife","CRY","32.00","33.10","31.80","-0.10","-0.31%","223.14K","16:00:00"
"CSG Systems","CSGS","37.32","37.65","36.76","+0.19","+0.51%","109.70K","16:00:02"
"CTS Corp","CTS","35.45","35.60","35.00","+0.35","+1.00%","77.74K","16:00:00"
