"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","22.60","23.10","22.50","+0.05","+0.22%","577.27K","15:59:59"
"AAON","AAON","41.35","43.30","41.18","-1.55","-3.61%","204.18K","15:59:59"
"AAR","AIR","45.77","46.16","45.61","-0.33","-0.72%","58.01K","15:59:59"
"Abercrombie&Fitch","ANF","28.69","28.76","28.03","+0.42","+1.49%","966.58K","15:59:59"
"ABM Industries","ABM","30.35","32.31","29.90","-2.63","-7.97%","1.59M","15:59:59"
"Acadia","AKR","28.65","28.72","28.42","+0.22","+0.77%","442.47K","15:59:59"
"Aceto","ACET","3.24","3.30","3.18","-0.03","-0.92%","113.35K","15:59:59"
"Acorda","ACOR","28.90","29.35","28.40","-0.25","-0.86%","406.28K","15:59:59"
"Actuant","ATU","29.35","29.80","29.30","-0.25","-0.84%","203.70K","15:59:59"
"ADTRAN","ADTN","17.00","17.15","16.90","+0.05","+0.29%","130.63K","15:59:59"
"Advanced Energy","AEIS","58.20","59.33","58.16","-0.31","-0.53%","301.90K","15:59:59"
"AdvanSix","ASIX","33.06","33.38","32.65","-0.16","-0.48%","134.47K","15:59:59"
"Aegion","AEGN","25.25","25.40","25.10","-0.16","-0.63%","49.16K","15:59:59"
"Aerojet Rocketdyne","AJRD","36.09","36.70","35.92","-0.64","-1.74%","331.37K","15:59:59"
"AeroVironment","AVAV","84.46","86.07","84.24","-1.09","-1.27%","200.09K","15:59:59"
"Agilysys","AGYS","16.45","16.52","15.88","+0.32","+1.98%","40.51K","15:59:59"
"Agree","ADC","56.33","56.50","56.03","+0.10","+0.18%","112.22K","15:59:59"
"AK Steel","AKS","4.250","4.480","4.200","-0.220","-4.92%","13.46M","15:59:59"
"Alamo","ALG","97.90","98.73","97.10","-0.75","-0.76%","56.74K","15:59:59"
"Albany","AIN","76.95","78.30","76.85","-1.10","-1.41%","135.93K","15:59:59"
"Allegiant","ALGT","136.20","136.95","134.30","+1.15","+0.85%","79.35K","15:59:59"
"Allete","ALE","76.38","77.21","76.10","-0.75","-0.97%","288.98K","15:59:59"
"AMAG","AMAG","24.50","25.05","24.30","-0.40","-1.61%","324.72K","15:59:59"
"Amedisys","AMED","123.73","124.82","122.00","+1.89","+1.55%","237.36K","15:59:59"
"American Assets","AAT","39.29","39.63","39.28","-0.12","-0.30%","120.93K","15:59:59"
"American Axle&Manufacturing","AXL","17.72","17.76","17.37","-0.03","-0.17%","1.41M","15:59:59"
"American Equity Inv. Life","AEL","36.89","37.31","36.65","-0.49","-1.31%","331.16K","15:59:59"
"American Public Education","APEI","35.65","35.70","34.85","+0.40","+1.13%","124.97K","15:59:59"
"American States Water","AWR","61.06","61.37","60.74","+0.30","+0.49%","120.59K","15:59:59"
"American Vanguard","AVD","20.40","20.60","20.10","+0.25","+1.24%","84.89K","15:59:59"
"American Woodmark","AMWD","81.95","84.95","81.20","-2.90","-3.42%","148.30K","15:59:59"
"Ameris","ABCB","50.00","50.08","49.60","+0.10","+0.20%","211.46K","15:59:59"
"AMERISAFE","AMSF","62.55","64.50","62.35","-0.25","-0.40%","185.63K","15:59:59"
"AMN Healthcare Services","AMN","57.55","58.40","57.45","-0.55","-0.95%","155.76K","15:59:59"
