"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"Central Garden&Pet","CENT","118.17K","1.93B","2.20B","20.48","-0.13"
"Central Garden&Pet A","CENTA","209.85K","1.93B","2.20B","20.48","-0.13"
"Century Aluminum","CENX","2.42M","1.05B","2.51B","15.8","0.74"
"CEVA","CEVA","190.44K","646.62M","80.70M","148.06","1.08"
"Chart Industries","GTLS","285.83K","2.28B","1.15B","99.25","1.08"
"Chemed","CHE","211.48K","5.14B","1.73B","29.62","1.16"
"Chemours Co","CC","1.54M","7.75B","6.71B","7.96",""
"Chesapeake Lodging","CHSP","274.17K","1.97B","599.25M","26.72","0.94"
"Chuy's Holdings","CHUY","161.57K","461.80M","388.40M","27.44","-0.23"
"Cincinnati Bell","CBB","596.53K","624.46M","1.31B","","1.15"
"CIRCOR","CIR","282.08K","849.21M","942.22M","","2.01"
"City Holding","CHCO","58.42K","1.27B","106.92M","18.4","0.61"
"Clearwater Paper","CLW","189.69K","508.65M","1.73B","22.99","1.12"
"Cloud Peak Energy","CLD","583.97K","185.66M","884.78M","","1.99"
"CMTSU Liquidation","CBRI","1.10M","195.95K","","","0.63"
"Cogent","CCOI","308.17K","2.43B","506.21M","109.92","0.59"
"Coherent","COHR","576.42K","4.47B","1.93B","22.26","0.97"
"Cohu","COHU","249.42K","745.63M","372.71M","16.05","0.98"
"Columbia Banking","COLB","276.51K","3.12B","286.52M","19","1.07"
"Comfort Systems","FIX","264.37K","2.12B","1.94B","30.66","1.33"
"Community Bank System","CBU","200.23K","3.38B","293.45M","22.26","1.04"
"Community Health Systems","CYH","2.56M","412.70M","13.98B","","1.64"
"Computer Programs&Systems","CPSI","76.13K","385.25M","283.96M","","-0.09"
"Comtech","CMTL","190.04K","852.77M","550.91M","29.47","1.49"
"CONMED","CNMD","178.50K","2.18B","827.56M","53.55","0.52"
"Consolidated Communications","CNSL","1.09M","861.44M","1.43B","","0.72"
"Contango Oil&Gas","MCF","73.85K","154.85M","77.74M","","1.62"
"Cooper Stnd","CPS","139.32K","2.49B","3.70B","13.88","0.74"
"Core-Mark","CORE","337.48K","1.60B","16.42B","83.89","0.71"
"CoreSite","COR","320.99K","5.55B","515.09M","56.12","0.3"
"Corindus Vascular Robotics","CR3","1.08K","158.36M","8.73M","81.08","1.03"
"CorVel","CRVL","35.96K","1.14B","571.13M","32.21","0.66"
"CPB","CPF","119.03K","857.40M","115.30M","16.93","1.03"
"Cray","CRAY","352.17K","865.53M","446.13M","","1.57"
"Crocs","CROX","1.21M","1.41B","1.05B","163.77","0.44"
"Cross Country","CCRN","228.36K","365.85M","863.02M","7.9","0.85"
"CryoLife","CRY","146.58K","1.27B","227.28M","","0.64"
"CSG Systems","CSGS","183.17K","1.23B","819.12M","20.02","0.88"
"CTS Corp","CTS","150.29K","1.15B","448.70M","35.29","1.25"
"Cubic","CUB","150.46K","2.03B","1.36B","","1.03"
"Customers Bancorp","CUBI","208.95K","809.48M","241.64M","11.81","0.69"
"CVB Financial","CVBF","386.16K","2.72B","170.13M","20.73","1.37"
"Daktronics","DAKT","227.72K","333.52M","592.00M","60.46","1.11"
"Darling Ingredients","DAR","833.70K","3.34B","3.61B","23.82","1.4"
"Dave & Buster’s Entertainment","PLAY","1.42M","2.17B","1.17B","21.31","0.42"
"DHI Group","DHX","533.20K","118.19M","188.02M","6.88","1.07"
"Diamondrock Hospitality","DRH","2.12M","2.44B","850.01M","31.89","1.44"
"Digi","DGII","104.22K","359.60M","207.81M","47.78","1.39"
"Dime Community","DCOM","183.88K","694.87M","114.51M","11.78","0.5"
"DineEquity","DIN","340.04K","1.42B","666.08M","","0.06"
"Diodes","DIOD","317.37K","1.87B","1.13B","25.98","0.94"
"Diplomat Pharmacy","DPLO","1.18M","1.46B","5.04B","","1.12"
"Donnelley Financial Solutions","DFIN","294.64K","694.96M","993.20M","31.55",""
"Dorman","DORM","258.60K","2.63B","917.75M","22.81","1.02"
"DSP Group","DSPG","57.83K","288.34M","124.28M","","0.84"
"DXP Enterprises","DXPE","86.62K","844.84M","1.11B","36.64","2.59"
"Eagle Pharm","EGRX","255.51K","1.22B","215.73M","38","1.37"
"EastGroup Properties","EGP","191.05K","3.43B","287.20M","41.78","0.81"
"Ebix","EBIX","180.10K","2.53B","430.34M","23.95","1.26"
"Echo Global","ECHO","416.03K","943.51M","2.27B","48.59","1.61"
"eHealth","EHTH","170.08K","566.45M","141.19M","","1.32"
"El Paso Electric","EE","258.59K","2.55B","906.13M","6.56","0.34"
"El Pollo Loco Holdings Inc","LOCO","437.42K","482.61M","413.75M","245.92","0.38"
"Electro Scientific","ESIO","1.31M","788.59M","405.82M","5.68","1.02"
"Electronics for Imaging","EFII","542.66K","1.52B","1.02B","269.32","1.08"
"Emergent Biosolutions","EBS","298.95K","3.02B","681.25M","13.78","1.23"
"Employers","EIG","115.15K","1.45B","804.00M","11.6","1.05"
"Enanta","ENTA","217.99K","1.77B","215.35M","22.14","0.92"
"Encore Capital","ECPG","232.43K","1.22B","1.30B","11.76","1.55"
"Encore Wire","WIRE","70.70K","1.07B","1.22B","18.54","1.85"
"Engility","EGL","124.98K","1.27B","1.92B","45.53","1.89"
"Enova International Inc","ENVA","347.48K","1.20B","969.18M","29.39","2.58"
"Enpro Industries","NPO","159.96K","1.56B","1.47B","3.18","1.09"
"ePlus","PLUS","96.51K","1.40B","1.40B","25.52","1.14"
"Era Group Inc","ERA","48.48K","264.16M","233.96M","","0.94"
"ESCO Technologies","ESE","83.40K","1.77B","747.50M","30.47","0.98"
"Essendant Inc","ESND","402.41K","565.65M","5.00B","","1.33"
"Ethan Allen Interiors","ETH","213.82K","606.19M","766.78M","18.42","0.88"
"Evercore","EVR","485.17K","5.16B","1.88B","14.6","1.7"
"EW Scripps A","SSP","458.46K","1.19B","959.59M","","2.1"
"ExlServices","EXLS","135.26K","2.10B","807.30M","27.47","1.27"
"Exponent","EXPO","89.53K","2.71B","367.92M","42.9","0.6"
"Express","EXPR","1.90M","799.64M","2.15B","38.86","0.84"
"Exterran Corp","EXTN","127.10K","1.03B","1.36B","7085.78",""
"EZCORP","EZPW","653.57K","610.00M","789.25M","11.66","1.44"
"Fabrinet","FN","377.72K","1.77B","1.37B","21.58","0.59"
"FARO","FARO","97.02K","1.16B","387.74M","","1.58"
"Federal Signal","FSS","255.62K","1.57B","1.04B","25.71","1.34"
"Fidelity","LION","93.74K","657.50M","160.41M","17.87","0.93"
"Fiesta","FRGI","257.10K","798.89M","667.21M","214.6","0.58"
"First Bancorp","FBP","1.70M","1.95B","348.30M","26.2","1.85"
"First Commonwealth Financial","FCF","433.05K","1.71B","188.29M","1087.12","1"
"First Financial Bancorp","FFBC","348.78K","3.12B","282.93M","20.82","1.01"
"First Financial Bankshares","FFIN","239.49K","4.08B","191.07M","31.15","1.14"
"First Midwest","FMBI","612.36K","2.84B","353.60M","21.57","1.15"
"First NBC Bank","FNBCQ","165.09K","767.31K","","","-1.39"
"FirstCash","FCFS","263.25K","3.59B","1.79B","27.11","0.51"
"Five Below","FIVE","1.01M","6.38B","1.34B","55.48","0.46"
"Flotek","FTK","758.47K","125.31M","271.58M","","1.42"
"Forestar","FOR","55.42K","1.06B","110.18M","","1.8"
"Forrester","FORR","49.01K","894.66M","344.85M","65.64","0.46"
"Forward Air","FWRD","239.25K","1.86B","1.22B","23.92","1.43"
"Four Corners Property Trust Inc","FCPT","423.53K","1.78B","136.82M","20.38",""
"Fox Factory","FOXF","214.54K","2.43B","535.10M","37.02","0.72"
"Francescass","FRAN","1.27M","258.60M","464.40M","23.67","0.13"
"Franklin Electric","FELE","128.12K","2.26B","1.24B","24.73","1.59"
"Franklin Street Properties","FSP","101.89K","897.52M","269.04M","","0.72"
"Freds","FRED","984.34K","62.97M","3.24B","","1.26"
"FTD Companies Inc","FTD","327.56K","105.33M","1.06B","","0.14"
"FutureFuel","FF","65.36K","660.08M","296.96M","10.86","1.73"
"G-III Apparel","GIII","568.12K","2.27B","2.89B","25.6","0.18"
"Gannett","GCI","1.09M","1.19B","3.05B","17.88",""
"Genesco","GCO","298.67K","926.05M","2.91B","","0.99"
"Gentherm","THRM","216.00K","1.78B","1.02B","35.21","1.61"
"Geo","GEO","730.92K","3.05B","2.28B","19.48","1.22"
"Geospace","GEOS","64.55K","191.17M","78.84M","","1.28"
"Getty","GTY","114.44K","1.18B","129.82M","25.03","0.45"
"Gibraltar Industries","ROCK","284.79K","1.46B","1.01B","20.15","1.8"
"Glacier","GBCI","338.70K","3.83B","278.71M","23.71","1.4"
"Glatfelter","GLT","260.15K","809.04M","1.64B","38.31","1.15"
"Government Propertiesome","GOV","941.46K","1.67B","394.15M","59.08","1.14"
"Great Western Bancorp Inc","GWB","225.45K","2.58B","279.33M","15.38","1.51"
"Green Dot","GDOT","331.98K","4.51B","987.95M","38.83","0.74"
"Green Plains Energy","GPRE","700.45K","743.66M","3.85B","458.13","1.05"
"Greenbrier","GBX","477.37K","1.91B","2.44B","15.72","1.78"
"Greenhill&Co","GHL","390.91K","666.81M","291.02M","522.74","1.15"
"Griffon","GFF","267.75K","830.20M","1.52B","","1.32"
"Group 1 Automotive","GPI","254.07K","1.59B","16.93B","10.46","1.91"
"Guess?","GES","902.88K","1.92B","2.43B","48.87","0.13"
"Gulf Island Fabrication","GIFI","58.52K","145.92M","198.46M","","1.05"
"H B Fuller","FUL","337.99K","2.96B","2.74B","41.32","1.49"
"Haemonetics","HAE","774.05K","5.52B","922.32M","113.06","0.97"
"Hanmi","HAFC","177.70K","859.97M","124.41M","14.07","0.76"
"Harmonic","HLIT","565.77K","464.57M","382.27M","","0.68"
"Harsco","HSC","437.70K","2.19B","1.68B","26.32","2.77"
"Haverty Furniture","HVT","90.91K","466.62M","820.96M","18.28","0.8"
"Hawaiian","HA","1.08M","2.09B","2.79B","8.6","1.3"
"Hawkins","HWKN","31.46K","447.78M","520.23M","","0.72"
"Haynes","HAYN","103.71K","475.10M","413.78M","","1.48"
"HCI Group Inc","HCI","52.79K","381.41M","226.47M","","1.64"
"Healthcare Services","HCSG","931.78K","3.03B","2.00B","41.49","0.82"
"Healthequity Inc","HQY","603.30K","5.42B","244.01M","98.26","1.38"
"HealthStream","HSTM","130.05K","1.00B","238.18M","73.43","0.63"
"Heartland Express","HTLD","511.23K","1.65B","660.33M","37.17","0.61"
"Heidrick&Struggles","HSII","115.15K","838.92M","691.12M","60.76","1.7"
"Helix","HLX","1.44M","1.35B","695.41M","84.63","2.62"
"HFF","HF","270.03K","1.76B","618.66M","13.52","1.1"
"Hibbett Sports","HIBB","772.59K","557.01M","967.24M","11.24","0.7"
"HighPoint","HPR","1.71M","1.12B","342.44M","","3.36"
"Hillenbrand","HI","228.99K","3.18B","1.74B","28.95","1.3"
"HMS Holdings","HMSY","566.30K","2.63B","562.38M","134.07","1.02"
"Home BancShares","HOMB","1.05M","4.17B","381.01M","18.2","1.17"
"Hope Bancorp","HOPE","505.88K","2.31B","345.44M","12.74","1.32"
"Horace Mann Educators","HMN","103.40K","1.88B","1.19B","24.45","0.76"
"Hornbeck","HOS","229.53K","163.54M","209.93M","","1.43"
"Hub Group","HUBG","292.71K","1.76B","4.49B","22.05","1.46"
"Iconix Brand","ICON","2.44M","26.69M","204.22M","","0.98"
"ICU Medical","ICUI","94.54K","6.12B","1.45B","73.88","0.33"
"II-VI","IIVI","858.10K","2.98B","1.16B","39.27","0.11"
"ILG","ILG","1.39M","4.38B","1.83B","20.44","1.47"
"Independent Bank","INDB","72.74K","2.49B","194.67M","23.37","0.94"
"Ingevity","NGVT","232.96K","4.20B","1.04B","33.31",""
"Innophoss","IPHS","143.20K","848.85M","789.10M","25.17","0.72"
"Innospec","IOSP","106.86K","1.85B","1.41B","18.44","1.02"
"Inogen Inc","INGN","142.22K","5.15B","309.11M","136.73","1.1"
"Insight Enterprises","NSIT","203.16K","1.96B","7.14B","15.12","1.21"
"Insperity","NSP","297.47K","4.85B","3.56B","43.37","0.81"
"Installed Building","IBP","186.76K","1.48B","1.23B","36.28","0.78"
"Integer Hld","ITGR","222.03K","2.48B","1.45B","","0.79"
"Integra","IART","503.33K","5.07B","1.37B","41.8","0.59"
"Inter Parfums","IPAR","116.24K","2.07B","640.20M","42.12","1.45"
"Interactive Brokers","IBKR","931.76K","25.28B","2.25B","15","0.97"
"Interface, Inc.","TILE","423.73K","1.37B","1.05B","18.85","1.14"
"INTL FCStone","INTL","123.69K","1.06B","33.93B","29.66","1.79"
"Intrepid Potash","IPI","873.69K","439.21M","169.57M","","1.15"
"Invacare","IVC","346.92K","525.13M","984.47M","","2.38"
"Investment Tech","ITG","169.04K","717.18M","501.24M","","1.66"
"Iridium","IRDM","701.85K","2.29B","486.10M","141.52","1.81"
"iRobot","IRBT","1.16M","2.89B","975.69M","44.82","1.33"
"Itron","ITRI","290.22K","2.57B","2.23B","","0.88"
"J & J Snack Foods","JJSF","76.23K","2.68B","1.15B","34.81","0.56"
"John Bean Tech","JBT","223.91K","3.50B","1.81B","37.8","1.2"
"Kaiser","KALU","121.47K","1.77B","1.49B","20.97","0.71"
"Kaman","KAMN","184.73K","1.82B","1.85B","27.06","0.73"
"KapStone Paper&Packaging","KS","545.25K","3.36B","3.44B","21.71","3.31"
"Kelly Services A","KELYA","162.08K","980.95M","5.51B","15.04","0.89"
"Kirklands","KIRK","152.09K","186.03M","643.72M","34.7","1.31"
"Kite","KRG","599.94K","1.46B","357.56M","","0.55"
"Knight Transportation","KNX","3.29M","5.82B","4.48B","23.39","1.63"
"Kopin","KOPN","586.86K","170.88M","29.13M","395.15","0.91"
"Koppers","KOP","127.24K","721.08M","1.59B","17.7","0.84"
"Korn/Ferry","KFY","477.44K","3.77B","1.82B","25.72","1.21"
"Kraton","KRA","161.68K","1.48B","2.02B","","1.29"
"Kulicke&Soffa","KLIC","607.87K","1.72B","920.18M","9.91","1.19"
"La-Z-Boy","LZB","475.01K","1.58B","1.61B","17.16","1"
"Lannett Com","LCI","1.18M","180.57M","652.78M","3.04","2.31"
"LCI Industries","LCII","213.47K","2.32B","2.44B","17.97","1.07"
"Legacy Texas Financial Grp","LTXB","221.91K","2.21B","223.41M","19.61","1.38"
"Lendingtree","TREE","239.97K","3.00B","697.57M","36.77","2.07"
"Lexington","LXP","988.80K","2.19B","407.99M","163.63","0.86"
"LGI Homes","LGIH","426.07K","1.30B","1.47B","9.71",""
"LHC Group","LHCG","282.80K","3.09B","1.36B","58.63","0.47"
"Ligand","LGND","287.87K","5.28B","230.04M","51.87","0.97"
"Lindsay","LNN","82.04K","980.42M","556.38M","40.35","0.32"
"Liquidity Services","LQDT","159.17K","231.29M","233.18M","","0.72"
"Lithia Motors","LAD","315.59K","2.10B","11.14B","7.49","1.59"
"Littelfuse","LFUS","168.50K","5.44B","1.50B","33.28","0.92"
"LivePerson","LPSN","415.81K","1.55B","233.78M","","1.05"
"LogMeIn","LOGM","596.84K","4.18B","1.13B","85.49","1.1"
"Lsb Industries","LXU","154.16K","204.30M","384.96M","","4.65"
"LSC Communications","LKSD","358.88K","408.46M","3.81B","",""
"LTC Properties","LTC","203.76K","1.81B","166.26M","13.97","0.09"
"Lumber Liquidators","LL","1.11M","496.01M","1.06B","","1.41"
"Lumentum Holdings Inc","LITE","2.37M","4.06B","1.25B","12.72",""
"Luminex","LMNX","269.76K","1.24B","314.58M","24.23","0.31"
"Lydall","LDL","84.54K","776.87M","736.14M","15.53","1.49"
"M/I Homes","MHO","213.02K","741.99M","2.09B","8.96","1.1"
"Magellan Health","MGLN","154.24K","1.84B","6.73B","18.09","0.38"
"Maiden Holdings","MHLD","648.91K","320.10M","2.86B","","1.3"
"ManTech","MANT","203.54K","2.54B","1.85B","35.24","0.82"
"Marcus","MCS","89.29K","1.11B","673.48M","21.21","0.54"
"MarineMax","HZO","294.43K","569.39M","1.12B","15.33","1.23"
"Marriot Vacations Worldwide","VAC","322.24K","3.30B","2.13B","26.28","1.41"
"Marten Transport","MRTN","296.41K","1.21B","737.43M","29.93","1.36"
"Masimo","MASI","547.74K","6.09B","843.44M","31.53","0.97"
"Materion","MTRN","91.87K","1.27B","1.22B","32.01","0.97"
"Matrix","MTRX","209.34K","576.69M","1.09B","179.28","0.96"
"Matson","MATX","209.22K","1.56B","2.13B","16.94","1.32"
"Matthews","MATW","171.55K","1.70B","1.59B","24.7","1.07"
"MDC","MDC","428.49K","1.84B","2.73B","9.43","1.41"
"Medidata","MDSO","547.34K","4.79B","586.41M","91.04","1.41"
"MEDIFAST","MED","210.38K","2.68B","371.13M","66.98","0.24"
"Mercury","MRCY","375.81K","2.47B","493.19M","61.58","0.46"
"Meridian","VIVO","311.16K","665.61M","210.17M","29.5","0.81"
"Merit","MMSI","302.17K","3.14B","798.08M","139.12","1.31"
"Meritage","MTH","372.47K","1.76B","3.39B","9.13","1.06"
"Methode Electronics","MEI","228.42K","1.48B","908.30M","13.45","1.02"
"MicroStrategy","MSTR","89.70K","1.63B","506.93M","40.64","0.64"
"MiMedx","MDXG","3.35M","466.35M","160.98M","14.65","1.53"
"MKS Instruments","MKSI","538.23K","4.93B","2.13B","12.75","0.88"
"Mobile Mini","MINI","211.22K","1.96B","565.99M","32.9","1.86"
"Momenta","MNTA","902.34K","2.13B","106.58M","","1.8"
"Monarch","MCRI","74.78K","851.67M","235.27M","28.69","1.04"
"Monotype","TYPE","284.48K","924.18M","242.90M","","1.04"
"Monro Muffler Brake","MNRO","301.77K","2.34B","1.15B","33.01","0.84"
"Moog","MOGa","106.55K","2.84B","2.66B","24.7","1.69"
"Motorcar Parts","MPAA","192.06K","490.31M","425.57M","57.68","1.76"
"Movado","MOV","197.98K","844.09M","595.83M","28.16","-0.08"
"MTS Systems","MTSC","74.21K","940.33M","781.64M","32.92","0.94"
"Mueller Industries","MLI","208.53K","1.90B","2.38B","19.43","1.48"
"Multi-Color","LABL","121.35K","1.25B","1.51B","27.98","0.73"
"Myers Industries","MYE","164.83K","786.81M","577.31M","34.59","1.6"
"MYR Group","MYRG","97.20K","581.78M","1.43B","24.72","0.53"
"Nanometrics","NANO","200.84K","1.03B","305.78M","20.59","1.77"
"National Presto Industries","NPK","52.43K","962.68M","342.27M","21.08","0.3"
"Natus","BABY","536.66K","1.22B","513.34M","","0.61"
"Nautilus","NLS","234.68K","441.62M","406.21M","23.15","1.13"
"Navigant","NCI","359.39K","1.07B","966.88M","38.15","0.88"
"NBT Bancorp","NBTB","134.19K","1.79B","230.97M","18.27","0.86"
"Neenah Paper","NP","62.36K","1.50B","1.03B","35.78","1.06"
"Nektar","NKTR","2.57M","10.95B","1.37B","13.05","2.18"
"Neogen","NEOG","174.21K","4.53B","402.26M","68.14","1.32"
"NETGEAR","NTGR","573.88K","2.31B","1.46B","62.46","2.04"
"Newpark Resources","NR","605.55K","987.08M","869.60M","39.09","1.5"
"NIC","EGOV","895.55K","1.14B","347.22M","19.81","0.69"
"Northern Oil&Gas","NOG","157.68K","971.82M","212.06M","","1.93"
"Northfield Bancorp","NFBK","106.51K","822.57M","75.46M","20.41","0.4"
"Northwest Bancshares","NWBI","549.16K","1.90B","228.31M","20.11","0.67"
"Northwest Natural Gas","NWN","120.82K","1.84B","717.89M","","0.26"
"NutriSystem","NTRI","830.24K","1.19B","691.63M","21.61","1.34"
"OFG Bancorp","OFG","340.88K","723.52M","208.39M","17.42","1.85"
"Old National Bancorp","ONB","756.01K","3.07B","393.13M","26.19","0.84"
"Ollies Bargain Outlet Holdings Inc","OLLI","535.95K","4.97B","1.13B","37.85",""
"Olympic Steel","ZEUS","136.53K","234.26M","1.47B","6.82","1.73"
"Omnicell","OMCL","289.31K","2.65B","756.01M","105.28","0.96"
"Onespan","OSPN","194.71K","732.11M","200.62M","126.36","1.4"
"Opus Bank","OPB","204.42K","1.02B","150.73M","","0.9"
"Orion Group","ORN","228.31K","256.84M","598.98M","52.71","1.16"
"Oritani","ORIT","201.86K","771.51M","78.84M","13.93","0.37"
"OSI Systems","OSIS","407.02K","1.39B","1.05B","56.34","0.89"
"Oxford Industries","OXM","159.98K","1.59B","1.09B","27.63","0.21"
"Papa John's","PZZA","1.10M","1.35B","1.73B","21.56","0.42"
"Park Electrochemical","PKE","136.21K","430.20M","114.88M","110.6","0.88"
"Patrick","PATK","248.98K","1.56B","2.04B","15.11","0.82"
"PDC Energy","PDCE","898.19K","3.63B","845.89M","","0.68"
"Pennsylvania RE","PEI","990.40K","737.64M","367.23M","","1.11"
