"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","915.32K","2.11B","310.62M","","0.51"
"AAON","AAON","190.57K","2.16B","426.50M","52.05","0.9"
"AAR","AIR","210.13K","1.59B","2.19B","26.98","1.25"
"Abercrombie&Fitch","ANF","2.42M","1.94B","3.56B","43.87","0.51"
"ABM Industries","ABM","809.04K","2.00B","5.99B","29.94","0.77"
"Acadia","AKR","559.06K","2.34B","376.95M","47.47","0.37"
"Aceto","ACET","467.77K","99.75M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.37B","588.93M","","1.43"
"Actuant","ATU","490.93K","1.79B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","811.57M","560.49M","","0.52"
"Advanced Energy","AEIS","457.14K","2.28B","747.43M","10.42","1.06"
"AdvanSix","ASIX","182.69K","1.00B","1.50B","13.1",""
"Aegion","AEGN","146.81K","815.86M","1.34B","","1.73"
"Aerojet Rocketdyne","AJRD","695.60K","2.73B","1.97B","36.27","1.08"
"AeroVironment","AVAV","360.74K","2.02B","271.06M","78.73","1.15"
"Agilysys","AGYS","43.36K","386.99M","127.50M","","0.32"
"Agree","ADC","161.22K","1.75B","132.20M","29.35","0.3"
"AK Steel","AKS","12.72M","1.34B","6.40B","","2.87"
"Alamo","ALG","66.35K","1.15B","978.93M","18.2","0.96"
"Albany","AIN","126.01K","2.48B","935.08M","37.01","1.7"
"Allegiant","ALGT","157.19K","2.20B","1.59B","15.76","0.12"
"Allete","ALE","211.60K","3.92B","1.40B","27.73","0.18"
"AMAG","AMAG","1.23M","844.58M","604.69M","","0.45"
"Amedisys","AMED","336.51K","3.94B","1.60B","46.27","0.89"
"American Assets","AAT","221.36K","1.86B","329.84M","98.95","0.34"
"American Axle&Manufacturing","AXL","1.90M","1.98B","7.22B","5.01","1.43"
"American Equity Inv. Life","AEL","551.19K","3.33B","2.97B","9.33","2.53"
"American Public Education","APEI","109.20K","585.51M","299.13M","29.46","0.66"
"American States Water","AWR","178.15K","2.24B","430.23M","37.03","0.1"
"American Vanguard","AVD","76.56K","618.62M","417.62M","32.31","1.04"
"American Woodmark","AMWD","135.47K","1.44B","1.25B","22.9","1.85"
"Ameris","ABCB","225.93K","2.38B","227.23M","24","1.07"
"AMERISAFE","AMSF","89.24K","1.21B","377.29M","19.6","0.75"
"AMN Healthcare Services","AMN","384.66K","2.73B","2.08B","21.18","0.31"
"Amneal Pharma A","AMRX","1.22M","7.06B","803.09M","","1.36"
"Amphastar P","AMPH","207.93K","838.17M","247.75M","","1.38"
"AngioDynamics","ANGO","229.74K","829.93M","344.29M","93.06","0.93"
"ANI Pharma","ANIP","142.67K","677.79M","189.20M","49.6","2.83"
"Anika","ANIK","86.25K","604.78M","108.38M","39.1","2.05"
"Anixter","AXE","187.93K","2.40B","8.13B","17.66","2.19"
"Apogee","APOG","310.40K","1.41B","1.39B","19.19","1.5"
"Applied Industrial Technologies","AIT","182.65K","2.97B","3.07B","22.29","0.88"
"ArcBest Corp","ARCB","308.58K","1.21B","2.95B","35.65","2.09"
"Archrock","AROC","1.27M","1.66B","845.70M","","2.9"
"Asbury Automotive","ABG","207.25K","1.54B","6.61B","9.52","1.46"
"ASGN","ASGN","277.86K","4.74B","2.91B","35.99","1.94"
"Assertio Therapeutics","ASRT","1.20M","444.85M","381.49M","","1.37"
"Astec","ASTE","180.90K","1.10B","1.16B","","1.03"
"Atlas Air","AAWW","268.12K","1.57B","2.42B","37.63","1.21"
"ATN Int","ATNI","95.43K","1.18B","452.09M","124.58","0.59"
"Avista","AVA","462.35K","3.38B","1.42B","27.6","0.17"
"Axon Enterprise","AAXN","894.95K","3.73B","385.36M","129.64","1.11"
"AZZ","AZZ","192.05K","1.40B","861.47M","54.91","1.44"
"B&G Foods","BGS","850.65K","2.07B","1.70B","36.28","0.49"
"Badger Meter","BMI","114.08K","1.58B","415.35M","53.63","0.68"
"Balchem","BCPC","114.47K","3.35B","635.08M","48.13","0.83"
"Banc of California","BANC","433.26K","998.61M","220.54M","38.39","0.77"
"Banner","BANR","195.21K","2.14B","259.82M","18.54","0.92"
"Barnes","B","214.18K","3.48B","1.47B","22.9","1.35"
"Barnes & Noble Education Inc","BNED","397.39K","255.23M","2.19B","",""
"Barnes&Noble","BKS","985.83K","418.56M","3.66B","","1.69"
"Bel Fuse B","BELFB","28.05K","320.16M","505.29M","38.77","1.09"
"Belmond","BEL","576.77K","1.95B","561.60M","","1.44"
"Benchmark Electronics","BHE","357.18K","1.20B","2.55B","19.21","0.23"
"Big 5","BGFV","1.28M","126.44M","987.49M","","-0.9"
"Biglari","BH","8.06K","609.58M","636.40M","","0.43"
"BioTelemetry","BEAT","469.88K","1.94B","368.62M","373.66","1.41"
"BJs Restaurants","BJRI","383.40K","1.49B","1.07B","39.03","0.67"
"Black Box","BBOX","216.31K","20.72M","773.79M","","0.9"
"Blackbaud","BLKB","284.75K","4.86B","830.34M","102.43","0.63"
"Blucora","BCOR","405.89K","1.71B","551.84M","34.87","-0.16"
"BofI Holding","BOFI","743.92K","2.42B","304.28M","14.97","0.25"
"Boise Cascad Llc","BCC","386.73K","1.75B","4.91B","14.66","1.94"
"Boston Private","BPFH","411.48K","1.20B","211.75M","36.9","0.91"
"Bottomline","EPAY","314.41K","2.58B","394.10M","1147.5","0.91"
"Boyd Gaming","BYD","1.03M","4.15B","2.40B","33.96","1.64"
"Brady","BRC","223.80K","2.03B","1.17B","20.52","1.1"
"Briggs&Stratton","BGG","314.91K","882.75M","1.85B","","0.66"
"Brinks","BCO","454.78K","3.95B","3.48B","","1.76"
"Bristow","BRS","704.93K","394.49M","1.46B","","3.01"
"Brookline Bancorp","BRKL","341.71K","1.47B","161.41M","20.16","0.78"
"Brooks Automation","BRKS","939.25K","2.08B","801.95M","17.08","0.92"
"Buckle","BKE","446.17K","1.36B","906.03M","13.88","0.61"
"Cabot","CCMP","180.11K","2.85B","570.18M","30.58","1.38"
"CACI","CACI","137.91K","4.74B","4.47B","25.49","1.51"
"Cal-Maine","CALM","341.98K","2.44B","1.50B","29.27","0.46"
"CalAmp","CAMP","382.70K","823.12M","372.72M","19.27","1.86"
"Calavo Growers","CVGW","207.84K","1.84B","1.09B","44.04","0.47"
"Caleres","CAL","397.61K","1.66B","2.79B","18.1","0.81"
"California Water Service","CWT","206.69K","1.97B","678.60M","11.89","0.53"
"Callaway Golf","ELY","1.10M","2.13B","1.23B","19.53","1.02"
"Cambrex","CBM","389.85K","2.13B","588.05M","17.64","2.39"
"Cantel Medical","CMD","334.46K","3.85B","848.57M","47.69","1.06"
"Capstead Mortgage","CMO","651.01K","775.18M","257.12M","15.06","0.15"
"Carbo Ceramics","CRR","399.92K","239.12M","217.87M","","1.52"
"Cardtronics","CATM","820.11K","1.76B","1.44B","","1.1"
"Career","CECO","259.30K","1.15B","578.21M","30.47","2.64"
"Caretrust Inc","CTRE","736.99K","1.48B","146.62M","34.01","0.93"
"Carrizo Oil&Gas","CRZO","3.29M","2.21B","917.30M","76.08","2.29"
"Cato","CATO","357.54K","504.71M","1.09B","","0.62"
"Cavco","CVCO","49.62K","2.19B","910.82M","34.71","1.45"
"Cedar Realty","CDR","408.87K","412.28M","152.46M","","0.78"
"Celadon","CGIP","391.97K","100.46M","","39.52","1.76"
