"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"OSI Systems","OSIS","77.90","78.65","77.70","-0.10","-0.13%","95.07K","16:00:02"
"Oxford Industries","OXM","92.98","94.62","92.97","-1.27","-1.35%","45.87K","16:00:00"
"Papa John's","PZZA","43.72","43.81","42.33","+1.14","+2.68%","1.32M","16:00:02"
"Park Electrochemical","PKE","21.19","21.62","21.07","-0.01","-0.05%","28.24K","16:00:00"
"Patrick","PATK","63.15","63.45","61.70","+1.75","+2.85%","167.37K","16:00:02"
"PDC Energy","PDCE","50.550","51.170","49.395","+0.680","+1.36%","1.16M","16:00:00"
"Pennsylvania RE","PEI","10.28","10.44","10.20","-0.17","-1.63%","951.05K","16:00:00"
"Perficient","PRFT","27.02","27.17","26.67","+0.20","+0.75%","85.32K","16:00:02"
"Perry Ellis","PERY","27.69","27.71","27.56","+0.05","+0.18%","42.26K","16:00:02"
"PetMed Express","PETS","36.79","37.61","36.49","-0.10","-0.27%","345.28K","16:00:01"
"PGT Innovations","PGTI","25.150","25.200","24.550","+0.650","+2.65%","245.95K","16:00:00"
"Phibro","PAHC","49.90","50.00","49.25","+0.65","+1.32%","46.30K","16:00:01"
"Pinnacle","PNFP","64.80","64.93","64.10","+1.00","+1.57%","238.25K","16:00:01"
"Pioneer Energy Services","PES","2.950","3.000","2.900","-0.050","-1.67%","416.76K","16:00:00"
"Piper Jaffray","PJC","77.20","77.20","76.30","+1.15","+1.51%","33.38K","16:00:00"
"Plexus","PLXS","61.03","61.64","60.91","+0.04","+0.07%","93.01K","16:00:01"
"Powell Industries","POWL","40.05","40.38","39.15","+0.37","+0.93%","46.02K","16:00:02"
"Power Integrations","POWI","72.70","73.05","71.80","+0.90","+1.25%","109.96K","16:00:02"
"PRA Group Inc","PRAA","37.40","38.10","37.20","-0.45","-1.19%","307.13K","16:00:02"
"ProAssurance","PRA","47.70","47.85","46.75","+0.95","+2.03%","373.18K","16:00:00"
"Progress","PRGS","38.48","38.78","38.30","+0.19","+0.50%","148.62K","16:00:01"
"Proto Labs","PRLB","133.55","134.33","132.35","+1.40","+1.06%","57.83K","16:00:00"
"Provident","PFS","25.40","25.52","25.21","+0.32","+1.28%","109.94K","16:00:00"
"PS Business Parks","PSB","130.78","131.10","129.59","+1.22","+0.94%","33.33K","16:00:00"
"Quaker Chemical","KWR","171.69","172.66","168.64","+2.67","+1.58%","31.30K","16:00:00"
"Quality Systems","QSII","21.91","21.98","21.41","+0.40","+1.86%","195.42K","16:00:02"
"Qualys","QLYS","85.750","86.250","84.450","+1.250","+1.48%","356.02K","16:00:02"
"Quanex Building Products","NX","17.00","17.05","16.65","+0.25","+1.49%","55.23K","16:00:00"
"QuinStreet","QNST","13.680","13.920","13.210","-0.140","-1.01%","697.63K","16:00:01"
"Quorum Health","QHC","4.040","4.270","4.000","-0.170","-4.04%","205.56K","16:00:00"
"Rambus","RMBS","11.76","11.94","11.73","-0.10","-0.84%","802.26K","16:00:01"
"Raven","RAVN","39.15","39.15","38.25","+0.70","+1.82%","201.91K","16:00:02"
"Rayonier Advanced Materials","RYAM","20.30","20.47","20.14","+0.10","+0.52%","384.14K","16:00:00"
"Re Max Holding","RMAX","48.80","49.85","47.75","+0.75","+1.56%","224.01K","16:00:00"
"Red Robin Gourmet Burgers","RRGB","38.65","39.25","38.25","+0.30","+0.78%","313.89K","16:00:02"
"Regis","RGS","18.24","18.47","18.12","-0.04","-0.22%","149.59K","16:00:00"
"Rent-A-Center","RCII","14.77","14.86","14.77","-0.06","-0.40%","1.05M","16:00:01"
"Repligen","RGEN","48.90","49.36","48.87","-0.18","-0.37%","210.25K","16:00:02"
"Resources Connection","RECN","15.90","16.13","15.80","+0.10","+0.63%","61.17K","16:00:02"
"Retail Opportunity","ROIC","19.10","19.19","19.07","-0.01","-0.05%","1.03M","16:00:02"
"REX American Resources","REX","74.89","75.50","73.63","+1.45","+1.97%","21.44K","16:00:00"
"RLI","RLI","77.65","78.11","76.36","+0.75","+0.98%","128.50K","16:00:00"
"Roadrunner","RRTS","1.80","1.84","1.77","-0.01","-0.28%","236.12K","16:00:00"
"Rogers","ROG","129.59","130.08","127.56","+2.43","+1.91%","50.27K","16:00:00"
"RR Donnelley & Sons","RRD","5.04","5.06","4.77","+0.24","+5.10%","1.32M","16:00:00"
"Rudolph","RTEC","26.70","27.10","26.40","-0.10","-0.37%","164.93K","16:00:00"
"Ruth's Hospitality","RUTH","30.65","30.75","30.20","0.00","0.00%","202.50K","16:00:02"
"S&T Bancorp","STBA","45.06","45.17","44.75","+0.56","+1.26%","87.38K","16:00:02"
"Sabra","SBRA","22.87","22.96","22.23","+0.21","+0.93%","1.08M","16:00:02"
"Safety Insurance","SAFT","95.75","97.25","95.45","-0.05","-0.05%","23.43K","16:00:02"
