"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","22.40","22.60","22.15","-0.05","-0.22%","549.25K","15:59:59"
"AAON","AAON","40.65","41.65","40.35","+0.05","+0.12%","164.72K","15:59:59"
"AAR","AIR","46.83","47.12","46.64","+0.20","+0.43%","172.43K","15:59:59"
"Abercrombie&Fitch","ANF","27.37","27.68","26.82","+0.25","+0.92%","1.71M","15:59:59"
"ABM Industries","ABM","31.01","31.20","30.71","+0.37","+1.21%","570.96K","15:59:59"
"Acadia","AKR","28.55","28.62","28.14","+0.37","+1.31%","355.03K","15:59:59"
"Aceto","ACET","3.37","3.37","3.28","+0.06","+1.81%","152.04K","15:59:59"
"Acorda","ACOR","28.90","29.75","28.90","-0.30","-1.03%","216.02K","15:59:59"
"Actuant","ATU","29.25","29.50","29.15","-0.15","-0.51%","159.04K","15:59:59"
"ADTRAN","ADTN","16.95","17.05","16.90","-0.05","-0.29%","136.58K","15:59:59"
"Advanced Energy","AEIS","59.66","60.22","59.11","+0.30","+0.51%","261.90K","15:59:59"
"AdvanSix","ASIX","33.95","34.30","33.81","-0.15","-0.44%","101.82K","15:59:59"
"Aegion","AEGN","24.75","25.11","24.63","-0.17","-0.68%","43.84K","15:59:59"
"Aerojet Rocketdyne","AJRD","36.59","36.89","36.21","+0.09","+0.25%","444.51K","15:59:59"
"AeroVironment","AVAV","85.70","87.07","85.26","-0.04","-0.05%","223.88K","15:59:59"
"Agilysys","AGYS","16.27","16.58","16.17","-0.21","-1.27%","34.01K","15:59:59"
"Agree","ADC","57.21","57.30","56.27","+0.64","+1.13%","200.55K","15:59:59"
"AK Steel","AKS","4.470","4.510","4.390","+0.060","+1.36%","7.92M","15:59:59"
"Alamo","ALG","99.12","100.15","98.90","-0.37","-0.37%","43.63K","15:59:59"
"Albany","AIN","77.80","79.45","77.70","-0.80","-1.02%","124.78K","15:59:59"
"Allegiant","ALGT","136.65","139.45","136.45","+0.20","+0.15%","116.56K","15:59:59"
"Allete","ALE","74.79","75.50","74.47","-0.61","-0.81%","277.00K","15:59:59"
"AMAG","AMAG","24.65","25.05","24.50","-0.20","-0.80%","264.90K","15:59:59"
"Amedisys","AMED","122.85","125.56","122.63","-1.91","-1.53%","248.84K","15:59:59"
"American Assets","AAT","39.46","39.53","38.93","+0.47","+1.21%","190.59K","15:59:59"
