"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"Caleres","CAL","458.04K","1.48B","2.79B","17.31","0.86"
"California Water Service","CWT","264.04K","1.96B","677.10M","11.39","0.6"
"Callaway Golf","ELY","930.87K","1.79B","1.14B","21.38","0.98"
"Cambrex","CBM","364.06K","1.84B","570.55M","17.67","2.33"
"Cantel Medical","CMD","307.73K","4.00B","848.57M","48.27","1.09"
"Capella","CPLA","71.26K","1.21B","440.59M","44.33","0.19"
"Capstead Mortgage","CMO","577.02K","784.87M","247.95M","14.13","0.16"
"Carbo Ceramics","CRR","495.74K","263.44M","203.45M","","1.55"
"Cardtronics","CATM","820.11K","1.28B","1.49B","","0.9"
"Career","CECO","259.30K","1.28B","582.39M","38.75","2.78"
"Caretrust Inc","CTRE","736.99K","1.28B","140.48M","42.62","0.91"
"Carrizo Oil&Gas","CRZO","3.29M","2.32B","819.81M","35.34","2.17"
"Cato","CATO","327.44K","609.42M","1.09B","27.38","0.74"
"Cavco","CVCO","49.62K","1.99B","871.24M","35.63","1.47"
"Cedar Realty","CDR","470.15K","439.25M","146.81M","","0.87"
"Celadon","CGIP","391.97K","102.73M","","42.7","1.89"
"Central Garden&Pet","CENT","118.17K","2.15B","2.12B","24.79","0.04"
"Central Garden&Pet A","CENTA","209.85K","2.15B","2.12B","24.79","0.04"
"Century Aluminum","CENX","2.42M","1.29B","2.80B","22.13","0.88"
"CEVA","CEVA","190.44K","713.30M","83.78M","68.54","1.1"
"Chart Industries","GTLS","285.83K","2.08B","1.06B","149.66","0.95"
"Chemed","CHE","214.65K","5.19B","1.70B","52.81","1.18"
"Chemours Co","CC","1.44M","7.87B","6.48B","9.36",""
"Chesapeake Lodging","CHSP","337.04K","1.93B","598.43M","27.97","0.95"
"Chuy's Holdings","CHUY","161.57K","538.90M","376.53M","35.21","-0.2"
"Cincinnati Bell","CBB","558.35K","721.64M","1.31B","","1.28"
"CIRCOR","CIR","257.08K","787.70M","792.08M","","1.8"
"City Holding","CHCO","58.42K","1.18B","104.75M","19.08","0.64"
"Clearwater Paper","CLW","223.86K","388.48M","1.73B","18.03","1.06"
"Cloud Peak Energy","CLD","575.34K","235.65M","908.28M","44.19","2.07"
"CMTSU Liquidation","CBRI","1.10M","408.23K","","","0.82"
"Cogent","CCOI","308.17K","2.51B","496.69M","119.5","0.51"
"Coherent","COHR","576.42K","4.11B","1.91B","21.29","1.01"
"Cohu","COHU","249.42K","741.56M","366.76M","16.26","1.13"
"Columbia Banking","COLB","276.51K","3.01B","274.70M","19.64","1.12"
"Comfort Systems","FIX","167.14K","1.77B","1.87B","32.75","1.23"
"Community Bank System","CBU","223.11K","3.13B","289.42M","25.73","1.01"
"Community Health Systems","CYH","2.46M","319.82M","14.56B","","1.57"
"Computer Programs&Systems","CPSI","76.13K","474.70M","283.73M","","-0.02"
"Comtech","CMTL","190.04K","809.03M","550.91M","27.77","1.56"
"CONMED","CNMD","178.50K","2.07B","811.89M","53.74","0.55"
"Consolidated Communications","CNSL","1.09M","890.66M","1.25B","","0.72"
"Contango Oil&Gas","MCF","73.85K","153.97M","79.57M","","1.69"
"Cooper Stnd","CPS","126.11K","2.44B","3.68B","13.95","0.71"
"Core-Mark","CORE","337.48K","1.09B","15.99B","71.76","0.64"
"CoreSite","COR","285.32K","5.47B","496.53M","57.62","0.4"
"Corindus Vascular Robotics","CR3","1.06K","168.56M","9.25M","81.08","1.03"
"CorVel","CRVL","35.96K","1.05B","558.34M","32.41","0.64"
"CPB","CPF","144.18K","857.52M","113.04M","17.72","1.1"
"Cray","CRAY","352.17K","1.03B","413.07M","","1.5"
"Crocs","CROX","1.21M","1.18B","1.31B","","0.42"
"Cross Country","CCRN","228.36K","434.25M","867.76M","8.71","0.86"
"CryoLife","CRY","138.28K","1.08B","206.60M","","0.74"
"CSG Systems","CSGS","183.17K","1.38B","798.80M","23.54","0.88"
"CTS Corp","CTS","144.38K","1.23B","436.37M","34.43","1.27"
"Cubic","CUB","192.17K","1.88B","1.43B","","0.99"
"Customers Bancorp","CUBI","171.04K","908.72M","235.23M","12.88","0.78"
"CVB Financial","CVBF","386.16K","2.45B","171.52M","20.06","1.31"
"Daktronics","DAKT","227.72K","376.33M","610.54M","40.55","1.1"
"Darling Ingredients","DAR","936.44K","3.28B","3.66B","18.03","1.35"
"Dave & Buster’s Entertainment","PLAY","1.42M","1.90B","1.17B","18.21","0.39"
"Depomed","DEPO","1.20M","525.23M","418.68M","","1.21"
"DHI Group","DHX","841.43K","111.16M","198.83M","5.82","1.05"
"Diamondrock Hospitality","DRH","2.21M","2.45B","855.33M","29.56","1.42"
"Digi","DGII","104.22K","367.90M","190.83M","59.93","1.42"
"Dime Community","DCOM","183.88K","747.67M","126.57M","12.77","0.64"
"DineEquity","DIN","377.88K","1.26B","792.98M","","0.07"
"Diodes","DIOD","317.37K","1.83B","1.09B","30.84","1.01"
"Diplomat Pharmacy","DPLO","874.04K","1.92B","4.75B","611.45","1.31"
"Donnelley Financial Solutions","DFIN","292.57K","672.24M","992.80M","30.18",""
"Dorman","DORM","258.60K","2.37B","908.86M","21.88","0.92"
"DSP Group","DSPG","57.83K","293.66M","124.93M","","0.97"
"DXP Enterprises","DXPE","86.62K","730.56M","1.05B","45.77","2.52"
"Eagle Pharm","EGRX","255.51K","1.22B","206.54M","37.01","1.4"
"EastGroup Properties","EGP","232.14K","3.33B","280.20M","32.87","0.86"
"Ebix","EBIX","180.10K","2.56B","393.10M","26.45","1.3"
