"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.06M","2.09B","310.62M","","0.47"
"A Schulman","SHLM","398.75K","1.29B","2.69B","64.31","1.36"
"AAON","AAON","190.57K","2.04B","426.50M","49.09","0.89"
"AAR","AIR","219.19K","1.60B","2.19B","26.96","1.27"
"Abercrombie&Fitch","ANF","2.47M","1.84B","3.56B","42.88","0.45"
"ABM Industries","ABM","826.88K","2.03B","5.99B","30.19","0.78"
"Acadia","AKR","571.98K","2.17B","376.95M","44.01","0.36"
"Aceto","ACET","467.77K","96.67M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.28B","588.93M","","1.39"
"Actuant","ATU","507.16K","1.72B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","761.84M","560.49M","","0.51"
"Advanced Energy","AEIS","457.14K","2.33B","747.43M","10.7","1.07"
"AdvanSix","ASIX","183.27K","1.04B","1.50B","13.22",""
"Aegion","AEGN","146.81K","802.28M","1.34B","","1.74"
"Aerojet Rocketdyne","AJRD","705.10K","2.74B","1.97B","36.96","1.06"
"AeroVironment","AVAV","360.74K","1.91B","271.06M","74.34","1.12"
"Agilysys","AGYS","43.36K","375.23M","127.50M","","0.33"
"Agree","ADC","180.09K","1.67B","132.20M","27.8","0.29"
"AK Steel","AKS","12.86M","1.36B","6.40B","","2.91"
"Alamo","ALG","66.05K","1.12B","978.93M","17.71","0.95"
"Albany","AIN","113.22K","2.45B","935.08M","36.29","1.65"
"Allegiant","ALGT","157.19K","2.11B","1.59B","15.39","0.1"
"Allete","ALE","224.29K","3.97B","1.40B","28.16","0.19"
"AMAG","AMAG","1.23M","884.23M","604.69M","","0.41"
"Amedisys","AMED","336.51K","3.63B","1.60B","42.33","0.83"
"American Assets","AAT","237.58K","1.82B","329.84M","96.16","0.34"
"American Axle&Manufacturing","AXL","1.84M","1.85B","7.07B","4.53","1.42"
"American Equity Inv. Life","AEL","644.70K","3.23B","2.97B","8.97","2.53"
"American Public Education","APEI","109.20K","562.90M","299.13M","27.98","0.72"
"American States Water","AWR","185.63K","2.19B","430.23M","36.13","0.11"
"American Vanguard","AVD","76.69K","626.83M","417.62M","30","1.07"
"American Woodmark","AMWD","135.47K","1.48B","1.25B","21.99","1.86"
"Ameris","ABCB","225.93K","2.19B","227.23M","23.37","1.06"
"AMERISAFE","AMSF","89.24K","1.21B","377.29M","19.3","0.75"
"AMN Healthcare Services","AMN","423.88K","2.71B","2.02B","20.39","0.35"
"Amneal Pharma A","AMRX","1.20M","6.09B","775.79M","","1.29"
"Amphastar P","AMPH","207.93K","807.36M","247.75M","","1.38"
"AngioDynamics","ANGO","229.74K","787.51M","344.29M","89.33","0.93"
"ANI Pharma","ANIP","142.67K","672.92M","189.20M","49.53","2.88"
"Anika","ANIK","86.25K","603.76M","108.38M","39.17","2.05"
