"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","22.45","22.95","22.40","-0.25","-1.10%","545.82K","15:59:59"
"AAON","AAON","40.60","41.85","40.40","-0.75","-1.81%","148.87K","15:59:59"
"AAR","AIR","46.63","47.04","46.10","+0.64","+1.39%","213.96K","15:59:59"
"Abercrombie&Fitch","ANF","27.12","27.64","26.95","-0.22","-0.80%","1.86M","15:59:59"
"ABM Industries","ABM","30.64","30.98","30.54","+0.14","+0.46%","351.66K","15:59:59"
"Acadia","AKR","28.18","28.77","28.03","-0.53","-1.85%","602.98K","15:59:59"
"Aceto","ACET","3.31","3.36","3.24","+0.04","+1.38%","133.82K","15:59:59"
"Acorda","ACOR","29.20","29.25","28.50","+0.30","+1.04%","291.89K","15:59:59"
"Actuant","ATU","29.40","29.60","29.25","+0.30","+1.03%","280.45K","15:59:59"
"ADTRAN","ADTN","17.00","17.15","16.95","+0.05","+0.29%","144.95K","15:59:59"
"Advanced Energy","AEIS","59.36","60.21","58.27","+1.32","+2.27%","299.33K","15:59:59"
"AdvanSix","ASIX","34.10","34.44","33.56","+0.48","+1.43%","185.66K","15:59:59"
"Aegion","AEGN","24.92","25.30","24.73","+0.02","+0.08%","49.53K","15:59:59"
"Aerojet Rocketdyne","AJRD","36.50","36.97","36.02","+0.50","+1.39%","677.75K","15:59:59"
"AeroVironment","AVAV","85.74","86.42","85.10","+0.42","+0.49%","144.10K","15:59:59"
"Agilysys","AGYS","16.48","16.87","16.33","-0.22","-1.32%","99.00K","15:59:59"
"Agree","ADC","56.57","56.71","56.22","-0.05","-0.09%","147.60K","15:59:59"
"AK Steel","AKS","4.410","4.500","4.320","+0.120","+2.80%","13.65M","15:59:59"
"Alamo","ALG","99.49","99.94","98.34","+1.11","+1.13%","56.78K","15:59:59"
"Albany","AIN","78.60","78.95","77.20","+1.65","+2.14%","154.79K","15:59:59"
"Allegiant","ALGT","136.45","136.90","134.78","+1.05","+0.78%","103.51K","15:59:59"
"Allete","ALE","75.40","76.56","75.16","-0.99","-1.30%","219.46K","15:59:59"
"AMAG","AMAG","24.85","25.05","24.55","+0.25","+1.02%","252.44K","15:59:59"
"Amedisys","AMED","124.76","126.30","124.21","+0.27","+0.22%","285.58K","15:59:59"
"American Assets","AAT","38.99","39.46","38.78","-0.43","-1.09%","176.77K","15:59:59"
"American Axle&Manufacturing","AXL","18.59","18.72","18.11","+0.63","+3.51%","2.01M","15:59:59"
"American Equity Inv. Life","AEL","37.38","37.93","37.33","-0.01","-0.03%","212.98K","15:59:59"
"American Public Education","APEI","35.70","36.10","35.55","-0.20","-0.56%","78.67K","15:59:59"
"American States Water","AWR","59.89","61.10","59.83","-0.92","-1.51%","134.73K","15:59:59"
"American Vanguard","AVD","21.10","21.70","21.10","+0.10","+0.48%","64.52K","15:59:59"
