"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","866.29K","2.12B","310.62M","","0.53"
"AAON","AAON","191.55K","2.11B","426.50M","50.86","0.91"
"AAR","AIR","209.89K","1.62B","2.19B","27.38","1.24"
"Abercrombie&Fitch","ANF","2.67M","1.47B","3.63B","27.33","0.43"
"ABM Industries","ABM","763.44K","2.09B","5.99B","31.14","0.78"
"Acadia","AKR","541.32K","2.32B","376.95M","47.15","0.38"
"Aceto","ACET","404.04K","102.22M","737.10M","","1.65"
"Acorda","ACOR","574.69K","1.37B","588.93M","","1.47"
"Actuant","ATU","477.07K","1.79B","1.16B","","1.48"
"ADTRAN","ADTN","329.07K","821.11M","560.49M","","0.54"
"Advanced Energy","AEIS","402.17K","2.33B","747.43M","10.7","1.03"
"AdvanSix","ASIX","181.74K","1.03B","1.50B","13.19",""
"Aegion","AEGN","84.35K","806.49M","1.34B","","1.72"
"Aerojet Rocketdyne","AJRD","689.07K","2.65B","1.97B","35.38","1.07"
"AeroVironment","AVAV","335.36K","2.10B","271.06M","81.17","1.2"
"Agilysys","AGYS","99.06K","378.05M","127.50M","","0.3"
"Agree","ADC","154.91K","1.77B","132.20M","29.59","0.31"
"AK Steel","AKS","12.06M","1.40B","6.40B","","2.84"
"Alamo","ALG","65.62K","1.12B","978.93M","17.63","0.95"
"Albany","AIN","128.41K","2.48B","935.08M","37.11","1.72"
"Allegiant","ALGT","157.31K","2.20B","1.59B","16.02","0.15"
"Allete","ALE","219.16K","3.86B","1.40B","27.26","0.17"
"AMAG","AMAG","645.43K","841.14M","604.69M","","0.48"
"Amedisys","AMED","335.35K","3.98B","1.60B","46.46","0.99"
"American Assets","AAT","213.04K","1.87B","329.84M","99.15","0.35"
"American Axle&Manufacturing","AXL","1.87M","1.98B","7.22B","4.94","1.43"
"American Equity Inv. Life","AEL","516.17K","3.35B","2.97B","9.26","2.52"
"American Public Education","APEI","111.87K","570.73M","299.13M","28.52","0.57"
"American States Water","AWR","174.82K","2.22B","430.23M","36.8","0.1"
"American Vanguard","AVD","76.89K","664.11M","417.62M","33.69","1.04"
"American Woodmark","AMWD","193.63K","1.49B","1.40B","22.63","1.84"
"Ameris","ABCB","360.32K","2.36B","227.23M","23.9","1.08"
"AMERISAFE","AMSF","68.78K","1.23B","377.29M","19.51","0.74"
"AMN Healthcare Services","AMN","369.91K","2.77B","2.08B","21.48","0.3"
"Amneal Pharma A","AMRX","1.20M","6.89B","803.09M","","1.39"
"Amphastar P","AMPH","174.58K","877.95M","247.75M","","1.4"
"AngioDynamics","ANGO","251.81K","826.98M","344.29M","93.81","0.94"
"ANI Pharma","ANIP","98.99K","688.43M","189.20M","50.37","2.74"
"Anika","ANIK","237.53K","603.62M","108.38M","39.07","2.04"
"Anixter","AXE","183.67K","2.41B","8.13B","17.64","2.18"
"Apogee","APOG","185.13K","1.39B","1.39B","18.93","1.47"
"Applied Industrial Technologies","AIT","176.59K","2.98B","3.07B","22.29","0.88"
"ArcBest Corp","ARCB","279.85K","1.24B","2.95B","36.29","2.08"
"Archrock","AROC","1.20M","1.64B","845.70M","","2.86"
"Asbury Automotive","ABG","203.00K","1.52B","6.61B","9.42","1.45"
"ASGN","ASGN","267.16K","4.85B","2.91B","36.69","1.93"
"Assertio Therapeutics","ASRT","1.24M","407.78M","381.49M","","1.24"
"Astec","ASTE","163.55K","1.12B","1.16B","","1.02"
"Atlas Air","AAWW","268.95K","1.56B","2.42B","36.94","1.16"
"ATN Int","ATNI","54.75K","1.17B","452.09M","123.91","0.63"
"Avista","AVA","454.13K","3.37B","1.42B","27.49","0.17"
"Axon Enterprise","AAXN","844.73K","3.98B","385.36M","134.99","1.09"
"AZZ","AZZ","188.25K","1.40B","861.47M","54.61","1.42"
"B&G Foods","BGS","821.97K","2.11B","1.70B","36.23","0.49"
"Badger Meter","BMI","113.59K","1.60B","415.35M","53.87","0.69"
"Balchem","BCPC","99.77K","3.57B","635.08M","50.37","0.86"
"Banc of California","BANC","427.96K","1.01B","220.54M","38.88","0.77"
"Banner","BANR","168.68K","2.08B","259.82M","18.23","0.91"
"Barnes","B","206.80K","3.48B","1.47B","22.76","1.33"
"Barnes & Noble Education Inc","BNED","415.51K","280.56M","2.19B","",""
"Barnes&Noble","BKS","999.53K","382.17M","3.66B","","1.64"
"Bel Fuse B","BELFB","21.09K","336.82M","505.29M","40.16","1.15"
"Belmond","BEL","582.51K","2.03B","561.60M","","1.55"
"Benchmark Electronics","BHE","358.15K","1.20B","2.55B","19.18","0.25"
"Big 5","BGFV","363.02K","122.16M","987.49M","","-0.93"
"Biglari","BH","7.77K","606.86M","834.41M","","0.44"
"BioTelemetry","BEAT","357.59K","2.02B","368.62M","391.06","1.45"
"BJs Restaurants","BJRI","337.83K","1.59B","1.07B","39.55","0.73"
"Black Box","BBOX","2.36M","19.04M","773.79M","","0.87"
"Blackbaud","BLKB","301.77K","5.08B","830.34M","104.6","0.63"
"Blucora","BCOR","400.74K","1.72B","551.84M","34.96","-0.15"
"BofI Holding","BOFI","599.68K","2.33B","304.28M","14.72","0.22"
"Boise Cascad Llc","BCC","378.66K","1.70B","4.91B","14.14","1.92"
"Boston Private","BPFH","418.97K","1.22B","211.75M","37.55","0.9"
"Bottomline","EPAY","400.12K","2.69B","394.10M","5333.06","0.98"
"Boyd Gaming","BYD","1.01M","4.09B","2.40B","33.54","1.62"
"Brady","BRC","219.24K","2.09B","1.17B","20.9","1.11"
"Briggs&Stratton","BGG","314.63K","860.13M","1.88B","91.52","0.68"
"Brinks","BCO","402.47K","3.83B","3.48B","","1.72"
"Bristow","BRS","633.20K","391.99M","1.46B","","2.94"
"Brookline Bancorp","BRKL","323.36K","1.46B","161.41M","20.11","0.76"
"Brooks Automation","BRKS","805.82K","2.78B","801.95M","22.71","1.03"
"Buckle","BKE","444.20K","1.26B","911.46M","12.89","0.62"
"Cabot","CCMP","179.43K","2.88B","570.18M","30.64","1.34"
"CACI","CACI","137.37K","4.82B","4.47B","25.68","1.52"
"Cal-Maine","CALM","343.56K","2.40B","1.50B","28.89","0.49"
"CalAmp","CAMP","342.33K","829.11M","372.72M","19.61","1.85"
"Calavo Growers","CVGW","137.94K","1.86B","1.09B","44.19","0.51"
"Caleres","CAL","386.70K","1.75B","2.79B","19.59","0.87"
"California Water Service","CWT","198.70K","1.98B","678.60M","11.9","0.53"
"Callaway Golf","ELY","1.09M","2.15B","1.23B","19.3","1.04"
"Cambrex","CBM","385.62K","2.24B","588.05M","18.45","2.39"
"Cantel Medical","CMD","328.44K","4.05B","848.57M","49.34","1.07"
"Capstead Mortgage","CMO","627.98K","777.03M","257.12M","15.16","0.16"
"Carbo Ceramics","CRR","385.52K","239.95M","217.87M","","1.5"
"Cardtronics","CATM","483.94K","1.62B","1.44B","","1.21"
"Career","CECO","482.74K","1.11B","578.21M","29.46","2.55"
"Caretrust Inc","CTRE","609.69K","1.49B","146.62M","34.14","0.95"
"Carrizo Oil&Gas","CRZO","2.67M","2.22B","917.30M","75.67","2.21"
"Cato","CATO","343.36K","538.61M","1.09B","17.96","0.59"
"Cavco","CVCO","51.66K","2.23B","910.82M","35.08","1.48"
"Cedar Realty","CDR","393.24K","407.71M","152.46M","","0.76"
"Celadon","CGIP","391.97K","95.92M","","39.87","1.82"
"Central Garden&Pet","CENT","129.55K","3.18B","2.20B","20.68","-0.17"
"Central Garden&Pet A","CENTA","322.96K","3.18B","2.20B","20.68","-0.17"
"Century Aluminum","CENX","1.50M","1.11B","2.51B","15.91","0.72"
"CEVA","CEVA","134.10K","674.16M","80.70M","150.27","1.07"
"Chart Industries","GTLS","384.66K","2.34B","1.15B","100.89","1.06"
"Chemed","CHE","207.51K","5.21B","1.73B","29.87","1.15"
"Chemours Co","CC","1.51M","7.71B","6.71B","7.81",""
"Chesapeake Lodging","CHSP","263.12K","1.99B","599.25M","26.95","0.94"
"Chuy's Holdings","CHUY","123.11K","490.61M","388.40M","28.99","-0.26"
"Cincinnati Bell","CBB","569.66K","652.04M","1.31B","","1.14"
"CIRCOR","CIR","279.25K","899.79M","942.22M","","2.01"
"City Holding","CHCO","56.18K","1.25B","106.92M","18.21","0.6"
"Clearwater Paper","CLW","189.01K","478.20M","1.73B","23.23","1.18"
"Cloud Peak Energy","CLD","530.31K","178.84M","884.78M","","1.95"
"CMTSU Liquidation","CBRI","1.10M","171.46K","","","0.53"
"Cogent","CCOI","229.93K","2.54B","506.21M","112.07","0.61"
"Coherent","COHR","464.54K","4.63B","1.93B","23.13","1.03"
"Cohu","COHU","246.07K","762.10M","372.71M","16.24","0.98"
"Columbia Banking","COLB","257.71K","3.10B","286.52M","18.96","1.07"
"Comfort Systems","FIX","267.80K","2.14B","1.94B","30.98","1.33"
"Community Bank System","CBU","196.16K","3.38B","293.45M","22.24","1.04"
"Community Health Systems","CYH","2.51M","451.06M","13.98B","","1.69"
"Computer Programs&Systems","CPSI","139.88K","384.55M","283.96M","","-0.13"
"Comtech","CMTL","144.79K","847.57M","550.91M","28.93","1.5"
"CONMED","CNMD","168.20K","2.26B","827.56M","55.35","0.54"
"Consolidated Communications","CNSL","659.74K","841.49M","1.43B","","0.69"
"Contango Oil&Gas","MCF","70.78K","175.69M","77.74M","","1.69"
"Cooper Stnd","CPS","137.96K","2.47B","3.70B","13.84","0.74"
"Core-Mark","CORE","435.37K","1.64B","16.42B","84.4","0.87"
"CoreSite","COR","316.09K","5.62B","515.09M","56.55","0.31"
"Corindus Vascular Robotics","CR3","1.08K","164.66M","8.73M","81.08","1.03"
"CorVel","CRVL","30.74K","1.12B","571.13M","31.84","0.66"
