"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.07M","2.08B","310.62M","","0.49"
"A Schulman","SHLM","398.75K","1.30B","2.69B","64.45","1.36"
"AAON","AAON","190.57K","2.06B","426.50M","49.09","0.89"
"AAR","AIR","218.71K","1.62B","2.19B","27.01","1.26"
"Abercrombie&Fitch","ANF","2.44M","1.77B","3.56B","43.55","0.48"
"ABM Industries","ABM","826.54K","2.05B","5.99B","30.31","0.78"
"Acadia","AKR","576.75K","2.19B","376.95M","44.03","0.36"
"Aceto","ACET","467.77K","100.37M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.26B","588.93M","","1.42"
"Actuant","ATU","507.47K","1.72B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","761.84M","560.49M","","0.51"
"Advanced Energy","AEIS","457.14K","2.39B","747.43M","10.69","1.06"
"AdvanSix","ASIX","184.50K","1.08B","1.50B","13.25",""
"Aegion","AEGN","146.81K","810.32M","1.34B","","1.73"
"Aerojet Rocketdyne","AJRD","698.19K","2.71B","1.97B","36.53","1.08"
"AeroVironment","AVAV","360.74K","1.89B","271.06M","73.63","1.14"
"Agilysys","AGYS","43.36K","370.53M","127.50M","","0.32"
"Agree","ADC","182.62K","1.68B","132.20M","27.85","0.29"
"AK Steel","AKS","12.79M","1.38B","6.40B","","2.89"
"Alamo","ALG","64.94K","1.12B","978.93M","17.67","0.96"
"Albany","AIN","111.74K","2.45B","935.08M","36.53","1.68"
"Allegiant","ALGT","157.19K","2.11B","1.59B","15.22","0.12"
"Allete","ALE","226.34K","3.99B","1.40B","28.04","0.18"
"AMAG","AMAG","1.23M","871.90M","604.69M","","0.45"
"Amedisys","AMED","336.51K","3.57B","1.60B","42.35","0.88"
"American Assets","AAT","244.22K","1.83B","329.84M","96.87","0.34"
"American Axle&Manufacturing","AXL","1.83M","1.91B","7.07B","4.61","1.41"
