"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"American Equity Inv. Life","AEL","650.45K","3.24B","2.97B","8.95","2.53"
"American Public Education","APEI","109.20K","560.44M","299.13M","28.17","0.66"
"American States Water","AWR","186.14K","2.19B","430.23M","36.32","0.1"
"American Vanguard","AVD","77.44K","642.67M","417.62M","29.85","1.04"
"American Woodmark","AMWD","135.47K","1.50B","1.25B","22.67","1.85"
"Ameris","ABCB","225.93K","2.19B","227.23M","23.52","1.07"
"AMERISAFE","AMSF","89.24K","1.21B","377.29M","19.25","0.75"
"AMN Healthcare Services","AMN","428.03K","2.73B","2.02B","20.83","0.32"
"Amneal Pharma A","AMRX","1.20M","6.04B","775.79M","","1.32"
"Amphastar P","AMPH","207.93K","800.83M","247.75M","","1.37"
"AngioDynamics","ANGO","229.74K","794.15M","344.29M","89.33","0.93"
"ANI Pharma","ANIP","142.67K","669.02M","189.20M","49.37","2.83"
"Anika","ANIK","86.25K","609.30M","108.38M","39.08","2.05"
"Anixter","AXE","192.48K","2.44B","8.13B","17.46","2.2"
"Apogee","APOG","310.40K","1.41B","1.39B","18.92","1.5"
"Applied Industrial Technologies","AIT","185.78K","2.88B","2.86B","19.02","0.87"
"ArcBest Corp","ARCB","308.58K","1.23B","2.95B","35.46","2.09"
"Archrock","AROC","1.38M","1.69B","845.70M","","2.93"
"Asbury Automotive","ABG","215.88K","1.53B","6.61B","9.48","1.45"
"ASGN","ASGN","285.78K","4.78B","2.91B","36.02","1.95"
"Astec","ASTE","180.90K","1.06B","1.16B","","1.03"
"Atlas Air","AAWW","268.12K","1.58B","2.42B","36.76","1.21"
"ATN Int","ATNI","95.43K","1.10B","452.09M","118.41","0.58"
"Avista","AVA","497.42K","3.33B","1.42B","27.15","0.17"
"Axon Enterprise","AAXN","894.95K","3.46B","385.36M","121.57","1.11"
"AZZ","AZZ","213.18K","1.39B","861.47M","54.2","1.44"
"B&G Foods","BGS","935.62K","2.06B","1.70B","35.6","0.49"
"Badger Meter","BMI","119.39K","1.52B","415.35M","51.23","0.68"
"Balchem","BCPC","114.47K","3.23B","635.08M","45.26","0.82"
"Banc of California","BANC","480.20K","1.02B","220.54M","38.68","0.78"
"Banner","BANR","195.21K","2.11B","259.82M","18.44","0.92"
"Barnes","B","230.29K","3.40B","1.47B","22.14","1.35"
"Barnes & Noble Education Inc","BNED","349.55K","289.01M","2.20B","",""
"Barnes&Noble","BKS","963.75K","440.40M","3.66B","","1.72"
"Bel Fuse B","BELFB","28.05K","293.80M","505.29M","35.51","1.08"
"Belmond","BEL","538.68K","1.82B","555.84M","","1.37"
"Benchmark Electronics","BHE","348.75K","1.21B","2.55B","18.92","0.22"
"Big 5","BGFV","1.28M","121.09M","987.49M","","-0.9"
"Biglari","BH","8.33K","582.97M","636.40M","","0.42"
"BioTelemetry","BEAT","469.88K","1.87B","368.62M","360.37","1.4"
"BJs Restaurants","BJRI","383.40K","1.33B","1.07B","33.38","0.65"
"Black Box","BBOX","216.31K","22.24M","774.63M","","0.92"
"Blackbaud","BLKB","284.75K","4.69B","830.34M","95.67","0.62"
"Blucora","BCOR","405.89K","1.62B","551.84M","33.51","-0.17"
"BofI Holding","BOFI","743.92K","2.32B","304.28M","14.94","0.25"
"Boise Cascad Llc","BCC","388.77K","1.71B","4.91B","14.11","1.93"
"Boston Private","BPFH","411.48K","1.19B","211.75M","36.51","0.91"
"Bottomline","EPAY","314.41K","2.30B","381.13M","","0.9"
"Boyd Gaming","BYD","1.13M","4.02B","2.40B","32.3","1.65"
"Brady","BRC","229.87K","1.94B","1.17B","19.3","1.09"
"Briggs&Stratton","BGG","245.70K","741.52M","1.85B","16.67","0.62"
"Brinks","BCO","500.02K","4.08B","3.48B","","1.77"
"Bristow","BRS","781.27K","404.15M","1.44B","","3.05"
"Brookline Bancorp","BRKL","341.71K","1.44B","161.41M","19.83","0.77"
"Brooks Automation","BRKS","939.25K","2.11B","801.95M","17.26","0.92"
"Buckle","BKE","417.92K","1.24B","906.03M","13.65","0.6"
"Cabot","CCMP","180.11K","3.15B","570.18M","32.92","1.39"
"CACI","CACI","125.55K","4.49B","4.44B","23.23","1.49"
"Cal-Maine","CALM","341.98K","2.28B","1.50B","28.13","0.46"
"CalAmp","CAMP","382.70K","819.94M","372.72M","19.4","1.86"
"Calavo Growers","CVGW","207.84K","1.69B","1.09B","40.91","0.47"
"Caleres","CAL","439.32K","1.52B","2.79B","17.13","0.79"
"California Water Service","CWT","212.10K","1.96B","678.60M","11.72","0.53"
"Callaway Golf","ELY","1.05M","2.12B","1.23B","18.91","0.99"
"Cambrex","CBM","393.57K","2.09B","588.05M","16.81","2.39"
"Cantel Medical","CMD","328.50K","3.99B","848.57M","48.65","1.07"
"Capstead Mortgage","CMO","637.60K","753.90M","257.12M","14.82","0.15"
"Carbo Ceramics","CRR","442.16K","238.01M","217.87M","","1.54"
"Cardtronics","CATM","820.11K","1.39B","1.44B","","1.06"
"Career","CECO","259.30K","1.18B","578.21M","31.31","2.65"
"Caretrust Inc","CTRE","736.99K","1.34B","146.62M","32.16","0.92"
"Carrizo Oil&Gas","CRZO","3.29M","2.01B","917.30M","77.3","2.29"
"Cato","CATO","341.54K","591.34M","1.09B","26.8","0.66"
"Cavco","CVCO","49.62K","2.06B","910.82M","32.62","1.44"
"Cedar Realty","CDR","446.42K","412.66M","152.46M","","0.79"
"Celadon","CGIP","391.97K","82.07M","","35.29","1.74"
"Central Garden&Pet","CENT","118.17K","1.96B","2.20B","20.81","-0.13"
"Central Garden&Pet A","CENTA","209.85K","1.96B","2.20B","20.81","-0.13"
"Century Aluminum","CENX","2.42M","1.06B","2.51B","15.32","0.74"
"CEVA","CEVA","190.44K","659.97M","83.78M","145.36","1.08"
"Chart Industries","GTLS","285.83K","2.38B","1.15B","102.3","1.09"
"Chemed","CHE","214.96K","5.10B","1.73B","29.14","1.16"
"Chemours Co","CC","1.54M","8.37B","6.71B","8.07",""
"Chesapeake Lodging","CHSP","304.41K","1.90B","599.25M","25.59","0.94"
"Chuy's Holdings","CHUY","161.57K","524.49M","388.40M","26.14","-0.23"
"Cincinnati Bell","CBB","627.18K","606.38M","1.31B","","1.15"
"CIRCOR","CIR","278.15K","876.55M","942.22M","","2.02"
"City Holding","CHCO","58.42K","1.24B","106.92M","18.04","0.6"
"Clearwater Paper","CLW","179.69K","413.17M","1.73B","19.75","1.06"
"Cloud Peak Energy","CLD","579.10K","197.78M","884.78M","","2.01"
"CMTSU Liquidation","CBRI","1.10M","244.94K","","","0.63"
"Cogent","CCOI","308.17K","2.32B","506.21M","103.78","0.59"
"Coherent","COHR","576.42K","4.36B","1.93B","21.87","0.97"
"Cohu","COHU","249.42K","757.39M","372.71M","16.11","0.98"
"Columbia Banking","COLB","276.51K","3.07B","286.52M","18.83","1.07"
"Comfort Systems","FIX","219.77K","2.08B","1.94B","29.85","1.33"
"Community Bank System","CBU","211.53K","3.25B","","21.41","1.03"
"Community Health Systems","CYH","2.40M","354.57M","13.98B","","1.62"
"Computer Programs&Systems","CPSI","76.13K","370.46M","283.96M","","-0.08"
"Comtech","CMTL","190.04K","816.83M","550.91M","27.86","1.49"
"CONMED","CNMD","178.50K","2.13B","827.56M","52.59","0.51"
"Consolidated Communications","CNSL","1.09M","805.87M","1.43B","","0.72"
"Contango Oil&Gas","MCF","73.85K","122.92M","77.74M","","1.59"
"Cooper Stnd","CPS","139.10K","2.43B","3.70B","13.63","0.74"
"Core-Mark","CORE","337.48K","1.43B","16.42B","74.45","0.68"
"CoreSite","COR","327.86K","5.54B","515.09M","54.46","0.3"
"Corindus Vascular Robotics","CR3","1.25K","178.97M","8.73M","81.08","1.03"
"CorVel","CRVL","35.96K","1.06B","571.13M","30.18","0.65"
"CPB","CPF","131.22K","824.96M","","16.25","1.02"
"Cray","CRAY","352.17K","873.95M","446.13M","","1.57"
"Crocs","CROX","1.21M","1.29B","1.05B","148.47","0.43"
"Cross Country","CCRN","228.36K","340.34M","863.02M","7.34","0.85"
"CryoLife","CRY","139.52K","1.21B","227.28M","","0.62"
"CSG Systems","CSGS","183.17K","1.27B","819.12M","20.23","0.89"
"CTS Corp","CTS","156.09K","1.17B","448.70M","35.85","1.25"
"Cubic","CUB","160.10K","1.94B","1.43B","","1.01"
"Customers Bancorp","CUBI","207.21K","793.76M","241.64M","11.84","0.7"
"CVB Financial","CVBF","386.16K","2.66B","171.52M","20.43","1.36"
"Daktronics","DAKT","227.72K","383.91M","610.54M","40.5","1.12"
"Darling Ingredients","DAR","915.97K","3.26B","3.66B","18.34","1.4"
"Dave & Buster’s Entertainment","PLAY","1.42M","2.00B","1.17B","18.88","0.39"
"Depomed","DEPO","1.20M","480.40M","381.49M","","1.37"
"DHI Group","DHX","545.25K","105.99M","188.02M","6.42","1.05"
"Diamondrock Hospitality","DRH","2.24M","2.31B","850.01M","31.51","1.45"
"Digi","DGII","104.22K","356.88M","207.81M","47.42","1.39"
"Dime Community","DCOM","183.88K","670.65M","114.51M","11.45","0.49"
"DineEquity","DIN","358.06K","1.32B","666.08M","","0.03"
"Diodes","DIOD","317.37K","1.88B","1.13B","25.95","0.94"
"Diplomat Pharmacy","DPLO","1.09M","1.42B","5.04B","","1.13"
"Donnelley Financial Solutions","DFIN","307.88K","623.76M","993.20M","28.29",""
"Dorman","DORM","258.60K","2.53B","917.75M","21.53","1.02"
"DSP Group","DSPG","57.83K","280.05M","124.28M","","0.84"
"DXP Enterprises","DXPE","86.62K","828.20M","1.11B","35.13","2.58"
"Eagle Pharm","EGRX","255.51K","1.16B","215.73M","37.41","1.37"
"EastGroup Properties","EGP","205.28K","3.45B","287.20M","41.49","0.81"
"Ebix","EBIX","180.10K","2.50B","393.10M","23.32","1.26"
"Echo Global","ECHO","416.03K","930.67M","2.27B","47.86","1.61"
"eHealth","EHTH","170.08K","468.94M","141.19M","","1.3"
"El Paso Electric","EE","268.13K","2.59B","921.17M","6.58","0.34"
"El Pollo Loco Holdings Inc","LOCO","437.42K","448.18M","413.75M","228.21","0.37"
"Electro Scientific","ESIO","1.31M","762.23M","405.82M","5.75","1.01"
"Electronics for Imaging","EFII","542.66K","1.52B","1.02B","265.05","1.08"
"Emergent Biosolutions","EBS","306.36K","2.81B","681.25M","24.87","1.22"
"Employers","EIG","113.70K","1.43B","804.00M","11.34","1.06"
"Enanta","ENTA","217.99K","1.78B","215.35M","22.71","0.93"
"Encore Capital","ECPG","232.43K","1.04B","1.30B","11.71","1.55"
"Encore Wire","WIRE","70.70K","1.07B","1.22B","18.07","1.84"
"Engility","EGL","124.17K","1.24B","1.92B","43.53","1.89"
"Enova International Inc","ENVA","383.18K","1.16B","969.18M","27.98","2.56"
"Enpro Industries","NPO","174.06K","1.53B","1.38B","3.07","1.09"
"ePlus","PLUS","96.51K","1.37B","1.41B","24.52","1.14"
"Era Group Inc","ERA","49.18K","274.79M","233.96M","","0.96"
"ESCO Technologies","ESE","84.10K","1.71B","726.47M","29.16","0.97"
"Essendant Inc","ESND","402.41K","598.36M","5.00B","","1.33"
"Ethan Allen Interiors","ETH","220.63K","588.95M","766.78M","17.82","0.88"
"Evercore","EVR","474.34K","5.34B","1.88B","14.78","1.71"
"EW Scripps A","SSP","458.46K","1.17B","959.59M","","2.09"
"ExlServices","EXLS","135.26K","2.01B","807.30M","26.08","1.27"
"Exponent","EXPO","89.53K","2.60B","367.92M","40.9","0.59"
"Express","EXPR","1.88M","772.81M","2.15B","39.31","0.83"
"Exterran Corp","EXTN","132.95K","1.00B","1.36B","6958.33",""
"EZCORP","EZPW","653.57K","645.40M","789.25M","12.08","1.44"
"Fabrinet","FN","316.20K","1.55B","1.40B","18.08","0.55"
"FARO","FARO","97.02K","1.14B","387.74M","","1.58"
"Federal Signal","FSS","247.81K","1.54B","970.40M","24.87","1.32"
"Fidelity","LION","93.74K","644.56M","","17.56","0.93"
"Fiesta","FRGI","257.10K","783.50M","667.21M","209.8","0.58"
"First Bancorp","FBP","1.72M","1.83B","","24.5","1.84"
"First Commonwealth Financial","FCF","464.95K","1.68B","","1073.67","1"
"First Financial Bancorp","FFBC","348.78K","3.04B","282.93M","20.33","1.01"
"First Financial Bankshares","FFIN","239.49K","3.93B","191.07M","30.24","1.14"
"First Midwest","FMBI","612.36K","2.77B","353.60M","21.1","1.15"
"First NBC Bank","FNBCQ","165.09K","769.24K","","","-1.39"
"FirstCash","FCFS","300.27K","3.58B","1.79B","26.73","0.51"
"Five Below","FIVE","1.01M","5.80B","1.34B","51.2","0.45"
"Flotek","FTK","831.53K","126.80M","271.58M","","1.47"
"Forestar","FOR","65.59K","1.00B","110.18M","","1.78"
"Forrester","FORR","49.01K","812.88M","344.85M","59.85","0.45"
"Forward Air","FWRD","239.25K","1.85B","1.22B","23.61","1.43"
"Four Corners Property Trust Inc","FCPT","406.22K","1.75B","136.82M","19.68",""
"Fox Factory","FOXF","214.54K","2.40B","535.10M","36.48","0.71"
"Francescass","FRAN","1.27M","273.75M","464.40M","25.97","0.14"
"Franklin Electric","FELE","128.12K","2.28B","1.24B","24.6","1.59"
"Franklin Street Properties","FSP","101.89K","897.52M","269.04M","","0.73"
"Freds","FRED","984.34K","67.81M","3.24B","","1.27"
"FTD Companies Inc","FTD","327.56K","103.82M","1.06B","","0.14"
"FutureFuel","FF","66.27K","586.15M","276.67M","9.69","1.7"
"G-III Apparel","GIII","568.12K","2.27B","2.89B","25.25","0.18"
"Gannett","GCI","1.11M","1.18B","3.10B","16.91",""
"Genesco","GCO","282.76K","826.48M","2.91B","","0.97"
"Gentherm","THRM","216.00K","1.69B","1.02B","33.18","1.61"
"Geo","GEO","727.04K","3.14B","2.28B","19.64","1.23"
"Geospace","GEOS","64.55K","177.19M","78.84M","","1.28"
"Getty","GTY","124.06K","1.17B","129.82M","24.74","0.45"
"Gibraltar Industries","ROCK","284.79K","1.40B","1.01B","19.11","1.8"
"Glacier","GBCI","338.70K","3.69B","","22.76","1.39"
"Glatfelter","GLT","220.22K","717.98M","1.64B","33.45","1.12"
"Government Propertiesome","GOV","941.46K","1.59B","394.15M","56.01","1.13"
"Great Western Bancorp Inc","GWB","227.34K","2.48B","279.33M","14.86","1.51"
"Green Dot","GDOT","361.30K","4.33B","952.15M","37.9","0.73"
"Green Plains Energy","GPRE","700.45K","718.00M","3.85B","453.04","1.04"
"Greenbrier","GBX","506.37K","1.90B","2.44B","15.41","1.78"
"Greenhill&Co","GHL","435.03K","761.02M","291.02M","565.94","1.17"
"Griffon","GFF","259.08K","807.55M","1.52B","","1.32"
"Group 1 Automotive","GPI","254.49K","1.52B","16.93B","10.14","1.9"
"Guess?","GES","973.42K","1.86B","2.43B","47.91","0.12"
"Gulf Island Fabrication","GIFI","58.52K","138.40M","198.46M","","1.04"
"H B Fuller","FUL","352.37K","2.92B","2.74B","39.74","1.48"
"Haemonetics","HAE","777.57K","5.22B","922.32M","105.53","0.95"
"Hanmi","HAFC","177.70K","844.16M","124.60M","13.62","0.76"
"Harmonic","HLIT","565.77K","447.36M","382.27M","","0.67"
"Harsco","HSC","449.67K","2.00B","1.68B","23.64","2.76"
"Haverty Furniture","HVT","94.41K","456.22M","820.96M","17.59","0.77"
"Hawaiian","HA","1.08M","2.13B","2.79B","8.73","1.3"
"Hawkins","HWKN","31.46K","423.37M","520.23M","","0.72"
"Haynes","HAYN","103.71K","499.17M","413.78M","","1.48"
"HCI Group Inc","HCI","56.45K","373.36M","303.30M","","1.65"
"Healthcare Services","HCSG","931.78K","2.99B","2.00B","41.24","0.82"
"Healthequity Inc","HQY","603.30K","5.09B","244.01M","91.85","1.36"
"HealthStream","HSTM","130.05K","961.32M","238.18M","70.49","0.63"
"Heartland Express","HTLD","511.23K","1.60B","660.33M","35.99","0.6"
"Heidrick&Struggles","HSII","115.15K","830.39M","691.12M","58.49","1.69"
"Helix","HLX","1.48M","1.38B","695.41M","86.65","2.64"
"HFF","HF","288.31K","1.75B","618.66M","13.18","1.11"
"Hibbett Sports","HIBB","772.59K","449.96M","967.24M","13.28","0.71"
"HighPoint","HPR","1.77M","1.07B","342.44M","","3.4"
"Hillenbrand","HI","224.01K","3.25B","1.74B","29.2","1.3"
"HMS Holdings","HMSY","566.30K","2.50B","548.90M","130.45","1.01"
"Home BancShares","HOMB","1.05M","4.07B","","18.02","1.17"
"Hope Bancorp","HOPE","505.88K","2.35B","345.44M","12.44","1.31"
"Horace Mann Educators","HMN","102.18K","1.82B","1.17B","23.66","0.75"
"Hornbeck","HOS","248.68K","167.60M","209.93M","","1.43"
"Hub Group","HUBG","292.71K","1.80B","4.49B","22.18","1.46"
"Iconix Brand","ICON","2.44M","32.39M","204.22M","","1"
"ICU Medical","ICUI","94.54K","6.00B","1.45B","71.06","0.33"
"II-VI","IIVI","858.10K","2.80B","1.16B","37.18","0.1"
"ILG","ILG","1.39M","4.24B","1.82B","19.7","1.47"
"Independent Bank","INDB","72.74K","2.42B","","22.67","0.94"
"Ingevity","NGVT","245.56K","4.25B","1.04B","33.24",""
"Innophoss","IPHS","143.20K","862.77M","789.10M","24.98","0.72"
"Innospec","IOSP","106.86K","1.83B","1.37B","17.75","1.02"
"Inogen Inc","INGN","142.22K","4.85B","309.11M","126.2","1.08"
"Insight Enterprises","NSIT","203.16K","1.89B","7.14B","14.32","1.21"
"Insperity","NSP","301.64K","4.61B","3.56B","41.68","0.78"
"Installed Building","IBP","171.78K","1.67B","1.23B","39.09","0.83"
"Integer Hld","ITGR","208.01K","2.27B","1.45B","","0.78"
"Integra","IART","503.33K","5.32B","1.37B","44.39","0.6"
"Inter Parfums","IPAR","116.24K","1.93B","619.97M","39.22","1.44"
"Interactive Brokers","IBKR","931.76K","25.40B","2.25B","15.23","0.97"
"Interface, Inc.","TILE","423.73K","1.36B","1.05B","18.17","1.14"
"INTL FCStone","INTL","123.69K","1.05B","33.93B","28.8","1.79"
"Intrepid Potash","IPI","1.04M","465.37M","169.57M","","1.19"
"Invacare","IVC","329.06K","550.52M","984.47M","","2.42"
"Investment Tech","ITG","165.03K","755.43M","501.24M","","1.68"
"Iridium","IRDM","701.85K","2.25B","486.10M","134.73","1.8"
"iRobot","IRBT","1.16M","2.41B","975.69M","35.88","1.3"
"Itron","ITRI","290.22K","2.47B","2.23B","","0.88"
"J & J Snack Foods","JJSF","76.23K","2.70B","1.15B","34.7","0.56"
"John Bean Tech","JBT","240.29K","3.45B","1.81B","36.01","1.2"
"Kaiser","KALU","121.47K","1.85B","1.49B","21.3","0.71"
"Kaman","KAMN","190.81K","1.84B","1.83B","26.83","0.73"
"KapStone Paper&Packaging","KS","519.58K","3.38B","3.44B","21.85","3.32"
"Kelly Services A","KELYA","162.08K","953.53M","5.51B","13.95","0.88"
"Kirklands","KIRK","152.09K","175.05M","643.72M","32.49","1.3"
"Kite","KRG","624.11K","1.40B","357.56M","","0.54"
"Knight Transportation","KNX","3.36M","5.85B","4.48B","23.69","1.63"
"Kopin","KOPN","586.86K","177.55M","29.13M","395.15","0.92"
"Koppers","KOP","99.30K","739.08M","1.54B","12.06","0.86"
"Korn/Ferry","KFY","477.15K","3.80B","1.82B","25.8","1.22"
"Kraton","KRA","167.01K","1.56B","2.02B","","1.3"
"Kulicke&Soffa","KLIC","607.87K","1.86B","920.18M","10.3","1.19"
"La-Z-Boy","LZB","395.51K","1.45B","1.58B","17.33","0.98"
"Lannett Com","LCI","640.33K","518.89M","652.78M","8","2.47"
"LCI Industries","LCII","218.95K","2.49B","2.44B","19.08","1.08"
"Legacy Texas Financial Grp","LTXB","221.91K","2.10B","","18.71","1.38"
"Lendingtree","TREE","239.97K","3.18B","697.57M","37.62","2.07"
"Lexington","LXP","1.07M","2.13B","407.99M","157.92","0.85"
"LGI Homes","LGIH","426.07K","1.33B","1.47B","10",""
"LHC Group","LHCG","282.80K","3.04B","1.36B","55.05","0.46"
"Ligand","LGND","287.87K","5.12B","168.00M","50.03","0.95"
"Lindsay","LNN","85.41K","974.83M","556.38M","38.71","0.32"
"Liquidity Services","LQDT","159.17K","232.74M","233.18M","","0.72"
"Lithia Motors","LAD","320.72K","2.11B","11.14B","7.51","1.6"
"Littelfuse","LFUS","168.50K","5.56B","1.50B","33.27","0.92"
"LivePerson","LPSN","415.81K","1.46B","233.78M","","1.04"
"LogMeIn","LOGM","596.84K","4.25B","1.13B","83.77","1.09"
"Lsb Industries","LXU","159.36K","199.44M","384.96M","","4.64"
"LSC Communications","LKSD","376.08K","401.92M","3.81B","",""
"LTC Properties","LTC","223.90K","1.72B","167.26M","13.2","0.07"
"Lumber Liquidators","LL","1.07M","552.05M","1.06B","","1.43"
"Lumentum Holdings Inc","LITE","2.37M","3.68B","1.25B","11.45",""
"Luminex","LMNX","269.76K","1.20B","311.46M","23.54","0.31"
"Lydall","LDL","85.00K","706.49M","736.14M","14.18","1.49"
"M/I Homes","MHO","215.37K","753.70M","2.09B","8.9","1.1"
"Magellan Health","MGLN","154.24K","1.86B","6.73B","18.21","0.38"
"Maiden Holdings","MHLD","648.91K","365.72M","2.86B","","1.32"
"ManTech","MANT","203.54K","2.48B","1.85B","33.84","0.81"
"Marcus","MCS","81.57K","1.10B","673.48M","21.53","0.54"
"MarineMax","HZO","295.74K","519.47M","1.12B","13.81","1.21"
"Marriot Vacations Worldwide","VAC","337.05K","3.13B","2.13B","24.68","1.4"
"Marten Transport","MRTN","296.41K","1.21B","737.43M","30.64","1.36"
"Masimo","MASI","547.74K","5.65B","843.44M","29.47","0.96"
"Materion","MTRN","86.23K","1.29B","1.22B","32.31","0.97"
"Matrix","MTRX","209.34K","545.84M","1.09B","170.04","0.95"
"Matson","MATX","206.87K","1.54B","2.13B","16.66","1.32"
"Matthews","MATW","171.55K","1.66B","1.59B","24.09","1.07"
"MDC","MDC","478.85K","1.76B","2.73B","9.02","1.39"
"Medidata","MDSO","547.34K","4.62B","586.41M","86.54","1.41"
"MEDIFAST","MED","209.34K","2.45B","371.13M","60.99","0.18"
"Mercury","MRCY","375.81K","2.36B","493.19M","58.89","0.45"
"Meridian","VIVO","311.16K","635.16M","210.17M","28.28","0.81"
"Merit","MMSI","302.17K","3.01B","798.08M","132.12","1.31"
"Meritage","MTH","379.73K","1.77B","3.39B","9.08","1.07"
"Methode Electronics","MEI","238.83K","1.47B","908.30M","13.23","1.02"
"MicroStrategy","MSTR","89.70K","1.60B","506.93M","38.41","0.63"
"MiMedx","MDXG","3.35M","483.00M","160.98M","14.12","1.52"
"MKS Instruments","MKSI","538.23K","5.06B","2.13B","12.65","0.88"
"Mobile Mini","MINI","211.22K","2.05B","565.99M","34.99","1.86"
"Momenta","MNTA","902.34K","2.01B","106.58M","","1.8"
"Monarch","MCRI","74.78K","839.22M","235.27M","27.61","1.04"
"Monotype","TYPE","284.48K","886.29M","242.90M","","1.04"
"Monro Muffler Brake","MNRO","301.77K","2.29B","1.13B","32.75","0.84"
"Moog","MOGa","113.52K","2.71B","2.66B","23.36","1.68"
"Motorcar Parts","MPAA","192.06K","443.18M","425.57M","53.16","1.75"
"Movado","MOV","185.36K","840.80M","595.83M","28.05","-0.08"
"MTS Systems","MTSC","74.21K","928.89M","781.64M","32.29","0.94"
"Mueller Industries","MLI","212.26K","1.84B","2.38B","18.75","1.48"
"Multi-Color","LABL","121.35K","1.33B","1.51B","30.87","0.74"
"Myers Industries","MYE","246.73K","769.21M","577.31M","33","1.59"
"MYR Group","MYRG","97.20K","595.54M","1.43B","25.34","0.53"
"Nanometrics","NANO","200.84K","1.01B","305.78M","19.51","1.76"
"National Presto Industries","NPK","54.83K","874.57M","337.60M","18.87","0.27"
"Natus","BABY","536.66K","1.21B","513.34M","","0.61"
"Nautilus","NLS","247.71K","420.45M","406.21M","20.97","1.12"
"Navigant","NCI","348.30K","1.10B","966.88M","38.55","0.87"
"NBT Bancorp","NBTB","134.19K","1.73B","","17.51","0.85"
"Neenah Paper","NP","65.45K","1.50B","1.00B","20.67","1.06"
"Nektar","NKTR","2.57M","10.18B","1.37B","12.21","2.17"
"Neogen","NEOG","174.21K","4.34B","402.26M","64.17","1.32"
"NETGEAR","NTGR","573.88K","2.12B","1.46B","57.63","2.03"
"Newpark Resources","NR","586.65K","955.38M","869.60M","38.18","1.51"
"NIC","EGOV","895.55K","1.10B","347.22M","19.06","0.68"
"Northern Oil&Gas","NOG","157.68K","886.13M","212.06M","","1.95"
"Northfield Bancorp","NFBK","106.51K","802.82M","","19.92","0.4"
"Northwest Bancshares","NWBI","549.16K","1.83B","","19.54","0.66"
"Northwest Natural Gas","NWN","136.92K","1.83B","717.89M","","0.27"
"NutriSystem","NTRI","830.24K","1.19B","691.63M","22.82","1.34"
"OFG Bancorp","OFG","309.27K","736.47M","","17.73","1.85"
"Old National Bancorp","ONB","756.01K","2.96B","","25.21","0.83"
"Ollies Bargain Outlet Holdings Inc","OLLI","535.95K","4.48B","1.13B","33.53",""
"Olympic Steel","ZEUS","136.53K","259.89M","1.47B","7.15","1.73"
"Omnicell","OMCL","289.31K","2.54B","756.01M","98.65","0.95"
"Onespan","OSPN","194.71K","671.77M","200.62M","118.81","1.4"
"Opus Bank","OPB","204.42K","1.03B","150.73M","","0.9"
"Orion Group","ORN","212.67K","264.64M","598.98M","54.33","1.18"
"Oritani","ORIT","201.86K","744.70M","","13.55","0.37"
"OSI Systems","OSIS","407.02K","1.46B","1.05B","64.72","0.89"
"Oxford Industries","OXM","164.41K","1.60B","1.09B","28.06","0.21"
"Papa John's","PZZA","1.10M","1.33B","1.76B","19.42","0.41"
"Park Electrochemical","PKE","139.10K","449.63M","114.88M","114.03","0.89"
"Patrick","PATK","248.98K","1.52B","2.04B","14.8","0.82"
"PDC Energy","PDCE","898.19K","3.65B","908.52M","","0.68"
"Pennsylvania RE","PEI","1.03M","721.83M","364.51M","","1.11"
