"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","22.00","22.65","21.90","-0.45","-2.00%","511.19K","16:00:00"
"A Schulman","SHLM","43.75","44.00","43.75","-0.10","-0.23%","106.81K","16:00:01"
"AAON","AAON","39.95","40.05","39.29","+0.20","+0.50%","80.40K","16:00:02"
"AAR","AIR","44.76","46.19","44.48","-1.50","-3.24%","118.85K","16:00:00"
"Abercrombie&Fitch","ANF","26.74","28.73","26.21","-2.52","-8.61%","3.16M","16:00:00"
"ABM Industries","ABM","31.16","31.34","30.87","-0.03","-0.10%","592.89K","16:00:00"
"Acadia","AKR","27.61","27.65","27.15","+0.48","+1.77%","303.58K","16:00:00"
"Aceto","ACET","3.23","3.24","3.11","+0.01","+0.31%","110.19K","16:00:02"
"Acorda","ACOR","27.95","28.43","27.60","-0.50","-1.76%","245.04K","16:00:02"
"Actuant","ATU","28.48","28.65","28.40","-0.23","-0.78%","333.58K","16:00:00"
"ADTRAN","ADTN","16.05","16.15","15.95","-0.15","-0.93%","331.78K","16:00:02"
"Advanced Energy","AEIS","59.13","60.04","58.60","-0.91","-1.52%","332.08K","16:00:02"
"AdvanSix","ASIX","33.08","33.99","32.95","-1.12","-3.27%","212.97K","16:00:00"
"Aegion","AEGN","24.46","24.78","24.32","-0.43","-1.73%","60.96K","16:00:02"
"Aerojet Rocketdyne","AJRD","36.18","37.16","36.07","-1.11","-2.98%","476.72K","16:00:00"
"AeroVironment","AVAV","81.42","82.59","81.02","-1.05","-1.27%","207.20K","16:00:02"
"Agilysys","AGYS","15.84","16.01","15.77","-0.11","-0.69%","45.70K","16:00:02"
"Agree","ADC","54.66","54.79","54.38","+0.23","+0.42%","68.72K","16:00:00"
"AK Steel","AKS","4.085","4.180","4.010","-0.095","-2.27%","14.55M","16:00:00"
"Alamo","ALG","96.11","97.00","94.90","-1.25","-1.28%","59.28K","16:00:00"
"Albany","AIN","77.35","77.75","75.80","+0.75","+0.98%","161.02K","16:00:00"
"Allegiant","ALGT","136.00","137.05","134.25","+1.20","+0.89%","112.57K","16:00:01"
"Allete","ALE","77.85","78.69","77.27","-0.17","-0.22%","116.26K","16:00:00"
"AMAG","AMAG","24.80","24.95","24.35","-0.10","-0.40%","239.05K","16:00:02"
"Amedisys","AMED","116.13","118.62","115.32","-0.60","-0.51%","377.72K","16:00:01"
"American Assets","AAT","38.96","39.11","38.64","+0.35","+0.91%","96.24K","16:00:00"
"American Axle&Manufacturing","AXL","16.34","16.58","16.04","-0.29","-1.74%","1.55M","16:00:00"
"American Equity Inv. Life","AEL","36.38","36.72","36.08","-0.01","-0.03%","282.68K","16:00:00"
"American Public Education","APEI","34.95","35.10","34.25","0.00","0.00%","133.10K","16:00:01"
"American States Water","AWR","59.43","60.11","59.28","-0.22","-0.37%","116.50K","16:00:00"
"American Vanguard","AVD","19.38","19.60","19.15","-0.42","-2.15%","56.11K","16:00:00"
"American Woodmark","AMWD","81.45","83.13","81.15","-1.95","-2.34%","77.52K","16:00:02"
"Ameris","ABCB","48.70","49.50","48.65","-0.55","-1.12%","253.38K","16:00:02"
"AMERISAFE","AMSF","63.60","64.10","63.20","+0.10","+0.16%","55.72K","16:00:02"
"AMN Healthcare Services","AMN","56.30","57.20","56.25","-0.40","-0.71%","212.69K","16:00:00"
"Amneal Pharma A","AMRX","21.94","22.41","21.84","-0.21","-0.95%","1.27M","16:00:00"
"Amphastar P","AMPH","17.50","17.75","17.25","-0.18","-1.02%","127.87K","16:00:02"
"AngioDynamics","ANGO","21.53","21.59","21.19","+0.08","+0.37%","89.46K","16:00:02"
"ANI Pharma","ANIP","56.00","56.85","54.80","-1.15","-2.01%","137.32K","16:00:02"
"Anika","ANIK","41.53","42.51","41.34","-0.98","-2.31%","57.98K","16:00:02"
"Anixter","AXE","71.00","71.60","70.20","-0.90","-1.25%","114.26K","16:00:00"
"Apogee","APOG","48.57","49.78","48.39","-1.19","-2.39%","156.90K","16:00:01"
"Applied Industrial Technologies","AIT","76.30","76.60","74.80","-0.60","-0.78%","192.09K","16:00:00"
"ArcBest Corp","ARCB","45.00","46.00","44.05","-1.30","-2.81%","254.59K","16:00:02"
"Archrock","AROC","12.10","12.50","11.95","-0.50","-3.97%","532.02K","16:00:00"
"Asbury Automotive","ABG","74.45","74.70","73.80","-0.55","-0.73%","238.75K","16:00:00"
"ASGN","ASGN","90.07","90.38","88.95","-0.09","-0.10%","207.87K","16:00:00"
"Astec","ASTE","45.19","46.07","44.92","-1.08","-2.33%","225.63K","16:00:02"
"Atlas Air","AAWW","58.45","59.95","58.30","-1.45","-2.42%","536.59K","16:00:02"
"ATN Int","ATNI","71.92","73.37","70.76","-1.31","-1.79%","80.38K","16:00:02"
"Avista","AVA","51.13","51.40","51.05","+0.12","+0.24%","203.76K","16:00:00"
"Axon Enterprise","AAXN","61.02","62.55","59.72","-1.29","-2.07%","764.66K","16:00:01"
"AZZ","AZZ","53.40","53.95","53.20","-0.65","-1.20%","38.97K","16:00:00"
