"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.03M","2.10B","310.62M","","0.49"
"A Schulman","SHLM","398.75K","1.29B","2.69B","64.75","1.36"
"AAON","AAON","190.57K","2.15B","426.50M","53.06","0.9"
"AAR","AIR","219.26K","1.55B","2.19B","26.46","1.26"
"Abercrombie&Fitch","ANF","2.44M","1.87B","3.56B","45.38","0.49"
"ABM Industries","ABM","811.11K","2.09B","5.99B","31.7","0.78"
"Acadia","AKR","552.71K","2.30B","376.95M","47.07","0.37"
"Aceto","ACET","467.77K","100.37M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.34B","588.93M","","1.42"
"Actuant","ATU","504.55K","1.78B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","780.54M","560.49M","","0.52"
"Advanced Energy","AEIS","457.14K","2.25B","747.43M","10.33","1.06"
"AdvanSix","ASIX","180.89K","980.30M","1.50B","12.91",""
"Aegion","AEGN","146.81K","793.56M","1.34B","","1.73"
"Aerojet Rocketdyne","AJRD","693.92K","2.71B","1.97B","36.08","1.08"
"AeroVironment","AVAV","360.74K","2.02B","271.06M","78.55","1.15"
"Agilysys","AGYS","43.36K","375.70M","127.50M","","0.32"
"Agree","ADC","169.55K","1.73B","132.20M","29.1","0.29"
"AK Steel","AKS","12.70M","1.38B","6.40B","","2.89"
"Alamo","ALG","67.31K","1.15B","978.93M","18.29","0.96"
"Albany","AIN","120.87K","2.48B","935.08M","37.06","1.69"
"Allegiant","ALGT","157.19K","2.19B","1.59B","15.92","0.12"
"Allete","ALE","208.53K","4.06B","1.40B","28.51","0.19"
"AMAG","AMAG","1.23M","832.52M","604.69M","","0.45"
"Amedisys","AMED","336.51K","3.80B","1.60B","44.42","0.89"
"American Assets","AAT","221.13K","1.86B","329.84M","99.5","0.34"
"American Axle&Manufacturing","AXL","1.88M","1.94B","7.22B","4.94","1.42"
"American Equity Inv. Life","AEL","634.83K","3.37B","2.97B","9.34","2.53"
"American Public Education","APEI","109.20K","574.84M","299.13M","29.66","0.67"
"American States Water","AWR","182.63K","2.22B","430.23M","37.05","0.1"
"American Vanguard","AVD","75.54K","589.81M","417.62M","29.31","1.04"
"American Woodmark","AMWD","135.47K","1.46B","1.25B","22.5","1.85"
"Ameris","ABCB","225.93K","2.36B","227.23M","23.9","1.07"
"AMERISAFE","AMSF","89.24K","1.23B","377.29M","19.34","0.75"
"AMN Healthcare Services","AMN","400.77K","2.72B","2.08B","21","0.32"
"Amneal Pharma A","AMRX","1.24M","2.74B","803.09M","","1.34"
"Amphastar P","AMPH","207.93K","824.29M","247.75M","","1.38"
"AngioDynamics","ANGO","229.74K","802.63M","344.29M","92.22","0.93"
"ANI Pharma","ANIP","142.67K","667.26M","189.20M","48.58","2.84"
"Anika","ANIK","86.25K","614.12M","108.38M","38.91","2.05"
"Anixter","AXE","188.02K","2.41B","8.13B","17.78","2.2"
"Apogee","APOG","310.40K","1.40B","1.39B","19.09","1.5"
"Applied Industrial Technologies","AIT","188.43K","2.96B","3.07B","23.15","0.88"
"ArcBest Corp","ARCB","308.58K","1.18B","2.95B","35.54","2.09"
"Archrock","AROC","1.31M","1.55B","845.70M","","2.92"
"Asbury Automotive","ABG","209.58K","1.52B","6.61B","9.61","1.45"
"ASGN","ASGN","283.42K","4.76B","2.91B","35.75","1.95"
"Assertio Therapeutics","ASRT","1.20M","478.73M","381.49M","","1.38"
"Astec","ASTE","180.90K","1.08B","1.16B","","1.03"
"Atlas Air","AAWW","268.12K","1.54B","2.42B","37.12","1.22"
"ATN Int","ATNI","95.43K","1.17B","452.09M","125.63","0.58"
"Avista","AVA","487.88K","3.39B","1.42B","27.41","0.17"
"Axon Enterprise","AAXN","894.95K","3.74B","385.36M","126.89","1.11"
"AZZ","AZZ","195.39K","1.40B","861.47M","54.56","1.44"
"B&G Foods","BGS","880.67K","2.11B","1.70B","37.19","0.5"
