"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","21.20","21.25","20.45","+0.60","+2.91%","441.56K","15:59:59"
"A Schulman","SHLM","43.75","44.16","43.60","+0.05","+0.11%","109.01K","15:59:59"
"AAON","AAON","38.60","38.95","38.35","+0.30","+0.78%","170.52K","15:59:59"
"AAR","AIR","46.55","46.56","46.19","+0.14","+0.30%","76.89K","15:59:59"
"Abercrombie&Fitch","ANF","25.79","25.86","24.82","+0.85","+3.41%","1.88M","15:59:59"
"ABM Industries","ABM","31.40","31.55","30.91","+0.28","+0.90%","370.42K","15:59:59"
"Acadia","AKR","26.99","27.67","26.99","-0.51","-1.85%","636.76K","15:59:59"
"Aceto","ACET","3.24","3.29","3.14","+0.03","+0.93%","95.38K","15:59:59"
"Acorda","ACOR","27.15","27.95","25.95","+0.90","+3.43%","549.81K","15:59:59"
"Actuant","ATU","28.10","28.60","28.08","-0.40","-1.40%","370.74K","15:59:59"
"ADTRAN","ADTN","16.30","16.30","16.00","+0.15","+0.93%","101.93K","15:59:59"
"Advanced Energy","AEIS","61.28","61.44","59.83","+0.79","+1.31%","473.69K","15:59:59"
"AdvanSix","ASIX","34.56","36.00","33.55","-1.83","-5.03%","429.53K","15:59:59"
"Aegion","AEGN","25.08","25.11","24.58","+0.40","+1.62%","91.18K","15:59:59"
"Aerojet Rocketdyne","AJRD","34.50","34.79","34.06","+0.29","+0.85%","522.70K","15:59:59"
"AeroVironment","AVAV","76.06","76.29","74.98","+1.04","+1.39%","225.87K","15:59:59"
"Agilysys","AGYS","15.47","15.56","14.75","+0.75","+5.10%","107.22K","15:59:59"
"Agree","ADC","53.96","54.29","53.81","-0.11","-0.20%","59.36K","15:59:59"
"AK Steel","AKS","4.520","4.520","4.400","+0.020","+0.44%","10.63M","15:59:59"
"Alamo","ALG","94.61","96.85","94.20","+0.88","+0.94%","45.26K","15:59:59"
"Albany","AIN","64.30","65.28","64.00","-0.45","-0.69%","180.63K","15:59:59"
"Allegiant","ALGT","126.75","126.90","123.60","+1.65","+1.32%","176.82K","15:59:59"
"Allete","ALE","76.58","77.22","75.98","+0.80","+1.06%","228.47K","15:59:59"
"AMAG","AMAG","24.00","24.10","23.00","+0.10","+0.42%","632.16K","15:59:59"
"Amedisys","AMED","109.23","111.97","107.66","+0.96","+0.89%","429.56K","15:59:59"
"American Assets","AAT","38.75","39.09","38.63","-0.12","-0.31%","139.28K","15:59:59"
"American Axle&Manufacturing","AXL","17.05","17.50","16.99","+0.03","+0.18%","2.00M","15:59:59"
"American Equity Inv. Life","AEL","35.55","35.71","35.25","+0.10","+0.28%","273.72K","15:59:59"
"American Public Education","APEI","43.25","43.50","42.90","-0.05","-0.12%","53.75K","15:59:59"
"American States Water","AWR","60.72","60.99","60.08","+0.66","+1.10%","192.66K","15:59:59"
"American Vanguard","AVD","21.55","21.70","21.40","+0.15","+0.70%","44.47K","15:59:59"
"American Woodmark","AMWD","84.80","86.95","84.00","-1.70","-1.97%","146.16K","15:59:59"
"Ameris","ABCB","48.80","49.17","48.50","-0.10","-0.20%","145.04K","15:59:59"
"AMERISAFE","AMSF","62.35","63.10","59.45","-0.20","-0.32%","37.52K","15:59:59"
"AMN Healthcare Services","AMN","55.05","55.20","52.00","+2.75","+5.26%","442.27K","15:59:59"
"Amneal Pharma A","AMRX","19.82","19.85","19.15","+0.45","+2.32%","761.11K","15:59:59"
"Amphastar P","AMPH","17.63","17.71","17.30","+0.23","+1.32%","125.27K","15:59:59"
"AngioDynamics","ANGO","21.56","21.91","21.42","-0.13","-0.60%","115.82K","15:59:59"
"ANI Pharma","ANIP","65.62","65.83","64.31","+0.59","+0.91%","55.75K","15:59:59"
"Anika","ANIK","41.63","41.70","40.27","+0.30","+0.73%","81.95K","15:59:59"
"Anixter","AXE","72.10","73.00","71.78","+0.40","+0.56%","100.97K","15:59:59"
"Apogee","APOG","50.00","50.39","49.40","+0.89","+1.81%","171.74K","15:59:59"
"Applied Industrial Technologies","AIT","73.10","73.15","71.90","+1.20","+1.67%","163.32K","15:59:59"
"ArcBest Corp","ARCB","47.45","47.50","46.05","+1.05","+2.26%","198.99K","15:59:59"
"Archrock","AROC","13.10","13.25","12.80","+0.18","+1.41%","548.62K","15:59:59"
"Asbury Automotive","ABG","74.05","74.30","72.75","+1.20","+1.65%","269.43K","15:59:59"
"ASGN","ASGN","92.75","93.33","91.72","+0.95","+1.03%","557.39K","15:59:59"
"Astec","ASTE","46.49","46.91","45.60","+0.74","+1.62%","141.31K","15:59:59"
"Atlas Air","AAWW","63.65","64.30","62.45","+0.55","+0.87%","332.99K","15:59:59"
"ATN Int","ATNI","67.86","68.13","64.17","+3.32","+5.14%","59.44K","15:59:59"
"Avista","AVA","50.82","50.82","50.47","+0.20","+0.40%","268.57K","15:59:59"
"Axon Enterprise","AAXN","66.86","69.12","65.19","-2.23","-3.23%","1.07M","15:59:59"
"AZZ","AZZ","53.90","54.15","53.17","+0.30","+0.56%","103.62K","15:59:59"
