"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.05M","2.04B","296.50M","","0.52"
"A Schulman","SHLM","398.75K","1.27B","2.69B","63.42","1.33"
"AAON","AAON","190.57K","1.92B","418.24M","43.92","0.78"
"AAR","AIR","219.35K","1.62B","2.19B","27","1.2"
"ABAXIS","ABAX","214.97K","1.91B","244.70M","62.51","1.44"
"Abercrombie&Fitch","ANF","2.66M","1.77B","3.56B","41.75","0.76"
"ABM Industries","ABM","862.50K","1.97B","5.99B","29.29","0.79"
"Acadia","AKR","634.48K","2.17B","434.88M","40.99","0.43"
"Aceto","ACET","467.77K","99.45M","737.10M","","1.63"
"Acorda","ACOR","712.87K","1.35B","575.07M","","1.53"
"Actuant","ATU","532.85K","1.71B","1.16B","","1.4"
"ADTRAN","ADTN","614.96K","790.59M","560.49M","","0.58"
"Advanced Energy","AEIS","457.14K","2.35B","717.27M","10.72","1.17"
"AdvanSix","ASIX","190.37K","1.19B","1.46B","15.54",""
"Aegion","AEGN","146.81K","821.66M","1.36B","","1.75"
"Aerojet Rocketdyne","AJRD","648.82K","2.29B","1.96B","34.44","1.09"
"AeroVironment","AVAV","360.74K","1.80B","271.06M","68.82","1.15"
"Agilysys","AGYS","43.36K","386.20M","127.36M","","0.33"
"Agree","ADC","190.73K","1.66B","124.57M","25.53","0.38"
"AK Steel","AKS","12.84M","1.54B","6.21B","","2.88"
"Alamo","ALG","68.65K","1.06B","935.09M","18.6","0.85"
"Albany","AIN","95.76K","2.07B","894.42M","52.25","1.66"
"Allegiant","ALGT","157.19K","2.33B","1.93B","17.21","0.23"
"Allete","ALE","236.75K","3.97B","1.41B","25.63","0.29"
"AMAG","AMAG","1.23M","750.04M","616.83M","","0.37"
"Amedisys","AMED","336.51K","3.26B","1.56B","52.2","0.61"
"American Assets","AAT","264.43K","1.77B","321.93M","83.31","0.4"
"American Axle&Manufacturing","AXL","1.94M","1.80B","7.07B","5.53","1.35"
"American Equity Inv. Life","AEL","670.44K","3.17B","3.10B","10.82","2.38"
"American Public Education","APEI","109.20K","732.22M","298.53M","41.47","0.65"
"American States Water","AWR","210.13K","2.21B","535.33M","33.03","0.27"
"American Vanguard","AVD","87.18K","699.53M","388.48M","34.02","0.99"
"American Woodmark","AMWD","135.47K","1.51B","1.25B","23.3","1.84"
