"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Cross Country","CCRN","Strong Buy","Neutral","Strong Sell","Strong Sell"
"CryoLife","CRY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CSG Systems","CSGS","Strong Buy","Sell","Strong Sell","Strong Sell"
"CTS Corp","CTS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cubic","CUB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Customers Bancorp","CUBI","Buy","Strong Sell","Strong Sell","Strong Sell"
"CVB Financial","CVBF","Buy","Neutral","Strong Buy","Strong Buy"
"Daktronics","DAKT","Strong Buy","Sell","Strong Sell","Strong Sell"
"Darling Ingredients","DAR","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Dave & Buster’s Entertainment","PLAY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"DHI Group","DHX","Strong Sell","Neutral","Neutral","Strong Sell"
"Diamondrock Hospitality","DRH","Neutral","Strong Buy","Neutral","Strong Buy"
"Digi","DGII","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Dime Community","DCOM","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"DineEquity","DIN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Diodes","DIOD","Neutral","Buy","Strong Buy","Strong Buy"
"Diplomat Pharmacy","DPLO","Buy","Buy","Strong Sell","Sell"
"Donnelley Financial Solutions","DFIN","Strong Buy","Strong Buy","Strong Buy","Buy"
"Dorman","DORM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"DSP Group","DSPG","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"DXP Enterprises","DXPE","Strong Sell","Sell","Strong Buy","Strong Buy"
"Eagle Pharm","EGRX","Strong Sell","Strong Sell","Neutral","Strong Buy"
"EastGroup Properties","EGP","Neutral","Neutral","Strong Buy","Strong Buy"
"Ebix","EBIX","Strong Buy","Strong Buy","Buy","Strong Buy"
"Echo Global","ECHO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"eHealth","EHTH","Strong Sell","Buy","Strong Buy","Strong Buy"
"El Paso Electric","EE","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"El Pollo Loco Holdings Inc","LOCO","Strong Sell","Neutral","Strong Buy","Buy"
"Electro Scientific","ESIO","Strong Sell","Sell","Strong Buy","Strong Buy"
"Electronics for Imaging","EFII","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Emergent Biosolutions","EBS","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Employers","EIG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Enanta","ENTA","Buy","Sell","Sell","Strong Buy"
"Encore Capital","ECPG","Buy","Strong Sell","Sell","Neutral"
"Encore Wire","WIRE","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Engility","EGL","Neutral","Buy","Strong Buy","Strong Buy"
"Enova International Inc","ENVA","Strong Sell","Strong Sell","Buy","Strong Buy"
"Enpro Industries","NPO","Neutral","Buy","Buy","Neutral"
"ePlus","PLUS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Era Group Inc","ERA","Strong Sell","Strong Sell","Sell","Buy"
"ESCO Technologies","ESE","Strong Sell","Buy","Strong Buy","Strong Buy"
"Essendant Inc","ESND","Neutral","Sell","Neutral","Neutral"
"Ethan Allen Interiors","ETH","Sell","Strong Sell","Strong Sell","Strong Sell"
"Evercore","EVR","Neutral","Strong Sell","Neutral","Strong Buy"
"EW Scripps A","SSP","Strong Buy","Strong Buy","Strong Buy","Neutral"
"ExlServices","EXLS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Exponent","EXPO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Express","EXPR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Exterran Corp","EXTN","Strong Sell","Strong Sell","Neutral","Neutral"
"EZCORP","EZPW","Neutral","Strong Sell","Strong Sell","Sell"
"Fabrinet","FN","Sell","Strong Buy","Strong Buy","Strong Buy"
"FARO","FARO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Federal Signal","FSS","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Fidelity","LION","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Fiesta","FRGI","Strong Buy","Neutral","Strong Buy","Strong Buy"
"First Bancorp","FBP","Neutral","Neutral","Strong Buy","Strong Buy"
"First Commonwealth Financial","FCF","Buy","Neutral","Strong Buy","Strong Buy"
"First Financial Bancorp","FFBC","Buy","Neutral","Neutral","Strong Buy"
"First Financial Bankshares","FFIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"First Midwest","FMBI","Strong Buy","Neutral","Strong Buy","Strong Buy"
"First NBC Bank","FNBCQ","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"FirstCash","FCFS","Buy","Sell","Neutral","Strong Buy"
"Five Below","FIVE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Flotek","FTK","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Forestar","FOR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Forrester","FORR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Forward Air","FWRD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Four Corners Property Trust Inc","FCPT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Fox Factory","FOXF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Francescass","FRAN","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Franklin Electric","FELE","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Franklin Street Properties","FSP","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Freds","FRED","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"FTD Companies Inc","FTD","Neutral","Strong Sell","Strong Sell","Strong Sell"
"FutureFuel","FF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"G-III Apparel","GIII","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Gannett","GCI","Strong Sell","Strong Sell","Strong Sell","Sell"
"Genesco","GCO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Gentherm","THRM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Geo","GEO","Neutral","Neutral","Buy","Strong Buy"
"Geospace","GEOS","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Getty","GTY","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Gibraltar Industries","ROCK","Neutral","Buy","Strong Buy","Strong Buy"
"Glacier","GBCI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Glatfelter","GLT","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Government Propertiesome","GOV","Neutral","Strong Buy","Strong Buy","Neutral"
"Great Western Bancorp Inc","GWB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Green Dot","GDOT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Green Plains Energy","GPRE","Strong Buy","Buy","Strong Sell","Strong Sell"
"Greenbrier","GBX","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Greenhill&Co","GHL","Strong Sell","Strong Sell","Sell","Neutral"
"Griffon","GFF","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Group 1 Automotive","GPI","Sell","Neutral","Strong Buy","Strong Buy"
"Guess?","GES","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Gulf Island Fabrication","GIFI","Strong Sell","Strong Sell","Sell","Strong Sell"
"H B Fuller","FUL","Strong Sell","Sell","Strong Buy","Strong Buy"
"Haemonetics","HAE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Hanmi","HAFC","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Harmonic","HLIT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Harsco","HSC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Haverty Furniture","HVT","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Hawaiian","HA","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Hawkins","HWKN","Strong Buy","Strong Buy","Strong Buy","Buy"
"Haynes","HAYN","Strong Buy","Buy","Neutral","Strong Buy"
"HCI Group Inc","HCI","Strong Sell","Strong Sell","Sell","Buy"
"Healthcare Services","HCSG","Strong Buy","Sell","Neutral","Neutral"
"Healthequity Inc","HQY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"HealthStream","HSTM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Heartland Express","HTLD","Neutral","Strong Buy","Strong Buy","Neutral"
"Heidrick&Struggles","HSII","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Helix","HLX","Strong Buy","Strong Buy","Strong Buy","Buy"
"HFF","HF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Hibbett Sports","HIBB","Buy","Strong Sell","Strong Sell","Strong Sell"
"HighPoint","HPR","Strong Buy","Buy","Strong Sell","Neutral"
"Hillenbrand","HI","Strong Buy","Neutral","Strong Buy","Strong Buy"
"HMS Holdings","HMSY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Home BancShares","HOMB","Buy","Sell","Neutral","Neutral"
"Hope Bancorp","HOPE","Buy","Strong Sell","Strong Sell","Sell"
"Horace Mann Educators","HMN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Hornbeck","HOS","Neutral","Buy","Buy","Neutral"
"Hub Group","HUBG","Buy","Strong Buy","Strong Buy","Strong Buy"
"Iconix Brand","ICON","Neutral","Strong Sell","Strong Sell","Strong Sell"
"ICU Medical","ICUI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"II-VI","IIVI","Sell","Strong Buy","Strong Buy","Strong Buy"
"ILG","ILG","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Independent Bank","INDB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Ingevity","NGVT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Innophoss","IPHS","Neutral","Strong Sell","Strong Sell","Sell"
"Innospec","IOSP","Strong Buy","Strong Buy","Buy","Strong Buy"
"Inogen Inc","INGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Insight Enterprises","NSIT","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Insperity","NSP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Installed Building","IBP","Strong Sell","Strong Sell","Strong Sell","Sell"
"Integer Hld","ITGR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Integra","IART","Strong Buy","Strong Sell","Sell","Strong Buy"
"Inter Parfums","IPAR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Interactive Brokers","IBKR","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Interface, Inc.","TILE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"INTL FCStone","INTL","Strong Sell","Buy","Strong Buy","Strong Buy"
"Intrepid Potash","IPI","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Invacare","IVC","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Investment Tech","ITG","Strong Buy","Neutral","Neutral","Strong Buy"
"Iridium","IRDM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"iRobot","IRBT","Sell","Buy","Strong Buy","Strong Buy"
"Itron","ITRI","Strong Buy","Strong Buy","Strong Buy","Neutral"
"J & J Snack Foods","JJSF","Strong Buy","Buy","Neutral","Strong Buy"
"John Bean Tech","JBT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Kaiser","KALU","Strong Buy","Strong Buy","Buy","Strong Buy"
"Kaman","KAMN","Neutral","Strong Sell","Sell","Strong Buy"
"KapStone Paper&Packaging","KS","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Kelly Services A","KELYA","Strong Buy","Neutral","Strong Buy","Neutral"
"Kirklands","KIRK","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Kite","KRG","Neutral","Strong Buy","Strong Buy","Sell"
"Knight Transportation","KNX","Strong Buy","Buy","Strong Sell","Sell"
"Kopin","KOPN","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Koppers","KOP","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Korn/Ferry","KFY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Kraton","KRA","Strong Sell","Strong Sell","Neutral","Buy"
"Kulicke&Soffa","KLIC","Strong Sell","Strong Sell","Buy","Strong Buy"
"La-Z-Boy","LZB","Strong Buy","Buy","Strong Buy","Strong Buy"
"Lannett Com","LCI","Buy","Strong Sell","Strong Sell","Strong Sell"
"LCI Industries","LCII","Sell","Strong Sell","Neutral","Neutral"
"Legacy Texas Financial Grp","LTXB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Lendingtree","TREE","Strong Buy","Strong Buy","Neutral","Neutral"
"Lexington","LXP","Neutral","Strong Buy","Strong Buy","Neutral"
"LGI Homes","LGIH","Strong Buy","Buy","Neutral","Buy"
"LHC Group","LHCG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Ligand","LGND","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Lindsay","LNN","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Liquidity Services","LQDT","Buy","Buy","Strong Buy","Buy"
"Lithia Motors","LAD","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Littelfuse","LFUS","Neutral","Strong Buy","Strong Buy","Strong Buy"
"LivePerson","LPSN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
