"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.05M","2.10B","310.62M","","0.46"
"A Schulman","SHLM","398.75K","1.29B","2.69B","64.38","1.36"
"AAON","AAON","190.57K","2.08B","426.50M","50.29","0.88"
"AAR","AIR","220.51K","1.61B","2.19B","26.24","1.28"
"Abercrombie&Fitch","ANF","2.45M","1.98B","3.56B","42.91","0.45"
"ABM Industries","ABM","825.27K","2.05B","5.99B","30.58","0.78"
"Acadia","AKR","561.18K","2.21B","376.95M","45.66","0.36"
"Aceto","ACET","467.77K","99.14M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.35B","588.93M","","1.39"
"Actuant","ATU","506.03K","1.75B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","773.37M","560.49M","","0.51"
"Advanced Energy","AEIS","457.14K","2.35B","747.43M","10.62","1.07"
"AdvanSix","ASIX","183.35K","1.04B","1.50B","12.91",""
"Aegion","AEGN","146.81K","804.22M","1.34B","","1.74"
"Aerojet Rocketdyne","AJRD","705.32K","2.82B","1.97B","36.45","1.06"
"AeroVironment","AVAV","360.74K","1.97B","271.06M","75.14","1.11"
"Agilysys","AGYS","43.36K","375.23M","127.50M","","0.33"
"Agree","ADC","174.70K","1.69B","132.20M","28.33","0.28"
"AK Steel","AKS","12.84M","1.32B","6.40B","","2.92"
"Alamo","ALG","65.90K","1.14B","978.93M","17.78","0.95"
"Albany","AIN","116.63K","2.47B","935.08M","37.25","1.64"
"Allegiant","ALGT","157.19K","2.18B","1.59B","15.83","0.09"
"Allete","ALE","220.09K","4.01B","1.40B","28.25","0.19"
"AMAG","AMAG","1.23M","858.37M","604.69M","","0.41"
"Amedisys","AMED","336.51K","3.72B","1.60B","43.16","0.82"
"American Assets","AAT","230.16K","1.82B","329.84M","97.82","0.34"
"American Axle&Manufacturing","AXL","1.85M","1.86B","7.07B","4.56","1.42"
"American Equity Inv. Life","AEL","636.94K","3.28B","2.97B","9.08","2.53"
"American Public Education","APEI","109.20K","573.15M","299.13M","28.68","0.72"
"American States Water","AWR","184.52K","2.19B","430.23M","36.18","0.11"
"American Vanguard","AVD","75.34K","639.76M","417.62M","29.77","1.07"
"American Woodmark","AMWD","135.47K","1.46B","1.25B","21.95","1.86"
"Ameris","ABCB","225.93K","2.34B","227.23M","23.45","1.06"
"AMERISAFE","AMSF","89.24K","1.22B","377.29M","19.45","0.75"
"AMN Healthcare Services","AMN","414.29K","2.69B","2.02B","20.76","0.35"
"Amneal Pharma A","AMRX","1.23M","6.64B","775.79M","","1.29"
"Amphastar P","AMPH","207.93K","824.14M","247.75M","","1.38"
"AngioDynamics","ANGO","229.74K","791.20M","344.29M","90.09","0.92"
"ANI Pharma","ANIP","142.67K","674.21M","189.20M","48.47","2.89"
"Anika","ANIK","86.25K","619.95M","108.38M","39.21","2.04"
"Anixter","AXE","187.88K","2.41B","8.13B","17.37","2.2"
"Apogee","APOG","310.40K","1.41B","1.39B","18.68","1.51"
"Applied Industrial Technologies","AIT","186.93K","2.98B","2.86B","21.33","0.87"
"ArcBest Corp","ARCB","308.58K","1.19B","2.95B","33.95","2.1"
"Archrock","AROC","1.35M","1.63B","845.70M","","2.95"
"Asbury Automotive","ABG","213.26K","1.53B","6.61B","9.4","1.43"
"ASGN","ASGN","281.87K","4.72B","2.91B","35.68","1.95"
"Assertio Therapeutics","ASRT","1.20M","464.19M","381.49M","","1.41"
"Astec","ASTE","180.90K","1.07B","1.16B","","1.05"
"Atlas Air","AAWW","268.12K","1.53B","2.42B","35.45","1.25"
"ATN Int","ATNI","95.43K","1.17B","452.09M","121.69","0.55"
"Avista","AVA","496.33K","3.35B","1.42B","27.38","0.17"
"Axon Enterprise","AAXN","894.95K","3.63B","385.36M","120.68","1.15"
"AZZ","AZZ","202.24K","1.41B","861.47M","54.25","1.45"
"B&G Foods","BGS","924.63K","2.04B","1.70B","35.49","0.49"
"Badger Meter","BMI","117.53K","1.53B","415.35M","50.78","0.68"
"Balchem","BCPC","114.47K","3.23B","635.08M","45.33","0.83"
"Banc of California","BANC","473.51K","1.01B","220.54M","38.3","0.78"
"Banner","BANR","195.21K","2.14B","259.82M","18.57","0.91"
"Barnes","B","225.61K","3.38B","1.47B","21.95","1.36"
"Barnes & Noble Education Inc","BNED","342.40K","294.64M","2.20B","",""
"Barnes&Noble","BKS","971.89K","458.60M","3.66B","","1.71"
"Bel Fuse B","BELFB","28.05K","301.27M","505.29M","35.35","1.06"
"Belmond","BEL","554.40K","1.93B","555.84M","","1.26"
"Benchmark Electronics","BHE","352.86K","1.22B","2.55B","18.92","0.21"
"Big 5","BGFV","1.28M","127.52M","987.49M","","-0.87"
"Biglari","BH","8.26K","617.39M","636.40M","","0.4"
"BioTelemetry","BEAT","469.88K","1.80B","368.62M","338.23","1.4"
"BJs Restaurants","BJRI","383.40K","1.35B","1.07B","33.65","0.65"
"Black Box","BBOX","216.31K","25.59M","774.63M","","0.87"
"Blackbaud","BLKB","284.75K","4.77B","830.34M","96.29","0.63"
"Blucora","BCOR","405.89K","1.65B","551.84M","33.18","-0.16"
"BofI Holding","BOFI","743.92K","2.38B","304.28M","14.95","0.27"
"Boise Cascad Llc","BCC","389.70K","1.73B","4.91B","14.24","1.93"
"Boston Private","BPFH","411.48K","1.18B","211.75M","35.86","0.92"
"Bottomline","EPAY","314.41K","2.43B","381.13M","1078.95","0.87"
"Boyd Gaming","BYD","1.06M","3.98B","2.40B","32.39","1.67"
"Brady","BRC","229.89K","1.94B","1.17B","19.28","1.1"
"Briggs&Stratton","BGG","282.40K","791.01M","1.85B","17.85","0.61"
"Brinks","BCO","488.05K","4.00B","3.48B","","1.79"
"Bristow","BRS","791.26K","391.27M","1.44B","","3.11"
