"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"Brookline Bancorp","BRKL","341.71K","1.45B","161.41M","19.77","0.78"
"Brooks Automation","BRKS","939.25K","2.08B","801.95M","16.78","0.94"
"Buckle","BKE","415.61K","1.37B","906.03M","14.01","0.57"
"Cabot","CCMP","180.11K","3.12B","570.18M","29.9","1.41"
"CACI","CACI","131.18K","4.48B","4.44B","23.25","1.49"
"Cal-Maine","CALM","341.98K","2.42B","1.50B","28.68","0.44"
"CalAmp","CAMP","382.70K","832.29M","372.72M","19.45","1.86"
"Calavo Growers","CVGW","207.84K","1.79B","1.09B","42.12","0.45"
"Caleres","CAL","422.60K","1.60B","2.79B","17.41","0.78"
"California Water Service","CWT","208.87K","1.96B","678.60M","11.67","0.54"
"Callaway Golf","ELY","1.08M","2.14B","1.23B","19.02","0.95"
"Cambrex","CBM","391.91K","2.02B","588.05M","16.82","2.4"
"Cantel Medical","CMD","326.05K","3.98B","848.57M","48.05","1.07"
"Capstead Mortgage","CMO","663.85K","775.18M","257.12M","15.22","0.15"
"Carbo Ceramics","CRR","436.80K","237.18M","217.87M","","1.57"
"Cardtronics","CATM","820.11K","1.47B","1.44B","","0.99"
"Career","CECO","259.30K","1.17B","578.21M","31.03","2.68"
"Caretrust Inc","CTRE","736.99K","1.45B","146.62M","33.16","0.9"
"Carrizo Oil&Gas","CRZO","3.29M","2.00B","917.30M","70.7","2.34"
"Cato","CATO","345.06K","623.23M","1.09B","25.57","0.67"
"Cavco","CVCO","49.62K","2.05B","910.82M","32.42","1.43"
"Cedar Realty","CDR","439.13K","408.63M","152.46M","","0.8"
"Celadon","CGIP","391.97K","94.24M","","39.4","1.73"
"Central Garden&Pet","CENT","118.17K","1.93B","2.20B","20.37","-0.09"
"Central Garden&Pet A","CENTA","209.85K","1.93B","2.20B","20.37","-0.09"
"Century Aluminum","CENX","2.42M","1.09B","2.51B","13.98","0.78"
"CEVA","CEVA","190.44K","657.74M","83.78M","139.22","1.09"
"Chart Industries","GTLS","285.83K","2.41B","1.15B","100.91","1.09"
"Chemed","CHE","215.15K","5.10B","1.73B","28.98","1.16"
"Chemours Co","CC","1.54M","7.84B","6.71B","7.7",""
"Chesapeake Lodging","CHSP","286.64K","1.92B","599.25M","26.2","0.94"
"Chuy's Holdings","CHUY","161.57K","460.94M","388.40M","27.64","-0.19"
"Cincinnati Bell","CBB","632.05K","631.44M","1.31B","","1.18"
"CIRCOR","CIR","278.32K","883.13M","942.22M","","2.02"
"City Holding","CHCO","58.42K","1.26B","106.92M","18.09","0.61"
"Clearwater Paper","CLW","180.71K","418.11M","1.73B","20.59","1.03"
"Cloud Peak Energy","CLD","576.69K","178.84M","884.78M","","2.03"
"CMTSU Liquidation","CBRI","1.10M","171.46K","","","0.65"
"Cogent","CCOI","308.17K","2.43B","506.21M","107.16","0.59"
"Coherent","COHR","576.42K","4.42B","1.93B","21.9","0.94"
"Cohu","COHU","249.42K","793.59M","372.71M","16.24","0.97"
"Columbia Banking","COLB","276.51K","3.12B","286.52M","18.72","1.07"
"Comfort Systems","FIX","234.61K","2.08B","1.94B","29.9","1.34"
"Community Bank System","CBU","209.47K","3.31B","","21.63","1.03"
"Community Health Systems","CYH","2.44M","375.50M","13.98B","","1.62"
"Computer Programs&Systems","CPSI","76.13K","389.48M","283.96M","","-0.05"
"Comtech","CMTL","190.04K","821.56M","550.91M","27.9","1.48"
"CONMED","CNMD","178.50K","2.19B","827.56M","52.7","0.51"
"Consolidated Communications","CNSL","1.09M","822.25M","1.43B","","0.75"
"Contango Oil&Gas","MCF","73.85K","122.92M","77.74M","","1.62"
"Cooper Stnd","CPS","137.41K","2.44B","3.70B","13.58","0.74"
"Core-Mark","CORE","337.48K","1.53B","16.42B","79.1","0.59"
"CoreSite","COR","323.03K","5.46B","515.09M","55.27","0.3"
"Corindus Vascular Robotics","CR3","1.12K","157.72M","8.73M","81.08","1.03"
"CorVel","CRVL","35.96K","1.10B","571.13M","30.96","0.65"
"CPB","CPF","125.69K","840.94M","","16.54","1.01"
"Cray","CRAY","352.17K","867.57M","446.13M","","1.61"
"Crocs","CROX","1.21M","1.27B","1.05B","146.62","0.43"
"Cross Country","CCRN","228.36K","345.16M","863.02M","7.41","0.9"
"CryoLife","CRY","139.81K","1.18B","227.28M","","0.6"
"CSG Systems","CSGS","183.17K","1.25B","819.12M","20.14","0.91"
"CTS Corp","CTS","152.34K","1.17B","448.70M","35.24","1.26"
"Cubic","CUB","156.11K","2.01B","1.43B","","0.99"
"Customers Bancorp","CUBI","211.28K","785.57M","241.64M","11.53","0.71"
"CVB Financial","CVBF","386.16K","2.69B","171.52M","20.37","1.36"
"Daktronics","DAKT","227.72K","376.77M","610.54M","40.79","1.12"
"Darling Ingredients","DAR","905.05K","3.23B","3.66B","22.7","1.41"
"Dave & Buster’s Entertainment","PLAY","1.42M","2.06B","1.17B","19.43","0.38"
"DHI Group","DHX","534.74K","107.45M","188.02M","6.27","1.05"
"Diamondrock Hospitality","DRH","2.21M","2.42B","850.01M","31.89","1.45"
"Digi","DGII","104.22K","352.79M","207.81M","45.97","1.4"
"Dime Community","DCOM","183.88K","678.02M","114.51M","11.52","0.48"
"DineEquity","DIN","348.06K","1.35B","666.08M","","0.01"
"Diodes","DIOD","317.37K","1.88B","1.13B","25.52","0.94"
"Diplomat Pharmacy","DPLO","1.14M","1.45B","5.04B","","1.16"
"Donnelley Financial Solutions","DFIN","308.76K","656.20M","993.20M","29.65",""
"Dorman","DORM","258.60K","2.55B","917.75M","21.79","1.01"
"DSP Group","DSPG","57.83K","270.39M","124.28M","","0.84"
"DXP Enterprises","DXPE","86.62K","804.75M","1.11B","34.19","2.55"
"Eagle Pharm","EGRX","255.51K","1.18B","215.73M","36.73","1.39"
"EastGroup Properties","EGP","200.50K","3.44B","287.20M","41.55","0.8"
"Ebix","EBIX","180.10K","2.41B","393.10M","23.35","1.28"
"Echo Global","ECHO","416.03K","926.39M","2.27B","47.06","1.62"
"eHealth","EHTH","170.08K","537.69M","141.19M","","1.25"
"El Paso Electric","EE","276.03K","2.58B","921.17M","6.5","0.35"
"El Pollo Loco Holdings Inc","LOCO","437.42K","453.65M","413.75M","236.08","0.36"
"Electro Scientific","ESIO","1.31M","807.36M","405.82M","5.76","0.93"
"Electronics for Imaging","EFII","542.66K","1.51B","1.02B","265.98","1.08"
"Emergent Biosolutions","EBS","300.68K","2.88B","681.25M","25.78","1.21"
"Employers","EIG","115.50K","1.44B","804.00M","11.36","1.08"
"Enanta","ENTA","217.99K","1.74B","215.35M","21.27","0.96"
"Encore Capital","ECPG","232.43K","1.03B","1.30B","11.59","1.52"
"Encore Wire","WIRE","70.70K","1.05B","1.22B","17.46","1.84"
"Engility","EGL","125.11K","1.25B","1.92B","43.34","1.91"
"Enova International Inc","ENVA","373.74K","1.17B","969.18M","28.44","2.53"
"Enpro Industries","NPO","173.60K","1.52B","1.38B","3.07","1.1"
"ePlus","PLUS","96.51K","1.38B","1.41B","25.16","1.14"
"Era Group Inc","ERA","49.45K","258.53M","233.96M","","1"
"ESCO Technologies","ESE","84.28K","1.73B","726.47M","29.53","0.95"
"Essendant Inc","ESND","402.41K","582.62M","5.00B","","1.36"
"Ethan Allen Interiors","ETH","214.33K","600.89M","766.78M","18.3","0.88"
"Evercore","EVR","484.74K","5.40B","1.88B","14.91","1.72"
"EW Scripps A","SSP","458.46K","1.18B","959.59M","","2.06"
"ExlServices","EXLS","135.26K","2.04B","807.30M","26.17","1.28"
"Exponent","EXPO","89.53K","2.68B","367.92M","40.9","0.59"
"Express","EXPR","1.87M","798.15M","2.15B","37.7","0.81"
"Exterran Corp","EXTN","131.15K","1.04B","1.36B","6799.02",""
"EZCORP","EZPW","653.57K","620.89M","789.25M","11.87","1.44"
"Fabrinet","FN","315.27K","1.60B","1.40B","18.21","0.53"
"FARO","FARO","97.02K","1.15B","387.74M","","1.57"
"Federal Signal","FSS","245.60K","1.57B","970.40M","25.6","1.3"
"Fidelity","LION","93.74K","649.06M","","17.48","0.93"
"Fiesta","FRGI","257.10K","776.69M","667.21M","210.53","0.59"
"First Bancorp","FBP","1.79M","1.91B","","24.96","1.82"
"First Commonwealth Financial","FCF","450.84K","1.71B","","1079.44","1"
"First Financial Bancorp","FFBC","348.78K","3.08B","282.93M","20.36","1.01"
"First Financial Bankshares","FFIN","239.49K","4.02B","191.07M","30.35","1.13"
"First Midwest","FMBI","612.36K","2.78B","353.60M","20.95","1.15"
"First NBC Bank","FNBCQ","165.09K","778.85K","","","-1.39"
"FirstCash","FCFS","287.24K","3.59B","1.79B","26.33","0.52"
"Five Below","FIVE","1.01M","5.89B","1.34B","50.82","0.43"
"Flotek","FTK","799.46K","120.55M","271.58M","","1.55"
"Forestar","FOR","59.93K","1.02B","110.18M","","1.76"
"Forrester","FORR","49.01K","829.96M","344.85M","62.45","0.45"
"Forward Air","FWRD","239.25K","1.84B","1.22B","23.34","1.44"
"Four Corners Property Trust Inc","FCPT","413.07K","1.77B","136.82M","20.22",""
"Fox Factory","FOXF","214.54K","2.54B","535.10M","36.88","0.63"
"Francescass","FRAN","1.27M","280.96M","464.40M","25.7","0.15"
"Franklin Electric","FELE","128.12K","2.26B","1.24B","24.5","1.6"
"Franklin Street Properties","FSP","101.89K","881.44M","269.04M","","0.75"
"Freds","FRED","984.34K","65.95M","3.24B","","1.3"
"FTD Companies Inc","FTD","327.56K","114.55M","1.06B","","0.13"
"FutureFuel","FF","63.08K","594.46M","276.67M","9.77","1.71"
"G-III Apparel","GIII","568.12K","2.30B","2.89B","24.23","0.19"
"Gannett","GCI","1.10M","1.17B","3.10B","17.03",""
"Genesco","GCO","290.63K","876.27M","2.91B","","0.96"
"Gentherm","THRM","216.00K","1.69B","1.02B","33.09","1.61"
"Geo","GEO","721.07K","3.05B","2.28B","19.28","1.24"
"Geospace","GEOS","64.55K","181.66M","78.84M","","1.28"
"Getty","GTY","121.18K","1.17B","129.82M","24.95","0.45"
"Gibraltar Industries","ROCK","284.79K","1.42B","1.01B","19.44","1.8"
"Glacier","GBCI","338.70K","3.74B","","22.89","1.39"
"Glatfelter","GLT","233.32K","679.89M","1.64B","32.99","1.12"
"Government Propertiesome","GOV","941.46K","1.61B","394.15M","57.44","1.1"
"Great Western Bancorp Inc","GWB","223.21K","2.51B","279.33M","14.95","1.52"
"Green Dot","GDOT","347.40K","4.35B","952.15M","37.8","0.72"
"Green Plains Energy","GPRE","700.45K","725.02M","3.85B","431.41","1.03"
"Greenbrier","GBX","497.33K","1.88B","2.44B","14.96","1.78"
"Greenhill&Co","GHL","426.22K","745.66M","291.02M","540.37","1.18"
"Griffon","GFF","261.84K","786.87M","1.52B","","1.33"
"Group 1 Automotive","GPI","257.37K","1.51B","16.93B","10.22","1.87"
"Guess?","GES","967.70K","1.95B","2.43B","45.55","0.13"
"Gulf Island Fabrication","GIFI","58.52K","150.43M","198.46M","","1.02"
"H B Fuller","FUL","348.73K","2.87B","2.74B","39.26","1.48"
"Haemonetics","HAE","779.05K","5.34B","922.32M","109.38","0.94"
"Hanmi","HAFC","177.70K","835.59M","124.60M","13.56","0.76"
"Harmonic","HLIT","565.77K","430.16M","382.27M","","0.63"
"Harsco","HSC","440.83K","2.03B","1.68B","23.25","2.77"
"Haverty Furniture","HVT","94.93K","459.10M","820.96M","17.87","0.75"
"Hawaiian","HA","1.08M","2.14B","2.79B","8.87","1.3"
"Hawkins","HWKN","31.46K","421.00M","520.23M","","0.7"
"Haynes","HAYN","103.71K","488.11M","413.78M","","1.51"
"HCI Group Inc","HCI","54.09K","384.66M","303.30M","","1.66"
"Healthcare Services","HCSG","931.78K","3.01B","2.00B","40.96","0.82"
"Healthequity Inc","HQY","603.30K","5.26B","244.01M","95.1","1.34"
"HealthStream","HSTM","130.05K","965.81M","238.18M","69.27","0.61"
"Heartland Express","HTLD","511.23K","1.61B","660.33M","36.45","0.6"
"Heidrick&Struggles","HSII","115.15K","801.00M","691.12M","57.66","1.69"
"Helix","HLX","1.47M","1.37B","695.41M","81.41","2.67"
"HFF","HF","276.90K","1.74B","618.66M","13.09","1.12"
"Hibbett Sports","HIBB","772.59K","488.80M","967.24M","13.77","0.69"
"HighPoint","HPR","1.79M","1.04B","342.44M","","3.47"
"Hillenbrand","HI","222.90K","3.26B","1.74B","29.12","1.3"
"HMS Holdings","HMSY","566.30K","2.57B","548.90M","131.17","0.93"
"Home BancShares","HOMB","1.05M","4.12B","","17.91","1.17"
"Hope Bancorp","HOPE","505.88K","2.36B","345.44M","12.56","1.31"
"Horace Mann Educators","HMN","101.39K","1.84B","1.17B","23.69","0.74"
"Hornbeck","HOS","246.83K","156.73M","209.93M","","1.43"
"Hub Group","HUBG","292.71K","1.79B","4.49B","21.62","1.43"
"Iconix Brand","ICON","2.44M","27.77M","204.22M","","1.02"
"ICU Medical","ICUI","94.54K","5.96B","1.45B","72.04","0.33"
"II-VI","IIVI","858.10K","2.86B","1.16B","37.18","0.06"
"ILG","ILG","1.39M","4.26B","1.82B","19.73","1.47"
"Independent Bank","INDB","72.74K","2.45B","","22.88","0.94"
"Ingevity","NGVT","241.05K","4.16B","1.04B","32.07",""
"Innophoss","IPHS","143.20K","861.99M","789.10M","24.44","0.73"
"Innospec","IOSP","106.86K","1.83B","1.37B","17.57","1.04"
"Inogen Inc","INGN","142.22K","4.91B","309.11M","127.07","1.05"
"Insight Enterprises","NSIT","203.16K","1.90B","7.14B","14.52","1.19"
"Insperity","NSP","300.02K","4.69B","3.56B","41.64","0.74"
"Installed Building","IBP","173.39K","1.52B","1.23B","37.85","0.86"
"Integer Hld","ITGR","213.78K","2.24B","1.45B","","0.79"
"Integra","IART","503.33K","5.32B","1.37B","43.77","0.6"
"Inter Parfums","IPAR","116.24K","1.97B","619.97M","40.3","1.43"
"Interactive Brokers","IBKR","931.76K","25.67B","2.25B","14.73","0.97"
"Interface, Inc.","TILE","423.73K","1.37B","1.05B","18.25","1.14"
"INTL FCStone","INTL","123.69K","1.05B","33.93B","28.66","1.78"
"Intrepid Potash","IPI","946.40K","431.34M","169.57M","","1.25"
"Invacare","IVC","339.62K","540.57M","984.47M","","2.44"
"Investment Tech","ITG","165.00K","729.68M","501.24M","","1.67"
"Iridium","IRDM","701.85K","2.24B","486.10M","134.05","1.76"
"iRobot","IRBT","1.16M","2.41B","975.69M","37.03","1.27"
"Itron","ITRI","290.22K","2.42B","2.23B","","0.88"
"J & J Snack Foods","JJSF","76.23K","2.71B","1.15B","35.15","0.57"
"John Bean Tech","JBT","234.56K","3.39B","1.81B","36.21","1.21"
"Kaiser","KALU","121.47K","1.80B","1.49B","20.05","0.73"
"Kaman","KAMN","189.92K","1.86B","1.83B","26.92","0.74"
"KapStone Paper&Packaging","KS","519.35K","3.38B","3.44B","21.66","3.32"
"Kelly Services A","KELYA","162.08K","966.97M","5.51B","14.38","0.88"
"Kirklands","KIRK","152.09K","180.23M","643.72M","32.61","1.3"
"Kite","KRG","615.94K","1.41B","357.56M","","0.54"
"Knight Transportation","KNX","3.35M","5.84B","4.48B","23.09","1.63"
"Kopin","KOPN","586.86K","178.31M","29.13M","386.48","0.99"
"Koppers","KOP","104.79K","741.19M","1.54B","17.67","0.88"
"Korn/Ferry","KFY","473.82K","3.72B","1.82B","25.15","1.23"
"Kraton","KRA","163.50K","1.50B","2.02B","","1.31"
"Kulicke&Soffa","KLIC","607.87K","1.83B","920.18M","10.2","1.2"
"La-Z-Boy","LZB","396.20K","1.48B","1.58B","17.36","0.98"
"Lannett Com","LCI","629.35K","515.09M","652.78M","7.82","2.46"
"LCI Industries","LCII","211.02K","2.51B","2.44B","18.99","1.06"
"Legacy Texas Financial Grp","LTXB","221.91K","2.14B","","18.85","1.38"
"Lendingtree","TREE","239.97K","3.06B","697.57M","35.58","2.08"
"Lexington","LXP","1.04M","2.13B","407.99M","159.71","0.84"
"LGI Homes","LGIH","426.07K","1.28B","1.47B","9.31","-0.02"
"LHC Group","LHCG","282.80K","2.97B","1.36B","55.65","0.44"
"Ligand","LGND","287.87K","5.31B","168.00M","51.06","0.92"
"Lindsay","LNN","84.25K","966.22M","556.38M","39.27","0.34"
"Liquidity Services","LQDT","159.17K","234.50M","233.18M","","0.71"
"Lithia Motors","LAD","325.28K","2.07B","11.14B","7.39","1.62"
"Littelfuse","LFUS","168.50K","5.57B","1.50B","33.3","0.92"
"LivePerson","LPSN","415.81K","1.50B","233.78M","","1.04"
"LogMeIn","LOGM","596.84K","4.13B","1.13B","83.14","1.1"
"Lsb Industries","LXU","155.40K","196.29M","384.96M","","4.63"
"LSC Communications","LKSD","372.13K","374.43M","3.81B","",""
"LTC Properties","LTC","215.72K","1.75B","167.26M","13.71","0.06"
"Lumber Liquidators","LL","1.09M","520.60M","1.06B","","1.44"
"Lumentum Holdings Inc","LITE","2.37M","3.75B","1.25B","11.57",""
"Luminex","LMNX","269.76K","1.20B","311.46M","23.3","0.37"
"Lydall","LDL","84.31K","750.81M","736.14M","15.07","1.52"
"M/I Homes","MHO","212.97K","719.99M","2.09B","8.83","1.11"
"Magellan Health","MGLN","154.24K","1.86B","6.73B","18.12","0.37"
"Maiden Holdings","MHLD","648.91K","340.78M","2.86B","","1.46"
"ManTech","MANT","203.54K","2.49B","1.85B","33.88","0.81"
"Marcus","MCS","85.25K","1.13B","673.48M","20.48","0.55"
"MarineMax","HZO","294.15K","530.26M","1.12B","13.81","1.2"
"Marriot Vacations Worldwide","VAC","330.91K","3.15B","2.13B","24.69","1.41"
"Marten Transport","MRTN","296.41K","1.24B","737.43M","30.4","1.36"
"Masimo","MASI","547.74K","5.85B","843.44M","30.17","0.96"
"Materion","MTRN","88.73K","1.30B","1.22B","31.13","0.97"
"Matrix","MTRX","209.34K","543.16M","1.09B","159.12","0.96"
"Matson","MATX","203.56K","1.54B","2.13B","16.57","1.32"
"Matthews","MATW","171.55K","1.66B","1.59B","23.9","1.08"
"MDC","MDC","454.06K","1.75B","2.73B","8.97","1.37"
"Medidata","MDSO","547.34K","4.78B","586.41M","87.28","1.39"
"MEDIFAST","MED","209.70K","2.57B","371.13M","62.23","0.13"
"Mercury","MRCY","375.81K","2.41B","493.19M","58.72","0.41"
"Meridian","VIVO","311.16K","631.69M","210.17M","27.99","0.82"
"Merit","MMSI","302.17K","3.05B","798.08M","136.58","1.31"
"Meritage","MTH","372.08K","1.70B","3.39B","8.8","1.07"
"Methode Electronics","MEI","237.04K","1.46B","908.30M","13.11","1.03"
"MicroStrategy","MSTR","89.70K","1.63B","506.93M","38.17","0.61"
"MiMedx","MDXG","3.35M","453.02M","160.98M","13.1","1.53"
"MKS Instruments","MKSI","538.23K","5.01B","2.13B","12.46","0.89"
"Mobile Mini","MINI","211.22K","2.01B","565.99M","33.43","1.85"
"Momenta","MNTA","902.34K","1.99B","106.58M","","1.84"
"Monarch","MCRI","74.78K","847.55M","235.27M","28.17","1.05"
"Monotype","TYPE","284.48K","896.81M","242.90M","","1.03"
"Monro Muffler Brake","MNRO","301.77K","2.34B","1.13B","33.03","0.83"
"Moog","MOGa","110.49K","2.74B","2.66B","23.76","1.68"
"Motorcar Parts","MPAA","192.06K","465.53M","425.57M","54.28","1.71"
"Movado","MOV","185.26K","849.86M","595.83M","27.69","-0.08"
"MTS Systems","MTSC","74.21K","918.19M","781.64M","32.14","0.96"
"Mueller Industries","MLI","209.55K","1.84B","2.38B","18.14","1.49"
"Multi-Color","LABL","121.35K","1.33B","1.51B","29.24","0.75"
"Myers Industries","MYE","243.11K","760.41M","577.31M","32.39","1.59"
"MYR Group","MYRG","97.20K","581.12M","1.43B","23.89","0.56"
"Nanometrics","NANO","200.84K","1.12B","305.78M","21.09","1.72"
"National Presto Industries","NPK","53.82K","933.87M","337.60M","20.42","0.26"
"Natus","BABY","536.66K","1.25B","513.34M","","0.62"
"Nautilus","NLS","235.45K","421.96M","406.21M","20.82","1.13"
"Navigant","NCI","352.13K","1.10B","966.88M","38.3","0.84"
"NBT Bancorp","NBTB","134.19K","1.76B","","17.62","0.86"
"Neenah Paper","NP","64.81K","1.50B","1.00B","35.46","1.06"
"Nektar","NKTR","2.57M","10.35B","1.37B","11.98","2.15"
"Neogen","NEOG","174.21K","4.39B","402.26M","63.77","1.32"
"NETGEAR","NTGR","573.88K","2.13B","1.46B","57.16","2.03"
"Newpark Resources","NR","594.55K","941.80M","869.60M","35.29","1.53"
"NIC","EGOV","895.55K","1.10B","347.22M","19.17","0.68"
"Northern Oil&Gas","NOG","157.68K","801.53M","212.06M","","2.02"
"Northfield Bancorp","NFBK","106.51K","801.84M","","19.87","0.41"
"Northwest Bancshares","NWBI","549.16K","1.88B","","19.94","0.66"
"Northwest Natural Gas","NWN","130.60K","1.85B","717.89M","","0.27"
"NutriSystem","NTRI","830.24K","1.22B","691.63M","22.29","1.35"
"OFG Bancorp","OFG","324.02K","769.71M","","17.84","1.85"
"Old National Bancorp","ONB","756.01K","2.99B","","25.21","0.84"
"Ollies Bargain Outlet Holdings Inc","OLLI","535.95K","4.59B","1.13B","34.23",""
"Olympic Steel","ZEUS","136.53K","244.61M","1.47B","6.42","1.75"
"Omnicell","OMCL","289.31K","2.51B","756.01M","98.41","0.94"
"Onespan","OSPN","194.71K","709.98M","200.62M","121.56","1.38"
"Opus Bank","OPB","204.42K","1.03B","150.73M","","0.9"
"Orion Group","ORN","222.27K","265.51M","598.98M","54.21","1.18"
"Oritani","ORIT","201.86K","752.86M","","13.68","0.37"
"OSI Systems","OSIS","407.02K","1.43B","1.05B","63.62","0.9"
"Oxford Industries","OXM","164.26K","1.63B","1.09B","27.9","0.21"
"Papa John's","PZZA","1.10M","1.36B","1.76B","20.54","0.41"
"Park Electrochemical","PKE","137.69K","439.10M","114.88M","109.88","0.9"
"Patrick","PATK","248.98K","1.58B","2.04B","14.63","0.83"
"PDC Energy","PDCE","898.19K","3.51B","908.52M","","0.74"
"Pennsylvania RE","PEI","1.02M","736.93M","364.51M","","1.11"
