"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","21.65","21.80","21.45","+0.10","+0.46%","997.23K","15:59:59"
"A Schulman","SHLM","43.05","43.35","42.95","-0.15","-0.35%","244.14K","15:59:59"
"AAON","AAON","36.65","37.03","35.75","+0.30","+0.83%","195.99K","15:59:59"
"AAR","AIR","47.08","47.27","46.48","+0.33","+0.70%","195.22K","15:59:59"
"ABAXIS","ABAX","83.29","83.30","83.25","0.00","0.00%","158.18K","15:59:59"
"Abercrombie&Fitch","ANF","26.87","26.97","26.18","+0.27","+1.01%","1.53M","15:59:59"
"ABM Industries","ABM","30.02","30.12","29.31","+0.39","+1.32%","456.22K","15:59:59"
"Acadia","AKR","26.79","27.01","26.22","+0.44","+1.67%","471.45K","15:59:59"
"Aceto","ACET","3.28","3.35","3.12","+0.03","+0.92%","247.81K","15:59:59"
"Acorda","ACOR","29.15","29.35","28.45","+0.45","+1.57%","407.31K","15:59:59"
"Actuant","ATU","28.05","28.20","27.85","-0.05","-0.18%","385.93K","15:59:59"
"ADTRAN","ADTN","16.45","16.60","15.80","+0.40","+2.49%","615.11K","15:59:59"
"Advanced Energy","AEIS","60.46","61.50","60.23","-0.44","-0.72%","538.75K","15:59:59"
"AdvanSix","ASIX","40.08","40.11","38.74","+0.87","+2.22%","247.48K","15:59:59"
"Aegion","AEGN","25.71","25.76","25.15","+0.27","+1.06%","131.40K","15:59:59"
"Aerojet Rocketdyne","AJRD","30.41","30.75","29.38","-0.14","-0.46%","1.60M","15:59:59"
"AeroVironment","AVAV","74.94","75.22","74.40","+0.46","+0.62%","202.93K","15:59:59"
"Agilysys","AGYS","16.44","16.53","16.25","+0.01","+0.06%","156.71K","15:59:59"
"Agree","ADC","54.42","54.70","53.01","+1.29","+2.43%","207.50K","15:59:59"
"AK Steel","AKS","4.830","4.890","4.780","-0.080","-1.63%","8.91M","15:59:59"
"Alamo","ALG","90.69","90.89","89.37","+0.99","+1.10%","37.01K","15:59:59"
"Albany","AIN","63.95","64.10","63.20","+0.35","+0.55%","101.38K","15:59:59"
"Allegiant","ALGT","143.80","143.95","141.85","+0.75","+0.52%","133.27K","15:59:59"
"Allete","ALE","78.41","78.75","77.17","+1.21","+1.57%","136.14K","15:59:59"
"AMAG","AMAG","22.15","22.60","21.85","-0.10","-0.45%","398.04K","15:59:59"
"Amedisys","AMED","95.39","95.68","93.39","+0.62","+0.65%","234.59K","15:59:59"
"American Assets","AAT","38.21","38.32","37.34","+0.91","+2.44%","211.51K","15:59:59"
"American Axle&Manufacturing","AXL","16.47","17.00","16.44","-0.56","-3.29%","1.51M","15:59:59"
