"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","21.95","22.05","21.50","+0.15","+0.69%","459.27K","15:59:59"
"A Schulman","SHLM","44.00","44.10","43.65","+0.20","+0.46%","152.26K","15:59:59"
"AAON","AAON","38.85","39.20","38.45","+0.10","+0.26%","148.46K","15:59:59"
"AAR","AIR","46.99","47.05","46.29","+0.40","+0.86%","88.38K","15:59:59"
"Abercrombie&Fitch","ANF","25.91","26.48","25.77","-0.40","-1.52%","1.92M","15:59:59"
"ABM Industries","ABM","31.38","31.51","31.26","-0.06","-0.19%","369.14K","15:59:59"
"Acadia","AKR","26.82","26.91","26.59","-0.04","-0.15%","247.57K","15:59:59"
"Aceto","ACET","3.20","3.24","3.13","-0.04","-1.23%","157.98K","15:59:59"
"Acorda","ACOR","26.60","26.95","26.50","-0.25","-0.93%","243.31K","15:59:59"
"Actuant","ATU","28.00","28.10","27.70","-0.10","-0.36%","105.10K","15:59:59"
"ADTRAN","ADTN","15.95","16.35","15.90","-0.35","-2.15%","244.04K","15:59:59"
"Advanced Energy","AEIS","62.34","62.37","61.04","+0.96","+1.56%","355.50K","15:59:59"
"AdvanSix","ASIX","34.44","34.57","33.60","+0.03","+0.09%","281.84K","15:59:59"
"Aegion","AEGN","25.10","25.13","24.77","-0.06","-0.24%","69.08K","15:59:59"
"Aerojet Rocketdyne","AJRD","34.47","34.59","33.71","+0.10","+0.29%","348.65K","15:59:59"
"AeroVironment","AVAV","77.73","78.84","76.21","+0.94","+1.22%","168.57K","15:59:59"
"Agilysys","AGYS","15.47","15.51","15.25","+0.21","+1.38%","78.20K","15:59:59"
"Agree","ADC","53.76","53.93","53.42","+0.13","+0.24%","96.60K","15:59:59"
"AK Steel","AKS","4.480","4.530","4.350","-0.010","-0.22%","9.07M","15:59:59"
"Alamo","ALG","96.28","96.69","95.15","+0.06","+0.06%","44.23K","15:59:59"
"Albany","AIN","76.45","76.60","74.55","+1.50","+2.00%","423.03K","15:59:59"
"Allegiant","ALGT","128.95","129.95","126.86","+0.70","+0.55%","137.07K","15:59:59"
"Allete","ALE","77.04","77.16","76.26","+0.37","+0.48%","155.47K","15:59:59"
"AMAG","AMAG","25.20","25.50","24.75","+0.25","+1.00%","642.09K","15:59:59"
"Amedisys","AMED","110.21","111.09","108.71","+1.96","+1.81%","310.46K","15:59:59"
"American Assets","AAT","38.62","38.75","38.29","0.00","0.00%","159.49K","15:59:59"
"American Axle&Manufacturing","AXL","17.46","17.61","17.01","+0.16","+0.92%","1.47M","15:59:59"
"American Equity Inv. Life","AEL","36.82","36.97","36.34","+0.52","+1.43%","646.98K","15:59:59"
"American Public Education","APEI","43.45","43.85","42.90","0.00","0.00%","76.96K","15:59:59"
"American States Water","AWR","59.68","60.45","59.66","-0.83","-1.37%","191.36K","15:59:59"
"American Vanguard","AVD","20.10","20.70","19.95","-0.40","-1.95%","119.92K","15:59:59"
