"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.02M","2.10B","310.62M","","0.5"
"A Schulman","SHLM","398.75K","1.29B","2.69B","64.75","1.36"
"AAON","AAON","190.57K","2.23B","426.50M","53.81","0.91"
"AAR","AIR","210.37K","1.60B","2.19B","26.98","1.26"
"Abercrombie&Fitch","ANF","2.43M","1.92B","3.56B","45.49","0.5"
"ABM Industries","ABM","807.97K","2.17B","5.99B","32.35","0.79"
"Acadia","AKR","557.18K","2.33B","376.95M","47.25","0.37"
"Aceto","ACET","467.77K","101.91M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.37B","588.93M","","1.43"
"Actuant","ATU","502.16K","1.79B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","806.79M","560.49M","","0.52"
"Advanced Energy","AEIS","457.14K","2.29B","747.43M","10.5","1.05"
"AdvanSix","ASIX","180.83K","1.01B","1.50B","13",""
"Aegion","AEGN","146.81K","824.26M","1.34B","","1.74"
"Aerojet Rocketdyne","AJRD","694.77K","2.77B","1.97B","36.9","1.08"
"AeroVironment","AVAV","360.74K","2.06B","271.06M","79.53","1.15"
"Agilysys","AGYS","43.36K","376.17M","127.50M","","0.31"
"Agree","ADC","166.62K","1.75B","132.20M","29.19","0.29"
"AK Steel","AKS","12.63M","1.41B","6.40B","","2.89"
"Alamo","ALG","67.42K","1.17B","978.93M","18.5","0.96"
"Albany","AIN","122.13K","2.52B","935.08M","37.61","1.69"
"Allegiant","ALGT","157.19K","2.21B","1.59B","15.9","0.13"
"Allete","ALE","209.02K","4.03B","1.40B","28.49","0.19"
"AMAG","AMAG","1.23M","853.20M","604.69M","","0.45"
"Amedisys","AMED","336.51K","3.82B","1.60B","44.57","0.9"
"American Assets","AAT","222.67K","1.87B","329.84M","99.45","0.34"
"American Axle&Manufacturing","AXL","1.89M","2.01B","7.22B","5.01","1.42"
"American Equity Inv. Life","AEL","611.42K","3.39B","2.97B","9.38","2.53"
"American Public Education","APEI","109.20K","587.15M","299.13M","29.34","0.65"
"American States Water","AWR","182.74K","2.25B","430.23M","37.25","0.1"
"American Vanguard","AVD","75.39K","600.43M","417.62M","30.46","1.03"
"American Woodmark","AMWD","135.47K","1.52B","1.25B","23.34","1.86"
"Ameris","ABCB","225.93K","2.38B","227.23M","24.1","1.08"
