"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","22.55","22.65","22.30","+0.10","+0.45%","375.82K","15:59:59"
"A Schulman","SHLM","44.00","44.18","43.60","+0.00","+0.00%","0","20/08"
"AAON","AAON","42.90","43.05","42.30","+0.15","+0.35%","146.84K","15:59:59"
"AAR","AIR","46.10","46.42","45.73","+0.11","+0.24%","115.67K","15:59:59"
"Abercrombie&Fitch","ANF","28.27","29.17","28.06","-0.08","-0.28%","1.45M","15:59:59"
"ABM Industries","ABM","32.98","33.20","32.71","+0.03","+0.09%","375.96K","15:59:59"
"Acadia","AKR","28.43","28.71","28.21","-0.15","-0.52%","522.25K","15:59:59"
"Aceto","ACET","3.27","3.30","3.12","-0.04","-1.21%","249.77K","15:59:59"
"Acorda","ACOR","29.15","29.60","28.55","+0.25","+0.87%","450.51K","15:59:59"
"Actuant","ATU","29.60","29.70","29.25","+0.15","+0.51%","171.59K","15:59:59"
"ADTRAN","ADTN","16.95","17.05","16.78","+0.05","+0.30%","191.20K","15:59:59"
"Advanced Energy","AEIS","58.51","58.91","58.03","+0.06","+0.10%","286.14K","15:59:59"
"AdvanSix","ASIX","33.22","33.58","33.05","-0.14","-0.42%","111.95K","15:59:59"
"Aegion","AEGN","25.41","25.83","25.13","-0.10","-0.39%","71.63K","15:59:59"
"Aerojet Rocketdyne","AJRD","36.73","37.15","35.77","+0.11","+0.30%","366.62K","15:59:59"
"AeroVironment","AVAV","85.55","87.39","85.00","-0.63","-0.73%","176.38K","15:59:59"
"Agilysys","AGYS","16.13","16.17","15.97","+0.14","+0.88%","73.35K","15:59:59"
"Agree","ADC","56.23","57.04","55.77","-0.07","-0.12%","84.99K","15:59:59"
"AK Steel","AKS","4.470","4.530","4.450","0.000","0.00%","6.36M","15:59:59"
"Alamo","ALG","98.65","100.21","98.41","-1.34","-1.34%","51.42K","15:59:59"
"Albany","AIN","78.05","78.55","77.65","-0.15","-0.19%","132.35K","15:59:59"
"Allegiant","ALGT","135.05","136.60","134.65","-1.55","-1.13%","107.57K","15:59:59"
"Allete","ALE","77.13","78.50","76.76","-1.35","-1.72%","144.91K","15:59:59"
"AMAG","AMAG","24.90","25.05","24.40","+0.15","+0.61%","483.95K","15:59:59"
"Amedisys","AMED","121.84","122.00","119.50","+1.92","+1.60%","386.31K","15:59:59"
"American Assets","AAT","39.41","39.68","39.30","-0.21","-0.53%","347.85K","15:59:59"
"American Axle&Manufacturing","AXL","17.75","18.00","17.50","-0.21","-1.17%","2.28M","15:59:59"
"American Equity Inv. Life","AEL","37.38","37.61","36.93","-0.19","-0.51%","247.10K","15:59:59"
"American Public Education","APEI","35.25","36.20","34.90","-0.50","-1.40%","117.50K","15:59:59"
