"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"American Vanguard","AVD","-1.95%","-6.94%","-12.23%","2.29%","-0.99%","73.88%"
"American Woodmark","AMWD","-0.53%","1.68%","-8.01%","-34.78%","-8.16%","33.99%"
"Ameris","ABCB","1.33%","0.51%","-6.88%","2.49%","13.17%","73.27%"
"AMERISAFE","AMSF","0.24%","-1.97%","4.97%","1.06%","8.73%","33.16%"
"AMN Healthcare Services","AMN","0.45%","-2.89%","-9.24%","12.69%","50.20%","61.38%"
"Amneal Pharma A","AMRX","-0.49%","5.10%","14.33%","21.20%","10.88%","-55.78%"
"Amphastar P","AMPH","0.96%","4.05%","6.27%","-6.60%","17.68%","16.09%"
"AngioDynamics","ANGO","-1.07%","-2.70%","-5.98%","27.66%","30.49%","38.67%"
"ANI Pharma","ANIP","1.10%","-13.49%","-19.81%","-11.47%","29.51%","4.11%"
"Anika","ANIK","-0.84%","1.75%","17.52%","-23.48%","-19.72%","12.61%"
"Anixter","AXE","0.82%","2.95%","11.63%","-3.42%","-2.00%","13.08%"
"Apogee","APOG","0.00%","0.63%","-1.37%","8.99%","-1.60%","-6.82%"
"Applied Industrial Technologies","AIT","0.88%","3.33%","1.78%","9.40%","35.70%","94.01%"
"ArcBest Corp","ARCB","0.00%","-1.14%","3.58%","33.71%","84.56%","42.56%"
"Archrock","AROC","0.00%","-2.58%","0.38%","25.71%","36.79%","-13.56%"
"Asbury Automotive","ABG","1.28%","5.82%","6.87%","17.89%","45.24%","-10.97%"
"ASGN","ASGN","-0.25%","-1.94%","12.82%","42.94%","96.18%","134.66%"
"Astec","ASTE","-0.45%","0.65%","-26.13%","-20.67%","0.02%","18.09%"
"Atlas Air","AAWW","-0.84%","-4.41%","-13.57%","5.37%","0.32%","32.53%"
"ATN Int","ATNI","-1.23%","2.39%","17.03%","20.38%","11.07%","-8.35%"
"Avista","AVA","-0.18%","0.20%","-4.08%","-1.71%","-3.21%","54.63%"
"Axon Enterprise","AAXN","-11.59%","-14.33%","-11.24%","125.58%","166.16%","142.52%"
"AZZ","AZZ","0.00%","0.09%","-1.37%","5.87%","9.29%","1.52%"
"B&G Foods","BGS","-1.29%","-0.97%","-2.39%","-12.80%","-3.16%","2.17%"
"Badger Meter","BMI","-0.85%","0.38%","12.69%","9.62%","20.18%","-10.72%"
"Balchem","BCPC","0.35%","1.34%","-1.63%","26.59%","35.99%","66.47%"
"Banc of California","BANC","0.75%","-0.99%","0.50%","-2.91%","3.35%","64.21%"
"Banner","BANR","0.00%","0.46%","6.29%","17.98%","18.41%","34.47%"
"Barnes","B","0.16%","1.72%","10.88%","6.29%","13.58%","65.48%"
"Barnes & Noble Education Inc","BNED","1.54%","4.78%","9.63%","-28.16%","-11.77%","-53.42%"
"Barnes&Noble","BKS","0.85%","-1.65%","11.21%","-11.19%","-16.78%","-66.02%"
"Bel Fuse B","BELFB","3.71%","3.50%","15.37%","-0.12%","-8.21%","13.03%"
"Belmond","BEL","-0.45%","-0.89%","1.36%","-8.98%","-9.35%","-6.07%"
"Benchmark Electronics","BHE","0.59%","4.48%","-15.07%","-11.86%","-20.47%","15.28%"
"Big 5","BGFV","-1.74%","-5.04%","-19.86%","-25.66%","-37.91%","-49.64%"
"Biglari","BH","0.99%","0.32%","-4.20%","-55.08%","-41.35%","-55.89%"
"BioTelemetry","BEAT","0.61%","3.95%","21.15%","93.48%","71.41%","378.89%"
"BJs Restaurants","BJRI","1.36%","2.26%","5.50%","73.76%","91.38%","33.41%"
"Black Box","BBOX","0.00%","3.50%","-26.00%","-58.31%","-80.13%","-91.29%"
"Blackbaud","BLKB","-0.61%","-1.47%","-13.50%","2.56%","14.86%","59.42%"
"Blucora","BCOR","-0.86%","-2.94%","-11.93%","57.01%","52.86%","150.00%"
"BofI Holding","BOFI","-8.48%","-6.18%","-12.10%","24.38%","35.38%","14.01%"
"Boise Cascad Llc","BCC","0.00%","1.27%","-2.55%","10.28%","50.43%","37.11%"
"Boston Private","BPFH","-0.35%","-2.73%","-13.64%","-7.77%","-3.06%","12.47%"
"Bottomline","EPAY","0.85%","2.12%","5.87%","63.73%","103.37%","108.14%"
"Boyd Gaming","BYD","-0.44%","-0.80%","-3.73%","2.34%","35.51%","110.88%"
"Brady","BRC","1.34%","1.75%","-2.20%","-0.13%","17.55%","60.86%"
"Briggs&Stratton","BGG","-2.30%","-1.02%","-4.86%","-31.34%","-25.62%","-4.86%"
"Brinks","BCO","0.00%","0.94%","-2.66%","2.29%","7.33%","164.89%"
"Bristow","BRS","0.77%","-12.52%","-19.22%","-12.32%","64.94%","-73.31%"
"Brookline Bancorp","BRKL","0.56%","-2.17%","-3.74%","14.65%","27.66%","61.43%"
"Brooks Automation","BRKS","1.08%","-4.73%","-15.67%","25.03%","24.35%","160.66%"
"Buckle","BKE","-0.82%","-0.21%","-7.10%","1.89%","55.13%","-40.77%"
"Cabot","CCMP","0.21%","0.35%","7.43%","30.80%","76.20%","169.81%"
"CACI","CACI","1.08%","2.65%","3.94%","37.48%","41.21%","119.75%"
"Cal-Maine","CALM","0.65%","5.42%","-0.64%","4.95%","29.22%","-15.32%"
"CalAmp","CAMP","0.43%","1.80%","-2.73%","8.03%","27.97%","38.62%"
"Calavo Growers","CVGW","0.91%","1.01%","-0.89%","12.20%","31.44%","73.92%"
"Caleres","CAL","0.55%","2.95%","0.84%","4.18%","38.19%","8.39%"
"California Water Service","CWT","1.12%","-0.73%","-1.22%","-10.47%","6.14%","93.79%"
"Callaway Golf","ELY","0.64%","11.67%","15.26%","57.29%","71.57%","137.12%"
"Cambrex","CBM","-1.33%","-4.91%","15.62%","31.04%","18.12%","23.02%"
"Cantel Medical","CMD","-0.07%","0.06%","-0.72%","-7.62%","29.65%","74.69%"
"Capstead Mortgage","CMO","0.00%","-2.16%","-7.17%","-5.66%","-15.79%","-24.37%"
"Carbo Ceramics","CRR","0.91%","-3.59%","-9.96%","-12.97%","27.30%","-73.35%"
"Cardtronics","CATM","0.86%","26.92%","13.51%","64.20%","16.96%","-13.51%"
"Career","CECO","1.17%","-2.05%","-1.60%","42.72%","103.06%","317.43%"
"Caretrust Inc","CTRE","-0.45%","3.58%","2.80%","5.25%","-1.67%","51.55%"
"Carrizo Oil&Gas","CRZO","-3.17%","-12.19%","-18.49%","14.76%","76.83%","-31.71%"
"Cato","CATO","-2.14%","-1.40%","0.24%","54.90%","58.69%","-33.41%"
"Cavco","CVCO","-0.40%","5.40%","2.90%","46.43%","68.07%","203.93%"
"Cedar Realty","CDR","-0.44%","-1.51%","-10.04%","-24.84%","-12.28%","-33.38%"
"Celadon","CGIP","-1.99%","-3.28%","-18.06%","-53.91%","-31.40%","-86.36%"
"Central Garden&Pet","CENT","-2.03%","-3.58%","-5.10%","6.53%","19.21%","300.19%"
"Central Garden&Pet A","CENTA","-2.99%","-4.77%","-6.88%","0.50%","12.60%","233.92%"
"Century Aluminum","CENX","-2.75%","-8.31%","-19.44%","-38.80%","-12.90%","90.49%"
"CEVA","CEVA","3.44%","-9.51%","-10.22%","-38.14%","-30.62%","57.56%"
"Chart Industries","GTLS","-1.32%","-1.46%","17.87%","64.00%","126.70%","185.26%"
"Chemed","CHE","0.19%","-0.81%","-1.27%","30.36%","64.84%","108.54%"
"Chemours Co","CC","0.08%","8.94%","4.22%","-4.31%","7.86%","331.53%"
"Chesapeake Lodging","CHSP","-1.20%","-3.98%","-2.73%","15.87%","27.24%","1.88%"
"Chuy's Holdings","CHUY","0.16%","-2.08%","-2.39%","9.09%","49.63%","-6.54%"
"Cincinnati Bell","CBB","-22.27%","-24.62%","-37.81%","-52.28%","-53.18%","-49.87%"
"CIRCOR","CIR","-1.25%","1.70%","10.70%","-9.26%","-7.71%","-8.49%"
"City Holding","CHCO","0.39%","-1.26%","1.42%","19.21%","29.54%","67.53%"
"Clearwater Paper","CLW","0.38%","4.35%","9.32%","-41.85%","-41.66%","-53.78%"
"Cloud Peak Energy","CLD","-2.97%","-2.61%","-28.49%","-41.35%","-15.53%","-13.00%"
"CMTSU Liquidation","CBRI","0.00%","-0.00%","-0.00%","-80.00%","-93.02%","-99.91%"
"Cogent","CCOI","-0.60%","-2.54%","-9.29%","9.93%","13.05%","70.49%"
"Coherent","COHR","-5.74%","-3.54%","6.82%","-37.25%","-15.78%","199.68%"
"Cohu","COHU","-3.28%","4.49%","1.03%","20.82%","53.65%","171.72%"
"Columbia Banking","COLB","0.72%","0.02%","-0.17%","-3.31%","12.39%","27.31%"
"Comfort Systems","FIX","0.18%","1.46%","16.63%","27.72%","71.27%","85.09%"
"Community Bank System","CBU","0.85%","-0.84%","4.24%","18.96%","21.21%","68.44%"
"Community Health Systems","CYH","-0.98%","-2.89%","1.68%","-29.11%","-50.25%","-94.73%"
"Computer Programs&Systems","CPSI","-1.10%","-12.38%","-21.23%","-10.48%","-8.50%","-41.53%"
"Comtech","CMTL","0.52%","0.84%","4.24%","56.74%","90.29%","19.84%"
"CONMED","CNMD","-1.00%","-4.22%","2.35%","51.09%","55.86%","37.32%"
"Consolidated Communications","CNSL","-1.72%","-7.99%","-19.78%","-11.16%","-43.15%","-46.04%"
"Contango Oil&Gas","MCF","-2.68%","-5.93%","-21.85%","7.86%","-5.40%","-40.38%"
"Cooper Stnd","CPS","-0.43%","-4.07%","2.20%","13.41%","38.32%","117.83%"
"Core-Mark","CORE","2.76%","19.39%","21.13%","-7.98%","3.90%","-54.78%"
"CoreSite","COR","0.02%","1.25%","0.39%","0.43%","8.05%","138.31%"
"Corindus Vascular Robotics","CR3","-19.59%","-14.95%","-23.29%","-8.53%","-46.47%","-75.54%"
"CorVel","CRVL","-0.35%","-1.39%","-0.53%","6.90%","15.88%","70.28%"
"CPB","CPF","0.76%","-0.18%","-5.44%","-6.13%","-4.89%","25.28%"
"Cray","CRAY","-1.81%","-10.31%","-17.92%","-10.12%","9.57%","-8.69%"
"Crocs","CROX","3.51%","1.67%","10.07%","44.46%","105.17%","18.88%"
"Cross Country","CCRN","4.50%","11.59%","-25.88%","-29.08%","-27.77%","-35.77%"
"CryoLife","CRY","-1.99%","6.67%","9.03%","67.10%","74.39%","205.34%"
"CSG Systems","CSGS","-2.12%","-2.30%","-9.58%","-13.65%","0.91%","18.29%"
"CTS Corp","CTS","-0.14%","1.27%","-5.80%","38.83%","61.04%","87.57%"
"Cubic","CUB","7.15%","4.81%","3.67%","22.05%","69.89%","60.75%"
"Customers Bancorp","CUBI","0.95%","2.67%","-9.86%","2.04%","-6.36%","5.41%"
"CVB Financial","CVBF","0.79%","-0.12%","5.08%","2.63%","15.97%","36.23%"
"Daktronics","DAKT","0.35%","0.70%","0.35%","-5.91%","-7.83%","-27.45%"
"Darling Ingredients","DAR","-0.87%","1.49%","2.09%","13.07%","26.93%","62.96%"
"Dave & Buster’s Entertainment","PLAY","-0.45%","2.12%","3.90%","-8.36%","-16.43%","34.90%"
"Depomed","DEPO","-16.77%","-10.39%","-5.37%","-3.60%","23.96%","-75.68%"
"DHI Group","DHX","-4.65%","-4.65%","-8.89%","7.89%","-2.38%","-75.60%"
"Diamondrock Hospitality","DRH","-1.53%","-5.37%","-6.14%","2.92%","6.31%","-7.11%"
"Digi","DGII","-0.38%","-1.86%","-4.35%","38.22%","43.48%","32.13%"
"Dime Community","DCOM","1.72%","1.72%","-12.38%","-15.51%","-9.00%","3.63%"
"DineEquity","DIN","1.25%","-3.16%","-0.34%","42.42%","86.16%","-28.51%"
"Diodes","DIOD","1.62%","4.65%","7.41%","33.52%","44.89%","80.31%"
"Diplomat Pharmacy","DPLO","-2.27%","-10.14%","-29.14%","-5.48%","19.01%","-59.74%"
"Donnelley Financial Solutions","DFIN","1.31%","-7.59%","0.76%","-5.03%","-9.84%","-"
"Dorman","DORM","0.27%","1.87%","4.27%","22.26%","0.99%","43.75%"
"DSP Group","DSPG","-0.40%","1.65%","-3.53%","-1.60%","5.13%","40.41%"
"DXP Enterprises","DXPE","9.47%","15.57%","16.71%","64.63%","83.77%","50.71%"
"Eagle Pharm","EGRX","1.47%","4.37%","-3.83%","47.02%","56.86%","-17.46%"
"EastGroup Properties","EGP","0.46%","-0.12%","-0.03%","8.95%","13.83%","65.73%"
"Ebix","EBIX","-0.13%","-1.85%","-0.75%","0.57%","37.41%","141.22%"
"Echo Global","ECHO","-0.30%","-3.24%","11.71%","17.50%","134.16%","30.19%"
"eHealth","EHTH","0.16%","-4.28%","3.41%","43.01%","42.84%","61.82%"
"El Paso Electric","EE","0.48%","1.53%","5.19%","13.55%","17.26%","72.66%"
"El Pollo Loco Holdings Inc","LOCO","1.32%","0.44%","0.00%","16.16%","-4.56%","-37.50%"
"Electro Scientific","ESIO","4.94%","8.96%","32.75%","8.96%","116.20%","374.59%"
"Electronics for Imaging","EFII","0.00%","4.64%","-1.64%","16.09%","16.60%","-25.35%"
"Emergent Biosolutions","EBS","-0.79%","-1.17%","0.87%","16.61%","58.73%","53.56%"
"Employers","EIG","1.16%","-3.63%","5.93%","-1.46%","1.98%","72.24%"
"Enanta","ENTA","2.27%","-7.36%","-22.59%","59.92%","141.23%","117.12%"
"Encore Capital","ECPG","-0.70%","-1.80%","-8.96%","-15.56%","-13.40%","-16.10%"
"Encore Wire","WIRE","-0.58%","-0.68%","4.57%","5.76%","30.58%","51.77%"
"Engility","EGL","0.63%","-2.46%","5.61%","18.82%","10.52%","16.44%"
"Enova International Inc","ENVA","0.30%","6.96%","-9.02%","122.37%","163.04%","152.43%"
"Enpro Industries","NPO","-2.29%","5.87%","1.68%","-20.60%","4.67%","44.12%"
"ePlus","PLUS","-0.24%","4.00%","4.10%","38.36%","28.14%","172.10%"
"Era Group Inc","ERA","-8.10%","-8.17%","-3.65%","20.28%","45.12%","-29.69%"
"ESCO Technologies","ESE","4.46%","5.97%","7.98%","8.96%","23.06%","74.09%"
"Essendant Inc","ESND","-0.63%","-2.28%","11.92%","71.20%","35.29%","-56.04%"
"Ethan Allen Interiors","ETH","0.45%","0.90%","-10.20%","-20.64%","-28.62%","-27.72%"
"Evercore","EVR","0.18%","-0.87%","5.12%","26.61%","48.76%","96.53%"
"EW Scripps A","SSP","0.55%","12.06%","4.51%","-6.65%","-19.39%","-27.59%"
"ExlServices","EXLS","-0.31%","-0.59%","-1.97%","-2.85%","5.70%","56.35%"
"Exponent","EXPO","-0.54%","0.00%","1.61%","41.63%","54.35%","15.67%"
"Express","EXPR","0.40%","4.53%","8.79%","0.00%","64.77%","-45.78%"
"Exterran Corp","EXTN","-0.67%","-2.13%","-3.20%","-15.20%","2.22%","-"
"EZCORP","EZPW","1.74%","6.85%","-5.65%","-4.10%","31.46%","91.18%"
"Fabrinet","FN","-0.02%","4.86%","7.28%","44.32%","1.32%","114.95%"
"FARO","FARO","0.00%","0.07%","18.85%","43.51%","105.33%","57.15%"
"Federal Signal","FSS","-8.11%","7.83%","8.70%","27.43%","39.81%","77.78%"
"Fidelity","LION","1.18%","-0.62%","-8.34%","10.46%","11.33%","21.19%"
"Fiesta","FRGI","1.79%","-3.07%","-3.24%","49.47%","52.28%","-48.66%"
"First Bancorp","FBP","0.00%","-0.83%","4.77%","63.73%","49.64%","103.66%"
"First Commonwealth Financial","FCF","0.66%","-1.58%","5.39%","17.53%","34.86%","80.19%"
"First Financial Bancorp","FFBC","0.65%","-0.16%","-2.52%","17.65%","25.00%","57.44%"
"First Financial Bankshares","FFIN","0.78%","-0.09%","9.78%","29.52%","43.19%","74.60%"
"First Midwest","FMBI","0.78%","-0.11%","2.92%","12.91%","27.64%","43.21%"
"First NBC Bank","FNBCQ","-0.31%","-40.00%","-25.00%","200.00%","200.00%","-99.92%"
"FirstCash","FCFS","0.87%","0.62%","-12.55%","19.87%","37.97%","103.96%"
"Five Below","FIVE","0.02%","5.50%","2.84%","56.63%","115.12%","176.79%"
"Flotek","FTK","-25.43%","-27.91%","-30.67%","-53.43%","-63.59%","-88.33%"
"Forestar","FOR","0.21%","4.17%","8.20%","7.95%","38.89%","81.16%"
"Forrester","FORR","-0.55%","-2.16%","2.26%","2.38%","18.77%","39.70%"
"Forward Air","FWRD","-0.03%","-0.13%","5.87%","10.15%","24.45%","29.20%"
"Four Corners Property Trust Inc","FCPT","-0.12%","1.13%","5.00%","1.40%","8.36%","-"
"Fox Factory","FOXF","1.11%","3.56%","20.89%","64.61%","70.76%","282.70%"
"Francescass","FRAN","-0.67%","-6.95%","-4.79%","0.68%","-13.41%","-38.67%"
"Franklin Electric","FELE","0.00%","0.31%","3.83%","6.32%","24.97%","63.43%"
"Franklin Street Properties","FSP","-0.24%","-1.62%","-4.40%","-21.04%","-15.45%","-26.83%"
"Freds","FRED","-0.54%","-10.68%","-18.22%","-54.57%","-71.02%","-87.77%"
"FTD Companies Inc","FTD","-0.89%","-1.47%","-25.99%","-53.27%","-76.05%","-88.79%"
"FutureFuel","FF","-2.32%","-0.14%","-2.60%","-1.56%","5.88%","25.86%"
"G-III Apparel","GIII","0.83%","3.13%","1.14%","22.31%","72.28%","-35.72%"
"Gannett","GCI","-1.56%","-0.69%","-0.00%","-12.86%","20.10%","-22.13%"
"Genesco","GCO","-0.84%","1.97%","9.35%","27.69%","45.87%","-34.74%"
"Gentherm","THRM","1.08%","1.85%","16.00%","47.24%","54.04%","-7.44%"
"Geo","GEO","0.12%","1.99%","-2.73%","8.81%","-2.21%","11.17%"
"Geospace","GEOS","2.27%","-6.38%","-12.06%","0.62%","-14.20%","-24.96%"
"Getty","GTY","-0.31%","0.21%","0.73%","6.66%","10.91%","76.75%"
"Gibraltar Industries","ROCK","-0.45%","3.24%","14.82%","35.00%","56.32%","129.64%"
"Glacier","GBCI","0.30%","-0.50%","9.50%","11.53%","29.70%","54.74%"
"Glatfelter","GLT","-1.14%","-3.45%","-17.00%","-23.04%","-4.13%","-12.05%"
"Government Propertiesome","GOV","-0.43%","2.74%","-2.48%","-13.00%","-11.08%","-2.00%"
"Great Western Bancorp Inc","GWB","0.81%","-1.00%","0.45%","6.76%","16.28%","55.41%"
"Green Dot","GDOT","0.02%","-0.92%","3.73%","33.92%","74.37%","337.16%"
"Green Plains Energy","GPRE","0.56%","2.87%","3.77%","6.23%","-6.04%","-14.35%"
"Greenbrier","GBX","-0.42%","-1.09%","9.91%","10.32%","27.69%","28.44%"
"Greenhill&Co","GHL","0.78%","-1.22%","7.26%","66.67%","95.78%","-17.41%"
"Griffon","GFF","0.85%","-2.73%","-1.66%","-12.53%","-6.81%","1.48%"
"Group 1 Automotive","GPI","-1.14%","10.70%","13.52%","9.17%","37.13%","-18.48%"
"Guess?","GES","-0.26%","0.49%","2.91%","34.12%","69.46%","3.62%"
"Gulf Island Fabrication","GIFI","0.57%","-2.78%","-7.89%","-34.85%","-20.81%","-32.74%"
"H B Fuller","FUL","-0.19%","0.78%","2.33%","6.00%","13.90%","44.16%"
"Haemonetics","HAE","-3.54%","4.54%","9.41%","75.22%","144.17%","157.06%"
"Hanmi","HAFC","1.34%","0.00%","-11.55%","-15.49%","-5.87%","-2.10%"
"Harmonic","HLIT","0.96%","0.00%","20.69%","25.00%","45.83%","-11.47%"
"Harsco","HSC","-3.07%","1.61%","12.20%","35.66%","56.66%","111.89%"
"Haverty Furniture","HVT","0.93%","4.08%","-1.14%","-4.19%","-12.85%","-3.43%"
"Hawaiian","HA","1.47%","3.77%","12.08%","3.64%","-1.31%","65.93%"
"Hawkins","HWKN","-0.13%","-2.69%","7.85%","13.21%","-2.33%","4.84%"
"Haynes","HAYN","-1.70%","-3.83%","3.55%","24.65%","33.75%","-7.44%"
"HCI Group Inc","HCI","0.71%","-6.90%","-3.05%","33.04%","-2.98%","-3.61%"
"Healthcare Services","HCSG","0.67%","-0.07%","-8.48%","-23.44%","-20.92%","15.88%"
"Healthequity Inc","HQY","1.14%","3.95%","2.66%","75.25%","77.22%","146.30%"
"HealthStream","HSTM","0.78%","1.82%","-1.63%","27.94%","31.16%","11.14%"
"Heartland Express","HTLD","-0.21%","-1.78%","-1.18%","-17.44%","-6.82%","-9.70%"
"Heidrick&Struggles","HSII","0.46%","4.78%","24.79%","78.41%","136.12%","117.80%"
"Helix","HLX","0.00%","-2.11%","8.40%","23.21%","58.80%","12.47%"
"HFF","HF","-2.67%","0.50%","27.21%","-8.70%","20.03%","17.27%"
"Hibbett Sports","HIBB","-0.84%","0.00%","1.08%","15.20%","73.43%","-48.42%"
"HighPoint","HPR","-6.71%","-12.58%","-11.49%","11.11%","77.02%","7.95%"
"Hillenbrand","HI","-0.10%","-0.10%","8.08%","16.67%","43.47%","72.11%"
"HMS Holdings","HMSY","-1.12%","20.88%","28.36%","77.29%","70.06%","230.58%"
"Home BancShares","HOMB","1.20%","-0.17%","0.81%","1.42%","-1.83%","-42.42%"
"Hope Bancorp","HOPE","1.05%","0.70%","-5.77%","-5.10%","3.84%","10.04%"
"Horace Mann Educators","HMN","1.83%","1.59%","-5.11%","1.13%","20.38%","28.46%"
"Hornbeck","HOS","0.92%","0.23%","-12.70%","41.48%","76.00%","-78.83%"
"Hub Group","HUBG","-2.50%","3.04%","1.25%","9.81%","50.50%","28.67%"
"Iconix Brand","ICON","-18.03%","-5.66%","-29.58%","-61.24%","-91.09%","-96.57%"
"ICU Medical","ICUI","0.04%","-3.25%","-3.39%","32.50%","71.74%","183.17%"
"II-VI","IIVI","-3.19%","12.40%","1.74%","-6.39%","22.94%","144.30%"
"ILG","ILG","-1.30%","-1.87%","0.18%","19.84%","33.90%","59.26%"
"Independent Bank","INDB","-0.11%","-1.95%","9.88%","25.84%","28.13%","79.46%"
"Ingevity","NGVT","0.76%","2.37%","17.62%","43.20%","78.35%","-"
"Innophoss","IPHS","-1.51%","-0.11%","-9.40%","-5.14%","-3.19%","-14.11%"
"Innospec","IOSP","-4.65%","-3.87%","-6.82%","7.44%","31.34%","69.46%"
"Inogen Inc","INGN","7.89%","8.47%","14.38%","93.21%","151.65%","431.98%"
"Insight Enterprises","NSIT","0.87%","9.31%","7.63%","39.54%","27.12%","97.45%"
"Insperity","NSP","0.71%","4.81%","13.45%","86.05%","163.46%","116.56%"
"Installed Building","IBP","-1.96%","0.10%","-6.33%","-30.81%","-9.32%","84.00%"
"Integer Hld","ITGR","-0.63%","-2.13%","6.02%","57.40%","61.49%","49.79%"
"Integra","IART","0.42%","-2.26%","-1.94%","29.92%","27.24%","100.84%"
"Inter Parfums","IPAR","2.15%","4.99%","17.15%","47.76%","64.62%","127.82%"
"Interactive Brokers","IBKR","0.67%","1.84%","-1.90%","3.68%","50.87%","42.77%"
"Interface, Inc.","TILE","0.89%","2.71%","-5.41%","-9.54%","21.98%","-12.33%"
"INTL FCStone","INTL","0.20%","-1.74%","4.48%","30.43%","49.19%","92.74%"
"Intrepid Potash","IPI","5.04%","8.59%","-13.87%","-25.63%","2.31%","-58.25%"
"Invacare","IVC","-6.25%","-8.33%","-9.59%","-2.08%","21.77%","-3.96%"
"Investment Tech","ITG","-5.01%","-6.30%","-4.66%","7.38%","1.47%","16.52%"
"Iridium","IRDM","-0.50%","7.51%","15.23%","69.92%","102.53%","188.49%"
"iRobot","IRBT","2.85%","5.46%","6.84%","12.78%","-14.25%","185.10%"
"Itron","ITRI","-1.55%","5.92%","3.84%","-6.89%","-12.59%","88.60%"
"J & J Snack Foods","JJSF","-0.98%","0.98%","-8.36%","-5.68%","11.65%","21.33%"
"John Bean Tech","JBT","-0.50%","0.56%","17.05%","-2.12%","21.58%","190.28%"
"Kaiser","KALU","0.58%","0.01%","3.39%","4.56%","16.48%","30.85%"
"Kaman","KAMN","-0.49%","-0.21%","-3.99%","11.25%","31.16%","63.04%"
"KapStone Paper&Packaging","KS","-0.43%","-0.29%","-0.06%","52.80%","59.48%","46.04%"
"Kelly Services A","KELYA","1.03%","0.74%","6.62%","-9.68%","12.93%","68.24%"
"Kirklands","KIRK","2.00%","-0.27%","-6.81%","-6.19%","22.49%","-58.73%"
"Kite","KRG","-0.06%","-1.84%","-1.90%","-15.56%","-19.66%","-35.55%"
"Knight Transportation","KNX","-1.38%","-0.87%","-14.89%","-24.57%","-9.89%","22.06%"
"Kopin","KOPN","4.00%","-22.77%","-22.26%","-26.88%","-37.93%","-15.22%"
"Koppers","KOP","1.74%","0.53%","-2.32%","-25.44%","-3.19%","70.10%"
"Korn/Ferry","KFY","-0.34%","1.79%","7.65%","63.65%","109.34%","97.09%"
"Kraton","KRA","0.72%","1.01%","0.35%","1.29%","44.18%","114.93%"
"Kulicke&Soffa","KLIC","-1.24%","0.78%","4.32%","11.09%","42.92%","155.58%"
"La-Z-Boy","LZB","1.14%","2.99%","0.65%","-0.64%","-4.02%","24.05%"
"Lannett Com","LCI","-4.73%","1.95%","-7.42%","-43.53%","-18.89%","-76.49%"
"LCI Industries","LCII","1.32%","1.79%","7.74%","-23.46%","5.91%","74.10%"
"Legacy Texas Financial Grp","LTXB","0.02%","-1.83%","9.43%","3.08%","18.07%","45.52%"
"Lendingtree","TREE","1.31%","-2.44%","9.75%","-28.26%","10.10%","104.36%"
