"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","0.69%","6.55%","5.53%","55.67%","68.20%","162.56%"
"A Schulman","SHLM","0.46%","0.69%","-0.34%","18.12%","62.96%","24.29%"
"AAON","AAON","0.26%","4.72%","10.06%","5.86%","16.32%","69.50%"
"AAR","AIR","0.86%","0.38%","-3.21%","19.60%","33.15%","72.44%"
"Abercrombie&Fitch","ANF","-1.52%","7.11%","2.21%","48.65%","164.93%","27.57%"
"ABM Industries","ABM","-0.19%","0.84%","1.59%","-16.81%","-28.16%","-6.41%"
"Acadia","AKR","-0.15%","-1.36%","-1.76%","-1.97%","-8.99%","-14.64%"
"Aceto","ACET","-1.23%","0.95%","-7.78%","-69.02%","-80.09%","-87.28%"
"Acorda","ACOR","-0.93%","2.31%","-11.33%","24.01%","30.07%","-17.83%"
"Actuant","ATU","-0.36%","-1.58%","-2.78%","10.67%","20.43%","18.90%"
"ADTRAN","ADTN","-2.15%","-1.54%","3.91%","-17.57%","-26.83%","-3.68%"
"Advanced Energy","AEIS","1.56%","3.81%","1.80%","-7.62%","-10.24%","126.77%"
"AdvanSix","ASIX","0.09%","-13.49%","-10.71%","-18.14%","11.89%","-"
"Aegion","AEGN","-0.24%","3.00%","-4.96%","-1.30%","23.58%","30.53%"
"Aerojet Rocketdyne","AJRD","0.29%","0.06%","14.71%","10.48%","28.48%","52.59%"
"AeroVironment","AVAV","1.22%","2.52%","6.20%","38.41%","102.84%","190.36%"
"Agilysys","AGYS","1.38%","0.19%","-7.48%","25.98%","51.67%","58.34%"
"Agree","ADC","0.24%","-0.13%","0.06%","4.51%","9.36%","77.08%"
"AK Steel","AKS","-0.22%","1.13%","-4.88%","-20.85%","-15.95%","34.53%"
"Alamo","ALG","0.06%","2.78%","5.93%","-14.70%","5.20%","83.36%"
"Albany","AIN","2.00%","16.90%","22.22%","24.41%","51.99%","122.82%"
"Allegiant","ALGT","0.55%","6.22%","-9.73%","-16.67%","5.44%","-41.37%"
"Allete","ALE","0.48%","1.37%","0.13%","3.60%","3.44%","51.98%"
"AMAG","AMAG","1.00%","8.62%","22.03%","90.19%","50.45%","-61.63%"
"Amedisys","AMED","1.81%","3.96%","19.57%","109.09%","128.51%","139.02%"
"American Assets","AAT","0.00%","1.31%","1.39%","0.99%","-3.57%","-4.71%"
"American Axle&Manufacturing","AXL","0.92%","8.92%","3.50%","2.52%","23.48%","-18.37%"
"American Equity Inv. Life","AEL","1.43%","3.37%","0.30%","19.82%","34.28%","33.60%"
"American Public Education","APEI","0.00%","-1.14%","-1.59%","73.45%","118.89%","73.25%"
"American States Water","AWR","-1.37%","-1.65%","0.35%","3.06%","16.00%","55.21%"
