"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","22.70","22.83","22.20","+0.30","+1.34%","629.20K","31/08"
"AAON","AAON","40.40","40.91","39.80","-0.35","-0.86%","234.67K","31/08"
"AAR","AIR","46.67","46.72","45.95","+0.69","+1.50%","131.16K","31/08"
"Abercrombie&Fitch","ANF","21.67","22.49","21.13","-0.88","-3.90%","8.62M","31/08"
"ABM Industries","ABM","31.72","31.76","31.37","+0.10","+0.32%","327.69K","31/08"
"Acadia","AKR","28.52","28.56","28.33","+0.14","+0.49%","605.40K","31/08"
"Aceto","ACET","3.32","3.35","3.23","-0.01","-0.30%","162.12K","31/08"
"Acorda","ACOR","28.80","28.95","28.15","+0.25","+0.88%","234.71K","31/08"
"Actuant","ATU","29.45","29.50","29.00","+0.15","+0.51%","141.04K","31/08"
"ADTRAN","ADTN","17.20","17.20","17.00","+0.10","+0.58%","147.76K","31/08"
"Advanced Energy","AEIS","59.58","59.81","58.60","+0.45","+0.76%","432.48K","31/08"
"AdvanSix","ASIX","33.84","34.04","33.24","+0.25","+0.74%","377.19K","31/08"
"Aegion","AEGN","24.96","25.05","24.83","-0.15","-0.60%","48.17K","31/08"
"Aerojet Rocketdyne","AJRD","35.11","35.25","34.91","-0.04","-0.11%","353.96K","31/08"
"AeroVironment","AVAV","87.96","88.46","85.13","+1.97","+2.29%","153.67K","31/08"
"Agilysys","AGYS","16.07","16.09","15.89","-0.03","-0.19%","21.41K","31/08"
"Agree","ADC","57.07","57.11","56.46","+0.12","+0.21%","149.08K","31/08"
"AK Steel","AKS","4.440","4.450","4.320","+0.090","+2.07%","7.71M","31/08"
"Alamo","ALG","95.30","96.10","95.14","-0.99","-1.03%","109.74K","31/08"
"Albany","AIN","77.15","77.45","76.70","0.00","0.00%","147.90K","31/08"
"Allegiant","ALGT","136.25","136.35","134.45","+1.10","+0.81%","65.54K","31/08"
"Allete","ALE","75.08","75.82","74.81","-0.61","-0.81%","616.30K","31/08"
"AMAG","AMAG","24.40","24.50","23.25","-0.10","-0.41%","357.00K","31/08"
"Amedisys","AMED","125.01","125.29","120.13","+2.51","+2.05%","416.31K","31/08"
"American Assets","AAT","39.50","39.56","39.15","+0.35","+0.89%","149.79K","31/08"
"American Axle&Manufacturing","AXL","17.71","17.92","17.35","-0.25","-1.39%","1.27M","31/08"
"American Equity Inv. Life","AEL","37.09","37.16","36.59","+0.08","+0.22%","376.83K","31/08"
"American Public Education","APEI","34.75","35.10","34.50","-0.45","-1.28%","70.80K","31/08"
"American States Water","AWR","60.43","60.74","60.07","-0.02","-0.03%","174.56K","31/08"
"American Vanguard","AVD","21.90","21.93","21.50","+0.20","+0.92%","100.19K","31/08"
"American Woodmark","AMWD","84.95","87.95","84.60","-3.10","-3.52%","191.25K","31/08"
