"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.10M","1.92B","310.62M","","0.48"
"A Schulman","SHLM","398.75K","1.29B","2.69B","64.31","1.36"
"AAON","AAON","190.57K","2.01B","426.50M","48.21","0.89"
"AAR","AIR","223.77K","1.61B","2.19B","26.95","1.27"
"Abercrombie&Fitch","ANF","2.47M","1.69B","3.56B","40.02","0.47"
"ABM Industries","ABM","846.09K","2.05B","5.99B","30.55","0.78"
"Acadia","AKR","591.57K","2.24B","376.95M","45.47","0.36"
"Aceto","ACET","467.77K","98.83M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.24B","588.93M","","1.4"
"Actuant","ATU","517.10K","1.74B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","773.82M","560.49M","","0.51"
"Advanced Energy","AEIS","457.14K","2.37B","747.43M","10.87","1.07"
"AdvanSix","ASIX","188.56K","1.11B","1.50B","14.18",""
"Aegion","AEGN","146.81K","799.63M","1.34B","","1.73"
"Aerojet Rocketdyne","AJRD","717.22K","2.58B","1.97B","34.47","1.07"
"AeroVironment","AVAV","360.74K","1.79B","271.06M","69.23","1.13"
"Agilysys","AGYS","43.36K","347.06M","127.50M","","0.33"
"Agree","ADC","185.08K","1.68B","132.20M","28.03","0.29"
"AK Steel","AKS","12.87M","1.42B","6.40B","","2.9"
"Alamo","ALG","72.20K","1.09B","978.93M","17.34","0.96"
"Albany","AIN","97.00K","2.08B","894.42M","53.16","1.67"
"Allegiant","ALGT","157.19K","2.02B","1.59B","14.62","0.11"
"Allete","ALE","229.94K","3.89B","1.40B","27.51","0.19"
"AMAG","AMAG","1.23M","820.41M","604.69M","","0.43"
"Amedisys","AMED","336.51K","3.69B","1.60B","40.24","0.85"
"American Assets","AAT","258.18K","1.83B","329.84M","102.06","0.34"
"American Axle&Manufacturing","AXL","1.89M","1.90B","7.07B","4.75","1.41"
"American Equity Inv. Life","AEL","652.75K","3.19B","3.10B","10.82","2.53"
"American Public Education","APEI","109.20K","710.09M","298.53M","40.67","0.68"
"American States Water","AWR","188.00K","2.21B","535.33M","33.06","0.1"
"American Vanguard","AVD","82.32K","691.45M","388.48M","35.09","1.05"
"American Woodmark","AMWD","135.47K","1.52B","1.25B","23.31","1.85"
"Ameris","ABCB","225.93K","2.19B","227.23M","23.54","1.06"
"AMERISAFE","AMSF","89.24K","1.20B","377.29M","19.13","0.75"
"AMN Healthcare Services","AMN","471.17K","2.50B","2.02B","19.27","0.33"
"Amneal Pharma A","AMRX","1.37M","5.81B","775.79M","","1.32"
"Amphastar P","AMPH","207.93K","811.08M","241.90M","","1.38"
"AngioDynamics","ANGO","229.74K","800.05M","344.29M","90.76","0.92"
"ANI Pharma","ANIP","142.67K","767.18M","186.69M","56.45","2.85"
"Anika","ANIK","86.25K","609.42M","108.38M","39.02","2.05"
"Anixter","AXE","197.50K","2.40B","8.13B","17.54","2.2"
"Apogee","APOG","310.40K","1.39B","1.39B","18.89","1.51"
"Applied Industrial Technologies","AIT","184.35K","2.78B","2.86B","18.94","0.88"
"ArcBest Corp","ARCB","308.58K","1.19B","3.53B","","2.09"
"Archrock","AROC","1.58M","1.69B","845.70M","","2.93"
"Asbury Automotive","ABG","212.08K","1.48B","6.61B","9.21","1.44"
"ASGN","ASGN","285.13K","4.80B","2.91B","36.38","1.95"
"Astec","ASTE","180.90K","1.06B","1.16B","","1.05"
"Atlas Air","AAWW","268.12K","1.61B","2.42B","38.27","1.23"
"ATN Int","ATNI","95.43K","1.03B","585.66M","127.45","0.57"
"Avista","AVA","508.80K","3.32B","1.42B","27.12","0.17"
"Axon Enterprise","AAXN","894.95K","4.02B","365.77M","173.05","1.12"
"AZZ","AZZ","217.50K","1.40B","861.47M","54.46","1.45"
"B&G Foods","BGS","994.51K","2.07B","1.70B","35.32","0.49"
"Badger Meter","BMI","120.68K","1.50B","415.35M","50.54","0.68"
"Balchem","BCPC","114.47K","3.12B","635.08M","44.1","0.83"
"Banc of California","BANC","493.98K","1.01B","220.54M","38.29","0.78"
"Banner","BANR","195.21K","2.07B","259.82M","18.11","0.91"
"Barnes","B","238.67K","3.46B","1.47B","22.01","1.35"
"Barnes & Noble Education Inc","BNED","349.87K","273.05M","2.20B","",""
"Barnes&Noble","BKS","971.09K","429.48M","3.66B","","1.72"
"Bel Fuse B","BELFB","28.05K","289.27M","505.29M","34.72","1.07"
"Belmond","BEL","459.70K","1.35B","555.84M","","1.34"
"Benchmark Electronics","BHE","342.11K","1.18B","2.55B","18.24","0.22"
"Big 5","BGFV","1.28M","122.16M","987.49M","","-0.88"
"Biglari","BH","8.78K","582.52M","636.40M","","0.42"
"BioTelemetry","BEAT","469.88K","1.81B","368.62M","348.98","1.4"
"BJs Restaurants","BJRI","383.40K","1.27B","1.07B","31.9","0.66"
"Black Box","BBOX","216.31K","22.55M","774.63M","","0.89"
"Blackbaud","BLKB","284.75K","4.70B","830.34M","96.96","0.63"
"Blucora","BCOR","405.89K","1.63B","551.84M","33.47","-0.16"
"BofI Holding","BOFI","743.92K","2.62B","293.28M","17.53","0.25"
"Boise Cascad Llc","BCC","380.70K","1.71B","4.64B","16.95","1.93"
"Boston Private","BPFH","411.48K","1.22B","211.75M","37.68","0.91"
"Bottomline","EPAY","314.41K","2.26B","381.13M","","0.89"
"Boyd Gaming","BYD","1.16M","4.14B","2.40B","33.87","1.66"
"Brady","BRC","213.14K","1.91B","1.17B","19.04","1.09"
"Briggs&Stratton","BGG","246.28K","755.60M","1.85B","17.17","0.62"
"Brinks","BCO","497.41K","4.05B","3.48B","","1.78"
"Bristow","BRS","778.17K","441.70M","1.44B","","3.07"
"Brookline Bancorp","BRKL","341.71K","1.45B","161.41M","20.05","0.78"
"Brooks Automation","BRKS","939.25K","2.24B","760.19M","19.13","0.92"
"Buckle","BKE","416.40K","1.19B","906.03M","12.71","0.59"
"Cabot","CCMP","180.11K","3.15B","570.18M","36.28","1.39"
"CACI","CACI","130.57K","4.37B","4.44B","22.83","1.49"
"Cal-Maine","CALM","341.98K","2.17B","1.50B","26.05","0.45"
"CalAmp","CAMP","382.70K","802.65M","372.72M","18.99","1.86"
"Calavo Growers","CVGW","207.84K","1.66B","1.09B","39.56","0.46"
"Caleres","CAL","445.39K","1.47B","2.79B","16.5","0.79"
"California Water Service","CWT","215.67K","1.92B","678.60M","11.56","0.54"
"Callaway Golf","ELY","1.02M","2.07B","1.23B","18.38","0.97"
"Cambrex","CBM","401.61K","2.10B","588.05M","17.45","2.4"
"Cantel Medical","CMD","326.41K","3.92B","848.57M","47.82","1.07"
"Capstead Mortgage","CMO","606.64K","762.68M","257.12M","14.89","0.15"
"Carbo Ceramics","CRR","471.69K","242.61M","217.87M","","1.54"
"Cardtronics","CATM","820.11K","1.39B","1.44B","","1.02"
"Career","CECO","259.30K","1.18B","578.21M","31.25","2.67"
"Caretrust Inc","CTRE","736.99K","1.34B","146.62M","32.6","0.91"
"Carrizo Oil&Gas","CRZO","3.29M","2.24B","819.81M","33.42","2.31"
"Cato","CATO","328.87K","626.99M","1.09B","27.27","0.66"
"Cavco","CVCO","49.62K","1.93B","871.24M","34.72","1.44"
"Cedar Realty","CDR","455.34K","423.66M","152.46M","","0.8"
"Celadon","CGIP","391.97K","87.45M","","36.34","1.72"
"Central Garden&Pet","CENT","118.17K","2.14B","2.20B","22.53","-0.11"
"Central Garden&Pet A","CENTA","209.85K","2.14B","2.20B","22.53","-0.11"
"Century Aluminum","CENX","2.42M","1.12B","2.51B","16.1","0.75"
"CEVA","CEVA","190.44K","699.96M","83.78M","66.84","1.08"
"Chart Industries","GTLS","285.83K","2.37B","1.15B","102.07","1.09"
"Chemed","CHE","216.12K","5.08B","1.73B","29.18","1.16"
"Chemours Co","CC","1.53M","8.37B","6.71B","8.43",""
