"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.09M","2.03B","310.62M","","0.49"
"A Schulman","SHLM","398.75K","1.29B","2.69B","64.75","1.36"
"AAON","AAON","190.57K","2.03B","426.50M","48.91","0.89"
"AAR","AIR","220.17K","1.62B","2.19B","27.29","1.26"
"Abercrombie&Fitch","ANF","2.44M","1.78B","3.56B","41.58","0.48"
"ABM Industries","ABM","832.25K","2.07B","5.99B","30.81","0.78"
"Acadia","AKR","581.48K","2.19B","376.95M","44.34","0.36"
"Aceto","ACET","467.77K","99.75M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.26B","588.93M","","1.42"
"Actuant","ATU","507.36K","1.71B","1.16B","","1.47"
"ADTRAN","ADTN","614.96K","781.00M","560.49M","","0.51"
"Advanced Energy","AEIS","457.14K","2.40B","747.43M","11.2","1.06"
"AdvanSix","ASIX","185.46K","1.05B","1.50B","13.42",""
"Aegion","AEGN","146.81K","815.18M","1.34B","","1.73"
"Aerojet Rocketdyne","AJRD","705.82K","2.59B","1.97B","34.73","1.07"
"AeroVironment","AVAV","360.74K","1.84B","271.06M","71.73","1.13"
"Agilysys","AGYS","43.36K","359.00M","127.50M","","0.31"
"Agree","ADC","184.14K","1.66B","132.20M","27.87","0.29"
"AK Steel","AKS","12.75M","1.42B","6.40B","","2.89"
"Alamo","ALG","66.78K","1.12B","978.93M","17.81","0.96"
"Albany","AIN","109.32K","2.41B","935.08M","36.77","1.69"
"Allegiant","ALGT","157.19K","2.07B","1.59B","15.01","0.12"
"Allete","ALE","225.88K","3.94B","1.40B","27.97","0.18"
"AMAG","AMAG","1.23M","856.45M","604.69M","","0.45"
"Amedisys","AMED","336.51K","3.45B","1.60B","40.96","0.88"
"American Assets","AAT","248.21K","1.82B","329.84M","96.94","0.34"
"American Axle&Manufacturing","AXL","1.84M","1.93B","7.07B","4.87","1.42"
"American Equity Inv. Life","AEL","653.99K","3.27B","2.97B","9.19","2.53"
"American Public Education","APEI","109.20K","712.55M","298.53M","35.6","0.68"
"American States Water","AWR","186.54K","2.22B","430.23M","36.34","0.1"
"American Vanguard","AVD","80.79K","662.37M","417.62M","30.92","1.04"
"American Woodmark","AMWD","135.47K","1.50B","1.25B","22.9","1.85"
"Ameris","ABCB","225.93K","2.19B","227.23M","23.78","1.07"
"AMERISAFE","AMSF","89.24K","1.20B","377.29M","19.04","0.75"
"AMN Healthcare Services","AMN","438.77K","2.64B","2.02B","20.45","0.32"
"Amneal Pharma A","AMRX","1.21M","6.08B","775.79M","","1.32"
"Amphastar P","AMPH","207.93K","829.73M","241.90M","","1.38"
"AngioDynamics","ANGO","229.74K","791.57M","344.29M","88.83","0.92"
"ANI Pharma","ANIP","142.67K","665.84M","189.20M","49.39","2.82"
"Anika","ANIK","86.25K","606.68M","108.38M","38.94","2.05"
"Anixter","AXE","194.27K","2.44B","8.13B","17.95","2.2"
"Apogee","APOG","310.40K","1.41B","1.39B","19.17","1.5"
"Applied Industrial Technologies","AIT","179.01K","2.86B","2.86B","19.63","0.88"
"ArcBest Corp","ARCB","308.58K","1.23B","3.53B","","2.09"
"Archrock","AROC","1.44M","1.71B","845.70M","","2.92"
"Asbury Automotive","ABG","214.93K","1.52B","6.61B","9.54","1.45"
"ASGN","ASGN","285.38K","4.82B","2.91B","36.41","1.95"
"Astec","ASTE","180.90K","1.08B","1.16B","","1.03"
"Atlas Air","AAWW","268.12K","1.59B","2.42B","37.48","1.21"
"ATN Int","ATNI","95.43K","1.08B","585.66M","131.36","0.58"
"Avista","AVA","501.25K","3.33B","1.42B","27.11","0.16"
"Axon Enterprise","AAXN","894.95K","3.94B","385.36M","118.22","1.1"
"AZZ","AZZ","213.26K","1.41B","861.47M","54.97","1.44"
"B&G Foods","BGS","952.74K","2.07B","1.70B","34.75","0.49"
"Badger Meter","BMI","121.18K","1.54B","415.35M","51.37","0.68"
