"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.10M","1.98B","310.62M","","0.49"
"A Schulman","SHLM","398.75K","1.29B","2.69B","64.45","1.36"
"AAON","AAON","190.57K","2.02B","426.50M","48.78","0.89"
"AAR","AIR","220.95K","1.62B","2.19B","27.06","1.26"
"Abercrombie&Fitch","ANF","2.45M","1.75B","3.56B","42.22","0.49"
"ABM Industries","ABM","830.47K","2.06B","5.99B","30.86","0.78"
"Acadia","AKR","584.67K","2.20B","376.95M","44.41","0.36"
"Aceto","ACET","467.77K","99.75M","737.10M","","1.66"
"Acorda","ACOR","712.87K","1.28B","588.93M","","1.42"
"Actuant","ATU","512.21K","1.71B","1.16B","","1.48"
"ADTRAN","ADTN","614.96K","781.00M","560.49M","","0.51"
"Advanced Energy","AEIS","457.14K","2.40B","747.43M","11.02","1.06"
"AdvanSix","ASIX","186.48K","1.05B","1.50B","13.41",""
"Aegion","AEGN","146.81K","812.59M","1.34B","","1.73"
"Aerojet Rocketdyne","AJRD","704.89K","2.60B","1.97B","34.63","1.07"
"AeroVironment","AVAV","360.74K","1.82B","271.06M","70.86","1.13"
"Agilysys","AGYS","43.36K","363.94M","127.50M","","0.31"
"Agree","ADC","184.94K","1.67B","132.20M","27.8","0.29"
"AK Steel","AKS","12.81M","1.43B","6.40B","","2.89"
"Alamo","ALG","68.38K","1.10B","978.93M","17.8","0.96"
"Albany","AIN","107.08K","2.07B","894.42M","61.53","1.68"
"Allegiant","ALGT","157.19K","2.05B","1.59B","14.93","0.11"
"Allete","ALE","226.66K","3.93B","1.40B","27.83","0.18"
"AMAG","AMAG","1.23M","823.84M","604.69M","","0.45"
"Amedisys","AMED","336.51K","3.48B","1.60B","40.23","0.88"
"American Assets","AAT","250.30K","1.83B","329.84M","96.94","0.34"
"American Axle&Manufacturing","AXL","1.85M","1.90B","7.07B","4.83","1.42"
"American Equity Inv. Life","AEL","656.77K","3.20B","2.97B","9.06","2.53"
"American Public Education","APEI","109.20K","709.27M","298.53M","40.81","0.68"
"American States Water","AWR","188.36K","2.23B","430.23M","36.84","0.1"
"American Vanguard","AVD","83.19K","696.30M","417.62M","31.54","1.05"
"American Woodmark","AMWD","135.47K","1.49B","1.25B","23.02","1.86"
"Ameris","ABCB","225.93K","2.19B","227.23M","23.47","1.07"
