"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.01M","2.01B","296.50M","","0.51"
"A Schulman","SHLM","398.75K","1.29B","2.69B","64.09","1.33"
"AAON","AAON","190.57K","1.87B","418.24M","42.96","0.77"
"AAR","AIR","222.42K","1.60B","2.19B","26.81","1.19"
"ABAXIS","ABAX","214.97K","1.91B","244.70M","62.66","1.44"
"Abercrombie&Fitch","ANF","2.79M","1.79B","3.56B","42.3","0.77"
"ABM Industries","ABM","880.65K","1.93B","5.99B","28.8","0.78"
"Acadia","AKR","650.76K","2.17B","434.88M","40.6","0.43"
"Aceto","ACET","467.77K","104.99M","737.10M","","1.67"
"Acorda","ACOR","712.87K","1.39B","575.07M","","1.56"
"Actuant","ATU","536.85K","1.71B","1.16B","","1.41"
"ADTRAN","ADTN","614.96K","766.63M","617.11M","42.57","0.56"
"Advanced Energy","AEIS","457.14K","2.36B","717.27M","10.83","1.18"
"AdvanSix","ASIX","194.41K","1.17B","1.46B","15.39",""
"Aegion","AEGN","146.81K","821.33M","1.36B","","1.75"
"Aerojet Rocketdyne","AJRD","620.90K","2.31B","1.96B","35.52","1.11"
"AeroVironment","AVAV","360.74K","1.79B","271.06M","68.93","1.15"
"Agilysys","AGYS","43.36K","387.62M","127.36M","","0.34"
"Agree","ADC","194.70K","1.66B","124.57M","25.68","0.38"
"AK Steel","AKS","12.63M","1.51B","6.21B","","2.85"
"Alamo","ALG","68.32K","1.05B","935.09M","18.47","0.84"
"Albany","AIN","95.52K","2.04B","894.42M","51.93","1.65"
"Allegiant","ALGT","157.19K","2.24B","1.93B","16.52","0.21"
"Allete","ALE","239.76K","3.97B","1.41B","25.71","0.29"
"AMAG","AMAG","1.23M","756.90M","616.83M","","0.38"
"Amedisys","AMED","336.51K","3.18B","1.56B","50.6","0.6"
"American Assets","AAT","263.95K","1.77B","321.93M","83.17","0.39"
"American Axle&Manufacturing","AXL","1.99M","1.87B","7.07B","5.83","1.38"
"American Equity Inv. Life","AEL","668.64K","3.16B","3.10B","10.71","2.38"
"American Public Education","APEI","109.20K","726.48M","298.53M","41.61","0.65"
"American States Water","AWR","216.20K","2.21B","535.33M","33.17","0.27"
"American Vanguard","AVD","88.57K","712.46M","388.48M","36.15","1.01"
"American Woodmark","AMWD","135.47K","1.51B","1.25B","23.26","1.83"
