"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.10M","2.05B","310.62M","","0.48"
"A Schulman","SHLM","398.75K","1.29B","2.69B","64.16","1.32"
"AAON","AAON","190.57K","1.91B","418.24M","44.04","0.79"
"AAR","AIR","222.38K","1.65B","2.19B","27.56","1.2"
"ABAXIS","ABAX","214.97K","1.90B","244.70M","62.44","1.43"
"Abercrombie&Fitch","ANF","2.58M","1.64B","3.56B","37.15","0.7"
"ABM Industries","ABM","867.48K","2.02B","5.99B","30.26","0.81"
"Acadia","AKR","631.68K","2.22B","376.95M","43.58","0.41"
"Aceto","ACET","467.77K","102.52M","737.10M","","1.61"
"Acorda","ACOR","712.87K","1.17B","575.07M","","1.44"
"Actuant","ATU","535.33K","1.73B","1.16B","","1.4"
"ADTRAN","ADTN","614.96K","790.59M","560.49M","","0.57"
"Advanced Energy","AEIS","457.14K","2.30B","717.27M","10.84","1.17"
"AdvanSix","ASIX","182.58K","1.23B","1.46B","15.85",""
"Aegion","AEGN","146.81K","805.78M","1.36B","","1.72"
"Aerojet Rocketdyne","AJRD","649.73K","2.21B","1.96B","32.6","1.06"
"AeroVironment","AVAV","360.74K","1.80B","271.06M","66.53","1.13"
"Agilysys","AGYS","43.36K","392.33M","127.36M","","0.33"
"Agree","ADC","191.04K","1.66B","132.20M","27.07","0.36"
"AK Steel","AKS","12.82M","1.64B","6.21B","","2.91"
"Alamo","ALG","69.63K","1.06B","935.09M","18.72","0.85"
"Albany","AIN","96.88K","2.16B","894.42M","54.27","1.68"
"Allegiant","ALGT","157.19K","1.91B","1.59B","14.59","0.14"
"Allete","ALE","234.36K","4.01B","1.41B","25.61","0.29"
"AMAG","AMAG","1.23M","772.35M","616.83M","","0.39"
"Amedisys","AMED","336.51K","3.28B","1.56B","50.83","0.6"
"American Assets","AAT","267.81K","1.78B","321.93M","81.64","0.37"
"American Axle&Manufacturing","AXL","2.01M","1.73B","7.07B","5.6","1.35"
"American Equity Inv. Life","AEL","678.23K","3.22B","3.10B","10.93","2.38"
