"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"American Public Education","APEI","109.20K","745.34M","298.53M","42.03","0.66"
"American States Water","AWR","205.69K","2.26B","535.33M","33.21","0.27"
"American Vanguard","AVD","84.26K","694.69M","388.48M","34.84","0.99"
"American Woodmark","AMWD","135.47K","1.49B","1.25B","22.13","1.79"
"Ameris","ABCB","225.93K","2.28B","227.23M","23.87","1.08"
"AMERISAFE","AMSF","89.24K","1.24B","371.83M","19.81","0.82"
"AMN Healthcare Services","AMN","487.89K","2.98B","2.02B","23.32","0.42"
"Amneal Pharma A","AMRX","1.45M","5.69B","775.79M","","1.27"
"Amphastar P","AMPH","207.93K","812.48M","241.90M","","1.36"
"AngioDynamics","ANGO","229.74K","805.28M","344.29M","89.63","0.99"
"ANI Pharma","ANIP","142.67K","834.42M","186.69M","59.09","2.78"
"Anika","ANIK","86.25K","599.83M","108.38M","37.81","1.86"
"Anixter","AXE","205.36K","2.34B","8.13B","17.12","2.09"
"Apogee","APOG","310.40K","1.39B","1.39B","18.93","1.41"
"Applied Industrial Technologies","AIT","196.42K","2.89B","2.86B","19.38","0.92"
"ArcBest Corp","ARCB","308.58K","1.14B","3.53B","23.58","1.88"
"Archrock","AROC","1.85M","1.72B","816.81M","","2.93"
"Asbury Automotive","ABG","209.11K","1.41B","6.61B","8.61","1.38"
"ASGN","ASGN","273.28K","4.83B","2.91B","35.84","1.91"
"Astec","ASTE","180.90K","1.15B","1.16B","","1"
"Atlas Air","AAWW","268.12K","1.73B","2.27B","17.1","1.16"
"ATN Int","ATNI","95.43K","1.04B","585.66M","122.83","0.61"
"Avista","AVA","492.42K","3.32B","1.42B","27.64","0.24"
"Axon Enterprise","AAXN","894.95K","4.22B","365.77M","172.22","0.85"
"AZZ","AZZ","217.04K","1.41B","861.47M","54.56","1.41"
"B&G Foods","BGS","1.08M","2.10B","1.68B","28.56","0.5"
"Badger Meter","BMI","120.85K","1.52B","415.35M","49.8","0.7"
"Balchem","BCPC","114.47K","3.23B","618.47M","46.74","0.83"
"Banc of California","BANC","533.28K","1.02B","210.15M","38.29","0.84"
"Banner","BANR","195.21K","2.06B","259.82M","17.83","0.96"
"Barnes","B","252.91K","3.37B","1.46B","23.69","1.37"
"Barnes & Noble Education Inc","BNED","355.09K","253.35M","2.20B","",""
"Barnes&Noble","BKS","921.10K","436.76M","3.66B","","1.85"
"Bel Fuse B","BELFB","28.05K","275.04M","496.20M","64.77","0.89"
"Belmond","BEL","464.65K","1.37B","555.84M","","1.31"
"Benchmark Electronics","BHE","346.54K","1.16B","2.55B","17.8","0.21"
"Big 5","BGFV","1.28M","137.06M","991.21M","","-0.72"
"Biglari","BH","13.79K","593.57M","636.40M","","0.33"
"BioTelemetry","BEAT","469.88K","1.76B","368.62M","333.8","1.29"
"BJs Restaurants","BJRI","383.40K","1.28B","1.05B","33.44","0.76"
"Black Box","BBOX","216.31K","22.41M","774.63M","","0.86"
"Blackbaud","BLKB","284.75K","5.73B","808.86M","103.65","0.68"
"Blucora","BCOR","405.89K","1.78B","533.15M","91.97","-0.12"
"BofI Holding","BOFI","743.92K","2.52B","293.28M","16.27","0.09"
"Boise Cascad Llc","BCC","384.29K","1.69B","4.64B","16.54","1.98"
"Boston Private","BPFH","411.48K","1.23B","211.75M","35.27","0.95"
"Bottomline","EPAY","314.41K","2.34B","381.13M","","0.95"
"Boyd Gaming","BYD","1.15M","4.11B","2.40B","32.59","1.66"
"Brady","BRC","216.87K","1.95B","1.17B","19.07","1.04"
"Briggs&Stratton","BGG","273.55K","724.03M","1.85B","16.44","0.62"
"Brinks","BCO","502.46K","4.10B","3.48B","","1.76"
"Bristow","BRS","720.45K","523.60M","1.44B","","2.98"
"Brookline Bancorp","BRKL","341.71K","1.50B","161.41M","20.49","0.84"
"Brooks Automation","BRKS","939.25K","2.16B","760.19M","18.69","1.01"
"Buckle","BKE","409.75K","1.19B","906.03M","12.1","0.61"
"Cabot","CCMP","180.11K","3.05B","570.18M","35.21","1.37"
"CACI","CACI","132.83K","4.37B","4.44B","22.71","1.44"
"Cal-Maine","CALM","341.98K","2.19B","1.50B","26.29","0.53"
"CalAmp","CAMP","382.70K","815.35M","372.72M","18.58","1.73"
"Calavo Growers","CVGW","207.84K","1.63B","1.09B","38.51","0.54"
"Caleres","CAL","451.22K","1.50B","2.79B","16.11","0.82"
"California Water Service","CWT","248.39K","2.02B","677.10M","11.89","0.6"
"Callaway Golf","ELY","905.61K","1.86B","1.14B","21.9","0.99"
"Cambrex","CBM","396.93K","2.06B","570.55M","19.22","2.39"
"Cantel Medical","CMD","324.31K","3.87B","848.57M","46.42","1.04"
"Capella","CPLA","71.26K","1.23B","440.59M","44.43","0.19"
"Capstead Mortgage","CMO","593.93K","771.00M","247.95M","13.67","0.14"
"Carbo Ceramics","CRR","486.28K","284.82M","217.87M","","1.57"
"Cardtronics","CATM","820.11K","1.21B","1.49B","","0.84"
"Career","CECO","259.30K","1.29B","582.39M","37.72","2.76"
"Caretrust Inc","CTRE","736.99K","1.28B","140.48M","41.56","0.88"
"Carrizo Oil&Gas","CRZO","3.29M","2.34B","819.81M","33.99","2.14"
"Cato","CATO","328.88K","664.41M","1.09B","27.41","0.74"
"Cavco","CVCO","49.62K","1.96B","871.24M","33.94","1.43"
"Cedar Realty","CDR","451.44K","443.84M","146.81M","","0.84"
"Celadon","CGIP","391.97K","84.90M","","33.05","1.72"
"Central Garden&Pet","CENT","118.17K","2.12B","2.12B","24.3","0.03"
"Central Garden&Pet A","CENTA","209.85K","2.12B","2.12B","24.3","0.03"
"Century Aluminum","CENX","2.42M","1.16B","2.80B","19.37","0.81"
"CEVA","CEVA","190.44K","699.96M","83.78M","65.46","1.07"
"Chart Industries","GTLS","285.83K","2.30B","1.15B","99.55","1.02"
"Chemed","CHE","216.24K","5.13B","1.73B","29.67","1.15"
"Chemours Co","CC","1.46M","8.19B","6.48B","9.34",""
"Chesapeake Lodging","CHSP","344.80K","1.93B","598.43M","27.09","0.92"
"Chuy's Holdings","CHUY","161.57K","556.69M","376.53M","34.75","-0.21"
"Cincinnati Bell","CBB","569.15K","674.03M","1.31B","","1.23"
"CIRCOR","CIR","276.61K","801.98M","792.08M","","1.85"
"City Holding","CHCO","58.42K","1.27B","106.92M","18.37","0.67"
"Clearwater Paper","CLW","173.79K","367.91M","1.73B","16.66","1.01"
"Cloud Peak Energy","CLD","572.48K","226.56M","908.28M","","1.95"
"CMTSU Liquidation","CBRI","1.10M","244.94K","","","0.52"
"Cogent","CCOI","308.17K","2.46B","496.69M","118.6","0.51"
"Coherent","COHR","576.42K","4.39B","1.91B","21.15","1"
"Cohu","COHU","249.42K","717.08M","366.76M","15.87","1.11"
"Columbia Banking","COLB","276.51K","3.08B","274.70M","","1.11"
"Comfort Systems","FIX","183.27K","1.82B","1.87B","29.33","1.32"
"Community Bank System","CBU","226.52K","3.31B","289.42M","","1.03"
"Community Health Systems","CYH","2.67M","381.45M","13.98B","","1.63"
"Computer Programs&Systems","CPSI","76.13K","480.33M","283.73M","","-0.01"
"Comtech","CMTL","190.04K","809.50M","550.91M","26.99","1.54"
"CONMED","CNMD","178.50K","2.12B","811.89M","53.64","0.55"
"Consolidated Communications","CNSL","1.09M","894.93M","1.25B","","0.73"
"Contango Oil&Gas","MCF","73.85K","143.71M","79.57M","","1.59"
"Cooper Stnd","CPS","129.37K","2.44B","3.68B","13.59","0.69"
"Core-Mark","CORE","337.48K","1.14B","15.99B","71.73","0.64"
"CoreSite","COR","290.05K","5.45B","515.09M","55.85","0.42"
"Corindus Vascular Robotics","CR3","1.11K","171.63M","9.25M","81.08","1.03"
"CorVel","CRVL","35.96K","1.07B","558.34M","32","0.64"
"CPB","CPF","136.19K","846.57M","115.30M","16.44","1.07"
"Cray","CRAY","352.17K","1.05B","413.07M","","1.48"
"Crocs","CROX","1.21M","1.28B","1.31B","","0.44"
"Cross Country","CCRN","228.36K","434.25M","867.76M","8.61","0.85"
"CryoLife","CRY","140.56K","1.14B","206.60M","","0.74"
"CSG Systems","CSGS","183.17K","1.40B","798.80M","23.68","0.88"
"CTS Corp","CTS","156.45K","1.18B","448.70M","35.79","1.24"
"Cubic","CUB","184.21K","1.88B","1.43B","","0.98"
"Customers Bancorp","CUBI","189.27K","814.23M","241.64M","12.24","0.71"
"CVB Financial","CVBF","386.16K","2.61B","171.52M","","1.34"
"Daktronics","DAKT","227.72K","375.88M","610.54M","39.5","1.08"
"Darling Ingredients","DAR","922.48K","3.33B","3.66B","18.27","1.36"
"Dave & Buster’s Entertainment","PLAY","1.42M","1.84B","1.17B","17.18","0.35"
"Depomed","DEPO","1.20M","534.13M","418.68M","","1.22"
"DHI Group","DHX","787.52K","108.58M","198.83M","5.55","0.99"
"Diamondrock Hospitality","DRH","2.27M","2.38B","855.33M","28.5","1.37"
"Digi","DGII","104.22K","366.54M","207.81M","49.7","1.41"
"Dime Community","DCOM","183.88K","736.40M","126.57M","","0.57"
"DineEquity","DIN","375.47K","1.29B","792.98M","","0.08"
"Diodes","DIOD","317.37K","1.91B","1.09B","30.66","1.01"
"Diplomat Pharmacy","DPLO","1.01M","1.64B","4.75B","509.78","1.17"
"Donnelley Financial Solutions","DFIN","299.25K","709.53M","992.80M","30.88",""
"Dorman","DORM","258.60K","2.41B","908.86M","21.6","0.91"
"DSP Group","DSPG","57.83K","294.79M","124.93M","","0.96"
"DXP Enterprises","DXPE","86.62K","736.47M","1.05B","43.9","2.49"
"Eagle Pharm","EGRX","255.51K","1.21B","206.54M","36.1","1.38"
"EastGroup Properties","EGP","226.50K","3.32B","287.20M","40.58","0.86"
"Ebix","EBIX","180.10K","2.66B","393.10M","26.34","1.29"
"Echo Global","ECHO","416.03K","907.86M","2.27B","47.13","1.53"
"eHealth","EHTH","170.08K","436.84M","141.19M","","1.33"
"El Paso Electric","EE","284.56K","2.50B","921.17M","6.3","0.41"
"El Pollo Loco Holdings Inc","LOCO","437.42K","455.91M","407.69M","98.52","0.39"
"Electro Scientific","ESIO","1.31M","590.01M","367.88M","5.43","0.98"
"Electronics for Imaging","EFII","542.66K","1.56B","1.00B","321.42","1.06"
"Emergent Biosolutions","EBS","312.06K","2.75B","561.82M","40.43","1.19"
"Employers","EIG","116.91K","1.50B","804.00M","11.74","1.02"
"Enanta","ENTA","217.99K","2.29B","165.60M","35.17","0.91"
"Encore Capital","ECPG","232.43K","949.08M","1.24B","11.47","1.4"
"Encore Wire","WIRE","70.70K","979.68M","1.18B","18.92","1.84"
"Engility","EGL","123.17K","1.29B","1.92B","52.41","1.8"
"Enova International Inc","ENVA","422.02K","1.23B","969.18M","26.15","2.55"
"Enpro Industries","NPO","168.87K","1.56B","1.38B","3.12","1.04"
"ePlus","PLUS","96.51K","1.40B","1.41B","25.83","1.28"
"Era Group Inc","ERA","51.99K","305.81M","234.11M","","0.91"
"ESCO Technologies","ESE","85.70K","1.62B","726.47M","30.77","1.04"
"Essendant Inc","ESND","402.41K","495.93M","5.00B","","1.27"
"Ethan Allen Interiors","ETH","223.55K","611.78M","766.78M","18.15","0.97"
"Evercore","EVR","478.98K","5.37B","1.88B","15.15","1.71"
"EW Scripps A","SSP","458.46K","1.07B","1.12B","","2.07"
"ExlServices","EXLS","135.26K","2.13B","786.25M","24.86","1.27"
"Exponent","EXPO","89.53K","2.62B","367.92M","40.01","0.6"
"Express","EXPR","2.01M","745.99M","2.15B","35.54","0.84"
"Exterran Corp","EXTN","142.41K","977.42M","1.63B","191.1",""
"EZCORP","EZPW","653.57K","656.30M","772.94M","14.31","1.45"
"Fabrinet","FN","357.10K","1.47B","1.40B","16.57","0.59"
"FARO","FARO","97.02K","1.16B","387.74M","","1.57"
"Federal Signal","FSS","243.86K","1.45B","970.40M","31.16","1.11"
"Fidelity","LION","93.74K","662.94M","160.41M","17.82","0.97"
"Fiesta","FRGI","257.10K","812.12M","663.00M","","0.54"
"First Bancorp","FBP","1.79M","1.80B","334.98M","25.15","1.92"
"First Commonwealth Financial","FCF","501.34K","1.78B","188.29M","1127.48","1.03"
"First Financial Bancorp","FFBC","348.78K","3.06B","282.93M","20.14","1.05"
"First Financial Bankshares","FFIN","239.49K","3.90B","191.07M","29.11","1.16"
"First Midwest","FMBI","612.36K","2.78B","353.60M","21.07","1.13"
"First NBC Bank","FNBCQ","165.09K","730.77K","","","-1.14"
"FirstCash","FCFS","337.21K","4.05B","1.79B","27.29","0.48"
"Five Below","FIVE","1.01M","5.51B","1.34B","46.49","0.49"
"Flotek","FTK","931.06K","174.57M","297.67M","","1.4"
"Forestar","FOR","70.98K","935.24M","114.63M","","1.77"
"Forrester","FORR","49.01K","779.61M","344.85M","59.05","0.47"
"Forward Air","FWRD","239.25K","1.84B","1.22B","23.36","1.37"
"Four Corners Property Trust Inc","FCPT","357.02K","1.53B","136.82M","18.73",""
"Fox Factory","FOXF","214.54K","1.88B","499.09M","30.14","0.68"
"Francescass","FRAN","1.27M","287.81M","464.40M","26.79","0.13"
"Franklin Electric","FELE","128.12K","2.27B","1.24B","23.93","1.55"
"Franklin Street Properties","FSP","101.89K","925.40M","270.72M","","0.75"
"Freds","FRED","984.34K","78.99M","3.24B","","1.29"
"FTD Companies Inc","FTD","327.56K","98.27M","1.09B","","0.05"
"FutureFuel","FF","68.01K","600.57M","276.67M","9.71","1.62"
"G-III Apparel","GIII","568.12K","2.31B","2.89B","24.7","0.27"
"Gannett","GCI","1.19M","1.17B","3.10B","22.75",""
"Genesco","GCO","272.38K","817.52M","2.91B","","1.03"
"Gentherm","THRM","216.00K","1.65B","998.31M","31.69","1.71"
"Geo","GEO","785.66K","3.18B","2.28B","20.91","1.28"
"Geospace","GEOS","64.55K","197.56M","71.77M","","1.29"
"Getty","GTY","127.92K","1.15B","152.27M","24.11","0.52"
"Gibraltar Industries","ROCK","284.79K","1.33B","1.01B","19.22","1.91"
"Glacier","GBCI","338.70K","3.72B","278.71M","23.39","1.4"
"Glatfelter","GLT","185.26K","885.77M","1.62B","38.51","1.21"
"Government Propertiesome","GOV","941.46K","1.56B","355.96M","95.37","1.13"
"Great Western Bancorp Inc","GWB","237.17K","2.54B","279.33M","14.98","1.52"
"Green Dot","GDOT","375.34K","4.34B","952.15M","39.74","0.75"
"Green Plains Energy","GPRE","700.45K","662.13M","3.75B","","1.02"
"Greenbrier","GBX","505.24K","1.85B","2.44B","14.89","1.74"
"Greenhill&Co","GHL","504.71K","766.93M","269.79M","","1.18"
"Griffon","GFF","245.93K","816.68M","1.48B","414.49","1.33"
"Group 1 Automotive","GPI","236.95K","1.36B","16.93B","9.3","1.77"
"Guess?","GES","1.08M","1.85B","2.43B","45.88","0.18"
"Gulf Island Fabrication","GIFI","58.52K","139.90M","190.32M","","1.05"
"H B Fuller","FUL","364.05K","2.87B","2.74B","39.52","1.5"
"Haemonetics","HAE","766.71K","5.20B","903.92M","71.59","0.99"
"Hanmi","HAFC","177.70K","830.89M","124.60M","","0.76"
"Harmonic","HLIT","565.77K","374.95M","365.42M","","0.69"
"Harsco","HSC","492.48K","1.98B","1.64B","30.31","2.72"
"Haverty Furniture","HVT","101.23K","433.13M","819.03M","16.05","0.8"
"Hawaiian","HA","1.08M","2.06B","2.79B","8.16","1.35"
"Hawkins","HWKN","31.46K","413.75M","504.16M","","0.73"
"Haynes","HAYN","103.71K","529.10M","398.65M","","1.5"
"HCI Group Inc","HCI","61.35K","400.45M","303.30M","","1.63"
"Healthcare Services","HCSG","931.78K","2.98B","2.00B","40.35","0.81"
"Healthequity Inc","HQY","603.30K","5.12B","244.01M","85.08","1.37"
"HealthStream","HSTM","130.05K","916.10M","238.18M","65.57","0.55"
"Heartland Express","HTLD","511.23K","1.58B","660.33M","35.04","0.63"
"Heidrick&Struggles","HSII","115.15K","670.83M","660.55M","","1.56"
"Helix","HLX","1.44M","1.46B","695.41M","91.34","2.56"
"HFF","HF","295.25K","1.52B","602.29M","13.1","0.99"
"Hibbett Sports","HIBB","772.59K","449.02M","967.24M","12.71","0.78"
"HighPoint","HPR","1.77M","1.47B","283.11M","","3.36"
"Hillenbrand","HI","226.99K","3.13B","1.69B","28.58","1.26"
"HMS Holdings","HMSY","566.30K","2.00B","548.90M","67.34","0.92"
"Home BancShares","HOMB","1.05M","4.03B","381.01M","17.86","1.2"
"Hope Bancorp","HOPE","505.88K","2.32B","345.44M","12.27","1.35"
"Horace Mann Educators","HMN","119.60K","1.82B","1.17B","24.09","0.79"
"Hornbeck","HOS","274.17K","182.60M","188.93M","","1.35"
"Hub Group","HUBG","292.71K","1.59B","4.24B","23.33","1.42"
"Iconix Brand","ICON","2.44M","34.79M","215.66M","","0.94"
"ICU Medical","ICUI","94.54K","6.07B","1.42B","355.07","0.33"
"II-VI","IIVI","858.10K","2.87B","1.11B","34.45","0.1"
"ILG","ILG","1.39M","4.32B","1.82B","19.85","1.42"
"Independent Bank","INDB","72.74K","2.49B","194.67M","23.1","0.97"
"Ingevity","NGVT","258.52K","4.11B","1.04B","32.81",""
"Innophoss","IPHS","143.20K","964.52M","761.52M","23.86","0.75"
"Innospec","IOSP","106.86K","1.99B","1.37B","18.07","1.03"
"Inogen Inc","INGN","142.22K","4.34B","275.99M","129.8","1.07"
"Insight Enterprises","NSIT","203.16K","1.81B","6.99B","14.76","1.27"
"Insperity","NSP","315.91K","4.30B","4.31B","41.62","0.84"
"Installed Building","IBP","183.60K","1.73B","1.18B","45.8","0.82"
"Integer Hld","ITGR","204.38K","2.35B","1.50B","","0.86"
"Integra","IART","503.33K","5.33B","1.37B","43.36","0.54"
"Inter Parfums","IPAR","116.24K","1.87B","619.97M","41.35","1.57"
"Interactive Brokers","IBKR","931.76K","25.60B","2.25B","15.02","0.94"
"Interface, Inc.","TILE","423.73K","1.31B","1.05B","17.73","1.15"
"INTL FCStone","INTL","123.69K","1.04B","32.31B","41.01","1.71"
"Intrepid Potash","IPI","1.06M","553.21M","162.47M","","1.16"
"Invacare","IVC","332.58K","580.37M","971.84M","","2.37"
"Investment Tech","ITG","148.49K","751.14M","494.34M","","1.46"
"Iridium","IRDM","701.85K","2.00B","462.77M","44.76","1.95"
"iRobot","IRBT","1.16M","2.31B","975.69M","33.25","1.33"
"Itron","ITRI","290.22K","2.38B","2.15B","","0.95"
"J & J Snack Foods","JJSF","76.23K","2.90B","1.14B","36.02","0.62"
"John Bean Tech","JBT","295.42K","3.66B","1.81B","38.29","1.29"
"Kaiser","KALU","121.47K","1.87B","1.49B","21.31","0.64"
"Kaman","KAMN","192.25K","1.86B","1.83B","27.92","0.78"
"KapStone Paper&Packaging","KS","587.99K","3.40B","3.44B","22.01","3.26"
"Kelly Services A","KELYA","162.08K","939.02M","5.45B","9.24","0.91"
"Kirklands","KIRK","152.09K","178.50M","643.72M","32.09","1.15"
"Kite","KRG","669.63K","1.40B","358.47M","","0.48"
"Knight Transportation","KNX","3.27M","5.75B","4.48B","22.88","1.56"
"Kopin","KOPN","586.86K","238.77M","29.12M","107.12","1"
"Koppers","KOP","105.40K","802.43M","1.54B","12.57","0.82"
"Korn/Ferry","KFY","449.07K","3.80B","1.82B","25.75","1.29"
"Kraton","KRA","178.43K","1.52B","2.02B","","1.34"
"Kulicke&Soffa","KLIC","607.87K","1.83B","895.25M","12.49","1.23"
"La-Z-Boy","LZB","391.22K","1.49B","1.58B","17.25","0.94"
"Lannett Com","LCI","701.90K","486.58M","652.78M","7.41","2.42"
"LCI Industries","LCII","226.06K","2.28B","2.30B","17.92","1"
"Legacy Texas Financial Grp","LTXB","221.91K","2.15B","223.41M","18.97","1.42"
"Lendingtree","TREE","239.97K","3.17B","666.24M","36.52","1.75"
"Lexington","LXP","1.15M","2.10B","398.18M","92.24","0.85"
"LGI Homes","LGIH","426.07K","1.25B","1.37B","9.95",""
"LHC Group","LHCG","282.80K","2.92B","1.12B","48.64","0.48"
"Ligand","LGND","287.87K","4.95B","168.00M","105.61","0.94"
"Lindsay","LNN","92.62K","983.65M","556.38M","39.93","0.29"
"Liquidity Services","LQDT","159.17K","231.13M","248.13M","","0.64"
"Lithia Motors","LAD","306.32K","2.12B","11.14B","7.18","1.51"
"Littelfuse","LFUS","168.50K","5.57B","1.35B","31.53","0.97"
"LivePerson","LPSN","415.81K","1.49B","226.19M","","1.02"
"LogMeIn","LOGM","596.84K","5.45B","1.13B","77.14","1.05"
"Lsb Industries","LXU","165.48K","191.14M","384.96M","","4.53"
"LSC Communications","LKSD","395.64K","474.70M","3.71B","",""
"LTC Properties","LTC","245.91K","1.65B","167.26M","18.97","0.13"
"Lumber Liquidators","LL","923.68K","698.43M","1.04B","","1.45"
"Lumentum Holdings Inc","LITE","2.37M","3.44B","1.17B","14.33",""
"Luminex","LMNX","269.76K","1.50B","311.46M","28.66","0.3"
"Lydall","LDL","88.41K","794.01M","724.61M","14.9","1.46"
"M/I Homes","MHO","201.08K","744.84M","2.09B","8.8","1.17"
"Magellan Health","MGLN","154.24K","2.24B","6.34B","16.08","0.38"
"Maiden Holdings","MHLD","648.91K","714.82M","3.65B","","1.23"
"ManTech","MANT","203.54K","2.33B","1.77B","33.27","0.81"
"Marcus","MCS","72.89K","1.01B","673.48M","19.8","0.55"
"MarineMax","HZO","306.30K","506.02M","1.12B","13.63","1.13"
"Marriot Vacations Worldwide","VAC","468.95K","3.25B","2.04B","20.06","1.38"
"Marten Transport","MRTN","296.41K","1.18B","737.43M","28.57","1.27"
"Masimo","MASI","547.74K","5.18B","824.75M","26.04","0.88"
"Materion","MTRN","91.40K","1.24B","1.22B","30.88","0.96"
"Matrix","MTRX","209.34K","531.09M","1.09B","165","0.93"
"Matson","MATX","208.66K","1.52B","2.08B","18.09","1.32"
"Matthews","MATW","171.55K","1.79B","1.57B","21.86","1.06"
"MDC","MDC","545.35K","1.67B","3.20B","9.88","1.44"
"Medidata","MDSO","547.34K","4.61B","586.41M","83.08","1.39"
"MEDIFAST","MED","196.07K","2.13B","329.54M","61.85","0.29"
"Mercury","MRCY","375.81K","2.00B","455.93M","49.8","0.49"
"Meridian","VIVO","311.16K","669.04M","208.57M","39.44","0.84"
"Merit","MMSI","302.17K","2.79B","798.08M","130.43","1.31"
"Meritage","MTH","338.95K","1.74B","3.39B","8.94","1.12"
"Methode Electronics","MEI","244.60K","1.45B","908.30M","13.04","0.76"
"MicroStrategy","MSTR","89.70K","1.57B","506.94M","35.07","0.64"
"MiMedx","MDXG","3.35M","532.97M","160.98M","13.66","1.47"
"MKS Instruments","MKSI","538.23K","5.07B","2.13B","13.42","0.96"
"Mobile Mini","MINI","211.22K","1.75B","565.99M","31.72","1.89"
"Momenta","MNTA","902.34K","2.39B","117.12M","","1.91"
"Monarch","MCRI","74.78K","842.83M","235.27M","28.34","1.09"
"Monotype","TYPE","284.48K","847.69M","292.48M","","0.97"
"Monro Muffler Brake","MNRO","301.77K","2.12B","1.13B","","0.76"
"Moog","MOGa","119.55K","2.89B","2.59B","23.06","1.7"
"Motorcar Parts","MPAA","192.06K","396.57M","428.07M","19.39","1.64"
"Movado","MOV","190.44K","828.45M","595.83M","26.97","-0.23"
"MTS Systems","MTSC","74.21K","952.07M","780.73M","31.35","0.94"
"Mueller Industries","MLI","215.36K","1.84B","2.38B","18.73","1.44"
"Multi-Color","LABL","121.35K","1.35B","1.30B","30.69","0.8"
"Myers Industries","MYE","234.73K","627.77M","579.05M","38.62","1.47"
"MYR Group","MYRG","97.20K","608.57M","1.45B","34.28","0.52"
"Nanometrics","NANO","200.84K","873.68M","281.61M","21.19","1.76"
"National Presto Industries","NPK","56.04K","848.06M","337.60M","18.55","0.3"
"Natus","BABY","536.66K","1.14B","513.34M","","0.56"
"Nautilus","NLS","253.64K","433.41M","407.74M","19.58","1.33"
"Navigant","NCI","303.38K","977.41M","1.04B","21.98","0.81"
"NBT Bancorp","NBTB","134.19K","1.81B","230.97M","18.23","0.9"
"Neenah Paper","NP","71.10K","1.49B","1.00B","20.48","1.1"
"Nektar","NKTR","2.57M","8.60B","321.01M","","2.03"
"Neogen","NEOG","174.21K","4.26B","402.26M","66.49","1.32"
"NETGEAR","NTGR","573.88K","2.18B","1.46B","59.22","2.03"
"Newpark Resources","NR","634.38K","861.85M","869.60M","38.13","1.46"
"NIC","EGOV","895.55K","1.10B","423.22M","20.12","0.46"
"Northern Oil&Gas","NOG","157.68K","888.79M","210.11M","","1.83"
"Northfield Bancorp","NFBK","106.51K","824.93M","75.46M","19.93","0.36"
"Northwest Bancshares","NWBI","549.16K","1.87B","228.31M","19.79","0.68"
"Northwest Natural Gas","NWN","137.25K","1.88B","729.56M","","0.32"
"NutriSystem","NTRI","830.24K","1.19B","695.21M","22.93","1.3"
"OFG Bancorp","OFG","289.61K","723.28M","208.39M","17.99","1.85"
"Old National Bancorp","ONB","756.01K","3.01B","393.13M","25.38","0.89"
"Ollies Bargain Outlet Holdings Inc","OLLI","535.95K","4.56B","1.13B","32.92",""
"Olympic Steel","ZEUS","136.53K","247.91M","1.37B","10.1","1.74"
"Omnicell","OMCL","289.31K","2.10B","748.22M","118.54","0.91"
"Onespan","OSPN","194.71K","826.40M","200.62M","127.4","1.44"
"Opus Bank","OPB","204.42K","1.01B","150.73M","","0.89"
"Orion Group","ORN","176.87K","260.66M","576.63M","1597.2","1.33"
"Oritani","ORIT","201.86K","769.17M","78.84M","13.93","0.41"
"OSI Systems","OSIS","407.02K","1.41B","1.05B","62.89","0.82"
"Oxford Industries","OXM","166.88K","1.62B","1.09B","27.28","0.29"
"Papa John's","PZZA","1.10M","1.43B","1.76B","18.3","0.4"
"Park Electrochemical","PKE","144.05K","459.35M","114.88M","115.32","0.89"
"Patrick","PATK","248.98K","1.54B","2.04B","14.2","0.73"
