Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
FTR,"Frontier Commun Cp",4.92,-0.15,-2.96%,5.11,4.91,3475400,07/19/18
FUL,"H. B. Fuller Company",56.59,0.66,+1.18%,56.99,55.32,409400,07/19/18
FWRD,"Foward Air Corp",59.51,0.23,+0.39%,59.67,58.84,92300,07/19/18
GBCI,"Glacier Bancorp Inc",40.37,0.11,+0.27%,40.62,39.75,311900,07/19/18
GBX,"Greenbrier Companies",55.8,0.7,+1.27%,55.85,54.65,516500,07/19/18
GCI,"Gannett Co. Inc",10.11,0.08,+0.80%,10.16,10.02,730300,07/19/18
GCO,"Genesco Inc",41.45,0.05,+0.12%,41.9,40.7,332700,07/19/18
GDOT,"Green Dot Corp",81.43,-0.09,-0.11%,82.28,80.82,243300,07/19/18
GEOS,"Geospace Technologie",14.16,-0.49,-3.34%,14.77,14.09,71700,07/19/18
GES,"Guess Inc",23.5,0.43,+1.86%,23.59,22.75,535100,07/19/18
GFF,"Griffon Corp",18.75,-0.2,-1.06%,19.1,18.55,199700,07/19/18
GHL,"Greenhill & Co. Inc",31.45,-0.25,-0.79%,31.7,31.1,220200,07/19/18
GIFI,"Gulf Island Fab",9.35,-0.1,-1.06%,9.5,9.25,37800,07/19/18
GIII,"G-III Apparel Gp I",47.33,0.35,+0.75%,47.77,46.82,410900,07/19/18
GLT,Glatfelter,20.36,0.13,+0.64%,20.42,20.09,165300,07/19/18
GME,"Gamestop Corp",14.92,0.34,+2.33%,15.03,14.5,1728300,07/19/18
GNBC,"Green Bancorp",22.15,-0.15,-0.67%,22.27,22,96000,07/19/18
GNL,"Global Net Lease Inc",21.03,0.4,+1.94%,21.11,20.63,432200,07/19/18
GOV,"Government Properties Income Trust",15.94,0.55,+3.57%,15.96,15.39,829800,07/19/18
GPI,"Group 1 Automotive",67.77,1.53,+2.31%,68.04,66,189300,07/19/18
GPRE,"Green Plains Inc",16.2,0.1,+0.62%,16.35,16,574400,07/19/18
GTLS,"Chart Industries In",77.66,9.66,+14.21%,78.43,70.73,1576200,07/19/18
GTY,"Getty Realty Corp",28.54,0.38,+1.35%,28.68,28.17,121000,07/19/18
GWB,"Great Western Bancorp Inc",41.32,-0.08,-0.19%,41.5,40.97,187900,07/19/18
HA,"Hawaiian Hldgs Inc",37.75,-0.08,-0.20%,37.9,37.3,402100,07/19/18
HAFC,"Hanmi Financial Cp",27.5,0,unch,27.65,27.3,156200,07/19/18
