Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",824051000,16.44,2.47,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2241954000,53.44,0.8,54500000,0.82,0.32,0.75%
AAT,"American Assets Trust",1860940000,19.14,0.4,40130000,0.38,1.08,2.73%
AAWW,"Atlas Air Ww",1555264000,10.16,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3752892000,120.4,0.53,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2371248000,18.33,2.73,73550000,1.05,0.4,0.80%
ABG,"Asbury Automotive Group Inc",1565933000,10.6,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2168105000,20.47,1.61,3800000,0.81,0.7,2.12%
ACET,"Aceto Cp",100683000,4.14,0.8,11380000,1.62,0.04,1.21%
ACLS,"Axcelis Tech Inc",637492000,11.54,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1384042000,28.61,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1635731000,19.96,1.91,58110000,0.33,2.16,3.84%
ADTN,"Adtran Inc",809193000,0,-0.06,23840000,0.61,0.36,2.13%
AEGN,"Aegion Corp",828112000,25.77,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2288326000,12.46,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3374667000,10.49,3.58,174650000,2.4,0.26,0.69%
AGYS,"Agilysys Inc",379378000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",775884000,16.6,0.46,21050000,0.61,0.8,4.97%
AIN,"Albany International Corp",2513210000,33.14,2.36,33110000,1.67,0.68,0.87%
AIR,"AAR Corp",1601514000,27.21,1.69,15600000,1.21,0.3,0.65%
AIT,"Applied Industrial Technologies",3020160000,21.11,3.71,141630000,0.94,1.2,1.53%
AJRD,"Aerojet Rocketdyne Holdings",2776788000,38.15,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2317045000,20.27,0.58,60830000,0.41,1.08,3.78%
AKS,"AK Steel Holding Corp",1410330000,16.56,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1157165000,19.19,5.21,44320000,0.87,0.44,0.44%
ALGT,"Allegiant Travel Com",2182408000,12.86,10.62,194900000,0.15,2.8,2.05%
ALRM,Alarm.Com,2750859000,55.06,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",858303000,0,-0.67,-199230000,0.39,0,0.00%
AMBC,"Ambac Financial Grp",988647000,4.5,4.82,-328720000,1.7,0,0.00%
AMED,"Amedisys Inc",3879386000,41.21,2.91,30300000,0.61,0,0.00%
AMN,"Amn Healthcare Services Inc",2759169000,21.28,2.07,132560000,0.42,0,0.00%
AMPH,"Amphastar Pharma",849796000,121.47,0.15,4510000,1.4,0,0.00%
AMSF,"Amerisafe Inc",1209528000,18.92,3.34,46230000,0.79,0.88,1.39%
AMWD,"Amer Woodmark Cp",1489117000,17.53,4.94,63140000,1.82,0,0.00%
ANDE,"Andersons Inc",1173035000,29.26,1.41,42510000,1.16,0.66,1.60%
ANF,"Abercrombie & Fitch Company",1916423000,29.53,0.96,7090000,0.72,0.8,2.82%
ANGO,"Angiodynamics Inc",835927000,30.73,0.73,16340000,0.97,0,0.00%
ANIK,"Anika Therapeutics",609444000,25.29,1.63,31820000,1.86,0,0.00%
ANIP,"ANI Pharma Inc",678214000,13.28,4.27,-1080000,2.78,0,0.00%
APEI,"American Pub. Edu.",578805000,23.52,1.52,21120000,0.65,0,0.00%
APOG,"Apogee Entrpr Inc",1418023000,16.27,3.1,79490000,1.45,0.63,1.25%
ARCB,"Arcbest Corp",1219800000,19.73,2.42,59730000,1.92,0.32,0.67%
ARI,"Apollo Commercial Real Estate",2379207000,11.78,1.65,193030000,0.54,1.84,9.47%
AROC,"Archrock Inc",1682330000,1255,0.01,18950000,2.92,0.53,4.21%
ARR,"Armour Residential R",997095000,8.89,2.68,181150000,0.64,2.28,9.57%
ASGN,"On Assignment",4753903000,25.23,3.62,157680000,1.91,0,0.00%
ASIX,"Advansix Inc",1007563000,12.98,1.74,146700000,1.47,0,0.00%
ASNA,"Ascena Retail Grp",953581000,0,-0.04,-1067300000,1.66,0,0.00%
ASTE,"Astec Inds Inc",1116171000,21.96,2.2,37800000,1.04,0.44,0.91%
ATNI,"Atn International",1193010000,48.45,1.56,31490000,0.61,0.68,0.90%
ATU,"Actuant Corp",1802640000,32.72,0.9,-66210000,1.41,0.04,0.14%
AVA,"Avista Corp",3378437000,26.34,1.95,115920000,0.25,1.49,2.90%
AVAV,"Aerovironment Inc",2047212000,82.87,1.04,20070000,1.14,0,0.00%
AVD,"American Vanguard Corp",610948000,30,0.66,20270000,1.01,0.08,0.40%
AVP,"Avon Products",893547000,20.4,0.1,22000000,1.24,0,0.00%
AWR,"American States Water Company",2231715000,36.86,1.66,69370000,0.27,1.1,1.80%
AXE,"Anixter International Inc",2432542000,13.54,5.4,109000000,2.12,0,0.00%
AXL,"American Axle & Manufacturing",1982498000,4.83,2.73,337100000,1.37,0,0.00%
AZZ,"Azz Inc",1410826000,51.65,1.06,45170000,1.42,0.68,1.24%
B,"Barnes Group",3495253000,23.15,2.99,59420000,1.37,0.64,0.92%
BABY,"Natus Medical Inc",1220560000,25.39,1.41,-20290000,0.58,0,0.00%
BANC,"First Pactrust Bancorp",1013200000,26.32,0.76,57710000,0.83,0.52,2.60%
BANR,"Banner Corp",2150915000,19.92,3.36,60780000,0.98,1.4,2.09%
BCC,"Boise Cascade L.L.C.",1775329000,14.02,3.32,82960000,1.98,0.28,0.60%
BCOR,"Blucora Inc",1703130000,20.61,1.72,27040000,-0.14,0,0.00%
BCPC,"Balchem Cp",3360147000,38.44,2.07,90070000,0.84,0.42,0.40%
BEAT,"Biotelemetry Inc",1929692000,43.05,1.33,-15960000,1.3,0,0.00%
BEL,"Belmond Ltd",1683396000,161.5,0.1,-45040000,1.33,0,0.00%
BELFB,"Bel Fuse Inc Cl B",317064000,30.7,0.86,-11900000,0.55,0.28,1.06%
BFS,"Saul Centers",1317375000,19.58,1.07,48260000,0.66,2.08,3.54%
BGFV,"Big 5 Sporting",121080000,49.58,0.12,1100000,-0.69,0.6,10.08%
BGG,"Briggs & Stratton Corp",889670000,16.52,1.29,-11320000,0.64,0.56,2.63%
BGS,"B&G Foods Holdings",2076795000,15.59,2.05,217460000,0.47,1.9,5.95%
BHE,"Benchmark Electronics",1222988000,16.6,1.59,-31970000,0.23,0.6,2.27%
BHLB,"Berkshire Hills Bancorp",1937163000,16.66,2.56,55250000,0.74,0.88,2.06%
BJRI,"Bj's Restaurants Inc",1451431000,33.74,1.98,44780000,0.76,0.44,0.66%
BKE,"Buckle Inc",1323564000,14.18,1.9,89710000,0.65,1,3.71%
BKS,"Barnes & Noble",414903000,12.14,0.49,-125480000,1.85,0.6,10.08%
BLD,"Topbuild Corp",2505848000,20.64,3.43,158130000,0.5,0,0.00%
BMI,"Badger Meter",1605417000,45.79,1.2,34570000,0.72,0.52,0.95%
BNED,"Barnes & Noble Education Inc C",250553000,0,-5.4,-252570000,0.32,0,0.00%
BOFI,"Bofi Holding Inc",2434446000,15.51,2.49,152410000,0.12,0,0.00%
BPFH,"Boston Pvt Finl Hldg",1203008000,15.96,0.89,40590000,0.96,0.48,3.38%
BRC,"Brady Corp",2043730000,20.13,1.94,95650000,1.09,0.83,2.13%
BRKL,"Brookline Bancorp",1467665000,19.57,0.93,50520000,0.85,0.4,2.20%
BRKS,"Brooks Automation",2087412000,19.4,1.51,62610000,1,0.4,1.37%
BRS,"Bristow Group Inc",390857000,0,-2.15,-195660000,2.96,0,0.00%
CACI,"Caci International",4783155000,24.69,7.84,301170000,1.45,0,0.00%
CAL,"Caleres Inc",1650722000,17.32,2.19,87200000,0.84,0.28,0.74%
CALM,"Cal-Maine Foods In",2426637000,16.83,2.97,125930000,0.54,1.4,2.81%
CAMP,"Calamp Corp",828727000,24.68,0.95,16620000,1.75,0,0.00%
CASH,"Meta Financial Grp",1142750000,13.23,6.63,44920000,1.02,0.52,0.59%
CATM,"Cardtronics Inc",1751420000,13.86,1.98,-145350000,0.84,0,0.00%
CATO,"Cato Corp",597116000,27.14,0.88,8540000,0.71,1.32,5.53%
CBB,"Cincinnati Bell Inc",659604000,0,-0.53,35100000,1.24,0,0.00%
CBL,"Cbl & Associates Properties",785649000,2.4,-0.12,120940000,1.14,0.8,17.20%
CBM,"Cambrex Corp",2100369000,17.07,3.75,102450000,2.4,0,0.00%
CBU,"Community Bank System",3399837000,21.04,3.16,150720000,1,1.36,2.05%
CCMP,"Cabot Microelectron",2835284000,22.82,4.82,86950000,1.37,1.6,1.45%
CCOI,"Cogent Comm Hldgs",2454883000,110.42,0.48,5880000,0.5,2.16,4.08%
CCRN,"Cross Ctry Hlthcr",362900000,19.31,0.51,37510000,0.86,0,0.00%
CDR,"Cedar Shopping Centers Inc",414093000,7.7,-0.21,19140000,0.87,0.2,4.33%
CECO,"Career Education",1143408000,30.8,0.54,-31900000,2.77,0,0.00%
CEIX,"Consol Energy Inc",1172215000,0,4.84,67630000,N/A,0,0.00%
CENT,"Central Garden",2050938000,20.44,1.92,78830000,0.05,0,0.00%
CENTA,"Central Garden & Pet",1891728000,18.92,1.92,78830000,0.32,0,0.00%
CENX,"Century Aluminum C",1085364000,17.86,0.69,48580000,0.78,0,0.00%
CEVA,"Ceva Inc",652088000,112.5,0.26,17030000,1.06,0,0.00%
CHCO,"City Holding Co",1279933000,18.58,4.45,54310000,0.67,1.84,2.23%
