Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",814398000,16.87,2.47,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2087787000,49.69,0.8,54500000,0.82,0.32,0.81%
AAT,"American Assets Trust",1840164000,18.65,0.4,40130000,0.38,1.08,2.80%
AAWW,"Atlas Air Ww",1495151000,9.79,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3558687000,117.57,0.53,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2314224000,18.04,2.73,73550000,1.05,0.4,0.81%
ABG,"Asbury Automotive Group Inc",1514040000,10.27,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2047801000,19.37,1.61,3800000,0.81,0.7,2.24%
ACET,"Aceto Cp",99452000,4.03,0.8,11380000,1.62,0.04,1.24%
ACLS,"Axcelis Tech Inc",655290000,12.49,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1327066000,28.17,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1589769000,19.3,1.91,58110000,0.33,2.16,3.97%
ADTN,"Adtran Inc",766227000,0,-0.06,23840000,0.61,0.36,2.22%
AEGN,"Aegion Corp",797151000,25.14,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2312575000,12.8,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3284387000,10.16,3.58,174650000,2.4,0.26,0.71%
AGYS,"Agilysys Inc",372557000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",766106000,16.07,0.46,21050000,0.61,0.8,5.13%
AIN,"Albany International Corp",2493890000,32.46,2.36,33110000,1.67,0.68,0.89%
AIR,"AAR Corp",1553920000,27.37,1.69,15600000,1.21,0.3,0.65%
AIT,"Applied Industrial Technologies",2954745000,20.73,3.71,141630000,0.94,1.2,1.56%
AJRD,"Aerojet Rocketdyne Holdings",2735208000,38.84,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2251030000,19.24,0.58,60830000,0.41,1.08,3.98%
AKS,"AK Steel Holding Corp",1287281000,15.48,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1126901000,18.69,5.21,44320000,0.87,0.44,0.45%
ALGT,"Allegiant Travel Com",2197760000,12.69,10.62,194900000,0.15,2.8,2.08%
ALRM,Alarm.Com,2453211000,49.17,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",854856000,0,-0.67,-199230000,0.39,0,0.00%
AMBC,"Ambac Financial Grp",989554000,4.54,4.82,-328720000,1.7,0,0.00%
AMED,"Amedisys Inc",3697579000,40.11,2.91,30300000,0.61,0,0.00%
AMN,"Amn Healthcare Services Inc",2676062000,20.69,2.07,132560000,0.42,0,0.00%
AMPH,"Amphastar Pharma",809550000,117.87,0.15,4510000,1.4,0,0.00%
AMSF,"Amerisafe Inc",1224936000,19.01,3.34,46230000,0.79,0.88,1.39%
AMWD,"Amer Woodmark Cp",1429447000,16.88,4.94,63140000,1.82,0,0.00%
ANDE,"Andersons Inc",1115020000,28.01,1.41,42510000,1.16,0.66,1.67%
ANF,"Abercrombie & Fitch Company",1812705000,30.48,0.96,7090000,0.72,0.8,2.73%
ANGO,"Angiodynamics Inc",794242000,29.38,0.73,16340000,0.97,0,0.00%
