Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",42.11,"32% Buy",52.49%,51.36%,1290605,22.54,71.29
AAON,"Aaon Inc",40.6,"56% Buy",63.40%,25.47%,195160,29.05,43.3
AAT,"American Assets Trust",38.99,"32% Buy",55.40%,13.81%,166800,30.62,41.69
AAWW,"Atlas Air Ww",62.25,"16% Sell",43.16%,28.07%,288590,50.65,75.29
AAXN,"Axon Inc",66.66,"48% Buy",53.25%,52.58%,817315,20.57,76.45
ABCB,"Ameris Bancorp",49.95,"16% Sell",46.49%,22.13%,358130,41.05,59.05
ABG,"Asbury Automotive Group Inc",75.6,"72% Buy",59.01%,15.49%,186395,50.3,77.75
ABM,"ABM Industries Incorporated",30.64,"40% Sell",47.37%,32.46%,611380,28.17,44.83
ACET,"Aceto Cp",3.31,"16% Sell",49.48%,25.72%,142070,2.22,11.98
ACLS,"Axcelis Tech Inc",20.05,"56% Sell",44.41%,32.95%,381550,18.75,37.05
ACOR,"Acorda Therapeutics",29.2,"64% Buy",57.56%,26.28%,386910,16.55,36.35
ADC,"Agree Realty Corp",56.57,"96% Buy",67.06%,9.81%,116840,43.74,57.04
ADTN,"Adtran Inc",17,"96% Buy",64.16%,16.09%,225125,13.95,25.1
AEGN,"Aegion Corp",24.92,"16% Sell",48.43%,20.46%,76910,19.81,28.19
AEIS,"Advanced Energy",59.36,"48% Sell",48.46%,21.89%,435865,56.22,95
AEL,"American Equity Investment Life",37.38,"88% Buy",60.91%,16.33%,340210,25.43,38.56
AGYS,"Agilysys Inc",16.48,"64% Buy",58.18%,36.23%,92860,10.1,16.87
AHH,"Armada Hoffler Properties Inc",15.71,"48% Buy",56.14%,13.50%,286665,12.73,16.17
AIN,"Albany International Corp",78.6,"96% Buy",70.97%,55.63%,193410,51.3,78.95
AIR,"AAR Corp",46.63,"48% Buy",52.34%,19.07%,135995,34.25,49.05
AIT,"Applied Industrial Technologies",76.95,"88% Buy",57.34%,27.25%,214510,55.25,78.9
AJRD,"Aerojet Rocketdyne Holdings",36.5,"80% Buy",65.22%,69.76%,928880,24.41,37.7
AKR,"Acadia Realty Trust",28.18,"88% Buy",58.40%,17.00%,408230,21.34,30.63
AKS,"AK Steel Holding Corp",4.41,"16% Sell",47.04%,60.19%,13282605,4,6.8
ALG,"Alamo Group",99.49,"48% Buy",61.78%,18.39%,86060,87.54,120.58
ALGT,"Allegiant Travel Com",136.45,"24% Sell",50.72%,16.25%,140100,111.54,181.45
ALRM,Alarm.Com,54.25,"80% Buy",65.05%,39.18%,568465,33.39,57.92
AMAG,"Amag Pharmaceuticals",24.85,"56% Buy",59.16%,27.97%,533670,11.93,26.1
AMBC,"Ambac Financial Grp",21.72,"64% Buy",62.05%,19.91%,387305,13.17,23.34
AMED,"Amedisys Inc",124.76,"96% Buy",85.21%,34.61%,447765,45.6,126.3
AMN,"Amn Healthcare Services Inc",57.9,"24% Sell",49.24%,49.48%,459470,36.9,68.2
AMPH,"Amphastar Pharma",18.03,"72% Buy",57.55%,24.94%,139265,14.4,20.45
AMSF,"Amerisafe Inc",63.6,"80% Buy",57.93%,13.09%,82365,51.55,67.82
AMWD,"Amer Woodmark Cp",89.6,"24% Buy",54.60%,37.39%,163750,79.2,148.44
ANDE,"Andersons Inc",40.5,"88% Buy",67.36%,44.81%,153245,29.6,41.7
ANF,"Abercrombie & Fitch Company",27.12,"48% Buy",52.87%,55.39%,1980300,11.61,29.69
ANGO,"Angiodynamics Inc",22.28,"48% Buy",55.99%,14.98%,146800,15.16,23.95
ANIK,"Anika Therapeutics",41.76,"56% Buy",58.15%,19.33%,96065,28.54,69.81
ANIP,"ANI Pharma Inc",57.3,"48% Sell",32.84%,53.52%,134155,45.57,74.7
APEI,"American Pub. Edu.",35.7,"64% Sell",34.05%,85.26%,131325,17.4,46.15
APOG,"Apogee Entrpr Inc",49.7,"72% Buy",54.97%,21.39%,123385,37.24,51.33
ARCB,"Arcbest Corp",48,"96% Buy",55.59%,35.68%,271235,25.86,50.45
ARI,"Apollo Commercial Real Estate",19.43,"96% Buy",64.28%,8.28%,917700,17.56,19.5
AROC,"Archrock Inc",12.8,"48% Buy",51.88%,35.88%,668550,8.25,13.75
ARR,"Armour Residential R",23.57,"16% Buy",52.92%,8.28%,435920,21.4,27.55
ASGN,"On Assignment",91.98,"88% Buy",59.98%,18.61%,279495,44.66,94.25
ASIX,"Advansix Inc",34.1,"72% Sell",42.19%,44.86%,222740,30.56,46.51
ASNA,"Ascena Retail Grp",4.52,"56% Buy",57.89%,51.74%,1702565,1.69,5.28
ASTE,"Astec Inds Inc",48.86,"16% Sell",43.82%,32.15%,192350,44.92,64.8
ATNI,"Atn International",73.67,"88% Buy",68.88%,27.37%,55910,49.34,75.94
ATU,"Actuant Corp",29.4,"88% Buy",60.33%,16.69%,263910,21.5,30.05
AVA,"Avista Corp",51.55,"8% Buy",55.14%,5.30%,389405,47.5,52.91
AVAV,"Aerovironment Inc",85.74,"80% Buy",71.94%,16.45%,200815,38.71,87.53
AVD,"American Vanguard Corp",21.1,"16% Sell",51.61%,33.16%,86810,18.01,24
AVP,"Avon Products",2.09,"64% Buy",69.33%,53.07%,7843765,1.38,2.99
AWR,"American States Water Company",59.89,"32% Buy",51.13%,16.80%,187550,47.53,61.66
AXE,"Anixter International Inc",72.7,"80% Buy",57.27%,21.90%,166590,56.25,88.85
AXL,"American Axle & Manufacturing",18.59,"100% Buy",63.00%,37.59%,1779620,13.38,20.27
AZZ,"Azz Inc",54.2,"72% Buy",58.52%,14.24%,99340,39.5,56.05
B,"Barnes Group",68.3,"88% Buy",61.97%,21.23%,178515,52.42,72.87
BABY,"Natus Medical Inc",36.95,"80% Buy",56.74%,29.88%,186040,28,43.6
BANC,"First Pactrust Bancorp",19.95,"32% Buy",52.51%,13.38%,308995,17.1,23.4
BANR,"Banner Corp",64.97,"8% Buy",55.53%,15.35%,143345,52.2,67.11
BCC,"Boise Cascade L.L.C.",45.15,"48% Buy",52.12%,21.74%,404835,28.6,49.3
BCOR,"Blucora Inc",36.05,"32% Buy",50.93%,32.87%,398495,19.05,40.6
BCPC,"Balchem Cp",106.26,"96% Buy",62.79%,28.26%,94885,70.23,107.72
BEAT,"Biotelemetry Inc",59.75,"96% Buy",67.72%,32.62%,342370,23.3,60
BEL,"Belmond Ltd",16.4,"96% Buy",78.98%,104.43%,887855,10.3,16.55
BELFB,"Bel Fuse Inc Cl B",27.4,"96% Buy",67.93%,50.66%,20315,17.1,33.45
BFS,"Saul Centers",58.87,"88% Buy",66.06%,17.32%,38045,46.71,65.43
BGFV,"Big 5 Sporting",5.7,"56% Sell",38.02%,46.62%,338565,5.05,9.75
BGG,"Briggs & Stratton Corp",20.6,"72% Buy",66.00%,40.86%,449565,16.26,27.34
BGS,"B&G Foods Holdings",31.3,"40% Buy",51.30%,23.07%,626250,22,39.75
BHE,"Benchmark Electronics",26,"24% Sell",44.51%,13.09%,363395,23.98,35.8
BHLB,"Berkshire Hills Bancorp",42.15,"80% Buy",55.61%,15.46%,178230,33.15,44.25
BJRI,"Bj's Restaurants Inc",72.25,"96% Buy",68.31%,31.80%,350770,28,75.18
BKE,"Buckle Inc",25.9,"48% Buy",50.94%,40.49%,507800,14.05,29.65
BKS,"Barnes & Noble",5.5,"48% Sell",40.99%,31.50%,725485,4.1,8
BLD,"Topbuild Corp",69.16,"96% Sell",38.81%,48.98%,390490,54.71,87.21
BMI,"Badger Meter",54.8,"96% Buy",65.72%,21.08%,106600,41,55.45
BNED,"Barnes & Noble Education Inc C",5.07,"88% Sell",37.10%,69.13%,385895,4.93,9.1
BOFI,"Bofi Holding Inc",37.51,"88% Sell",42.21%,45.04%,622835,24.2,45.18
BPFH,"Boston Pvt Finl Hldg",14.45,"16% Sell",43.88%,16.67%,469870,13.77,17.85
BRC,"Brady Corp",39.05,"56% Buy",55.55%,18.67%,261470,32.7,40.9
BRKL,"Brookline Bancorp",18.05,"8% Sell",46.00%,12.95%,293475,13.63,19.35
BRKS,"Brooks Automation",30.25,Hold,48.22%,29.88%,538915,21.75,36.45
BRS,"Bristow Group Inc",11.13,"56% Sell",37.24%,50.07%,769965,8.04,18.91
CACI,"Caci International",194.4,"96% Buy",69.03%,22.81%,145780,121.6,196.3
CAL,"Caleres Inc",37.08,"88% Buy",57.20%,27.66%,243155,24.37,39.13
CALM,"Cal-Maine Foods In",49.95,"64% Buy",62.61%,17.83%,359350,34.55,52.3
CAMP,"Calamp Corp",23.48,"32% Buy",54.95%,10.97%,284020,18.16,25.45
CASH,"Meta Financial Grp",84.7,"100% Sell",30.70%,18.90%,57190,64,117.97
CATM,"Cardtronics Inc",37.58,"96% Buy",71.51%,90.59%,679000,15.8,39.1
CATO,"Cato Corp",21.52,"64% Sell",40.52%,70.57%,366250,10.76,26.88
CBB,"Cincinnati Bell Inc",12.8,"40% Sell",47.47%,125.01%,555675,9.9,22.2
CBL,"Cbl & Associates Properties",4.46,"72% Sell",40.57%,65.46%,3712250,3.8,9.1
CBM,"Cambrex Corp",64.75,"88% Buy",64.18%,33.01%,352950,42.55,67.75
