Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",38.98,-39.73,+3.07%,-15.30%,+22.42%,-39.66%
AAON,"Aaon Inc",38.6,+19.25,+5.18%,+9.35%,+30.19%,+9.66%
AAT,"American Assets Trust",38.75,+2.07,+1.33%,-0.49%,+13.44%,-4.06%
AAWW,"Atlas Air Ww",63.65,+3.58,+8.53%,-10.92%,-5.21%,-3.12%
AAXN,"Axon Inc",66.86,+157.72,+152.30%,+1.36%,+50.08%,+163.33%
ABCB,"Ameris Bancorp",48.8,+4.74,+1.24%,-8.44%,-8.27%,+5.51%
ABG,"Asbury Automotive Group Inc",74.05,+36.84,+15.70%,+5.11%,+4.96%,+36.50%
ABM,"ABM Industries Incorporated",31.4,-25.71,-16.76%,+4.42%,+3.56%,-29.85%
ACET,"Aceto Cp",3.24,-46.18,-68.64%,-10.50%,+24.14%,-79.96%
ACLS,"Axcelis Tech Inc",22.8,+2.94,-20.56%,+8.31%,+2.93%,+13.43%
ACOR,"Acorda Therapeutics",27.15,+50.31,+26.57%,-11.13%,+15.53%,+26.72%
ADC,"Agree Realty Corp",53.96,+13.10,+4.90%,-0.53%,+8.53%,+8.64%
ADTN,"Adtran Inc",16.3,-21.87,-15.76%,+5.16%,+9.76%,-27.39%
AEGN,"Aegion Corp",25.08,+17.24,-1.38%,-5.29%,+8.57%,+24.65%
AEIS,"Advanced Energy",61.28,-16.17,-9.19%,+0.20%,-2.00%,-11.59%
AEL,"American Equity Investment Life",35.55,+24.98,+15.68%,-0.78%,+21.79%,+30.08%
AGYS,"Agilysys Inc",15.47,+51.32,+25.98%,-4.92%,+27.75%,+48.32%
AHH,"Armada Hoffler Properties Inc",15.6,+20.29,+0.45%,+0.45%,+11.99%,+15.47%
AIN,"Albany International Corp",64.3,+22.25,+4.64%,+4.13%,+10.20%,+23.30%
AIR,"AAR Corp",46.55,+28.62,+18.48%,-1.38%,+4.87%,+26.36%
AIT,"Applied Industrial Technologies",73.1,+26.24,+7.34%,+2.09%,+10.59%,+30.54%
AJRD,"Aerojet Rocketdyne Holdings",34.5,+29.13,+10.58%,+16.16%,+34.50%,+26.75%
AKR,"Acadia Realty Trust",26.99,-2.82,-1.35%,-2.49%,+11.85%,-9.28%
AKS,"AK Steel Holding Corp",4.52,-8.50,-20.14%,-1.53%,-0.22%,-17.22%
ALG,"Alamo Group",94.61,-4.03,-16.18%,+3.82%,-2.23%,+2.23%
ALGT,"Allegiant Travel Com",126.75,-7.63,-18.09%,-12.01%,-20.76%,-3.58%
ALRM,Alarm.Com,44.5,+11.48,+17.88%,+5.23%,+8.59%,+14.72%
AMAG,"Amag Pharmaceuticals",24,+26.37,+81.13%,+18.52%,+19.40%,+19.40%
AMBC,"Ambac Financial Grp",20.69,+20.34,+29.47%,+4.23%,+22.21%,+4.92%
AMED,"Amedisys Inc",109.23,+149.93,+107.23%,+21.03%,+64.88%,+124.94%
AMN,"Amn Healthcare Services Inc",55.05,+39.09,+11.78%,-10.78%,+6.07%,+53.13%
AMPH,"Amphastar Pharma",17.63,+12.16,-8.37%,+7.83%,-6.07%,+10.33%
AMSF,"Amerisafe Inc",62.35,+10.61,+1.22%,+8.43%,+7.50%,+8.15%
AMWD,"Amer Woodmark Cp",84.8,-24.70,-34.89%,-9.11%,+3.67%,-12.49%
ANDE,"Andersons Inc",35,+8.31,+12.36%,-1.69%,+5.74%,+2.94%
ANF,"Abercrombie & Fitch Company",25.79,+110.47,+47.96%,-0.81%,+1.54%,+153.59%
ANGO,"Angiodynamics Inc",21.56,+33.57,+29.65%,-8.84%,+12.76%,+27.27%
ANIK,"Anika Therapeutics",41.63,-6.75,-22.78%,+23.20%,+9.93%,-19.94%
ANIP,"ANI Pharma Inc",65.62,+37.29,+1.82%,-7.58%,+10.49%,+49.61%
APEI,"American Pub. Edu.",43.25,+91.50,+72.65%,-3.35%,+10.33%,+94.82%
APOG,"Apogee Entrpr Inc",50,+4.85,+9.34%,+0.02%,+18.62%,-4.42%
ARCB,"Arcbest Corp",47.45,+48.50,+32.73%,+3.72%,+40.38%,+80.08%
ARI,"Apollo Commercial Real Estate",18.98,+6.09,+2.87%,+0.48%,+4.75%,+5.39%
AROC,"Archrock Inc",13.1,+44.64,+24.76%,+3.97%,+25.96%,+27.18%
ARR,"Armour Residential R",23.56,-7.23,-8.40%,-0.34%,+1.77%,-8.26%
ASGN,"On Assignment",92.75,+91.52,+44.31%,+15.56%,+12.67%,+90.61%
ASIX,"Advansix Inc",34.56,-2.51,-17.85%,-8.04%,-4.82%,+3.69%
ASNA,"Ascena Retail Grp",4.15,+68.59,+76.60%,+9.50%,+95.75%,+62.43%
ASTE,"Astec Inds Inc",46.49,-12.30,-20.53%,-23.84%,-15.41%,-4.05%
ATNI,"Atn International",67.86,+23.61,+22.80%,+20.36%,+28.23%,+9.84%
ATU,"Actuant Corp",28.1,+23.28,+11.07%,-4.58%,+19.83%,+15.16%
AVA,"Avista Corp",50.82,-2.92,-1.30%,-3.88%,-2.01%,-3.03%
AVAV,"Aerovironment Inc",76.06,+80.00,+35.43%,+5.54%,+34.67%,+104.13%
AVD,"American Vanguard Corp",21.55,+6.60,+9.67%,-5.07%,+0.23%,+6.16%
AVP,"Avon Products",1.8,-38.28,-16.28%,+9.76%,-19.64%,-37.28%
AWR,"American States Water Company",60.72,+22.95,+4.85%,+1.20%,+7.72%,+19.65%
AXE,"Anixter International Inc",72.1,+5.60,-5.13%,+10.41%,+23.67%,-6.97%
AXL,"American Axle & Manufacturing",17.05,+15.33,+0.12%,+3.90%,+13.67%,+19.31%
AZZ,"Azz Inc",53.9,+14.49,+5.48%,+1.99%,+21.81%,+6.21%
B,"Barnes Group",66.94,+14.42,+5.80%,+11.70%,+20.18%,+10.77%
BABY,"Natus Medical Inc",36.7,+10.42,-3.93%,+2.09%,+12.06%,+5.16%
BANC,"First Pactrust Bancorp",19.95,+2.80,-3.39%,unch,+6.40%,-2.44%
BANR,"Banner Corp",64.42,+20.72,+16.87%,+3.57%,+10.27%,+12.31%
BCC,"Boise Cascade L.L.C.",44.6,+41.82,+11.78%,-1.33%,+6.32%,+48.17%
BCOR,"Blucora Inc",34.4,+40.58,+55.66%,-13.02%,+33.59%,+52.89%
BCPC,"Balchem Cp",101.82,+38.88,+26.33%,-0.75%,+9.68%,+30.54%
BEAT,"Biotelemetry Inc",57.15,+94.99,+91.14%,+18.69%,+40.25%,+68.34%
BEL,"Belmond Ltd",11.35,-9.44,-7.35%,+5.09%,+5.09%,-13.36%
BELFB,"Bel Fuse Inc Cl B",24.5,-0.33,-2.68%,+7.69%,+25.64%,-15.52%
BFS,"Saul Centers",54.88,-5.24,-11.13%,-2.21%,+11.32%,-9.15%
BGFV,"Big 5 Sporting",5.75,-36.11,-24.34%,-21.77%,-31.95%,-38.50%
BGG,"Briggs & Stratton Corp",17.64,-27.83,-30.47%,-2.38%,-2.60%,-24.39%
BGS,"B&G Foods Holdings",31,-2.02,-11.81%,-4.17%,+24.25%,-3.43%
BHE,"Benchmark Electronics",24.95,-25.99,-14.26%,-16.56%,-6.90%,-24.28%
BHLB,"Berkshire Hills Bancorp",40.9,+19.03,+11.75%,-1.56%,+7.21%,+12.98%
BJRI,"Bj's Restaurants Inc",62.5,+98.35,+71.70%,+1.79%,+15.53%,+87.41%
