Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",42.79,-27.90,+13.14%,+1.91%,+27.09%,-32.62%
AAON,"Aaon Inc",41.35,+34.00,+12.67%,+13.13%,+33.39%,+29.83%
AAT,"American Assets Trust",39.29,+2.20,+2.75%,+4.72%,+10.77%,-2.17%
AAWW,"Atlas Air Ww",61.4,-4.50,+4.69%,-10.50%,-9.57%,-2.69%
AAXN,"Axon Inc",64.01,+142.60,+141.55%,-14.53%,+7.04%,+195.79%
ABCB,"Ameris Bancorp",50,+6.30,+3.73%,-4.12%,-11.27%,+14.42%
ABG,"Asbury Automotive Group Inc",75.75,+42.20,+18.36%,+9.23%,+10.02%,+48.82%
ABM,"ABM Industries Incorporated",30.35,-29.40,-19.54%,+1.71%,+3.30%,-30.58%
ACET,"Aceto Cp",3.24,-36.40,-68.64%,+1.89%,+8.72%,-79.62%
ACLS,"Axcelis Tech Inc",19.4,-16.20,-32.40%,-8.71%,-11.62%,-3.72%
ACOR,"Acorda Therapeutics",28.9,+45.00,+34.73%,+3.03%,+24.30%,+27.59%
ADC,"Agree Realty Corp",56.33,+18.10,+9.51%,+6.22%,+9.21%,+13.50%
ADTN,"Adtran Inc",17,-17.70,-12.14%,+1.80%,+14.09%,-21.66%
AEGN,"Aegion Corp",25.25,+15.70,-0.71%,+0.84%,-3.03%,+22.87%
AEIS,"Advanced Energy",58.2,-20.90,-13.75%,-1.92%,-11.23%,-17.48%
AEL,"American Equity Investment Life",36.89,+29.10,+20.05%,+4.03%,+5.61%,+31.56%
AGYS,"Agilysys Inc",16.45,+62.80,+33.96%,+0.18%,+29.22%,+63.68%
AHH,"Armada Hoffler Properties Inc",15.86,+19.90,+2.12%,+5.31%,+9.76%,+18.45%
AIN,"Albany International Corp",76.95,+51.30,+25.22%,+20.90%,+23.71%,+50.59%
AIR,"AAR Corp",45.77,+24.50,+16.49%,-1.55%,+3.18%,+30.29%
AIT,"Applied Industrial Technologies",76.65,+33.00,+12.56%,+2.27%,+10.77%,+39.49%
AJRD,"Aerojet Rocketdyne Holdings",36.09,+34.10,+15.67%,+21.68%,+26.01%,+28.30%
AKR,"Acadia Realty Trust",28.65,+5.30,+4.71%,+6.74%,+15.20%,-0.83%
AKS,"AK Steel Holding Corp",4.25,-17.30,-24.91%,-15.67%,-5.56%,-21.15%
ALG,"Alamo Group",97.9,+2.10,-13.26%,+8.22%,-0.88%,+9.13%
ALGT,"Allegiant Travel Com",136.2,+3.00,-11.99%,-5.91%,-9.50%,+17.57%
ALRM,Alarm.Com,54.59,+39.40,+44.61%,+22.95%,+27.46%,+22.65%
AMAG,"Amag Pharmaceuticals",24.5,+30.70,+84.91%,+13.43%,+5.83%,+41.21%
AMBC,"Ambac Financial Grp",21.73,+31.30,+35.98%,+6.21%,+16.14%,+17.84%
AMED,"Amedisys Inc",123.73,+185.60,+134.74%,+28.50%,+67.25%,+148.06%
AMN,"Amn Healthcare Services Inc",57.55,+43.40,+16.85%,-5.66%,+2.40%,+52.86%
AMPH,"Amphastar Pharma",18.12,+13.00,-5.82%,+5.78%,+9.22%,+17.36%
AMSF,"Amerisafe Inc",62.55,+14.30,+1.54%,+0.56%,+3.73%,+14.77%
AMWD,"Amer Woodmark Cp",81.95,-19.40,-37.08%,-5.21%,-3.98%,+1.80%
ANDE,"Andersons Inc",40.45,+34.80,+29.86%,+15.41%,+25.04%,+27.60%
ANF,"Abercrombie & Fitch Company",28.69,+112.70,+64.60%,+10.26%,+12.73%,+198.54%
ANGO,"Angiodynamics Inc",22.5,+40.10,+35.30%,+3.83%,+10.46%,+36.78%
ANIK,"Anika Therapeutics",41.47,-8.00,-23.08%,+18.66%,+4.99%,-21.20%
ANIP,"ANI Pharma Inc",57.3,+9.50,-11.09%,-18.47%,-8.25%,+26.43%
