Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",41.34,-33.04,+9.31%,-13.48%,+27.59%,-39.37%
AAON,"Aaon Inc",39.95,+28.67,+8.86%,+11.75%,+35.42%,+22.17%
AAT,"American Assets Trust",38.97,+2.73,+1.91%,+2.10%,+12.92%,-3.80%
AAWW,"Atlas Air Ww",58.45,-9.05,-0.34%,-17.09%,-14.61%,-7.00%
AAXN,"Axon Inc",61.02,+126.05,+130.26%,-9.99%,+11.88%,+182.11%
ABCB,"Ameris Bancorp",48.7,+4.24,+1.04%,-4.98%,-12.01%,+8.58%
ABG,"Asbury Automotive Group Inc",74.4,+40.11,+16.25%,+10.47%,+6.29%,+45.31%
ABM,"ABM Industries Incorporated",31.15,-25.79,-17.42%,-0.73%,+3.01%,-28.80%
ACET,"Aceto Cp",3.23,-45.91,-68.73%,-5.56%,+19.19%,-80.35%
ACLS,"Axcelis Tech Inc",20.25,-13.73,-29.44%,-3.57%,-7.74%,-1.70%
ACOR,"Acorda Therapeutics",27.95,+53.20,+30.30%,-6.21%,+14.08%,+31.84%
ADC,"Agree Realty Corp",54.65,+14.42,+6.24%,+1.00%,+9.45%,+11.94%
ADTN,"Adtran Inc",16.05,-22.70,-17.05%,+2.56%,+10.31%,-26.04%
AEGN,"Aegion Corp",24.46,+13.52,-3.81%,-4.53%,-1.33%,+18.62%
AEIS,"Advanced Energy",59.13,-19.85,-12.37%,-0.02%,-9.06%,-17.69%
AEL,"American Equity Investment Life",36.38,+30.12,+18.39%,+2.36%,+26.67%,+29.42%
AGYS,"Agilysys Inc",15.84,+54.62,+28.99%,-3.94%,+32.66%,+51.15%
AHH,"Armada Hoffler Properties Inc",15.67,+20.53,+0.90%,+1.89%,+14.97%,+18.98%
AIN,"Albany International Corp",77.45,+56.27,+26.04%,+23.13%,+30.39%,+52.91%
AIR,"AAR Corp",44.73,+21.66,+13.85%,-1.99%,-3.66%,+24.77%
AIT,"Applied Industrial Technologies",76.35,+35.41,+12.11%,+4.30%,+9.46%,+35.13%
AJRD,"Aerojet Rocketdyne Holdings",36.18,+36.67,+15.96%,+19.68%,+29.82%,+32.62%
AKR,"Acadia Realty Trust",27.62,+1.11,+0.95%,+2.30%,+16.89%,-4.40%
AKS,"AK Steel Holding Corp",4.08,-21.82,-27.92%,-11.50%,-8.11%,-22.14%
ALG,"Alamo Group",96.07,-0.23,-14.88%,+6.78%,+0.83%,+5.50%
ALGT,"Allegiant Travel Com",136,+2.92,-12.12%,-5.03%,-14.03%,+9.37%
ALRM,Alarm.Com,51.43,+31.17,+36.24%,+19.80%,+26.29%,+22.74%
AMAG,"Amag Pharmaceuticals",24.8,+31.39,+87.17%,+14.02%,+7.01%,+49.40%
AMBC,"Ambac Financial Grp",21.83,+33.48,+36.61%,+7.91%,+14.77%,+18.84%
AMED,"Amedisys Inc",116.13,+163.47,+120.32%,+23.56%,+61.54%,+135.37%
AMN,"Amn Healthcare Services Inc",56.35,+37.39,+14.42%,-5.37%,+0.18%,+51.89%
AMPH,"Amphastar Pharma",17.5,+9.34,-9.04%,+5.87%,+12.40%,+18.24%
AMSF,"Amerisafe Inc",63.6,+15.09,+3.25%,+7.61%,+7.80%,+12.07%
AMWD,"Amer Woodmark Cp",81.45,-28.18,-37.47%,-11.18%,-1.15%,-14.04%
ANDE,"Andersons Inc",39.4,+28.33,+26.48%,+11.14%,+25.88%,+17.44%
ANF,"Abercrombie & Fitch Company",26.74,+121.36,+53.41%,+6.28%,+3.36%,+185.38%
ANGO,"Angiodynamics Inc",21.53,+28.90,+29.46%,+4.51%,+9.12%,+29.39%
ANIK,"Anika Therapeutics",41.53,-8.13,-22.96%,+17.58%,+8.86%,-20.44%
ANIP,"ANI Pharma Inc",56,+6.06,-13.11%,-20.99%,-9.63%,+27.19%
APEI,"American Pub. Edu.",34.95,+45.99,+39.52%,-21.55%,-9.34%,+85.90%
APOG,"Apogee Entrpr Inc",48.57,+6.39,+6.21%,-3.32%,+17.75%,-3.78%
ARCB,"Arcbest Corp",45,+38.59,+25.87%,+1.12%,-4.15%,+73.08%
ARI,"Apollo Commercial Real Estate",19.05,+6.81,+3.25%,+1.87%,+4.10%,+5.25%
AROC,"Archrock Inc",12.1,+31.53,+15.24%,-5.47%,+2.11%,+29.41%
ARR,"Armour Residential R",23.49,-8.73,-8.67%,+1.42%,+4.31%,-10.17%
ASGN,"On Assignment",90.03,+84.08,+40.08%,+9.09%,+9.33%,+90.10%
ASIX,"Advansix Inc",33.11,-6.63,-21.30%,-13.80%,-11.75%,+3.34%
ASNA,"Ascena Retail Grp",4.68,+115.30,+99.15%,+42.68%,+64.21%,+132.84%
ASTE,"Astec Inds Inc",45.19,-14.93,-22.75%,-26.51%,-20.29%,-5.24%
ATNI,"Atn International",71.92,+35.14,+30.15%,+26.62%,+39.62%,+20.09%
ATU,"Actuant Corp",28.45,+24.95,+12.45%,+0.35%,+17.32%,+23.16%
AVA,"Avista Corp",51.11,-1.27,-0.74%,+1.93%,-2.35%,-1.54%
AVAV,"Aerovironment Inc",81.42,+99.11,+44.98%,+10.97%,+50.36%,+115.57%
AVD,"American Vanguard Corp",19.35,-7.45,-1.53%,-12.84%,-9.37%,-2.76%
AVP,"Avon Products",1.85,-32.89,-13.95%,+27.59%,-2.63%,-32.48%
AWR,"American States Water Company",59.42,+20.43,+2.61%,-0.15%,+8.89%,+18.51%
AXE,"Anixter International Inc",71,+5.83,-6.58%,+9.74%,+12.34%,-3.47%
AXL,"American Axle & Manufacturing",16.34,+10.54,-4.05%,-1.63%,+5.01%,+14.27%
AZZ,"Azz Inc",53.4,+16.45,+4.50%,-2.29%,+34.85%,+7.66%
B,"Barnes Group",65.63,+9.56,+3.73%,+7.93%,+10.81%,+9.90%
BABY,"Natus Medical Inc",36.6,+12.42,-4.19%,+12.62%,+2.81%,+7.17%
BANC,"First Pactrust Bancorp",19.85,+5.24,-3.87%,+4.20%,+6.15%,+2.06%
BANR,"Banner Corp",65.51,+22.84,+18.85%,+8.55%,+11.73%,+17.11%
BCC,"Boise Cascade L.L.C.",44,+41.26,+10.28%,-3.51%,+2.33%,+47.65%
BCOR,"Blucora Inc",34.35,+41.22,+55.43%,-9.25%,+3.15%,+47.74%
BCPC,"Balchem Cp",99.78,+35.98,+23.80%,+1.34%,+8.88%,+33.66%
BEAT,"Biotelemetry Inc",53.45,+72.03,+78.76%,+8.53%,+32.30%,+46.24%
BEL,"Belmond Ltd",15.9,+16.97,+29.80%,+38.26%,+37.07%,+26.69%
BELFB,"Bel Fuse Inc Cl B",25.3,+5.68,+0.50%,+23.72%,+27.46%,-5.07%
BFS,"Saul Centers",58.56,+5.70,-5.17%,+6.69%,+23.28%,-0.78%
BGFV,"Big 5 Sporting",5.85,-26.93,-23.03%,-13.33%,-24.52%,-29.09%
BGG,"Briggs & Stratton Corp",18.41,-15.19,-27.43%,-0.22%,-0.16%,-22.65%
BGS,"B&G Foods Holdings",31.3,+1.97,-10.95%,+4.16%,+16.79%,-0.79%
BHE,"Benchmark Electronics",25.5,-22.38,-12.37%,-14.00%,-5.38%,-19.94%
BHLB,"Berkshire Hills Bancorp",41.25,+21.40,+12.70%,+1.85%,+8.13%,+21.32%
BJRI,"Bj's Restaurants Inc",64.4,+108.25,+76.92%,+4.29%,+24.32%,+95.74%
BKE,"Buckle Inc",26.8,+79.52,+12.84%,+15.52%,+7.20%,+95.62%
BKS,"Barnes & Noble",6.3,-6.44,-5.97%,+16.67%,+22.33%,-13.70%
BLD,"Topbuild Corp",73.28,+18.34,-3.25%,-8.55%,-6.48%,+25.65%
BMI,"Badger Meter",51.8,+19.58,+8.37%,+12.49%,+21.45%,+15.11%
BNED,"Barnes & Noble Education Inc C",6.23,-10.58,-24.39%,+13.89%,+3.32%,-6.74%
BOFI,"Bofi Holding Inc",37.34,+31.51,+24.88%,-7.69%,-8.55%,+33.45%
BPFH,"Boston Pvt Finl Hldg",13.8,-11.19,-10.68%,-14.02%,-16.87%,-7.38%
BRC,"Brady Corp",37.3,+8.14,-1.58%,-4.97%,-0.40%,+14.77%
BRKL,"Brookline Bancorp",17.85,+25.21,+13.69%,-2.46%,+4.39%,+27.05%
BRKS,"Brooks Automation",29.13,+15.41,+22.14%,-9.53%,+0.45%,+15.83%
BRS,"Bristow Group Inc",10.52,-2.17,-21.90%,-27.20%,-42.17%,+41.40%
CACI,"Caci International",180.35,+47.08,+36.27%,+1.12%,+11.02%,+41.40%
CAL,"Caleres Inc",35.97,+45.12,+7.44%,+7.18%,+3.93%,+45.16%
CALM,"Cal-Maine Foods In",49.1,+33.34,+10.46%,+7.44%,+3.70%,+34.52%
CAMP,"Calamp Corp",23.31,+23.47,+8.77%,-3.08%,+11.53%,+27.87%
CASH,"Meta Financial Grp",86.8,+7.58,-6.31%,-10.01%,-18.54%,+19.89%
CATM,"Cardtronics Inc",32.83,+53.19,+77.27%,+24.92%,+11.55%,+24.12%
CATO,"Cato Corp",23.41,+80.59,+47.05%,+2.45%,+37.54%,+60.89%
CBB,"Cincinnati Bell Inc",12.05,-39.27,-42.21%,-22.51%,-29.94%,-43.69%
CBL,"Cbl & Associates Properties",4.51,-37.51,-20.32%,-19.03%,+6.62%,-45.99%
CBM,"Cambrex Corp",61.45,+26.81,+28.02%,+11.42%,+27.36%,+15.62%
CBU,"Community Bank System",64.32,+27.04,+19.67%,+5.91%,+6.83%,+20.79%
CCMP,"Cabot Microelectron",109.99,+45.41,+16.91%,-3.59%,-1.47%,+58.88%
CCOI,"Cogent Comm Hldgs",52.3,+23.88,+15.45%,-3.51%,+3.98%,+19.68%
CCRN,"Cross Ctry Hlthcr",9.42,-21.66,-26.18%,-20.84%,-20.37%,-25.06%
CDR,"Cedar Shopping Centers Inc",4.49,-9.90,-26.15%,-6.46%,+16.62%,-12.48%
CECO,"Career Education",16.8,+85.35,+39.07%,-6.20%,+19.49%,+95.58%
CEIX,"Consol Energy Inc",41.58,+73.58,+5.24%,+5.43%,-6.16%,+79.07%
CENT,"Central Garden",39.1,+7.64,+0.46%,-10.30%,-1.41%,+14.16%
CENTA,"Central Garden & Pet",35.94,+1.57,-4.69%,-11.63%,-4.69%,+8.42%
CENX,"Century Aluminum C",11.09,-39.60,-43.53%,-22.12%,-33.39%,-22.61%
CEVA,"Ceva Inc",28.35,-36.37,-38.57%,-10.28%,-11.96%,-31.52%
CHCO,"City Holding Co",80.55,+32.00,+19.39%,+6.56%,+10.48%,+28.98%
CHCT,"Community Healthcare Trust Inc",31.73,+32.76,+12.92%,+6.98%,+22.23%,+26.36%
CHS,"Chico's Fas",9.92,+25.79,+12.47%,+23.08%,-4.71%,+28.00%
CHSP,"Chesapeake Lodging Trust",31.99,+28.34,+18.09%,-1.60%,+7.82%,+28.11%
CHUY,"Chuy's Holdings Inc",27.6,+26.00,-1.60%,-13.88%,-1.60%,+35.29%
CIR,"Circor International",43.58,-9.58,-10.48%,+12.15%,-10.70%,-9.75%
CJ,"C&J Energy Services Inc",22.19,-22.22,-33.70%,-4.15%,-24.29%,-13.93%
CKH,"Seacor Smit Inc",50.51,+27.89,+9.28%,-5.75%,-2.98%,+38.73%
CLD,"Cloud Peak Energy Inc",2.26,-42.44,-49.21%,-30.67%,-29.81%,-25.66%
CLDT,"Chatham Lodging Trust [Reit]",21.27,+6.20,-6.55%,-0.70%,+9.87%,+6.67%
CLW,"Clearwater Paper Corp",25.75,-34.79,-43.28%,+10.28%,+0.98%,-43.09%
CMO,"Capstead Mortgage Corp",8.43,-12.98,-2.54%,-1.63%,-5.49%,-12.73%
CMTL,"Comtech Telecom Co",34.58,+66.77,+56.33%,-1.54%,+14.01%,+80.76%
CNMD,"C O N M E D Cp",76.58,+58.38,+50.25%,+3.80%,+12.25%,+53.31%
CNSL,"Consolidated Communications Holdings Inc",11.5,-34.35,-5.66%,-10.30%,+3.51%,-39.66%
COHU,"Cohu Inc",26.38,+44.75,+20.18%,+4.52%,+13.66%,+47.37%
COKE,"Coca Cola Bot Cons",172.46,-11.27,-19.88%,+27.30%,+35.56%,-18.73%
COLB,"Columbia Banking Sys",41.72,+8.00,-3.96%,+3.06%,-1.63%,+10.46%
CORE,"Core Mark Holding",33.51,+38.03,+6.11%,+42.66%,+77.11%,+23.33%
CORT,"Corcept Therapeutics",12.5,-7.89,-30.79%,-12.59%,-29.02%,-15.94%
CPF,"Central Pacific Financial Co",28.25,-5.22,-5.30%,-2.22%,-4.79%,-5.23%
CPS,"Cooper Std Hldg Inc",135.8,+32.87,+10.86%,+1.20%,+7.85%,+34.87%
CPSI,"Computer Programs",27.1,-10.23,-9.82%,-20.99%,-13.97%,-6.55%
CRAY,"Cray Inc",21.35,+5.86,-11.78%,-16.93%,-20.04%,+7.83%
CROX,"Crocs Inc",18.3,+98.72,+44.78%,+6.89%,+16.56%,+93.65%
CRR,"Carbo Ceramics",7.91,+7.58,-22.30%,-20.82%,-27.76%,+24.18%
CRVL,"Corvel Cp",57.8,+15.35,+9.26%,+4.05%,+13.44%,+15.14%
CRY,Cryolife,32.05,+81.18,+67.36%,+8.09%,+25.20%,+67.36%
CRZO,"Carrizo Oil & Gas",22.63,+45.73,+6.34%,-20.48%,-14.47%,+69.51%
CSGS,"C S G Sys Intl",37.24,-10.43,-15.02%,-9.83%,-6.48%,-2.64%
CTB,"Cooper Tire & Rubber Company",29.45,-11.74,-16.69%,+13.27%,+16.63%,-12.87%
CTRE,"Caretrust REIT Inc",17.92,+2.99,+6.92%,+6.04%,+19.39%,-3.08%
CTRL,"Control4 Corp",31.38,+25.69,+5.44%,+24.08%,+30.37%,+34.91%
CTS,"Cts Corp",34.8,+56.02,+35.15%,-6.83%,+13.54%,+55.70%
CUB,"Cubic Corp",72.4,+62.28,+22.82%,+3.58%,+4.93%,+66.82%
CUBI,"Customers Bancorp",24.33,-19.39,-6.39%,-14.90%,-17.22%,-14.87%
