Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",42.87,-27.80,+13.35%,+12.05%,+26.35%,-31.29%
AAON,"Aaon Inc",41.35,+34.00,+12.67%,+13.76%,+34.47%,+30.03%
AAT,"American Assets Trust",39.42,+2.60,+3.09%,+5.43%,+11.77%,-2.14%
AAWW,"Atlas Air Ww",62.05,-3.10,+5.80%,-8.55%,-8.95%,-1.90%
AAXN,"Axon Inc",65.55,+150.70,+147.36%,-9.26%,+5.59%,+200.00%
ABCB,"Ameris Bancorp",49.85,+5.80,+3.42%,-1.97%,-11.30%,+12.27%
ABG,"Asbury Automotive Group Inc",75.35,+41.20,+17.73%,+7.72%,+7.41%,+48.47%
ABM,"ABM Industries Incorporated",30.5,-28.90,-19.14%,+2.11%,+4.34%,-30.33%
ACET,"Aceto Cp",3.27,-35.70,-68.39%,+4.98%,+11.05%,-79.64%
ACLS,"Axcelis Tech Inc",19.75,-14.10,-31.18%,-7.49%,-8.67%,-1.74%
ACOR,"Acorda Therapeutics",28.9,+45.00,+34.73%,+0.70%,+22.72%,+25.65%
ADC,"Agree Realty Corp",56.62,+19.00,+10.07%,+7.42%,+10.09%,+14.59%
ADTN,"Adtran Inc",16.95,-18.00,-12.40%,+2.42%,+15.70%,-23.13%
AEGN,"Aegion Corp",24.9,+13.50,-2.08%,-0.92%,-4.05%,+21.11%
AEIS,"Advanced Energy",58.04,-21.20,-13.99%,-1.34%,-12.26%,-18.52%
AEL,"American Equity Investment Life",37.39,+31.50,+21.67%,+6.13%,+7.35%,+32.31%
AGYS,"Agilysys Inc",16.7,+66.20,+35.99%,+0.72%,+31.91%,+64.86%
AHH,"Armada Hoffler Properties Inc",15.85,+19.80,+2.06%,+5.04%,+9.84%,+18.99%
AIN,"Albany International Corp",76.95,+51.30,+25.22%,+19.49%,+24.21%,+49.71%
AIR,"AAR Corp",45.99,+25.40,+17.05%,-0.88%,+3.79%,+30.25%
AIT,"Applied Industrial Technologies",77.05,+33.90,+13.14%,+4.05%,+11.18%,+39.46%
AJRD,"Aerojet Rocketdyne Holdings",36,+33.60,+15.38%,+23.92%,+23.71%,+28.16%
AKR,"Acadia Realty Trust",28.71,+5.60,+4.93%,+7.97%,+15.86%,+0.63%
AKS,"AK Steel Holding Corp",4.29,-16.20,-24.20%,-17.66%,-4.88%,-18.75%
ALG,"Alamo Group",98.38,+2.80,-12.84%,+9.44%,+1.08%,+10.79%
ALGT,"Allegiant Travel Com",135.4,+2.10,-12.50%,-3.01%,-10.80%,+17.59%
ALRM,Alarm.Com,55.94,+44.20,+48.19%,+28.60%,+30.64%,+29.10%
AMAG,"Amag Pharmaceuticals",24.6,+31.40,+85.66%,+15.76%,+6.49%,+40.57%
AMBC,"Ambac Financial Grp",21.74,+31.30,+36.05%,+6.78%,+16.51%,+18.73%
AMED,"Amedisys Inc",124.49,+188.00,+136.18%,+32.45%,+68.23%,+152.11%
AMN,"Amn Healthcare Services Inc",57.5,+43.20,+16.75%,-5.12%,+3.60%,+52.72%
AMPH,"Amphastar Pharma",18.02,+12.10,-6.34%,+4.95%,+8.82%,+16.79%
AMSF,"Amerisafe Inc",64.1,+18.30,+4.06%,+2.81%,+6.57%,+17.18%
AMWD,"Amer Woodmark Cp",84.95,-15.30,-34.78%,+2.04%,-1.79%,+7.33%
ANDE,"Andersons Inc",40.55,+35.30,+30.18%,+16.52%,+24.77%,+30.18%
ANF,"Abercrombie & Fitch Company",27.34,+99.00,+56.86%,+12.05%,+5.44%,+143.02%
ANGO,"Angiodynamics Inc",22.24,+37.90,+33.73%,+4.07%,+8.28%,+33.25%
ANIK,"Anika Therapeutics",41.42,-8.20,-23.17%,+20.79%,+0.02%,-21.40%
ANIP,"ANI Pharma Inc",57.31,+9.50,-11.08%,-19.27%,-8.95%,+23.33%
APEI,"American Pub. Edu.",35.9,+51.50,+43.31%,-17.85%,-13.29%,+101.69%
APOG,"Apogee Entrpr Inc",49.9,+18.60,+9.12%,+2.89%,+15.99%,+21.53%
ARCB,"Arcbest Corp",47.25,+47.90,+32.17%,+7.02%,-1.77%,+87.13%
ARI,"Apollo Commercial Real Estate",19.35,+9.40,+4.88%,+2.65%,+4.26%,+8.34%
AROC,"Archrock Inc",12.8,+28.50,+21.90%,+1.59%,+10.82%,+28.00%
ARR,"Armour Residential R",23.6,-8.80,-8.24%,+2.88%,+3.19%,-11.24%
ASGN,"On Assignment",90.83,+86.40,+41.33%,+8.35%,+13.91%,+98.62%
ASIX,"Advansix Inc",33.62,-4.10,-20.09%,-13.77%,-12.10%,+9.62%
ASNA,"Ascena Retail Grp",4.85,+113.40,+106.38%,+36.24%,+53.97%,+135.44%
ASTE,"Astec Inds Inc",48.44,-7.00,-17.20%,+0.48%,-17.31%,+4.15%
ATNI,"Atn International",73.63,+36.20,+33.24%,+36.30%,+40.38%,+22.53%
ATU,"Actuant Corp",29.1,+28.00,+15.02%,+5.43%,+16.40%,+27.91%
AVA,"Avista Corp",51.53,-0.10,+0.08%,+2.49%,-1.62%,-0.44%
AVAV,"Aerovironment Inc",85.32,+105.40,+51.92%,+16.33%,+46.95%,+118.99%
AVD,"American Vanguard Corp",21,+2.80,+6.87%,unch,-1.41%,+6.06%
AVP,"Avon Products",2.03,-22.30,-5.58%,+38.10%,+7.41%,-20.70%
AWR,"American States Water Company",60.81,+23.80,+5.01%,+1.06%,+8.11%,+24.18%
AXE,"Anixter International Inc",72.2,+7.80,-5.00%,+0.84%,+18.17%,+0.91%
AXL,"American Axle & Manufacturing",17.96,+26.20,+5.46%,+12.39%,+9.51%,+29.86%
AZZ,"Azz Inc",54.05,+18.10,+5.77%,-1.46%,+25.70%,+15.25%
B,"Barnes Group",68.47,+15.20,+8.22%,+11.17%,+14.06%,+13.83%
BABY,"Natus Medical Inc",36.2,+10.80,-5.24%,+13.84%,+0.56%,+10.37%
BANC,"First Pactrust Bancorp",19.9,+4.40,-3.63%,+4.19%,+2.05%,+5.85%
BANR,"Banner Corp",65.42,+20.00,+18.69%,+5.48%,+9.38%,+17.60%
BCC,"Boise Cascade L.L.C.",45.3,+46.10,+13.53%,+4.62%,-2.69%,+59.23%
BCOR,"Blucora Inc",36.1,+47.70,+63.35%,-2.17%,-4.12%,+54.27%
BCPC,"Balchem Cp",105.95,+45.40,+31.45%,+7.16%,+9.77%,+42.50%
BEAT,"Biotelemetry Inc",59.05,+96.90,+97.49%,+24.05%,+39.10%,+64.94%
BEL,"Belmond Ltd",16.1,+18.80,+31.43%,+43.11%,+33.61%,+30.89%
BELFB,"Bel Fuse Inc Cl B",27.7,+22.20,+10.03%,+22.30%,+39.20%,+11.24%
BFS,"Saul Centers",59.04,+3.90,-4.39%,+11.44%,+21.26%,-0.56%
BGFV,"Big 5 Sporting",5.75,-31.10,-24.34%,-9.45%,-31.14%,-28.57%
BGG,"Briggs & Stratton Corp",20.59,-2.50,-18.84%,+24.11%,+8.94%,+2.23%
BGS,"B&G Foods Holdings",32,+6.10,-8.96%,+5.09%,+18.30%,+2.24%
BHE,"Benchmark Electronics",25.9,-21.20,-11.00%,-11.90%,-5.47%,-17.78%
BHLB,"Berkshire Hills Bancorp",42.45,+23.20,+15.98%,+3.41%,+7.33%,+25.41%
BJRI,"Bj's Restaurants Inc",74.7,+157.20,+105.22%,+20.29%,+40.68%,+138.28%
BKE,"Buckle Inc",26.55,+67.60,+11.79%,+12.50%,+3.11%,+81.85%
BKS,"Barnes & Noble",5.45,-25.80,-18.66%,-6.03%,-0.91%,-28.76%
BLD,"Topbuild Corp",68.89,+10.70,-9.04%,-11.40%,-18.43%,+25.55%
BMI,"Badger Meter",54.7,+27.10,+14.44%,+5.39%,+24.74%,+22.51%
BNED,"Barnes & Noble Education Inc C",5.24,-30.70,-36.41%,-7.26%,-18.76%,-24.06%
BOFI,"Bofi Holding Inc",37.87,+34.10,+26.66%,-8.64%,-8.88%,+42.91%
BPFH,"Boston Pvt Finl Hldg",14.2,-9.60,-8.09%,-3.40%,-16.72%,-3.40%
BRC,"Brady Corp",39.7,+17.30,+4.75%,+7.15%,+2.19%,+20.49%
BRKL,"Brookline Bancorp",18.2,+24.10,+15.92%,-3.45%,+1.11%,+27.72%
BRKS,"Brooks Automation",29.65,+18.80,+24.32%,-3.20%,-4.94%,+18.27%
BRS,"Bristow Group Inc",11.16,-1.20,-17.15%,-24.39%,-22.28%,+37.10%
CACI,"Caci International",193.6,+59.60,+46.28%,+10.25%,+18.59%,+54.82%
CAL,"Caleres Inc",37.4,+41.00,+11.71%,+6.92%,+4.21%,+48.06%
CALM,"Cal-Maine Foods In",50.1,+38.50,+12.71%,+11.33%,+6.60%,+45.64%
CAMP,"Calamp Corp",23.09,+18.70,+7.75%,+0.61%,+8.10%,+24.27%
CASH,"Meta Financial Grp",85.35,+5.00,-7.88%,-11.78%,-22.73%,+23.52%
CATM,"Cardtronics Inc",37.99,+78.10,+105.13%,+45.67%,+38.60%,+49.74%
CATO,"Cato Corp",21.27,+55.40,+33.61%,-18.19%,-0.84%,+58.73%
CBB,"Cincinnati Bell Inc",12.5,-37.10,-40.05%,-6.72%,-21.63%,-40.90%
CBL,"Cbl & Associates Properties",4.56,-37.70,-19.43%,-13.47%,-4.00%,-43.56%
CBM,"Cambrex Corp",64.45,+37.80,+34.27%,+6.97%,+35.54%,+24.06%
CBU,"Community Bank System",66.2,+30.60,+23.16%,+2.43%,+9.80%,+27.53%
CCMP,"Cabot Microelectron",112.52,+48.40,+19.60%,-4.64%,+0.29%,+61.85%
CCOI,"Cogent Comm Hldgs",53.65,+23.30,+18.43%,+2.88%,+6.77%,+20.02%
CCRN,"Cross Ctry Hlthcr",10.03,-13.60,-21.39%,-14.64%,-18.12%,-16.63%
CDR,"Cedar Shopping Centers Inc",4.53,-12.30,-25.49%,-6.60%,+8.11%,-10.83%
CECO,"Career Education",16.5,+66.00,+36.59%,-9.69%,+11.71%,+77.23%
CEIX,"Consol Energy Inc",41.51,+72.10,+5.06%,+0.51%,-2.03%,+78.77%
CENT,"Central Garden",39.32,+5.30,+1.03%,-7.68%,-4.40%,+10.64%
CENTA,"Central Garden & Pet",36.22,+0.10,-3.95%,-8.54%,-5.36%,+5.97%
CENX,"Century Aluminum C",12.53,-36.50,-36.20%,-5.29%,-23.32%,-31.38%
CEVA,"Ceva Inc",30.15,-30.70,-34.67%,-5.04%,-10.67%,-27.35%
CHCO,"City Holding Co",81.92,+30.80,+21.42%,+1.94%,+9.90%,+30.97%
CHCT,"Community Healthcare Trust Inc",31.32,+24.10,+11.46%,+4.61%,+14.10%,+20.05%
CHS,"Chico's Fas",9.36,+12.10,+6.12%,+8.58%,-7.23%,+21.56%
CHSP,"Chesapeake Lodging Trust",32.63,+29.20,+20.45%,+1.08%,+3.65%,+29.13%
CHUY,"Chuy's Holdings Inc",27.4,+25.10,-2.32%,-15.56%,-4.86%,+36.66%
CIR,"Circor International",43.43,-10.10,-10.78%,+9.62%,-12.03%,-8.26%
CJ,"C&J Energy Services Inc",23.8,-13.40,-28.89%,+10.34%,-17.27%,-4.34%
CKH,"Seacor Smit Inc",53.1,+34.40,+14.89%,-2.35%,+3.83%,+45.20%
CLD,"Cloud Peak Energy Inc",2.47,-37.10,-44.49%,-18.48%,-21.84%,-17.94%
CLDT,"Chatham Lodging Trust [Reit]",21.52,+7.30,-5.45%,-1.82%,+4.01%,+8.52%
CLW,"Clearwater Paper Corp",28.75,-23.90,-36.67%,+26.10%,+15.46%,-36.18%
CMO,"Capstead Mortgage Corp",8.34,-14.20,-3.58%,-2.80%,-9.45%,-14.72%
CMTL,"Comtech Telecom Co",36.52,+76.10,+65.10%,+10.70%,+18.80%,+92.72%
CNMD,"C O N M E D Cp",77.82,+61.00,+52.68%,+5.01%,+13.74%,+58.20%
CNSL,"Consolidated Communications Holdings Inc",12.08,-29.70,-0.90%,-6.50%,+8.24%,-36.55%
COHU,"Cohu Inc",26.07,+42.40,+18.77%,+3.53%,+6.67%,+48.72%
COKE,"Coca Cola Bot Cons",169.6,-12.60,-21.21%,+22.41%,+33.08%,-18.54%
COLB,"Columbia Banking Sys",42.35,+9.20,-2.51%,unch,-1.47%,+14.55%
CORE,"Core Mark Holding",35.54,+49.70,+12.54%,+48.70%,+93.05%,+32.07%
CORT,"Corcept Therapeutics",13.58,+6.00,-24.81%,+4.70%,-26.95%,-5.89%
CPF,"Central Pacific Financial Co",28.92,-2.10,-3.05%,-0.28%,-3.08%,-0.10%
CPS,"Cooper Std Hldg Inc",138.78,+34.10,+13.29%,+3.18%,+7.80%,+38.34%
CPSI,"Computer Programs",27.25,-9.00,-9.32%,-20.09%,-13.90%,-6.52%
CRAY,"Cray Inc",21.5,+6.10,-11.16%,-18.41%,-15.19%,+18.13%
CROX,"Crocs Inc",20.44,+128.60,+61.71%,+19.32%,+21.74%,+130.96%
CRR,"Carbo Ceramics",8.64,+13.30,-15.13%,-10.84%,-15.79%,+33.33%
CRVL,"Corvel Cp",60.15,+22.40,+13.71%,+8.77%,+12.64%,+20.54%
CRY,Cryolife,34.05,+95.10,+77.81%,+12.56%,+26.35%,+79.21%
CRZO,"Carrizo Oil & Gas",24.35,+63.70,+14.43%,-14.59%,-2.87%,+80.77%
CSGS,"C S G Sys Intl",37.02,-11.70,-15.52%,-9.06%,-10.19%,-3.14%
CTB,"Cooper Tire & Rubber Company",29.5,-12.50,-16.55%,+15.46%,+17.06%,-12.46%
CTRE,"Caretrust REIT Inc",18.38,+5.30,+9.67%,+10.06%,+15.38%,-4.91%
CTRL,"Control4 Corp",36.86,+60.90,+23.86%,+50.94%,+52.06%,+55.07%
CTS,"Cts Corp",34.85,+54.30,+35.34%,-3.19%,+8.57%,+60.23%
CUB,"Cubic Corp",75.7,+71.80,+28.41%,+10.35%,+7.83%,+81.75%
CUBI,"Customers Bancorp",24.91,-18.20,-4.16%,-13.30%,-17.90%,-12.20%
CUTR,"Cutera Inc",33.55,-9.90,-26.02%,-21.43%,-15.38%,-4.55%
CVBF,"Cvb Financial Corp",24.57,+16.60,+4.29%,+4.51%,+4.87%,+18.98%
CVCO,"Cavco Inds Inc",242.8,+93.50,+59.11%,+13.46%,+35.83%,+91.79%
CVGW,"Calavo Growers Inc",105.5,+52.60,+25.00%,+11.88%,+19.95%,+52.24%
CWT,"California Water Service Group Holding",41.1,+9.70,-9.37%,-0.24%,+1.36%,+11.08%
CYH,"Community Health Systems",3.56,-49.80,-16.43%,+16.72%,-18.72%,-52.72%
CYTK,Cytokinetics,7.15,-34.50,-12.27%,-10.62%,-18.29%,-43.92%
DAKT,"Daktronics Inc",7.44,-27.40,-18.51%,-11.74%,-24.70%,-21.85%
DAR,"Darling International Inc",20.37,+19.60,+12.36%,+2.46%,+9.22%,+18.71%
DBD,"Diebold Nixdorf Inc",4.55,-62.10,-72.17%,-60.09%,-60.61%,-76.05%
DCOM,"Dime Community Bncsh",18.5,-6.60,-11.69%,-8.19%,-8.19%,-1.60%
DDD,"3D Systems Corp",20.91,+48.80,+142.01%,+52.52%,+71.11%,+66.22%
DEA,"Easterly Government Properties",20.08,+0.30,-5.90%,+4.31%,+0.80%,+1.47%
DF,"Dean Foods Company",7.63,-38.90,-34.00%,-23.08%,-19.94%,-30.76%
DFIN,"Donnelly Financial Solutions Inc",20.68,+4.30,+6.11%,-0.72%,+27.89%,+0.73%
DGII,"Digi Intl Inc",13.2,+42.40,+38.22%,+0.38%,+6.88%,+43.48%
DIN,"Dineequity Inc",80.95,+88.90,+59.57%,+18.75%,+20.41%,+108.26%
DIOD,"Diodes Inc",37.8,+42.70,+31.85%,-1.43%,+12.67%,+40.52%
DNR,"Denbury Resources",5.22,+307.70,+136.20%,+14.47%,+23.99%,+397.14%
DORM,"Dorman Products Inc",80.83,+30.00,+32.20%,+13.43%,+22.60%,+26.38%
DPLO,"Diplomat Pharmacy Inc",19.75,+8.80,-1.59%,-7.28%,-18.22%,+18.90%
DRH,"Diamondrock Hospitality Company",11.72,+8.10,+3.81%,-3.06%,-6.91%,+9.53%
DSPG,"D S P Group Inc",12.9,+6.80,+3.20%,-1.15%,+2.38%,+7.95%
DSW,"DSW Inc",27.36,+41.70,+27.79%,+1.41%,+8.14%,+43.10%
DXPE,"Dxp Enterprise",48.56,+89.20,+64.22%,+12.30%,+21.25%,+87.06%
EBIX,"Ebix Inc",78.45,+26.40,-1.01%,-5.37%,+3.56%,+35.03%
EBS,"Emergent Biosolutions",59.88,+64.30,+28.86%,+10.91%,+18.32%,+65.92%
ECHO,"Echo Global Logistic",33.4,+109.90,+19.29%,+8.79%,+20.58%,+148.33%
ECOL,"US Ecology Inc",72.6,+60.70,+42.35%,+10.84%,+21.91%,+55.46%
ECPG,"Encore Capital Grp",40,-2.70,-4.99%,+8.70%,unch,+1.14%
EE,"El Paso Electric Company",63.2,+19.70,+14.18%,+3.61%,+9.53%,+14.80%
EFII,"Elec Imaging Inc",34.75,+18.60,+17.68%,+1.64%,+5.18%,+8.12%
EGHT,"8X8 Inc",22.7,+72.70,+60.99%,+3.42%,+2.95%,+73.28%
EGL,"Engility Holdings Inc",34.82,+25.90,+22.74%,+1.58%,+15.22%,+16.03%
EGOV,"Nic Inc",17.05,+12.10,+2.71%,+4.92%,+11.44%,+4.60%
EGP,"Eastgroup Properties",96.93,+14.00,+9.67%,+5.18%,+6.14%,+12.57%
EGRX,"Eagle Pharmaceutical",80.6,+54.90,+50.88%,-0.64%,+19.76%,+48.16%
EHTH,"Ehealth Inc",29.93,+57.40,+72.31%,+23.27%,+47.95%,+55.64%
EIG,"Employers Holdings Inc",44.8,+8.80,+0.90%,+4.92%,+10.75%,+8.61%
ELY,"Callaway Golf Company",23.08,+80.70,+65.69%,+21.09%,+22.38%,+73.80%
ENDP,"Endo Int'l Plc",15.54,+116.10,+100.52%,+33.62%,+148.24%,+76.79%
ENSG,"The Ensign Group In",38.79,+96.50,+74.73%,+3.55%,+8.20%,+95.22%
