Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",38.23,-49.70,+1.08%,-12.62%,+16.20%,-60.02%
AAON,"Aaon Inc",36.35,+8.42,-0.95%,+9.82%,+3.12%,+3.27%
AAT,"American Assets Trust",37.39,-3.59,-2.22%,-2.58%,+14.17%,-6.03%
AAWW,"Atlas Air Ww",67.9,+15.87,+15.77%,-7.68%,+7.35%,+16.37%
AAXN,"Axon Inc",72.21,+174.74,+172.49%,+6.74%,+68.71%,+184.63%
ABAX,"Abaxis Inc",83.12,+72.00,+67.85%,-0.11%,+14.74%,+61.81%
ABCB,"Ameris Bancorp",50.9,+6.92,+5.60%,-10.23%,-2.96%,+8.07%
ABG,"Asbury Automotive Group Inc",70,+22.67,+9.38%,-6.42%,+1.01%,+23.24%
ABM,"ABM Industries Incorporated",29.88,-32.92,-20.78%,-1.97%,-6.57%,-31.95%
ACET,"Aceto Cp",3.12,-49.30,-69.80%,-22.00%,+26.32%,-79.54%
ACLS,"Axcelis Tech Inc",21.33,-13.44,-25.70%,+4.28%,-4.80%,-7.88%
ACOR,"Acorda Therapeutics",28.7,+63.24,+33.80%,-2.55%,+24.24%,+28.13%
ADC,"Agree Realty Corp",52.71,+8.76,+2.47%,-1.90%,+10.00%,+12.20%
ADTN,"Adtran Inc",16.55,-24.22,-14.47%,+15.33%,+12.59%,-29.87%
AEGN,"Aegion Corp",25.13,+6.14,-1.18%,-3.46%,+4.62%,+6.30%
AEIS,"Advanced Energy",58.84,-22.05,-12.80%,-3.30%,-1.75%,-21.56%
AEL,"American Equity Investment Life",35.23,+25.80,+14.64%,-2.57%,+13.28%,+25.55%
AGYS,"Agilysys Inc",16.59,+71.37,+35.10%,+7.31%,+34.77%,+60.91%
AHH,"Armada Hoffler Properties Inc",15.09,+13.10,-2.83%,-0.66%,+14.15%,+14.67%
AIN,"Albany International Corp",64.4,+16.74,+4.80%,+4.89%,+4.29%,+19.93%
AIR,"AAR Corp",46.4,+26.72,+18.10%,-1.88%,+4.22%,+27.82%
AIT,"Applied Industrial Technologies",74.05,+27.64,+8.74%,-1.00%,+4.74%,+29.91%
AJRD,"Aerojet Rocketdyne Holdings",29.05,+14.06,-6.89%,-0.51%,-2.45%,+22.32%
AKR,"Acadia Realty Trust",26.59,-7.04,-2.81%,-6.34%,+17.55%,-7.09%
AKS,"AK Steel Holding Corp",5.21,+6.61,-7.95%,+6.76%,+10.85%,-13.60%
ALG,"Alamo Group",89.89,-12.18,-20.36%,-2.38%,-19.21%,-2.55%
ALGT,"Allegiant Travel Com",139.7,+0.45,-9.73%,-3.09%,-2.72%,-3.49%
ALRM,Alarm.Com,43.54,+14.03,+15.34%,+15.80%,+5.91%,+15.31%
AMAG,"Amag Pharmaceuticals",21.25,-2.41,+60.38%,-2.30%,+9.82%,+7.05%
AMBC,"Ambac Financial Grp",20.37,+12.90,+27.47%,+2.77%,+14.63%,+0.30%
AMED,"Amedisys Inc",93.95,+115.06,+78.24%,+8.11%,+41.41%,+59.78%
AMN,"Amn Healthcare Services Inc",60.6,+56.14,+23.05%,-0.33%,-9.75%,+58.64%
AMPH,"Amphastar Pharma",17.17,-3.43,-10.76%,+8.88%,-10.81%,-3.27%
AMSF,"Amerisafe Inc",62.35,+7.66,+1.22%,+4.79%,+10.26%,+10.06%
AMWD,"Amer Woodmark Cp",83.3,-29.54,-36.05%,-11.05%,-1.59%,-15.69%
ANDE,"Andersons Inc",34.8,+3.71,+11.72%,-0.57%,+7.08%,+2.81%
ANF,"Abercrombie & Fitch Company",24.4,+98.10,+39.99%,-12.64%,-9.70%,+162.65%
ANGO,"Angiodynamics Inc",21.39,+32.88,+28.62%,-6.06%,+8.25%,+27.32%
ANIK,"Anika Therapeutics",34.34,-27.18,-36.30%,+10.88%,-23.35%,-27.48%
ANIP,"ANI Pharma Inc",71.14,+44.69,+10.38%,+4.49%,+22.57%,+45.93%
APEI,"American Pub. Edu.",43.75,+78.09,+74.65%,+0.23%,+6.58%,+92.73%
APOG,"Apogee Entrpr Inc",48.53,-0.57,+6.12%,+10.10%,+16.77%,-7.91%
ARCB,"Arcbest Corp",44.2,+33.57,+23.64%,-7.53%,+34.55%,+106.54%
ARI,"Apollo Commercial Real Estate",18.85,+5.63,+2.17%,+0.43%,+5.90%,+3.57%
AROC,"Archrock Inc",12.6,+21.33,+20.00%,+4.13%,+18.31%,+14.03%
ARR,"Armour Residential R",22.94,-9.07,-10.81%,-0.17%,+1.10%,-8.46%
ASGN,"On Assignment",83.83,+64.23,+30.43%,+3.24%,+2.29%,+58.50%
ASIX,"Advansix Inc",38.99,+9.78,-7.32%,+1.72%,+6.68%,+14.31%
ASNA,"Ascena Retail Grp",3.55,+32.06,+51.06%,-16.47%,+62.10%,+74.02%
ASTE,"Astec Inds Inc",48.25,-12.08,-17.52%,-20.09%,-12.48%,-12.67%
ATNI,"Atn International",54.05,-10.07,-2.19%,+7.93%,-18.39%,-17.37%
ATU,"Actuant Corp",27.6,+16.77,+9.09%,-7.23%,+16.21%,+14.52%
AVA,"Avista Corp",50.28,-4.59,-2.35%,-4.66%,-3.25%,-4.01%
AVAV,"Aerovironment Inc",73.35,+75.26,+30.61%,+23.44%,+34.07%,+91.81%
AVD,"American Vanguard Corp",21,+10.78,+6.87%,-9.48%,-5.62%,+15.38%
AVP,"Avon Products",1.47,-61.30,-31.63%,-9.82%,-42.35%,-59.73%
AWR,"American States Water Company",60.17,+21.99,+3.90%,+3.38%,+8.32%,+23.86%
AXE,"Anixter International Inc",71.6,-1.10,-5.79%,+9.73%,-8.79%,-9.19%
AXL,"American Axle & Manufacturing",15.98,+0.52,-6.17%,-8.21%,+1.33%,+3.56%
AZZ,"Azz Inc",54.85,+16.41,+7.34%,+23.81%,+20.81%,+8.72%
B,"Barnes Group",61.59,+0.39,-2.66%,+3.39%,+0.64%,+2.22%
BABY,"Natus Medical Inc",31.83,-12.32,-16.69%,-13.40%,-11.35%,-17.23%
BANC,"First Pactrust Bancorp",19.1,-6.22,-7.51%,-1.55%,+0.79%,-5.45%
BANR,"Banner Corp",62.07,+10.40,+12.61%,-0.02%,+6.81%,+10.58%
