Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",40.27,"24% Buy",48.55%,62.68%,1362110,22.54,71.29
AAON,"Aaon Inc",42.15,"100% Buy",81.74%,19.03%,193585,29.05,42.25
AAT,"American Assets Trust",39.64,"96% Buy",62.84%,16.98%,184300,30.62,41.69
AAWW,"Atlas Air Ww",61.2,"72% Sell",37.92%,26.34%,308840,50.65,75.29
AAXN,"Axon Inc",64.16,Hold,48.39%,56.19%,943275,20.57,76.45
ABCB,"Ameris Bancorp",49.65,"16% Sell",44.74%,28.03%,398175,41.05,59.05
ABG,"Asbury Automotive Group Inc",76.05,"96% Buy",63.86%,18.71%,263360,50.25,76.5
ABM,"ABM Industries Incorporated",32.29,"88% Buy",63.74%,11.96%,569990,28.17,44.83
ACET,"Aceto Cp",3.31,"16% Sell",48.96%,46.60%,166400,2.22,16.11
ACLS,"Axcelis Tech Inc",19.15,"88% Sell",36.86%,36.86%,412860,18.75,37.05
ACOR,"Acorda Therapeutics",28.35,"32% Buy",54.23%,64.67%,479330,16.55,36.35
ADC,"Agree Realty Corp",56.13,"100% Buy",65.56%,13.78%,137235,43.74,56.28
ADTN,"Adtran Inc",16.55,"88% Buy",59.62%,21.41%,258915,13.95,25.1
AEGN,"Aegion Corp",25,Hold,49.58%,20.80%,77535,19.81,28.19
AEIS,"Advanced Energy",57.49,"96% Sell",41.02%,24.09%,490345,56.22,95
AEL,"American Equity Investment Life",37.41,"100% Buy",63.81%,16.53%,358695,25.43,38.56
AGYS,"Agilysys Inc",15.85,"24% Buy",52.14%,36.50%,104325,10,16.8
AHH,"Armada Hoffler Properties Inc",16.04,"96% Buy",65.57%,15.19%,301905,12.73,16.14
AIN,"Albany International Corp",77.05,"96% Buy",71.25%,56.83%,174960,50.3,78.3
AIR,"AAR Corp",45.1,"48% Sell",44.70%,19.05%,146645,34.25,49.05
AIT,"Applied Industrial Technologies",77.15,"100% Buy",59.86%,27.90%,219990,54,77.53
AJRD,"Aerojet Rocketdyne Holdings",35.81,"88% Buy",65.18%,73.63%,973240,24.41,37.7
AKR,"Acadia Realty Trust",28.47,"88% Buy",64.40%,20.77%,405710,21.34,30.63
AKS,"AK Steel Holding Corp",4.4,"32% Sell",45.71%,59.29%,15044045,4,6.8
ALG,"Alamo Group",98.83,"64% Buy",62.96%,19.46%,83300,87.54,120.58
ALGT,"Allegiant Travel Com",136.75,"16% Sell",51.01%,65.39%,204970,111.54,181.45
ALRM,Alarm.Com,55.68,"100% Buy",79.76%,35.00%,484930,33.39,56
AMAG,"Amag Pharmaceuticals",24.1,"32% Buy",55.97%,34.51%,624325,11.93,26.1
AMBC,"Ambac Financial Grp",21.94,"88% Buy",66.71%,21.20%,384275,13.17,23.34
AMED,"Amedisys Inc",119.51,"96% Buy",82.17%,40.12%,444435,45.6,121.67
AMN,"Amn Healthcare Services Inc",57,"72% Sell",46.69%,49.66%,489715,36.9,68.2
AMPH,"Amphastar Pharma",17.96,"64% Buy",58.56%,24.73%,135935,14.4,20.45
AMSF,"Amerisafe Inc",63.25,"64% Buy",58.27%,13.77%,69520,51.55,67.82
AMWD,"Amer Woodmark Cp",83.5,"72% Sell",44.25%,32.01%,128570,78.75,148.44
ANDE,"Andersons Inc",40.9,"96% Buy",73.72%,44.52%,157215,29.6,41.7
ANF,"Abercrombie & Fitch Company",28.28,"48% Buy",58.57%,60.14%,2052320,9.03,29.69
ANGO,"Angiodynamics Inc",22.04,"56% Buy",55.39%,17.97%,187090,15.16,23.95
ANIK,"Anika Therapeutics",41.22,"56% Buy",56.83%,66.06%,170120,28.54,69.81
ANIP,"ANI Pharma Inc",56.13,"72% Sell",27.67%,53.71%,139880,44.97,74.7
APEI,"American Pub. Edu.",36.15,"72% Sell",33.43%,86.17%,131800,17.4,46.15
APOG,"Apogee Entrpr Inc",49.63,"72% Buy",55.97%,20.84%,138090,37.24,51.33
ARCB,"Arcbest Corp",47.1,"32% Buy",53.35%,45.68%,309530,25.02,50.45
ARI,"Apollo Commercial Real Estate",19.27,"100% Buy",62.32%,9.01%,1107615,17.56,19.35
AROC,"Archrock Inc",12.55,"24% Buy",49.38%,38.83%,686385,8.25,13.75
ARR,"Armour Residential R",23.72,"64% Buy",57.50%,11.19%,496880,21.4,27.55
ASGN,"On Assignment",90.21,"24% Buy",56.89%,32.57%,322890,44.66,94.25
ASIX,"Advansix Inc",33.11,"80% Sell",36.52%,45.37%,214435,30.36,46.51
ASNA,"Ascena Retail Grp",4.71,"96% Buy",66.94%,50.52%,1699120,1.69,4.95
ASTE,"Astec Inds Inc",46.54,"80% Sell",35.46%,87.43%,301745,44.92,64.8
ATNI,"Atn International",74.25,"96% Buy",73.33%,73.98%,59600,49.34,74.71
ATU,"Actuant Corp",29.1,"96% Buy",60.25%,18.54%,280940,21.5,30.05
AVA,"Avista Corp",51.17,"16% Sell",49.99%,6.13%,417730,47.5,52.91
AVAV,"Aerovironment Inc",85.12,"96% Buy",74.87%,24.55%,252595,37.07,86.19
AVD,"American Vanguard Corp",19.05,"96% Sell",32.77%,27.68%,74925,18.01,24
AVP,"Avon Products",2.05,"64% Buy",69.26%,54.21%,7481560,1.38,2.99
AWR,"American States Water Company",60.85,"88% Buy",57.62%,18.85%,199210,47.53,61.66
AXE,"Anixter International Inc",72.7,"80% Buy",58.18%,23.41%,219475,56.25,88.85
AXL,"American Axle & Manufacturing",17.7,"80% Buy",58.06%,41.19%,1933190,13.38,20.27
AZZ,"Azz Inc",53.7,"56% Buy",58.06%,12.94%,119565,39.5,56.05
B,"Barnes Group",67.99,"96% Buy",63.97%,33.16%,216525,52.42,72.87
BABY,"Natus Medical Inc",35.8,"72% Buy",52.02%,38.25%,349780,28,43.6
BANC,"First Pactrust Bancorp",20,"32% Buy",53.27%,31.72%,413150,17.1,23.4
BANR,"Banner Corp",66.04,"96% Buy",64.83%,17.38%,140660,52.2,66.5
BCC,"Boise Cascade L.L.C.",46.3,"64% Buy",58.69%,20.71%,442355,28,49.3
BCOR,"Blucora Inc",35.2,"8% Buy",46.71%,39.08%,416315,19.05,40.6
BCPC,"Balchem Cp",103.32,"88% Buy",57.68%,29.54%,96585,70.23,105.29
BEAT,"Biotelemetry Inc",56.2,"88% Buy",61.56%,53.30%,469160,23.3,58.5
BEL,"Belmond Ltd",15.95,"96% Buy",80.05%,105.69%,779270,10.3,16.2
BELFB,"Bel Fuse Inc Cl B",25.95,"96% Buy",63.95%,52.74%,16945,17.1,33.45
BFS,"Saul Centers",59.21,"96% Buy",69.34%,20.78%,39135,46.71,65.43
BGFV,"Big 5 Sporting",5.85,"72% Sell",37.04%,41.97%,293965,5.05,9.75
BGG,"Briggs & Stratton Corp",20.96,"56% Buy",72.08%,38.50%,421705,16.26,27.34
BGS,"B&G Foods Holdings",32.8,"100% Buy",61.73%,21.01%,657835,22,39.75
BHE,"Benchmark Electronics",25.95,"32% Sell",43.06%,68.80%,459015,23.98,35.8
BHLB,"Berkshire Hills Bancorp",41.9,"40% Buy",55.61%,17.06%,180635,32.95,44.25
BJRI,"Bj's Restaurants Inc",66.8,"80% Buy",63.78%,33.85%,377030,28,73.05
BKE,"Buckle Inc",26.75,"64% Buy",56.86%,43.47%,405655,13.6,28.8
BKS,"Barnes & Noble",5.95,"16% Buy",50.65%,25.01%,845260,4.1,8
BLD,"Topbuild Corp",68.91,"100% Sell",37.11%,50.57%,382550,54.52,87.21
BMI,"Badger Meter",54.05,"96% Buy",66.16%,23.68%,120360,41,54.3
BNED,"Barnes & Noble Education Inc C",6.48,"40% Buy",61.75%,37.79%,258525,4.99,9.1
BOFI,"Bofi Holding Inc",37.8,"88% Sell",42.53%,45.96%,711975,24.2,45.18
BPFH,"Boston Pvt Finl Hldg",13.9,"80% Sell",30.53%,15.49%,445550,13.77,17.85
BRC,"Brady Corp",38.35,"24% Buy",53.11%,18.09%,242385,32.45,40.9
BRKL,"Brookline Bancorp",18,"32% Sell",44.99%,13.45%,294115,13.63,19.35
BRKS,"Brooks Automation",28.71,"80% Sell",38.41%,31.92%,611085,21.75,36.45
BRS,"Bristow Group Inc",10.77,"88% Sell",32.96%,50.04%,789595,7.48,18.91
CACI,"Caci International",188.95,"100% Buy",65.95%,25.95%,142145,121.6,191.73
CAL,"Caleres Inc",37.05,"100% Buy",60.31%,31.10%,260620,22.39,37.23
CALM,"Cal-Maine Foods In",49.55,"40% Buy",61.89%,18.21%,385130,34.03,52.3
CAMP,"Calamp Corp",23.5,"64% Buy",56.18%,16.82%,293760,17.52,25.45
CASH,"Meta Financial Grp",86.85,"96% Sell",32.88%,28.95%,71215,64,117.97
CATM,"Cardtronics Inc",36.39,"96% Buy",71.40%,95.42%,649770,15.8,37.87
CATO,"Cato Corp",23.87,"32% Sell",48.06%,38.48%,282685,10.76,26.88
CBB,"Cincinnati Bell Inc",12.95,"48% Sell",47.82%,124.64%,596540,9.9,22.2
CBL,"Cbl & Associates Properties",4.66,"56% Sell",43.30%,67.48%,3789420,3.8,9.1
CBM,"Cambrex Corp",62.8,"56% Buy",61.34%,35.87%,410620,42.55,67.75
CBU,"Community Bank System",65.63,"100% Buy",62.84%,14.76%,180240,48.89,66.11
CCMP,"Cabot Microelectron",109.06,"40% Sell",37.36%,37.85%,245225,68.2,123.76
CCOI,"Cogent Comm Hldgs",52.65,"32% Buy",52.83%,17.62%,232800,35.75,57.65
CCRN,"Cross Ctry Hlthcr",9.75,"72% Sell",41.08%,137.75%,400430,7.41,14.65
CDR,"Cedar Shopping Centers Inc",4.64,"32% Buy",50.27%,30.84%,318080,3.54,6.29
CECO,"Career Education",16.72,"8% Sell",45.20%,28.73%,381565,8.52,19.07
CEIX,"Consol Energy Inc",42.97,"72% Buy",52.97%,49.45%,340195,19.51,48.12
CENT,"Central Garden",39.92,"56% Sell",40.20%,22.70%,204370,33.99,45.02
CENTA,"Central Garden & Pet",36.54,"72% Sell",37.13%,22.93%,564970,32.57,41.97
CENX,"Century Aluminum C",11.93,"80% Sell",37.74%,56.27%,1792160,11.04,24.77
CEVA,"Ceva Inc",28.05,"96% Sell",39.35%,67.99%,181815,26.1,51.8
CHCO,"City Holding Co",81.69,"72% Buy",60.07%,12.84%,45190,59.33,82.75
CHCT,"Community Healthcare Trust Inc",31.55,"64% Buy",61.95%,20.69%,147800,22.41,32.81
CHS,"Chico's Fas",10.16,"80% Buy",64.29%,38.35%,2134995,6.96,10.9
CHSP,"Chesapeake Lodging Trust",32.38,"32% Buy",54.44%,19.88%,228310,24.43,32.95
CHUY,"Chuy's Holdings Inc",27.45,"56% Sell",36.69%,63.40%,130675,18,34.1
CIR,"Circor International",44.48,"40% Buy",56.49%,30.36%,169765,35.16,56.37
CJ,"C&J Energy Services Inc",23.49,"32% Sell",49.30%,46.12%,769785,21.22,36.57
CKH,"Seacor Smit Inc",50.91,"88% Sell",42.59%,21.11%,113640,35.8,59
CLD,"Cloud Peak Energy Inc",2.45,"48% Sell",37.49%,62.34%,707945,2.22,5.7
CLDT,"Chatham Lodging Trust [Reit]",21.76,"72% Buy",56.97%,17.89%,252745,17.9,23.91
CLW,"Clearwater Paper Corp",28.65,"72% Buy",66.83%,57.46%,214020,21.55,50.6
CMO,"Capstead Mortgage Corp",8.38,"16% Sell",42.33%,13.67%,749035,8.01,9.98
CMTL,"Comtech Telecom Co",35.54,"100% Buy",63.04%,22.05%,90560,17.11,35.84
CNMD,"C O N M E D Cp",78.26,"80% Buy",59.13%,28.26%,141565,48.03,83.49
CNSL,"Consolidated Communications Holdings Inc",11.95,"16% Buy",49.39%,53.71%,719025,10.31,20.72
COHU,"Cohu Inc",25.56,"16% Buy",49.49%,34.29%,212295,17.28,27.83
COKE,"Coca Cola Bot Cons",172.29,"80% Buy",73.10%,33.85%,73835,125.08,230
COLB,"Columbia Banking Sys",42.57,"24% Buy",53.60%,19.06%,214285,35.67,48.06
CORE,"Core Mark Holding",34.04,"96% Buy",87.03%,48.84%,430910,17.1,34.79
CORT,"Corcept Therapeutics",13.04,"56% Sell",41.13%,43.19%,1534015,11.55,25.96
CPF,"Central Pacific Financial Co",28.71,"16% Sell",51.44%,15.31%,120775,27.19,33.15
CPS,"Cooper Std Hldg Inc",140.66,"72% Buy",56.77%,26.44%,161960,98.15,146.77
CPSI,"Computer Programs",27.25,"64% Sell",33.76%,63.37%,210155,25.15,34.65
CRAY,"Cray Inc",21.3,"72% Sell",36.65%,39.45%,339770,17.6,28.6
CROX,"Crocs Inc",19.53,"100% Buy",60.25%,47.78%,1216595,8.56,19.66
CRR,"Carbo Ceramics",7.88,"80% Sell",38.14%,50.78%,349795,6.1,12.69
CRVL,"Corvel Cp",59.5,"100% Buy",62.68%,31.64%,25975,46.45,61.2
CRY,Cryolife,32.05,"88% Buy",60.07%,44.91%,150250,16.8,34.15
CRZO,"Carrizo Oil & Gas",22.79,"64% Sell",35.49%,47.41%,2795865,11.1,31.57
CSGS,"C S G Sys Intl",37.69,"72% Sell",35.87%,23.53%,184590,36.38,48.82
CTB,"Cooper Tire & Rubber Company",30.45,"96% Buy",61.72%,47.00%,769880,22.58,40.78
CTRE,"Caretrust REIT Inc",18.15,"96% Buy",65.57%,20.05%,712870,12.73,19.82
CTRL,"Control4 Corp",32.61,"96% Buy",69.31%,72.87%,439215,20.5,35.99
CTS,"Cts Corp",34.85,"24% Sell",46.38%,18.19%,132370,21.55,39.2
CUB,"Cubic Corp",73.2,"88% Buy",59.33%,33.73%,115005,41.25,77.35
