Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
BGFV,"Big 5 Sporting",123223000,47.08,0.12,1100000,-0.69,0.6,10.62%
BGG,"Briggs & Stratton Corp",733497000,13.58,1.28,56650000,0.64,0.56,3.22%
BGS,"B&G Foods Holdings",2070202000,15.12,2.05,217460000,0.47,1.9,6.13%
BHE,"Benchmark Electronics",1188045000,16.07,1.59,-31970000,0.23,0.6,2.35%
BHLB,"Berkshire Hills Bancorp",1873575000,16.11,2.56,55250000,0.74,0.88,2.13%
BJRI,"Bj's Restaurants Inc",1343178000,32.27,1.98,44780000,0.76,0.44,0.69%
BKE,"Buckle Inc",1274724000,13.29,1.9,89710000,0.65,1,3.96%
BKS,"Barnes & Noble",444019000,12.35,0.49,-125480000,1.85,0.6,9.92%
BLD,"Topbuild Corp",2723965000,22.76,3.07,158130000,0.5,0,0.00%
BMI,"Badger Meter",1520998000,43.38,1.2,34570000,0.72,0.52,1.00%
BNED,"Barnes & Noble Education Inc C",295127000,0,-5.4,-252570000,0.32,0,0.00%
BOFI,"Bofi Holding Inc",2333741000,14.9,2.4,134740000,0.12,0,0.00%
BPFH,"Boston Pvt Finl Hldg",1188209000,15.84,0.89,40590000,0.96,0.48,3.40%
BRC,"Brady Corp",1932489000,19.36,1.94,95650000,1.09,0.83,2.21%
BRKL,"Brookline Bancorp",1439518000,19.3,0.93,50520000,0.85,0.4,2.23%
BRKS,"Brooks Automation",2115668000,19.85,1.41,62610000,1,0.4,1.33%
BRS,"Bristow Group Inc",419107000,0,-2.15,-195660000,2.96,0,0.00%
CACI,"Caci International",4449705000,23.44,7.76,163670000,1.45,0,0.00%
CAL,"Caleres Inc",1528926000,16.02,2.19,87200000,0.84,0.28,0.80%
CALM,"Cal-Maine Foods In",2341535000,15.79,2.97,125930000,0.54,1.4,2.99%
CAMP,"Calamp Corp",820260000,24.46,0.95,16620000,1.75,0,0.00%
CASH,"Meta Financial Grp",872030000,13.65,6.63,44920000,1.02,0.52,0.57%
CATM,"Cardtronics Inc",1395144000,11.29,1.98,-145350000,0.84,0,0.00%
CATO,"Cato Corp",616199000,26.76,0.88,8540000,0.71,1.32,5.61%
CBB,"Cincinnati Bell Inc",579348000,0,-0.27,35100000,1.24,0,0.00%
CBL,"Cbl & Associates Properties",766610000,2.28,-0.12,120940000,1.14,0.8,18.06%
CBM,"Cambrex Corp",2042164000,16.91,3.75,102450000,2.4,0,0.00%
CBU,"Community Bank System",3245260000,20.16,3.16,150720000,1,1.36,2.13%
CCMP,"Cabot Microelectron",3094105000,25.44,4.82,86950000,1.37,1.6,1.31%
CCOI,"Cogent Comm Hldgs",2352693000,104.17,0.48,5880000,0.5,2.08,4.16%
CCRN,"Cross Ctry Hlthcr",338586000,18.33,0.51,37510000,0.86,0,0.00%
CDR,"Cedar Shopping Centers Inc",405884000,7.5,-0.21,19140000,0.87,0.2,4.44%
CECO,"Career Education",1181754000,31.37,0.54,-31900000,2.77,0,0.00%
CEIX,"Consol Energy Inc",1217343000,0,4.84,67630000,N/A,0,0.00%
CENT,"Central Garden",2085390000,21.31,1.92,78830000,0.05,0,0.00%
CENTA,"Central Garden & Pet",1909476000,19.05,1.92,78830000,0.32,0,0.00%
CENX,"Century Aluminum C",1064340000,17.59,0.69,48580000,0.78,0,0.00%
CEVA,"Ceva Inc",657712000,114.23,0.52,17030000,1.06,0,0.00%
CHCO,"City Holding Co",1241438000,18.06,4.45,54310000,0.67,1.84,2.29%
CHCT,"Community Healthcare Trust Inc",580944000,21.56,0.23,3510000,0.79,1.6,5.05%
CHS,"Chico's Fas",1251560000,14.63,0.65,101000000,0.75,0.34,3.58%
CHSP,"Chesapeake Lodging Trust",1886896000,13.84,1.21,76240000,0.92,1.6,5.09%
CHUY,"Chuy's Holdings Inc",443243000,32.58,0.88,28960000,-0.23,0,0.00%
CIR,"Circor International",878317000,22.44,1.97,11790000,1.87,0.08,0.17%
CJ,"C&J Energy Services Inc",1663882000,16.19,1.46,22460000,0.91,0,0.00%
CKH,"Seacor Smit Inc",936872000,37.39,1.37,61640000,0.79,0,0.00%
CLD,"Cloud Peak Energy Inc",198544000,0,-0.61,-6640000,1.94,0,0.00%
CLDT,"Chatham Lodging Trust [Reit]",954304000,10.42,0.83,29480000,1.07,1.32,6.30%
CLW,"Clearwater Paper Corp",406315000,15.12,1.66,97340000,1.03,0,0.00%
CMO,"Capstead Mortgage Corp",759425000,14.82,0.55,79590000,0.1,0.56,6.87%
CMTL,"Comtech Telecom Co",816289000,53.15,0.65,15830000,1.55,0.4,1.16%
CNMD,"C O N M E D Cp",2148166000,36.24,2.1,55490000,0.55,0.8,1.05%
CNSL,"Consolidated Communications Holdings Inc",802275000,0,-0.23,64950000,0.78,1.55,13.70%
COHU,"Cohu Inc",756051000,17.3,1.52,32840000,1.11,0.24,0.91%
