Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",40.61,"24% Buy",49.36%,53.24%,1295355,22.54,71.29
AAON,"Aaon Inc",42.75,"100% Buy",83.08%,18.48%,194945,29.05,43.2
AAT,"American Assets Trust",39.62,"96% Buy",62.63%,16.87%,176880,30.62,41.69
AAWW,"Atlas Air Ww",62.2,"24% Sell",41.40%,27.38%,314055,50.65,75.29
AAXN,"Axon Inc",63.81,Hold,47.80%,55.29%,907920,20.57,76.45
ABCB,"Ameris Bancorp",50.05,"16% Sell",46.76%,26.99%,400400,41.05,59.05
ABG,"Asbury Automotive Group Inc",77.4,"96% Buy",67.13%,19.18%,254720,50.3,77.75
ABM,"ABM Industries Incorporated",32.95,"88% Buy",67.90%,13.07%,579865,28.17,44.83
ACET,"Aceto Cp",3.31,"16% Sell",49.13%,45.74%,160885,2.22,16.11
ACLS,"Axcelis Tech Inc",19.5,"80% Sell",39.54%,37.62%,396985,18.75,37.05
ACOR,"Acorda Therapeutics",28.9,"56% Buy",56.55%,64.52%,475780,16.55,36.35
ADC,"Agree Realty Corp",56.3,"100% Buy",66.32%,13.37%,134130,43.74,56.3
ADTN,"Adtran Inc",16.9,"100% Buy",63.52%,22.38%,242530,13.95,25.1
AEGN,"Aegion Corp",25.51,"48% Buy",54.14%,21.93%,80065,19.81,28.19
AEIS,"Advanced Energy",58.45,"72% Sell",44.60%,24.74%,480620,56.22,95
AEL,"American Equity Investment Life",37.57,"96% Buy",64.77%,16.17%,369355,25.43,38.56
AGYS,"Agilysys Inc",15.99,"64% Buy",53.81%,36.46%,95715,10,16.8
AHH,"Armada Hoffler Properties Inc",16.1,"96% Buy",66.44%,15.18%,299085,12.73,16.17
AIN,"Albany International Corp",78.2,"96% Buy",72.83%,56.85%,180175,50.8,78.9
AIR,"AAR Corp",45.99,"8% Buy",49.11%,20.40%,148690,34.25,49.05
AIT,"Applied Industrial Technologies",78.3,"100% Buy",62.45%,27.78%,223300,54,78.9
AJRD,"Aerojet Rocketdyne Holdings",36.62,"96% Buy",67.69%,72.82%,952240,24.41,37.7
AKR,"Acadia Realty Trust",28.58,"88% Buy",65.18%,20.25%,418370,21.34,30.63
AKS,"AK Steel Holding Corp",4.47,"16% Sell",47.64%,58.07%,14470200,4,6.8
ALG,"Alamo Group",99.99,"64% Buy",65.28%,19.14%,83060,87.54,120.58
ALGT,"Allegiant Travel Com",136.6,"16% Sell",50.81%,64.27%,196950,111.54,181.45
ALRM,Alarm.Com,56.71,"96% Buy",81.01%,32.88%,492705,33.39,57.02
AMAG,"Amag Pharmaceuticals",24.75,"56% Buy",59.46%,34.18%,615570,11.93,26.1
AMBC,"Ambac Financial Grp",21.7,"80% Buy",62.61%,21.61%,396165,13.17,23.34
AMED,"Amedisys Inc",119.92,"96% Buy",82.43%,38.06%,443450,45.6,121.67
AMN,"Amn Healthcare Services Inc",58.3,"16% Sell",50.16%,50.46%,480325,36.9,68.2
AMPH,"Amphastar Pharma",18.22,"88% Buy",60.88%,25.06%,138595,14.4,20.45
AMSF,"Amerisafe Inc",63.2,"56% Buy",57.92%,13.77%,72335,51.55,67.82
AMWD,"Amer Woodmark Cp",86.6,"8% Sell",49.93%,31.79%,123500,78.75,148.44
ANDE,"Andersons Inc",41.25,"96% Buy",74.71%,44.15%,159630,29.6,41.7
ANF,"Abercrombie & Fitch Company",28.35,"64% Buy",58.78%,54.66%,2054760,9.14,29.69
ANGO,"Angiodynamics Inc",22.43,"64% Buy",58.53%,17.97%,181935,15.16,23.95
ANIK,"Anika Therapeutics",41.22,"56% Buy",56.83%,65.36%,165260,28.54,69.81
ANIP,"ANI Pharma Inc",56.71,"56% Sell",30.22%,53.72%,140115,44.97,74.7
APEI,"American Pub. Edu.",35.75,"72% Sell",32.48%,86.17%,129870,17.4,46.15
APOG,"Apogee Entrpr Inc",50.45,"80% Buy",59.54%,21.47%,137875,37.24,51.33
ARCB,"Arcbest Corp",47.75,"80% Buy",55.08%,37.07%,295140,25.1,50.45
ARI,"Apollo Commercial Real Estate",19.44,"100% Buy",65.87%,9.37%,1102520,17.56,19.5
AROC,"Archrock Inc",12.55,"16% Buy",49.38%,38.74%,709550,8.25,13.75
ARR,"Armour Residential R",23.82,"80% Buy",59.30%,11.20%,498140,21.4,27.55
ASGN,"On Assignment",91.34,"64% Buy",59.17%,32.04%,320080,44.66,94.25
ASIX,"Advansix Inc",33.36,"72% Sell",37.73%,45.37%,215255,30.36,46.51
ASNA,"Ascena Retail Grp",4.86,"96% Buy",69.15%,49.25%,1680030,1.69,4.95
ASTE,"Astec Inds Inc",48.31,"16% Sell",41.43%,39.18%,245970,44.92,64.8
ATNI,"Atn International",75.58,"96% Buy",74.78%,73.39%,62535,49.34,75.81
ATU,"Actuant Corp",29.45,"96% Buy",62.76%,18.76%,279660,21.5,30.05
AVA,"Avista Corp",51.36,"8% Sell",52.56%,6.15%,422475,47.5,52.91
AVAV,"Aerovironment Inc",86.18,"96% Buy",76.06%,22.95%,234505,37.52,87.53
AVD,"American Vanguard Corp",19.8,"88% Sell",40.59%,31.03%,76485,18.01,24
