Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
FCF,"First Commonwealth Financial Corp",16.7,"16% Buy",50.36%,12.69%,325390,12.06,17.91
FCFS,"First Cash Fin Svcs",81.35,"24% Sell",41.53%,14.84%,182320,57.75,95.4
FCN,"Fti Consulting",74.93,"16% Buy",53.48%,23.98%,440965,32.69,81.91
FCPT,"Four Corners Property Trust In",27.07,"72% Buy",69.09%,12.85%,499535,21.28,27.48
FELE,"Franklin Electric Co",48.9,"72% Buy",54.52%,16.55%,96690,37.6,50.3
FF,"Futurefuel Corp",14.81,"88% Buy",60.30%,25.84%,63570,11.32,16.22
FFBC,"First Finl Bncp [Oh]",31.4,"32% Sell",49.99%,13.50%,213965,22.8,33.7
FFIN,"First Finl Bkshs Inc",59.9,"64% Buy",62.89%,13.82%,167890,37.31,61
FIX,"Comfort Systems USA",56.5,"72% Buy",68.34%,11.57%,361525,33.1,59.05
FLOW,"SPX Flow Inc",49.08,"80% Buy",59.45%,24.45%,167825,32,54.92
FMBI,"First Midwest Bncp",27.01,"32% Buy",52.70%,13.06%,323965,20.5,27.7
FN,Fabrinet,48.06,"80% Buy",77.06%,27.53%,551995,24.02,48.97
FNSR,"Finisar Corp",20.31,"96% Buy",65.13%,35.25%,2336725,14.25,25.41
FORM,"Formfactor Inc",15.3,"100% Buy",64.15%,40.06%,484735,11.1,18.65
FORR,"Forrester Resrch",49.45,"80% Buy",68.67%,18.83%,42710,36.95,50
FOSL,"Fossil Group",22.37,"64% Sell",41.10%,86.55%,2497335,5.5,32.17
FOXF,"Fox Factory Cp",65,"64% Buy",69.00%,79.52%,251270,33.2,68.3
FRAN,"Francesca's Holdings",6.4,"72% Sell",36.02%,32.06%,801790,4.51,8.48
FRGI,"Fiesta Restaurant Gp",28.2,"24% Sell",46.70%,21.66%,202895,15.5,30.88
FSB,"Franklin Financial Network Inc",38.15,"32% Buy",50.05%,17.28%,93575,30.3,40.3
FSP,"Franklin Street Properties",8.43,"16% Buy",49.50%,17.81%,270330,7.08,11
FSS,"Federal Signal Corp",26.12,"80% Buy",57.68%,64.74%,324135,18.01,28.32
FTD,"Ftd Companies",3.53,"80% Sell",39.77%,66.40%,181420,3.25,13.95
FTK,"Flotek Industries",2.24,"56% Sell",38.65%,117.97%,978680,1.94,6.77
FTR,"Frontier Commun Cp",5.7,"32% Buy",51.79%,52.65%,2654760,4.52,14.24
FUL,"H. B. Fuller Company",57.96,"72% Buy",56.86%,14.24%,232515,46.62,59.58
FWRD,"Foward Air Corp",64,"72% Buy",57.99%,10.84%,105900,49.88,65.11
GBCI,"Glacier Bancorp Inc",45.04,"56% Buy",62.89%,12.00%,295495,31.38,45.75
