Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",41.68,-32.27,+10.21%,-12.77%,+29.48%,-39.52%
AAON,"Aaon Inc",39.75,+27.79,+8.31%,+11.19%,+34.75%,+17.95%
AAT,"American Assets Trust",38.61,+1.42,+0.97%,+1.15%,+9.59%,-5.07%
AAWW,"Atlas Air Ww",59.9,-5.88,+2.13%,-15.04%,-11.39%,-3.54%
AAXN,"Axon Inc",62.31,+132.69,+135.13%,-8.08%,+9.33%,+180.93%
ABCB,"Ameris Bancorp",49.25,+5.87,+2.18%,-3.90%,-10.13%,+9.20%
ABG,"Asbury Automotive Group Inc",75,+41.68,+17.19%,+11.36%,+6.53%,+44.51%
ABM,"ABM Industries Incorporated",31.19,-25.66,-17.31%,-0.61%,+2.97%,-29.37%
ACET,"Aceto Cp",3.22,-46.14,-68.83%,-5.85%,+15.83%,-80.05%
ACLS,"Axcelis Tech Inc",21.1,-8.60,-26.48%,+0.48%,-5.38%,unch
ACOR,"Acorda Therapeutics",28.45,+56.95,+32.63%,-4.53%,+14.72%,+31.41%
ADC,"Agree Realty Corp",54.43,+13.78,+5.81%,+0.59%,+7.53%,+10.56%
ADTN,"Adtran Inc",16.2,-21.70,-16.28%,+3.51%,+9.83%,-26.20%
AEGN,"Aegion Corp",24.89,+16.30,-2.12%,-2.85%,+0.53%,+19.20%
AEIS,"Advanced Energy",60.04,-18.14,-11.03%,+1.52%,-7.98%,-17.31%
AEL,"American Equity Investment Life",36.39,+30.17,+18.42%,+2.39%,+26.62%,+28.91%
AGYS,"Agilysys Inc",15.95,+56.11,+29.89%,-3.27%,+34.37%,+51.90%
AHH,"Armada Hoffler Properties Inc",15.59,+19.69,+0.39%,+1.37%,+12.73%,+16.08%
AIN,"Albany International Corp",76.6,+53.92,+24.65%,+21.78%,+28.52%,+49.17%
AIR,"AAR Corp",46.26,+27.49,+17.74%,+1.36%,-0.24%,+27.19%
AIT,"Applied Industrial Technologies",76.9,+36.73,+12.92%,+5.05%,+11.37%,+34.32%
AJRD,"Aerojet Rocketdyne Holdings",37.29,+42.48,+19.52%,+23.35%,+35.60%,+38.11%
AKR,"Acadia Realty Trust",27.13,-1.34,-0.84%,+0.48%,+13.61%,-7.69%
AKS,"AK Steel Holding Corp",4.18,-19.11,-26.15%,-9.33%,-5.00%,-18.68%
ALG,"Alamo Group",97.36,+1.62,-13.74%,+8.21%,+2.96%,+5.44%
ALGT,"Allegiant Travel Com",134.8,+1.68,-12.89%,-5.87%,-15.59%,+8.53%
ALRM,Alarm.Com,50.64,+28.40,+34.15%,+17.96%,+26.13%,+20.11%
AMAG,"Amag Pharmaceuticals",24.9,+32.13,+87.92%,+14.48%,+8.50%,+43.52%
AMBC,"Ambac Financial Grp",21.89,+33.99,+36.98%,+8.21%,+17.37%,+15.94%
AMED,"Amedisys Inc",116.73,+165.35,+121.46%,+24.19%,+62.96%,+137.64%
AMN,"Amn Healthcare Services Inc",56.7,+38.57,+15.13%,-4.79%,+1.34%,+51.81%
AMPH,"Amphastar Pharma",17.68,+10.89,-8.11%,+6.96%,+9.68%,+19.78%
AMSF,"Amerisafe Inc",63.5,+14.84,+3.08%,+7.45%,+8.55%,+11.11%
AMWD,"Amer Woodmark Cp",83.4,-25.76,-35.97%,-9.05%,+1.77%,-12.94%
ANDE,"Andersons Inc",39.5,+28.79,+26.81%,+11.42%,+26.20%,+17.56%
ANF,"Abercrombie & Fitch Company",29.26,+150.43,+67.87%,+16.30%,+15.61%,+201.34%
ANGO,"Angiodynamics Inc",21.45,+28.24,+28.98%,+4.13%,+9.16%,+28.52%
ANIK,"Anika Therapeutics",42.51,-5.13,-21.15%,+20.36%,+11.93%,-18.41%
ANIP,"ANI Pharma Inc",57.15,+9.09,-11.33%,-19.37%,-6.80%,+30.39%
APEI,"American Pub. Edu.",34.95,+45.99,+39.52%,-21.55%,-8.03%,+82.98%
APOG,"Apogee Entrpr Inc",49.76,+10.01,+8.81%,-0.96%,+19.87%,-4.44%
ARCB,"Arcbest Corp",46.3,+44.23,+29.51%,+4.04%,-2.73%,+71.48%
ARI,"Apollo Commercial Real Estate",18.95,+6.04,+2.71%,+1.34%,+3.84%,+3.95%
AROC,"Archrock Inc",12.6,+39.37,+20.00%,-1.56%,+6.78%,+37.70%
ARR,"Armour Residential R",23.39,-9.26,-9.06%,+0.99%,+3.36%,-9.83%
ASGN,"On Assignment",90.16,+84.45,+40.28%,+9.25%,+9.36%,+88.90%
ASIX,"Advansix Inc",34.2,-2.33,-18.71%,-10.96%,-9.28%,+6.15%
ASNA,"Ascena Retail Grp",4.85,+125.79,+106.38%,+47.87%,+87.26%,+128.77%
ASTE,"Astec Inds Inc",46.27,-12.09,-20.91%,-24.75%,-17.80%,-3.90%
ATNI,"Atn International",73.23,+38.52,+32.52%,+28.93%,+41.89%,+21.66%
ATU,"Actuant Corp",28.7,+26.46,+13.44%,+1.23%,+19.09%,+23.44%
AVA,"Avista Corp",51.01,-1.53,-0.93%,+1.74%,-2.65%,-1.60%
AVAV,"Aerovironment Inc",82.47,+102.64,+46.85%,+12.40%,+42.29%,+115.05%
AVD,"American Vanguard Corp",19.8,-4.46,+0.76%,-10.81%,-6.38%,-1.49%
AVP,"Avon Products",1.72,-39.36,-20.00%,+18.62%,-11.34%,-37.91%
AWR,"American States Water Company",59.65,+21.07,+3.00%,+0.24%,+8.79%,+18.56%
AXE,"Anixter International Inc",71.9,+7.69,-5.39%,+11.13%,+12.87%,-3.88%
AXL,"American Axle & Manufacturing",16.63,+13.27,-2.35%,+0.12%,+7.22%,+15.33%
AZZ,"Azz Inc",54.05,+18.41,+5.77%,-1.10%,+19.98%,+8.97%
B,"Barnes Group",65.97,+10.35,+4.27%,+8.49%,+12.40%,+9.91%
BABY,"Natus Medical Inc",37.25,+15.15,-2.49%,+14.62%,+5.52%,+9.40%
BANC,"First Pactrust Bancorp",20,+6.35,-3.15%,+4.99%,+6.95%,+1.01%
BANR,"Banner Corp",66.14,+24.47,+19.99%,+9.59%,+13.94%,+17.52%
BCC,"Boise Cascade L.L.C.",44.4,+43.04,+11.28%,-2.63%,+3.50%,+48.25%
BCOR,"Blucora Inc",34.6,+42.65,+56.56%,-8.59%,+2.98%,+47.55%
BCPC,"Balchem Cp",100.15,+36.68,+24.26%,+1.72%,+8.86%,+32.11%
BEAT,"Biotelemetry Inc",54.9,+78.66,+83.61%,+11.47%,+36.74%,+47.78%
BEL,"Belmond Ltd",15.95,+17.48,+30.20%,+38.70%,+36.91%,+27.09%
BELFB,"Bel Fuse Inc Cl B",25.6,+7.40,+1.69%,+25.18%,+29.62%,-5.71%
BFS,"Saul Centers",56.8,+1.38,-8.02%,+3.48%,+18.68%,-5.94%
BGFV,"Big 5 Sporting",5.95,-25.21,-21.71%,-11.85%,-24.20%,-32.77%
BGG,"Briggs & Stratton Corp",18.54,-14.38,-26.92%,+0.49%,+0.32%,-23.89%
BGS,"B&G Foods Holdings",31,+0.62,-11.81%,+3.16%,+16.76%,-2.97%
BHE,"Benchmark Electronics",25.65,-21.74,-11.86%,-13.49%,-4.82%,-20.83%
BHLB,"Berkshire Hills Bancorp",41.7,+23.24,+13.93%,+2.96%,+9.59%,+21.40%
BJRI,"Bj's Restaurants Inc",64.1,+106.91,+76.10%,+3.81%,+23.51%,+92.78%
BKE,"Buckle Inc",27.95,+90.08,+17.68%,+20.47%,+15.50%,+84.49%
BKS,"Barnes & Noble",6.3,-6.44,-5.97%,+16.67%,+22.33%,-14.29%
BLD,"Topbuild Corp",73.85,+19.63,-2.50%,-7.84%,-9.21%,+25.53%
BMI,"Badger Meter",52.55,+21.99,+9.94%,+14.12%,+21.36%,+16.78%
BNED,"Barnes & Noble Education Inc C",6.28,-9.59,-23.79%,+14.81%,+1.78%,-9.38%
BOFI,"Bofi Holding Inc",38.11,+35.27,+27.46%,-5.78%,-6.11%,+37.48%
