Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",41.36,"16% Buy",50.14%,49.80%,1267735,22.54,71.29
AAON,"Aaon Inc",40.4,"8% Buy",60.89%,21.39%,165545,29.05,43.3
AAT,"American Assets Trust",39.5,"48% Buy",58.57%,10.08%,160500,30.62,41.69
AAWW,"Atlas Air Ww",60.9,"64% Sell",39.53%,21.20%,236100,50.65,75.29
AAXN,"Axon Inc",68.26,"48% Buy",56.00%,52.41%,780190,20.57,76.45
ABCB,"Ameris Bancorp",49.65,"40% Sell",45.76%,12.19%,245270,41.05,59.05
ABG,"Asbury Automotive Group Inc",74.5,"16% Buy",53.68%,15.35%,158275,50.3,77.75
ABM,"ABM Industries Incorporated",31.72,"48% Buy",54.69%,33.12%,509365,28.17,44.83
ACET,"Aceto Cp",3.32,"32% Sell",49.55%,26.79%,164780,2.22,11.98
ACLS,"Axcelis Tech Inc",20.2,"48% Sell",45.87%,28.16%,299690,18.75,37.05
ACOR,"Acorda Therapeutics",28.8,"72% Buy",54.94%,22.32%,317065,16.55,36.35
ADC,"Agree Realty Corp",57.07,"80% Buy",67.85%,9.83%,120565,43.74,57.35
ADTN,"Adtran Inc",17.2,"96% Buy",66.22%,15.78%,214520,13.95,25.1
AEGN,"Aegion Corp",24.96,"16% Sell",49.01%,17.74%,66340,19.81,28.19
AEIS,"Advanced Energy",59.58,"16% Sell",49.50%,20.16%,360025,56.22,95
AEL,"American Equity Investment Life",37.09,"56% Buy",57.67%,16.09%,334950,25.43,38.56
AGYS,"Agilysys Inc",16.07,"16% Buy",52.47%,23.32%,68160,10.1,16.87
AHH,"Armada Hoffler Properties Inc",15.59,"16% Buy",52.15%,12.14%,257240,12.73,16.17
AIN,"Albany International Corp",77.15,"80% Buy",65.74%,55.43%,210175,51.3,79.45
AIR,"AAR Corp",46.67,"32% Buy",52.27%,18.77%,133670,34.25,49.05
AIT,"Applied Industrial Technologies",77.05,"80% Buy",57.06%,23.07%,192005,55.25,78.9
AJRD,"Aerojet Rocketdyne Holdings",35.11,"16% Buy",56.44%,24.82%,516650,24.41,37.7
AKR,"Acadia Realty Trust",28.52,"88% Buy",60.51%,16.07%,436665,21.34,30.63
AKS,"AK Steel Holding Corp",4.44,"40% Sell",48.20%,34.89%,10253835,4,6.8
ALG,"Alamo Group",95.3,"24% Sell",49.02%,16.68%,73085,87.54,120.58
ALGT,"Allegiant Travel Com",136.25,"8% Sell",50.54%,12.50%,129285,111.54,181.45
ALRM,Alarm.Com,56.29,"72% Buy",68.65%,37.52%,595945,33.39,57.92
AMAG,"Amag Pharmaceuticals",24.4,"24% Buy",55.45%,21.94%,445580,11.93,26.1
AMBC,"Ambac Financial Grp",21.13,"16% Buy",52.19%,20.20%,378585,13.17,23.34
AMED,"Amedisys Inc",125.01,"72% Buy",80.06%,16.26%,325405,45.6,126.3
AMN,"Amn Healthcare Services Inc",58.3,"24% Sell",50.29%,26.07%,279375,36.9,68.2
AMPH,"Amphastar Pharma",18.98,"88% Buy",66.47%,25.67%,145245,14.4,20.45
AMSF,"Amerisafe Inc",63.8,"72% Buy",57.85%,12.61%,61030,51.55,67.82
AMWD,"Amer Woodmark Cp",84.95,"16% Sell",47.91%,42.76%,189335,80.1,148.44
ANDE,"Andersons Inc",40.85,"80% Buy",67.75%,43.90%,152825,29.6,41.7
ANF,"Abercrombie & Fitch Company",21.67,"72% Sell",35.73%,86.81%,3105660,11.61,29.69
ANGO,"Angiodynamics Inc",22.42,"56% Buy",57.00%,12.94%,128935,15.16,23.95
ANIK,"Anika Therapeutics",41.39,"24% Buy",56.20%,17.73%,80895,28.54,69.81
ANIP,"ANI Pharma Inc",58.2,"16% Sell",38.62%,54.42%,126620,45.57,74.7
APEI,"American Pub. Edu.",34.75,"88% Sell",31.98%,85.42%,130035,17.7,46.15
APOG,"Apogee Entrpr Inc",49.22,"40% Buy",51.69%,15.47%,117260,37.24,51.33
ARCB,"Arcbest Corp",48.1,"72% Buy",55.34%,22.82%,203905,25.86,50.45
ARI,"Apollo Commercial Real Estate",19.43,"88% Buy",62.60%,7.73%,780790,17.56,19.5
AROC,"Archrock Inc",12.65,"8% Sell",50.03%,33.01%,646315,8.25,13.75
ARR,"Armour Residential R",23.52,"8% Buy",50.67%,8.24%,389735,21.4,27.55
ASGN,"On Assignment",92.59,"80% Buy",61.12%,12.64%,252130,44.66,94.25
ASIX,"Advansix Inc",33.84,"56% Sell",41.71%,30.98%,205960,30.56,46.51
ASNA,"Ascena Retail Grp",4.58,"56% Buy",58.56%,49.72%,1599305,1.69,5.28
ASTE,"Astec Inds Inc",48.65,"24% Sell",43.32%,20.17%,148900,44.92,64.8
