Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",791152000,16.02,2.47,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2153112000,50.31,0.8,54500000,0.82,0.32,0.80%
AAT,"American Assets Trust",1860468000,18.86,0.4,40130000,0.38,1.08,2.77%
AAWW,"Atlas Air Ww",1541195000,9.78,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3741228000,118.23,0.53,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2356992000,18.08,2.73,73550000,1.05,0.4,0.81%
ABG,"Asbury Automotive Group Inc",1521163000,10.19,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2093819000,19.55,1.61,3800000,0.81,0.7,2.22%
ACET,"Aceto Cp",100375000,4.01,0.8,11380000,1.62,0.04,1.25%
ACLS,"Axcelis Tech Inc",621312000,11.86,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1338936000,27.57,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1625840000,19.66,1.91,58110000,0.33,2.16,3.90%
ADTN,"Adtran Inc",780549000,0,-0.06,23840000,0.61,0.36,2.19%
AEGN,"Aegion Corp",800410000,24.88,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2251954000,12.51,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3372861000,10.35,3.58,174650000,2.4,0.26,0.70%
AGYS,"Agilysys Inc",375614000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",781751000,16.34,0.46,21050000,0.61,0.8,5.05%
AIN,"Albany International Corp",2476180000,32.1,2.36,33110000,1.67,0.68,0.90%
AIR,"AAR Corp",1553920000,26.24,1.69,15600000,1.21,0.3,0.68%
AIT,"Applied Industrial Technologies",2956680000,20.59,3.71,141630000,0.94,1.2,1.57%
AJRD,"Aerojet Rocketdyne Holdings",2710260000,37.51,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2304005000,19.74,0.58,60830000,0.41,1.08,3.88%
AKS,"AK Steel Holding Corp",1378779000,15.7,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1148015000,18.62,5.21,44320000,0.87,0.44,0.45%
ALGT,"Allegiant Travel Com",2192912000,12.78,10.62,194900000,0.15,2.8,2.06%
ALRM,Alarm.Com,2617776000,51.99,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",832451000,0,-0.67,-199230000,0.39,0,0.00%
AMBC,"Ambac Financial Grp",1007233000,4.59,4.82,-328720000,1.7,0,0.00%
AMED,"Amedisys Inc",3798512000,40.39,2.91,30300000,0.61,0,0.00%
AMN,"Amn Healthcare Services Inc",2716428000,20.93,2.07,132560000,0.42,0,0.00%
AMPH,"Amphastar Pharma",824353000,120.27,0.15,4510000,1.4,0,0.00%
AMSF,"Amerisafe Inc",1230714000,19.15,3.34,46230000,0.79,0.88,1.38%
AMWD,"Amer Woodmark Cp",1462792000,16.71,4.94,63140000,1.82,0,0.00%
ANDE,"Andersons Inc",1150395000,28.37,1.41,42510000,1.16,0.66,1.65%
ANF,"Abercrombie & Fitch Company",1873038000,28.51,0.96,7090000,0.72,0.8,2.92%
ANGO,"Angiodynamics Inc",802726000,29.59,0.73,16340000,0.97,0,0.00%
ANIK,"Anika Therapeutics",613964000,25.61,1.63,31820000,1.86,0,0.00%
