Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",42.28,-30.90,+11.79%,-11.51%,+33.04%,-35.78%
AAON,"Aaon Inc",39,+24.50,+6.27%,+9.09%,+31.98%,+17.82%
AAT,"American Assets Trust",38.31,+0.30,+0.18%,+0.37%,+8.68%,-3.67%
AAWW,"Atlas Air Ww",60.2,-5.20,+2.64%,-14.61%,-11.54%,-0.74%
AAXN,"Axon Inc",60.98,+125.80,+130.11%,-10.05%,+6.50%,+172.72%
ABCB,"Ameris Bancorp",48.55,+3.80,+0.73%,-5.27%,-11.97%,+12.25%
ABG,"Asbury Automotive Group Inc",74.55,+40.50,+16.48%,+10.69%,+6.50%,+42.68%
ABM,"ABM Industries Incorporated",30.75,-27.10,-18.48%,-2.01%,+1.12%,-28.92%
ACET,"Aceto Cp",3.18,-47.10,-69.22%,-7.02%,+16.91%,-79.99%
ACLS,"Axcelis Tech Inc",21,-9.20,-26.83%,unch,-5.08%,+3.45%
ACOR,"Acorda Therapeutics",27.75,+51.70,+29.37%,-6.88%,+13.96%,+29.98%
ADC,"Agree Realty Corp",53.62,+11.50,+4.24%,-0.91%,+4.75%,+10.53%
ADTN,"Adtran Inc",16.1,-22.40,-16.80%,+2.88%,+6.27%,-26.15%
AEGN,"Aegion Corp",24.42,+13.30,-3.97%,-4.68%,-2.01%,+19.59%
AEIS,"Advanced Energy",59.57,-19.00,-11.72%,+0.73%,-8.09%,-16.30%
AEL,"American Equity Investment Life",35.94,+28.00,+16.95%,+1.13%,+24.97%,+29.56%
AGYS,"Agilysys Inc",15.84,+54.60,+28.99%,-3.94%,+31.89%,+54.39%
AHH,"Armada Hoffler Properties Inc",15.5,+18.70,-0.19%,+0.78%,+11.35%,+19.23%
AIN,"Albany International Corp",75.45,+50.70,+22.78%,+19.95%,+25.02%,+49.85%
AIR,"AAR Corp",45.96,+26.30,+16.98%,+0.70%,-1.82%,+29.94%
AIT,"Applied Industrial Technologies",73.75,+29.20,+8.30%,+0.75%,+5.43%,+33.00%
AJRD,"Aerojet Rocketdyne Holdings",36.68,+39.30,+17.56%,+21.34%,+34.06%,+36.41%
AKR,"Acadia Realty Trust",26.62,-3.90,-2.70%,-1.41%,+9.77%,-7.70%
AKS,"AK Steel Holding Corp",4.26,-16.90,-24.73%,-7.59%,-4.91%,-16.63%
ALG,"Alamo Group",95.69,-0.80,-15.22%,+6.36%,+1.00%,+4.95%
ALGT,"Allegiant Travel Com",132.25,-1.00,-14.54%,-7.65%,-18.67%,+9.71%
ALRM,Alarm.Com,50.7,+28.60,+34.30%,+18.10%,+27.90%,+24.26%
AMAG,"Amag Pharmaceuticals",25.35,+35.50,+91.32%,+16.55%,+5.63%,+48.25%
AMBC,"Ambac Financial Grp",21.82,+33.40,+36.55%,+7.86%,+17.25%,+14.36%
AMED,"Amedisys Inc",113.9,+156.50,+116.09%,+21.18%,+58.61%,+133.02%
AMN,"Amn Healthcare Services Inc",55.35,+34.00,+12.39%,-7.05%,-1.60%,+51.64%
AMPH,"Amphastar Pharma",17.63,+10.50,-8.37%,+6.65%,+18.24%,+18.40%
AMSF,"Amerisafe Inc",63.1,+13.80,+2.44%,+6.77%,+5.70%,+11.58%
AMWD,"Amer Woodmark Cp",81.6,-28.00,-37.35%,-11.01%,-0.67%,-13.05%
ANDE,"Andersons Inc",39.75,+29.90,+27.61%,+12.13%,+27.00%,+21.75%
ANF,"Abercrombie & Fitch Company",26.72,+121.10,+53.30%,+6.20%,+3.57%,+172.38%
ANGO,"Angiodynamics Inc",21.35,+27.40,+28.38%,+3.64%,+9.10%,+30.50%
ANIK,"Anika Therapeutics",41.49,-8.20,-23.04%,+17.47%,+11.92%,-19.78%
