Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",800017000,16.3,2.47,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2234115000,52.69,0.8,54500000,0.82,0.32,0.76%
AAT,"American Assets Trust",1870856000,19.15,0.4,40130000,0.38,1.08,2.72%
AAWW,"Atlas Air Ww",1591076000,10,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3721399000,121.06,0.53,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2378376000,18.19,2.73,73550000,1.05,0.4,0.81%
ABG,"Asbury Automotive Group Inc",1575090000,10.42,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2166133000,20.06,1.61,3800000,0.81,0.7,2.17%
ACET,"Aceto Cp",101915000,4.13,0.8,11380000,1.62,0.04,1.21%
ACLS,"Axcelis Tech Inc",631020000,11.33,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1372172000,28.07,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1637767000,19.9,1.91,58110000,0.33,2.16,3.85%
ADTN,"Adtran Inc",806806000,0,-0.06,23840000,0.61,0.36,2.18%
AEGN,"Aegion Corp",831371000,25.25,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2285980000,12.26,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3391820000,10.45,3.58,174650000,2.4,0.26,0.69%
AGYS,"Agilysys Inc",376085000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",787129000,16.54,0.46,21050000,0.61,0.8,4.99%
AIN,"Albany International Corp",2518040000,32.65,2.36,33110000,1.67,0.68,0.88%
AIR,"AAR Corp",1597693000,26.69,1.69,15600000,1.21,0.3,0.67%
AIT,"Applied Industrial Technologies",3031776000,20.8,3.71,141630000,0.94,1.2,1.56%
AJRD,"Aerojet Rocketdyne Holdings",2768472000,37.3,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2329270000,20.19,0.58,60830000,0.41,1.08,3.79%
AKS,"AK Steel Holding Corp",1410330000,16.3,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1172883000,18.97,5.21,44320000,0.87,0.44,0.45%
ALGT,"Allegiant Travel Com",2207456000,12.88,10.62,194900000,0.15,2.8,2.05%
ALRM,Alarm.Com,2705067000,54.06,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",853133000,0,-0.67,-199230000,0.39,0,0.00%
AMBC,"Ambac Financial Grp",983661000,4.55,4.82,-328720000,1.7,0,0.00%
AMED,"Amedisys Inc",3818253000,41.07,2.91,30300000,0.61,0,0.00%
AMN,"Amn Healthcare Services Inc",2768667000,20.8,2.07,132560000,0.42,0,0.00%
AMPH,"Amphastar Pharma",842857000,119.73,0.15,4510000,1.4,0,0.00%
AMSF,"Amerisafe Inc",1217232000,18.94,3.34,46230000,0.79,0.88,1.39%
AMWD,"Amer Woodmark Cp",1519830000,16.9,4.94,63140000,1.82,0,0.00%
ANDE,"Andersons Inc",1167375000,29.01,1.41,42510000,1.16,0.66,1.61%
ANF,"Abercrombie & Fitch Company",1921847000,29.46,0.96,7090000,0.72,0.8,2.83%
ANGO,"Angiodynamics Inc",827443000,30.19,0.73,16340000,0.97,0,0.00%
