Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",777718000,11.36,3.37,73950000,2.72,0,0.00%
AAON,"Aaon Inc",1911140000,43.04,0.84,54500000,0.7,0.32,0.89%
AAT,"American Assets Trust",1778873000,18.91,0.45,40130000,0.41,1.08,2.88%
AAWW,"Atlas Air Ww",1732968000,12.39,5.46,223470000,1.19,0,0.00%
AAXN,"Axon Inc",4222400000,173.55,0.42,5210000,0.82,0,0.00%
ABAX,"Abaxis Inc",1903470000,63.95,1.3,27180000,1.3,0.72,0.87%
ABCB,"Ameris Bancorp",1949081000,19.05,2.62,73550000,1.22,0.4,0.80%
ABG,"Asbury Automotive Group Inc",1406966000,9.4,6.8,139100000,1.54,0,0.00%
ABM,"ABM Industries Incorporated",2024792000,18.87,1.61,3800000,0.81,0.7,2.30%
ACET,"Aceto Cp",102531000,3.8,0.8,11380000,1.7,0.04,1.32%
ACLS,"Axcelis Tech Inc",691225000,13.18,1.59,126960000,1.05,0,0.00%
ACOR,"Acorda Therapeutics",1167336000,0,-0.46,-223360000,1.63,0,0.00%
ADC,"Agree Realty Corp",1553115000,18.84,2.06,58110000,0.34,2.16,4.07%
ADTN,"Adtran Inc",790515000,0,-0.06,23840000,0.61,0.36,2.24%
AEGN,"Aegion Corp",810513000,24.99,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2296479000,12.44,4.62,137860000,1.34,0,0.00%
AEL,"American Equity Investment Life",3217471000,10.48,3.34,174650000,2.49,0.26,0.74%
AGYS,"Agilysys Inc",392371000,0,-0.36,-8350000,0.33,0,0.00%
AHH,"Armada Hoffler Properties Inc",685838000,15.36,0.45,21050000,0.52,0.8,5.32%
AIN,"Albany International Corp",2159010000,38.38,1.7,33110000,1.61,0.68,1.04%
AIR,"AAR Corp",1652582000,27.78,1.69,15600000,1.26,0.3,0.64%
AIT,"Applied Industrial Technologies",2890890000,21.26,3.46,133910000,0.95,1.2,1.63%
AJRD,"Aerojet Rocketdyne Holdings",2209130000,34.41,0.83,-9200000,1.13,0,0.00%
AKR,"Acadia Realty Trust",2216800000,19.3,0.63,60830000,0.44,1.08,3.97%
AKS,"AK Steel Holding Corp",1636407000,21.75,0.24,6200000,2.84,0,0.00%
ALG,"Alamo Group",1061898000,18.93,4.73,44320000,0.85,0.44,0.49%
ALGT,"Allegiant Travel Com",1906508000,13.12,10.46,194900000,0.14,2.8,2.01%
ALRM,Alarm.Com,2076977000,42.61,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",772425000,0,-0.32,-199230000,0.32,0,0.00%
AMBC,"Ambac Financial Grp",915213000,3.6,5.58,-328720000,1.69,0,0.00%
AMED,"Amedisys Inc",3283725000,37.85,2.53,30300000,0.6,0,0.00%
AMN,"Amn Healthcare Services Inc",2976270000,22.39,2.74,132560000,0.41,0,0.00%
AMPH,"Amphastar Pharma",812412000,74.78,0.23,4510000,1.34,0,0.00%
AMSF,"Amerisafe Inc",1240344000,19.46,3.24,46230000,0.81,0.88,1.40%
AMWD,"Amer Woodmark Cp",1488240000,16.62,4.94,63140000,1.83,0,0.00%
ANDE,"Andersons Inc",988377000,29.37,1.19,42510000,1.22,0.66,1.89%
ANF,"Abercrombie & Fitch Company",1635773000,25.19,0.96,7090000,0.81,0.8,3.31%
ANGO,"Angiodynamics Inc",807153000,29.45,0.73,16340000,1.03,0,0.00%
ANIK,"Anika Therapeutics",599623000,19.87,1.71,31820000,1.83,0,0.00%
ANIP,"ANI Pharma Inc",834614000,17.21,4.14,-1080000,2.84,0,0.00%
APEI,"American Pub. Edu.",745380000,33.09,1.36,21120000,0.67,0,0.00%
APOG,"Apogee Entrpr Inc",1388905000,15.64,3.1,79490000,1.48,0.63,1.30%
ARCB,"Arcbest Corp",1140980000,24.28,1.87,59730000,1.82,0.32,0.70%
ARI,"Apollo Commercial Real Estate",2317697000,11.53,1.7,193030000,0.51,1.84,9.67%
AROC,"Archrock Inc",953743000,0,-0.1,18950000,2.9,0.48,3.75%
ARR,"Armour Residential R",983812000,8.57,2.72,181150000,0.56,2.28,9.93%
ASGN,"On Assignment",4827813000,23.97,3.29,157680000,1.9,0,0.00%
ASIX,"Advansix Inc",1227015000,15.25,2.57,146700000,1.41,0,0.00%
ASNA,"Ascena Retail Grp",712242000,0,-0.04,-1067300000,1.75,0,0.00%
ASTE,"Astec Inds Inc",1146649000,23,1.79,37800000,1.13,0.4,0.79%
ATNI,"Atn International",1042535000,34.29,1.46,31490000,0.5,0.68,1.27%
ATU,"Actuant Corp",1732605000,31.33,0.9,-66210000,1.46,0.04,0.14%
AVA,"Avista Corp",3318305000,26.45,1.9,115920000,0.32,1.49,2.96%
AVAV,"Aerovironment Inc",1798032000,70.81,1.04,20070000,1.19,0,0.00%
AVD,"American Vanguard Corp",642205000,34.35,0.62,20270000,1.07,0.08,0.38%
AVP,"Avon Products",684604000,14.8,0.1,22000000,1.31,0,0.00%
AWR,"American States Water Company",2259015000,32.74,1.84,69370000,0.4,1.02,1.69%
AXE,"Anixter International Inc",2339128000,13.52,5.23,109000000,2.07,0,0.00%
AXL,"American Axle & Manufacturing",1725147000,4.2,3.72,337100000,1.34,0,0.00%
AZZ,"Azz Inc",1413429000,51.23,1.06,45170000,1.24,0.68,1.25%
B,"Barnes Group",3373649000,21.24,2.9,59420000,1.34,0.64,1.04%
BABY,"Natus Medical Inc",1145419000,24.01,1.4,-20290000,0.48,0,0.00%
BANC,"First Pactrust Bancorp",1019389000,23.38,0.8,57710000,0.87,0.52,2.78%
BANR,"Banner Corp",2050369000,18.33,3.14,60780000,1.01,1.4,2.27%
BCC,"Boise Cascade L.L.C.",1685014000,16.42,2.6,82960000,1.99,0.28,0.66%
BCOR,"Blucora Inc",1782891000,25.5,1.49,27040000,-0.04,0,0.00%
BCPC,"Balchem Cp",3229303000,36.53,2.71,90070000,0.9,0.42,0.42%
BEAT,"Biotelemetry Inc",1760823000,36.69,1.1,-15960000,1.41,0,0.00%
BEL,"Belmond Ltd",1166213000,112,0.1,-45040000,1.32,0,0.00%
BELFB,"Bel Fuse Inc Cl B",276089000,30.13,0.75,-11900000,0.63,0.28,1.24%
BFS,"Saul Centers",1189422000,17.74,1.45,48260000,0.66,2.08,3.91%
BGFV,"Big 5 Sporting",137088000,24.42,0.26,1100000,-0.65,0.6,9.45%
BGG,"Briggs & Stratton Corp",724110000,12.95,1.28,56650000,0.65,0.56,3.38%
BGS,"B&G Foods Holdings",2101400000,14.88,2.08,217460000,0.45,1.9,6.14%
BHE,"Benchmark Electronics",1163260000,15.25,1.67,-31970000,0.4,0.6,2.47%
BHLB,"Berkshire Hills Bancorp",1869033000,15.96,2.56,55250000,0.67,0.88,2.15%
BJRI,"Bj's Restaurants Inc",1280048000,37.23,1.68,44780000,0.67,0.44,0.70%
BKE,"Buckle Inc",1186812000,12.79,1.9,89710000,0.76,1,4.12%
BKS,"Barnes & Noble",436740000,12.04,0.49,-125480000,1.93,0.6,10.17%
BLD,"Topbuild Corp",2688764000,24.49,3.07,158130000,0.59,0,0.00%
BMI,"Badger Meter",1523909000,43.29,1.2,34570000,0.67,0.52,1.00%
BNED,"Barnes & Noble Education Inc C",253368000,0,-5.4,-252570000,0.32,0,0.00%
BOFI,"Bofi Holding Inc",2517638000,16.77,2.4,134740000,0.29,0,0.00%
BPFH,"Boston Pvt Finl Hldg",1229612000,16.18,0.89,40590000,1.03,0.48,3.33%
BRC,"Brady Corp",1948011000,19.33,1.94,95650000,1.14,0.83,2.21%
BRKL,"Brookline Bancorp",1501984000,20.05,0.87,50520000,0.95,0.4,2.14%
BRKS,"Brooks Automation",2157113000,21.35,1.41,62610000,1.02,0.4,1.33%
BRS,"Bristow Group Inc",523526000,0,-2.16,-195660000,2.94,0,0.00%
CACI,"Caci International",4369430000,22.82,7.76,163670000,1.43,0,0.00%
CAL,"Caleres Inc",1498693000,15.99,2.19,87200000,0.92,0.28,0.80%
CALM,"Cal-Maine Foods In",2193213000,15.2,0.98,-74280000,0.62,0,0.00%
CAMP,"Calamp Corp",815321000,24.29,0.95,16620000,1.78,0,0.00%
CASH,"Meta Financial Grp",940415000,13.99,6.85,44920000,1.14,0.52,0.54%
CATM,"Cardtronics Inc",1210910000,9.7,2.69,-145350000,0.85,0,0.00%
CATO,"Cato Corp",664411000,29.85,0.88,8540000,0.79,1.32,5.02%
CBB,"Cincinnati Bell Inc",570280000,0,-0.27,35100000,1.41,0,0.00%
CBL,"Cbl & Associates Properties",928911000,2.66,0.16,120940000,1.18,0.8,15.18%
CBM,"Cambrex Corp",2060000000,18.73,3.3,102450000,2.27,0,0.00%
CBU,"Community Bank System",3308973000,20.35,2.99,150720000,1.01,1.36,2.12%
CCMP,"Cabot Microelectron",3045391000,24.63,4.26,86950000,1.37,1.6,1.35%
CCOI,"Cogent Comm Hldgs",2458053000,119.32,0.44,5880000,0.52,2.08,3.96%
CCRN,"Cross Ctry Hlthcr",434252000,18.97,0.62,37510000,0.9,0,0.00%
CDR,"Cedar Shopping Centers Inc",410238000,8.75,-0.39,19140000,0.91,0.2,4.16%
CECO,"Career Education",1289873000,37.98,0.49,-31900000,2.72,0,0.00%
CEIX,"Consol Energy Inc",1184548000,0,3.26,67630000,N/A,0,0.00%
CENT,"Central Garden",2236860000,24.35,1.75,78830000,0.09,0,0.00%
CENTA,"Central Garden & Pet",2074037000,22.6,1.75,78830000,0.39,0,0.00%
CENX,"Century Aluminum C",1156932000,34.76,0.38,48580000,0.78,0,0.00%
CEVA,"Ceva Inc",699930000,59.9,0.52,17030000,0.99,0,0.00%
CHCO,"City Holding Co",1266543000,18.11,4.45,54310000,0.73,1.84,2.28%
CHCT,"Community Healthcare Trust Inc",557217000,20.95,0.23,3510000,0.82,1.6,5.27%
CHS,"Chico's Fas",1157274000,13.54,0.65,101000000,0.7,0.34,3.86%
CHSP,"Chesapeake Lodging Trust",1934575000,14.64,1.13,76240000,0.98,1.6,4.97%
CHUY,"Chuy's Holdings Inc",556808000,36.93,0.88,28960000,-0.31,0,0.00%
CIR,"Circor International",801925000,21.92,1.79,11790000,1.75,0.08,0.19%
CJ,"C&J Energy Services Inc",1537632000,24.86,0.88,22460000,0.99,0,0.00%
CKH,"Seacor Smit Inc",984087000,39.4,0.57,61640000,0.86,0,0.00%
CLD,"Cloud Peak Energy Inc",226552000,0,-0.27,-6640000,2.02,0,0.00%
CLDT,"Chatham Lodging Trust [Reit]",1001801000,10.46,0.67,29480000,1.06,1.32,6.09%
CLW,"Clearwater Paper Corp",367658000,12.37,1.77,97340000,1.06,0,0.00%
CMO,"Capstead Mortgage Corp",771033000,15.6,0.6,79590000,0.11,0.56,6.53%
CMTL,"Comtech Telecom Co",809434000,51.85,0.65,15830000,1.5,0.4,1.19%
CNMD,"C O N M E D Cp",2116459000,36.5,2.05,55490000,0.57,0.8,1.07%
CNSL,"Consolidated Communications Holdings Inc",894900000,407.33,0.03,64950000,0.75,1.55,12.68%
COHU,"Cohu Inc",717120000,18.03,1.37,32840000,1.02,0.24,0.97%
COKE,"Coca Cola Bot Cons",1291272000,38.49,3.59,96540000,0.17,1,0.72%
COLB,"Columbia Banking Sys",3078277000,18.07,2.3,112830000,1.14,1.04,2.50%
CORE,"Core Mark Holding",1142674000,24.82,0.98,33500000,0.56,0.4,1.64%
CORT,"Corcept Therapeutics",1516558000,24.87,0.52,129120000,1.93,0,0.00%
CPF,"Central Pacific Financial Co",846560000,16.54,1.65,41200000,1.1,0.84,2.92%
CPLA,"Capella Education Co",1232352000,28.44,3.69,23510000,0.28,1.72,1.64%
CPS,"Cooper Std Hldg Inc",2438727000,11.57,11.58,135300000,0.73,0,0.00%
CPSI,"Computer Programs",480469000,20.86,1.63,-17100000,0.1,0.4,1.18%
CRAY,"Cray Inc",1048770000,0,-0.84,-133830000,1.59,0,0.00%
CROX,"Crocs Inc",1278202000,621,0.03,10240000,0.27,0,0.00%
CRR,"Carbo Ceramics",281985000,0,-3.38,-253120000,1.77,0,0.00%
CRVL,"Corvel Cp",1069163000,29.68,1.87,35700000,0.74,0,0.00%
CRY,Cryolife,1135530000,93.48,0.33,3700000,0.78,0,0.00%
CRZO,"Carrizo Oil & Gas",2336533000,17.21,1.69,87110000,2.2,0,0.00%
CSGS,"C S G Sys Intl",1395129000,18.94,2.17,61360000,0.93,0.84,2.04%
CTB,"Cooper Tire & Rubber Company",1266278000,9.61,2.69,95400000,0.61,0.42,1.62%
CTRE,"Caretrust REIT Inc",1282198000,13.78,0.4,25870000,0.79,0.82,4.88%
CTRL,"Control4 Corp",664816000,29.01,0.84,15980000,-0.25,0,0.00%
CTS,"Cts Corp",1178814000,27.69,1.32,14450000,1.24,0.16,0.44%
CUB,"Cubic Corp",1881593000,0,-0.45,-11210000,0.98,0.27,0.39%
CUBI,"Customers Bancorp",814275000,11.4,2.58,78840000,0.79,0,0.00%
CUTR,"Cutera Inc",569734000,61.99,0.68,29990000,0.44,0,0.00%
CVBF,"Cvb Financial Corp",2609854000,19.48,1.19,104410000,1.42,0.56,2.42%
CVCO,"Cavco Inds Inc",1962584000,35.01,6.07,61500000,1.47,0,0.00%
CVGW,"Calavo Growers Inc",1633131000,38.21,2.43,37270000,0.56,0.95,1.02%
