Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",40.1,-37.32,+6.03%,-11.54%,+24.30%,-40.57%
AAON,"Aaon Inc",39.3,+22.23,+7.08%,+10.24%,+30.35%,+16.27%
AAT,"American Assets Trust",38.81,+2.29,+1.49%,+0.83%,+10.60%,-3.27%
AAWW,"Atlas Air Ww",61.67,-0.86,+5.16%,-14.99%,-10.03%,-2.03%
AAXN,"Axon Inc",59.33,+116.99,+123.89%,-11.38%,+8.62%,+157.73%
ABCB,"Ameris Bancorp",48.88,+4.96,+1.40%,-8.56%,-11.62%,+8.97%
ABG,"Asbury Automotive Group Inc",75.4,+40.27,+17.81%,+4.14%,+8.10%,+42.26%
ABM,"ABM Industries Incorporated",31.17,-26.47,-17.36%,+1.46%,+2.43%,-29.58%
ACET,"Aceto Cp",3.26,-45.72,-68.44%,-10.19%,+16.43%,-79.69%
ACLS,"Axcelis Tech Inc",21.95,-2.41,-23.52%,-0.68%,-3.30%,+7.07%
ACOR,"Acorda Therapeutics",26.75,+47.29,+24.71%,-11.42%,+12.87%,+29.54%
ADC,"Agree Realty Corp",54.21,+13.82,+5.38%,+0.87%,+6.57%,+9.89%
ADTN,"Adtran Inc",15.9,-24.52,-17.83%,+3.25%,+4.26%,-28.22%
AEGN,"Aegion Corp",25.01,+16.78,-1.65%,-5.62%,+2.58%,+23.20%
AEIS,"Advanced Energy",61.05,-16.61,-9.53%,-0.13%,-5.74%,-13.05%
AEL,"American Equity Investment Life",36.01,+27.22,+17.18%,-1.67%,+24.65%,+29.30%
AGYS,"Agilysys Inc",15.75,+55.04,+28.26%,-4.83%,+28.99%,+57.03%
AHH,"Armada Hoffler Properties Inc",15.62,+20.50,+0.58%,+1.76%,+11.65%,+17.27%
AIN,"Albany International Corp",76.2,+53.67,+24.00%,+21.92%,+26.58%,+49.41%
AIR,"AAR Corp",46.62,+28.88,+18.66%,-3.06%,-1.04%,+28.78%
AIT,"Applied Industrial Technologies",74.55,+29.69,+9.47%,+3.04%,+8.67%,+34.32%
AJRD,"Aerojet Rocketdyne Holdings",35.83,+36.00,+14.84%,+19.99%,+29.26%,+31.25%
AKR,"Acadia Realty Trust",26.82,-3.67,-1.97%,-2.30%,+11.01%,-9.94%
AKS,"AK Steel Holding Corp",4.37,-12.69,-22.79%,-4.17%,-0.23%,-18.62%
ALG,"Alamo Group",95.85,-2.29,-15.08%,+3.67%,+3.62%,+4.06%
ALGT,"Allegiant Travel Com",130.35,-4.02,-15.77%,-7.42%,-18.07%,+3.66%
ALRM,Alarm.Com,49.15,+27.56,+30.20%,+15.40%,+23.96%,+18.52%
AMAG,"Amag Pharmaceuticals",25.4,+36.57,+91.70%,+23.00%,+10.20%,+45.14%
AMBC,"Ambac Financial Grp",21.91,+30.19,+37.11%,+8.47%,+19.73%,+9.71%
AMED,"Amedisys Inc",112.15,+159.16,+112.77%,+21.94%,+57.25%,+131.43%
AMN,"Amn Healthcare Services Inc",57,+45.79,+15.74%,-8.21%,+6.84%,+52.41%
AMPH,"Amphastar Pharma",17.18,+8.21,-10.71%,+2.26%,-11.58%,+10.55%
AMSF,"Amerisafe Inc",62.8,+11.72,+1.95%,+6.44%,+5.99%,+10.08%
AMWD,"Amer Woodmark Cp",85.65,-23.64,-34.24%,-8.79%,+2.39%,-9.12%
ANDE,"Andersons Inc",40.35,+31.22,+29.53%,+13.66%,+28.61%,+22.46%
ANF,"Abercrombie & Fitch Company",26.08,+113.71,+49.63%,+0.85%,-0.84%,+158.99%
ANGO,"Angiodynamics Inc",21.53,+33.31,+29.46%,-6.31%,+11.32%,+31.28%
ANIK,"Anika Therapeutics",41.78,-6.29,-22.50%,+19.95%,+14.15%,-18.98%
ANIP,"ANI Pharma Inc",56.71,+11.56,-12.01%,-20.51%,-8.53%,+30.43%
APEI,"American Pub. Edu.",34.17,+38.67,+36.43%,-22.86%,-11.46%,+80.34%
APOG,"Apogee Entrpr Inc",49.71,+4.01,+8.70%,-1.45%,+16.99%,-3.79%
ARCB,"Arcbest Corp",47.85,+50.21,+33.85%,+2.24%,+30.92%,+81.59%
ARI,"Apollo Commercial Real Estate",18.75,+4.31,+1.63%,-0.53%,+3.36%,+3.02%
AROC,"Archrock Inc",13.05,+43.88,+24.29%,+3.98%,+14.47%,+31.16%
ARR,"Armour Residential R",23.49,-7.61,-8.67%,-0.51%,+4.17%,-9.41%
ASGN,"On Assignment",91.46,+87.85,+42.31%,+11.78%,+8.45%,+90.30%
ASIX,"Advansix Inc",35.34,+0.60,-16.00%,-7.99%,-4.54%,+5.94%
ASNA,"Ascena Retail Grp",4.16,+69.15,+77.02%,+14.60%,+80.09%,+77.78%
ASTE,"Astec Inds Inc",45.99,-13.60,-21.38%,-26.57%,-19.98%,-0.67%
ATNI,"Atn International",69.12,+26.73,+25.08%,+21.56%,+32.29%,+16.07%
ATU,"Actuant Corp",28.25,+24.20,+11.66%,-2.92%,+17.22%,+17.46%
AVA,"Avista Corp",50.78,-3.03,-1.38%,-3.62%,-2.74%,-3.05%
AVAV,"Aerovironment Inc",79.01,+89.62,+40.69%,+8.28%,+28.95%,+104.80%
AVD,"American Vanguard Corp",19.89,-4.75,+1.22%,-12.76%,-16.60%,-2.74%
AVP,"Avon Products",1.8,-38.28,-16.28%,+14.65%,-6.74%,-37.72%
AWR,"American States Water Company",59.74,+20.21,+3.16%,+2.08%,+8.97%,+16.27%
AXE,"Anixter International Inc",72.85,+7.12,-4.14%,+9.30%,+18.74%,-5.27%
AXL,"American Axle & Manufacturing",17.07,+15.52,+0.23%,+0.83%,+14.41%,+17.89%
AZZ,"Azz Inc",53.25,+12.58,+4.21%,-2.11%,+14.52%,+6.29%
B,"Barnes Group",66.49,+13.36,+5.09%,+9.23%,+14.24%,+10.01%
BABY,"Natus Medical Inc",35.9,+7.10,-6.02%,-1.10%,+5.12%,+6.37%
BANC,"First Pactrust Bancorp",20.2,+4.59,-2.18%,unch,+7.73%,+1.76%
BANR,"Banner Corp",65.03,+22.30,+17.98%,+5.01%,+10.41%,+16.10%
BCC,"Boise Cascade L.L.C.",44.1,+39.63,+10.53%,-3.92%,+1.61%,+48.99%
BCOR,"Blucora Inc",34.45,+40.86,+55.88%,-12.90%,+10.77%,+46.60%
